timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-31,3.1600,3.2000,3.1100,3.1900,3.1900,118465,0.0000,1.0000
2019-07-30,3.2100,3.3400,3.1000,3.1600,3.1600,303559,0.0000,1.0000
2019-07-29,3.0400,3.1400,2.9600,3.0700,3.0700,225939,0.0000,1.0000
2019-07-26,3.1000,3.1600,2.9901,3.0300,3.0300,167072,0.0000,1.0000
2019-07-25,3.2900,3.2900,3.0400,3.0600,3.0600,246261,0.0000,1.0000
2019-07-24,3.1000,3.2200,3.0500,3.1700,3.1700,304650,0.0000,1.0000
2019-07-23,3.1400,3.1900,3.0000,3.1000,3.1000,277315,0.0000,1.0000
2019-07-22,3.2900,3.4500,3.1400,3.1400,3.1400,502486,0.0000,1.0000
2019-07-19,3.0500,3.4500,3.0500,3.3300,3.3300,1164036,0.0000,1.0000
2019-07-18,3.0000,3.1300,2.9500,3.0600,3.0600,211436,0.0000,1.0000
2019-07-17,2.9900,3.1800,2.8700,2.9300,2.9300,641474,0.0000,1.0000
2019-07-16,3.2400,3.4700,3.0700,3.4000,3.4000,211695,0.0000,1.0000
2019-07-15,3.3500,3.3800,3.2200,3.2300,3.2300,94670,0.0000,1.0000
2019-07-12,3.2500,3.5546,3.0800,3.3500,3.3500,366881,0.0000,1.0000
2019-07-11,3.9100,3.9500,3.2000,3.2200,3.2200,503256,0.0000,1.0000
2019-07-10,3.9500,3.9500,3.8201,3.9000,3.9000,80069,0.0000,1.0000
2019-07-09,3.8100,3.9450,3.8100,3.8700,3.8700,128930,0.0000,1.0000
2019-07-08,3.9500,3.9600,3.8200,3.8200,3.8200,134772,0.0000,1.0000
2019-07-05,3.9200,4.0300,3.8600,3.8900,3.8900,221114,0.0000,1.0000
2019-07-03,3.9800,4.0300,3.9600,3.9700,3.9700,108789,0.0000,1.0000
2019-07-02,4.1603,4.1603,3.8700,4.0000,4.0000,162283,0.0000,1.0000
2019-07-01,4.3000,4.3350,4.1100,4.1700,4.1700,138719,0.0000,1.0000
2019-06-28,4.0400,4.2500,4.0400,4.2000,4.2000,162586,0.0000,1.0000
2019-06-27,4.2400,4.2500,4.0200,4.0500,4.0500,140260,0.0000,1.0000
2019-06-26,4.1100,4.2800,4.0500,4.2200,4.2200,145280,0.0000,1.0000
2019-06-25,4.2600,4.2800,3.9300,4.0500,4.0500,162011,0.0000,1.0000
2019-06-24,4.6300,4.7200,4.2200,4.2500,4.2500,192021,0.0000,1.0000
2019-06-21,4.8000,4.8000,4.5800,4.6300,4.6300,372397,0.0000,1.0000
2019-06-20,4.7900,4.9500,4.6000,4.6000,4.6000,136213,0.0000,1.0000
2019-06-19,4.7100,4.9500,4.6100,4.8200,4.8200,135477,0.0000,1.0000
