timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-31,21.6700,21.9200,21.6300,21.7400,21.7400,113341,0.0000,1.0000
2019-07-30,21.3500,21.8200,21.3500,21.7500,21.7500,80699,0.0000,1.0000
2019-07-29,21.6600,21.7750,21.4000,21.4800,21.4800,90145,0.0000,1.0000
2019-07-26,21.3100,21.7500,21.3100,21.7400,21.7400,105816,0.0000,1.0000
2019-07-25,21.1100,21.8999,21.1100,21.4100,21.4100,114683,0.0000,1.0000
2019-07-24,21.5800,22.2400,21.5800,22.1500,22.1500,95403,0.0000,1.0000
2019-07-23,21.5500,21.6500,21.3600,21.6500,21.6500,97609,0.0000,1.0000
2019-07-22,21.5700,21.6500,21.3042,21.5400,21.5400,128474,0.0000,1.0000
2019-07-19,21.6300,21.7600,21.5423,21.6500,21.6500,63419,0.0000,1.0000
2019-07-18,21.3900,21.6000,21.3454,21.4800,21.4800,138957,0.0000,1.0000
2019-07-17,21.5100,21.5700,21.3700,21.4200,21.4200,53795,0.0000,1.0000
2019-07-16,21.6000,21.7500,21.5400,21.6000,21.6000,36748,0.0000,1.0000
2019-07-15,21.9200,21.9200,21.5150,21.6100,21.6100,40636,0.0000,1.0000
2019-07-12,21.7600,21.9900,21.7500,21.9000,21.9000,76074,0.0000,1.0000
2019-07-11,21.5900,21.8000,21.4400,21.7700,21.7700,92790,0.0000,1.0000
2019-07-10,21.8600,21.8600,21.5700,21.5900,21.5900,43573,0.0000,1.0000
2019-07-09,21.7600,21.8900,21.5400,21.8400,21.8400,85916,0.0000,1.0000
2019-07-08,22.1000,22.1000,21.6200,21.8600,21.8600,114186,0.0000,1.0000
2019-07-05,21.9200,22.1300,21.9000,22.1000,22.1000,43086,0.0000,1.0000
2019-07-03,21.7800,21.9500,21.7400,21.9100,21.9100,49200,0.0000,1.0000
2019-07-02,21.9900,22.0400,21.6000,21.7800,21.7800,97531,0.0000,1.0000
2019-07-01,21.9600,22.0100,21.7300,21.9700,21.9700,147535,0.0000,1.0000
2019-06-28,21.7000,21.9700,21.5700,21.7900,21.7900,364519,0.0000,1.0000
2019-06-27,21.1100,21.5700,21.0900,21.5700,21.5700,179593,0.0000,1.0000
2019-06-26,21.2200,21.4300,21.0900,21.1000,21.1000,208460,0.0000,1.0000
2019-06-25,21.3500,21.3900,21.1700,21.3100,21.3100,64657,0.0000,1.0000
2019-06-24,21.3700,21.8850,21.3700,21.3900,21.3900,106745,0.0000,1.0000
2019-06-21,21.6500,21.8100,21.4200,21.4600,21.4600,232718,0.0000,1.0000
2019-06-20,21.9900,22.0500,21.6500,21.7700,21.7700,133093,0.0000,1.0000
2019-06-19,22.1800,22.1900,21.7700,21.8400,21.8400,127978,0.0000,1.0000
2019-06-18,21.8200,22.1100,21.8200,21.9600,21.9600,80635,0.0000,1.0000
2019-06-17,21.9800,22.0500,21.7700,21.7800,21.7800,69062,0.0000,1.0000
2019-06-14,21.8100,22.1100,21.7500,21.9700,21.9700,78630,0.0000,1.0000
2019-06-13,21.8800,22.1400,21.6600,21.9400,21.9400,114989,0.0000,1.0000
2019-06-12,21.5300,21.9000,21.5300,21.7600,21.7600,78204,0.0000,1.0000
2019-06-11,21.7500,21.9700,21.6500,21.7700,21.7700,64872,0.0000,1.0000
2019-06-10,21.6000,22.0500,21.1800,21.7900,21.7900,97009,0.0000,1.0000
2019-06-07,21.5100,21.7000,21.4600,21.4700,21.4700,57403,0.0000,1.0000
2019-06-06,21.4400,21.6500,21.3000,21.5300,21.5300,79088,0.0000,1.0000
2019-06-05,21.6100,21.6700,21.3500,21.5200,21.5200,67773,0.0000,1.0000
2019-06-04,21.4100,21.6200,21.3475,21.6200,21.6200,104711,0.0000,1.0000
2019-06-03,21.0900,21.4300,20.9900,21.2000,21.2000,78604,0.0000,1.0000
2019-05-31,21.0400,21.2000,20.9400,21.1500,21.1500,112840,0.0000,1.0000
2019-05-30,21.6700,21.7600,21.0900,21.3000,21.3000,70340,0.0000,1.0000
2019-05-29,21.4000,21.7250,21.2900,21.6000,21.6000,130286,0.0000,1.0000
2019-05-28,21.7400,21.7650,21.5100,21.5400,21.5400,91839,0.0000,1.0000
2019-05-24,21.6100,21.8700,21.5900,21.8200,21.8200,41096,0.0000,1.0000
2019-05-23,21.5900,21.7100,21.3400,21.4200,21.4200,122715,0.0000,1.0000
2019-05-22,21.6200,21.7600,21.4200,21.7000,21.7000,356448,0.0000,1.0000
2019-05-21,21.5700,21.7700,21.5700,21.6700,21.6700,106932,0.0000,1.0000
2019-05-20,21.4300,21.6600,21.4100,21.4700,21.4700,728527,0.0000,1.0000
2019-05-17,21.5400,21.8900,21.3500,21.5400,21.5400,81942,0.0000,1.0000
2019-05-16,21.5200,21.7700,21.5200,21.6900,21.6900,80795,0.0000,1.0000
2019-05-15,21.3700,21.4400,21.1450,21.4200,21.4200,84539,0.0000,1.0000
2019-05-14,21.1100,21.6100,21.0700,21.5000,21.5000,80765,0.0000,1.0000
2019-05-13,21.3500,21.4050,21.0900,21.1200,21.1200,97844,0.0000,1.0000
2019-05-10,21.4600,21.6300,21.2500,21.6200,21.6200,78679,0.0000,1.0000
2019-05-09,21.2900,21.6400,21.1900,21.5700,21.5700,84605,0.0000,1.0000
2019-05-08,21.4700,21.5600,21.3400,21.4000,21.4000,63473,0.0000,1.0000
2019-05-07,21.6500,21.7000,21.4100,21.5000,21.5000,67321,0.0000,1.0000
2019-05-06,21.5600,21.9050,21.5600,21.8400,21.8400,79584,0.0000,1.0000
2019-05-03,21.5100,21.9700,21.3700,21.8800,21.8800,111728,0.1800,1.0000
2019-05-02,21.5100,21.7000,21.4200,21.5500,21.3742,77569,0.0000,1.0000
2019-05-01,21.5400,21.6600,21.2750,21.4500,21.2750,76574,0.0000,1.0000
2019-04-30,21.6300,21.6700,21.3500,21.5300,21.3543,112088,0.0000,1.0000
2019-04-29,21.4100,21.8600,21.4100,21.6600,21.4833,79976,0.0000,1.0000
2019-04-26,21.0600,21.4400,20.9000,21.3800,21.2055,84202,0.0000,1.0000
2019-04-25,21.2300,21.3700,20.9600,21.1900,21.0171,127630,0.0000,1.0000
2019-04-24,21.3400,21.4000,20.9700,21.3000,21.1262,212116,0.0000,1.0000
2019-04-23,20.6500,21.4100,20.6500,21.3600,21.1857,112369,0.0000,1.0000
2019-04-22,21.6000,22.1200,20.6000,20.7000,20.5311,198858,0.0000,1.0000
2019-04-18,22.2000,22.2800,21.8200,21.9900,21.8106,78327,0.0000,1.0000
2019-04-17,22.3900,22.3900,22.1000,22.3200,22.1379,47286,0.0000,1.0000
2019-04-16,22.1000,22.3600,22.0500,22.3100,22.1280,38537,0.0000,1.0000
2019-04-15,22.3000,22.3100,21.9850,22.1200,21.9395,48333,0.0000,1.0000
2019-04-12,22.3000,22.4200,22.0400,22.3100,22.1280,48890,0.0000,1.0000
2019-04-11,22.1500,22.3400,22.0500,22.0900,21.9098,45879,0.0000,1.0000
2019-04-10,21.8600,22.1500,21.7000,22.1400,21.9593,50243,0.0000,1.0000
2019-04-09,22.0500,22.1000,21.8400,21.8700,21.6916,54528,0.0000,1.0000
2019-04-08,22.1100,22.2600,22.0200,22.1600,21.9792,46390,0.0000,1.0000
2019-04-05,22.0200,22.1900,21.8800,22.1800,21.9990,67039,0.0000,1.0000
2019-04-04,21.8400,22.0200,21.6950,22.0100,21.8304,105843,0.0000,1.0000
2019-04-03,22.0200,22.1600,21.7700,21.8300,21.6519,176638,0.0000,1.0000
2019-04-02,21.7600,21.9100,21.5800,21.8300,21.6519,71991,0.0000,1.0000
2019-04-01,21.6300,21.9600,21.6000,21.8600,21.6816,124836,0.0000,1.0000
2019-03-29,21.5500,21.6100,21.2400,21.5000,21.3246,360520,0.0000,1.0000
2019-03-28,21.1500,21.4600,21.1350,21.3800,21.2055,97925,0.0000,1.0000
2019-03-27,21.2200,21.3400,20.9700,21.2000,21.0270,177310,0.0000,1.0000
2019-03-26,20.8400,21.2300,20.8400,21.2200,21.0469,103845,0.0000,1.0000
2019-03-25,20.5300,20.7850,20.4000,20.6600,20.4914,186629,0.0000,1.0000
2019-03-22,21.5100,21.7000,20.4700,20.5200,20.3526,170998,0.0000,1.0000
2019-03-21,21.8000,22.1800,21.7100,21.7200,21.5428,123620,0.0000,1.0000
2019-03-20,22.3200,22.4100,21.8800,21.8900,21.7114,119508,0.0000,1.0000
2019-03-19,23.1500,23.1500,22.3300,22.3600,22.1776,86822,0.0000,1.0000
2019-03-18,22.9700,23.2900,22.9600,23.0800,22.8917,83603,0.0000,1.0000
2019-03-15,22.9800,23.1500,22.8500,22.9800,22.7925,294647,0.0000,1.0000
2019-03-14,23.1300,23.1600,22.9700,22.9700,22.7826,81956,0.0000,1.0000
2019-03-13,23.1600,23.2800,23.0600,23.1300,22.9413,78699,0.0000,1.0000
2019-03-12,23.3500,23.3500,23.0400,23.0900,22.9016,112818,0.0000,1.0000
2019-03-11,23.1400,23.4600,23.0250,23.3600,23.1694,95338,0.0000,1.0000
2019-03-08,22.9000,23.2800,22.9000,23.1300,22.9413,173476,0.0000,1.0000
2019-03-07,23.1000,23.1100,22.8500,23.0300,22.8421,225336,0.0000,1.0000
2019-03-06,23.0700,23.2100,22.8800,23.1800,22.9909,360949,0.0000,1.0000
2019-03-05,23.1800,23.1900,22.9200,23.1500,22.9611,48054,0.0000,1.0000
2019-03-04,23.3700,23.4700,23.1000,23.2500,23.0603,62879,0.0000,1.0000
2019-03-01,23.3700,23.4200,23.0900,23.3800,23.1892,66798,0.0000,1.0000
2019-02-28,23.2700,23.3500,23.1300,23.2500,23.0603,105594,0.0000,1.0000
2019-02-27,23.1400,23.3100,23.0200,23.2600,23.0702,49185,0.0000,1.0000
2019-02-26,23.2400,23.3050,23.0800,23.1500,22.9611,60119,0.0000,1.0000
2019-02-25,23.4200,23.6400,23.1900,23.3100,23.1198,100177,0.0000,1.0000
2019-02-22,23.2300,23.3100,23.1500,23.2900,23.1000,51456,0.0000,1.0000
2019-02-21,22.9900,23.2900,22.9900,23.2700,23.0801,36587,0.0000,1.0000
2019-02-20,23.0900,23.3500,22.9700,23.3100,23.1198,61127,0.0000,1.0000
2019-02-19,22.7900,23.1600,22.7100,23.1000,22.9115,73197,0.0000,1.0000
2019-02-15,22.4200,22.9600,22.4200,22.9000,22.7131,132435,0.0000,1.0000
2019-02-14,22.2800,22.4800,22.2000,22.3000,22.1180,75586,0.0000,1.0000
2019-02-13,22.2400,22.4700,22.2400,22.4000,22.2172,179602,0.0000,1.0000
2019-02-12,22.3000,22.4700,22.2000,22.2700,22.0883,165543,0.0000,1.0000
2019-02-11,22.1200,22.2200,21.9650,22.1900,22.0089,96787,0.0000,1.0000
2019-02-08,22.2500,22.2800,22.0500,22.1300,21.9494,73432,0.0000,1.0000
2019-02-07,22.3000,22.5100,22.0700,22.2500,22.0684,86142,0.0000,1.0000
2019-02-06,21.9500,22.2300,21.9500,22.2000,22.0189,49962,0.0000,1.0000
2019-02-05,22.3300,22.3300,22.0000,22.0800,21.8998,115285,0.0000,1.0000
2019-02-04,22.2300,22.3200,22.0000,22.2900,22.1081,61009,0.1800,1.0000
2019-02-01,22.2600,22.3200,22.1300,22.2900,21.9310,65683,0.0000,1.0000
2019-01-31,22.1100,22.2500,21.9600,22.1600,21.8031,106387,0.0000,1.0000
2019-01-30,21.9300,22.3000,21.9300,22.1800,21.8228,81904,0.0000,1.0000
2019-01-29,21.6700,22.4600,20.7150,22.0200,21.6654,178551,0.0000,1.0000
2019-01-28,22.4000,22.6900,22.1576,22.4100,22.0491,79128,0.0000,1.0000
2019-01-25,22.3400,22.6600,22.3400,22.4800,22.1180,122903,0.0000,1.0000
2019-01-24,22.3025,22.4200,22.1499,22.2700,21.9113,225252,0.0000,1.0000
2019-01-23,22.6500,22.7100,22.3196,22.4500,22.0884,79901,0.0000,1.0000
2019-01-22,22.8000,23.2200,22.4500,22.4900,22.1278,142800,0.0000,1.0000
2019-01-18,22.9400,22.9500,22.7600,22.8000,22.4328,91512,0.0000,1.0000
2019-01-17,22.8200,23.0400,22.7900,22.9200,22.5509,139606,0.0000,1.0000
2019-01-16,22.6200,22.9900,22.6000,22.9700,22.6001,98587,0.0000,1.0000
2019-01-15,22.3500,22.5700,22.2300,22.5500,22.1868,51653,0.0000,1.0000
2019-01-14,22.4800,22.7300,22.3900,22.3900,22.0294,66362,0.0000,1.0000
2019-01-11,22.4300,22.6900,22.2700,22.6400,22.2754,102303,0.0000,1.0000
2019-01-10,22.5000,22.7400,22.2900,22.5700,22.2065,123482,0.0000,1.0000
2019-01-09,22.5300,22.6700,22.2500,22.6100,22.2459,87959,0.0000,1.0000
2019-01-08,22.1800,22.4000,22.0000,22.4000,22.0393,99674,0.0000,1.0000
2019-01-07,21.8800,22.1400,21.8500,22.0800,21.7244,97053,0.0000,1.0000
2019-01-04,21.6500,22.0500,21.5100,21.9900,21.6359,77105,0.0000,1.0000
2019-01-03,21.2500,21.6200,21.1800,21.4300,21.0849,128700,0.0000,1.0000
2019-01-02,20.7800,21.3700,20.7800,21.3600,21.0160,96409,0.0000,1.0000
2018-12-31,21.0200,21.3300,20.7600,21.0200,20.6815,77172,0.0000,1.0000
2018-12-28,20.6500,21.1050,20.6000,21.0100,20.6716,101076,0.0000,1.0000
2018-12-27,20.8500,21.2100,20.1800,20.5900,20.2584,161521,0.0000,1.0000
2018-12-26,20.4600,21.2300,20.2800,21.1400,20.7995,169776,0.0000,1.0000
2018-12-24,20.5000,20.9375,20.3500,20.3900,20.0616,73449,0.0000,1.0000
2018-12-21,20.6100,21.0000,20.5500,20.6600,20.3273,396102,0.0000,1.0000
2018-12-20,20.4800,20.6900,20.3300,20.5700,20.2387,186562,0.0000,1.0000
2018-12-19,20.9500,21.4800,20.4350,20.5300,20.1994,335546,0.0000,1.0000
2018-12-18,20.7500,20.9800,20.5300,20.9300,20.5929,203465,0.0000,1.0000
2018-12-17,20.6500,21.1400,20.5300,20.6400,20.3076,114283,0.0000,1.0000
2018-12-14,20.7900,21.2100,20.7900,20.8600,20.5241,98168,0.0000,1.0000
2018-12-13,21.4800,21.4800,20.9000,20.9200,20.5831,115748,0.0000,1.0000
2018-12-12,21.4200,21.7800,21.0300,21.4400,21.0947,113449,0.0000,1.0000
2018-12-11,21.6000,21.6000,21.1400,21.2900,20.9471,120654,0.0000,1.0000
2018-12-10,21.4000,21.4000,20.9200,21.3100,20.9668,107323,0.0000,1.0000
2018-12-07,21.3600,21.6550,21.2150,21.3900,21.0455,125304,0.0000,1.0000
2018-12-06,20.7000,21.3500,20.7000,21.3500,21.0062,210847,0.0000,1.0000
2018-12-04,22.5800,22.6500,21.0700,21.0900,20.7503,159392,0.0000,1.0000
2018-12-03,23.1500,23.1500,22.2500,22.6800,22.3147,284255,0.0000,1.0000
2018-11-30,22.6900,23.0200,22.6900,22.9800,22.6099,68330,0.0000,1.0000
2018-11-29,22.7700,22.8600,22.5175,22.6800,22.3147,62719,0.0000,1.0000
2018-11-28,22.5700,23.0100,22.3300,22.9500,22.5804,95599,0.0000,1.0000
2018-11-27,22.5500,22.7600,22.4550,22.5600,22.1967,97003,0.0000,1.0000
