timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-31,2.6800,2.8450,2.6800,2.7000,2.7000,205149,0.0000,1.0000
2019-07-30,2.5900,2.7500,2.5000,2.6600,2.6600,448885,0.0000,1.0000
2019-07-29,2.5400,2.6500,2.4700,2.6000,2.6000,160233,0.0000,1.0000
2019-07-26,2.5900,2.6200,2.5100,2.5400,2.5400,119144,0.0000,1.0000
2019-07-25,2.5500,2.5900,2.4900,2.5800,2.5800,96496,0.0000,1.0000
2019-07-24,2.5100,2.5600,2.4800,2.5600,2.5600,117045,0.0000,1.0000
2019-07-23,2.5400,2.5900,2.4900,2.5000,2.5000,126843,0.0000,1.0000
2019-07-22,2.5400,2.6500,2.4900,2.5400,2.5400,160740,0.0000,1.0000
2019-07-19,2.5900,2.6100,2.5200,2.5200,2.5200,52762,0.0000,1.0000
2019-07-18,2.5700,2.6414,2.5300,2.5900,2.5900,798096,0.0000,1.0000
2019-07-17,2.6000,2.6500,2.5300,2.6100,2.6100,105045,0.0000,1.0000
2019-07-16,2.4800,2.6000,2.4700,2.5900,2.5900,110698,0.0000,1.0000
2019-07-15,2.5400,2.5496,2.4500,2.4900,2.4900,175545,0.0000,1.0000
2019-07-12,2.5000,2.5500,2.4600,2.5400,2.5400,165902,0.0000,1.0000
2019-07-11,2.5700,2.5700,2.4700,2.5300,2.5300,210955,0.0000,1.0000
2019-07-10,2.5400,2.5800,2.4700,2.5500,2.5500,201778,0.0000,1.0000
2019-07-09,2.5700,2.6000,2.5000,2.5200,2.5200,224548,0.0000,1.0000
2019-07-08,2.6200,2.6500,2.5500,2.5800,2.5800,222747,0.0000,1.0000
2019-07-05,2.5700,2.6500,2.5700,2.6100,2.6100,127142,0.0000,1.0000
2019-07-03,2.6400,2.6400,2.5700,2.6000,2.6000,66003,0.0000,1.0000
2019-07-02,2.6100,2.6828,2.5500,2.6300,2.6300,187946,0.0000,1.0000
2019-07-01,2.7300,2.7600,2.6000,2.6100,2.6100,263466,0.0000,1.0000
2019-06-28,2.6300,2.7500,2.6000,2.6700,2.6700,2160695,0.0000,1.0000
2019-06-27,2.5500,2.7300,2.5425,2.6400,2.6400,209758,0.0000,1.0000
2019-06-26,2.7200,2.7200,2.5500,2.5800,2.5800,247040,0.0000,1.0000
2019-06-25,2.6800,2.8000,2.6700,2.6900,2.6900,186945,0.0000,1.0000
2019-06-24,2.7600,2.7800,2.6600,2.7000,2.7000,121166,0.0000,1.0000
2019-06-21,2.7600,2.8200,2.6300,2.7500,2.7500,213396,0.0000,1.0000
2019-06-20,2.9000,2.9300,2.6500,2.7700,2.7700,228532,0.0000,1.0000
2019-06-19,2.9800,2.9917,2.8300,2.8600,2.8600,183412,0.0000,1.0000
2019-06-18,2.9000,3.0200,2.8800,2.9600,2.9600,255662,0.0000,1.0000
2019-06-17,2.8800,3.0400,2.7800,2.9500,2.9500,294743,0.0000,1.0000
2019-06-14,2.9900,2.9950,2.8300,2.8400,2.8400,136844,0.0000,1.0000
2019-06-13,2.9500,3.0000,2.8250,2.9900,2.9900,197069,0.0000,1.0000
2019-06-12,2.8500,2.9246,2.7300,2.8800,2.8800,168695,0.0000,1.0000
2019-06-11,2.9000,3.0700,2.8300,2.8600,2.8600,448241,0.0000,1.0000
2019-06-10,2.6600,2.9450,2.6600,2.8800,2.8800,366331,0.0000,1.0000
2019-06-07,2.6300,2.6600,2.5200,2.6400,2.6400,287216,0.0000,1.0000
2019-06-06,2.6400,2.7200,2.5400,2.6300,2.6300,309500,0.0000,1.0000
2019-06-05,2.6000,2.7100,2.5700,2.6500,2.6500,304907,0.0000,1.0000
2019-06-04,2.5600,2.6000,2.4600,2.5700,2.5700,330440,0.0000,1.0000
2019-06-03,2.5800,2.6000,2.4500,2.5200,2.5200,287937,0.0000,1.0000
2019-05-31,2.5100,2.6300,2.4800,2.5400,2.5400,294509,0.0000,1.0000
2019-05-30,2.5700,2.6000,2.4900,2.5500,2.5500,241833,0.0000,1.0000
2019-05-29,2.4400,2.5900,2.3900,2.5600,2.5600,318105,0.0000,1.0000
2019-05-28,2.5700,2.6100,2.4500,2.4600,2.4600,334827,0.0000,1.0000
2019-05-24,2.6200,2.6900,2.4900,2.5700,2.5700,330455,0.0000,1.0000
2019-05-23,2.7600,2.7600,2.5600,2.6000,2.6000,313942,0.0000,1.0000
2019-05-22,2.8500,3.1700,2.7100,2.7900,2.7900,628524,0.0000,1.0000
2019-05-21,2.6200,2.9000,2.6200,2.8200,2.8200,460090,0.0000,1.0000
2019-05-20,2.4800,2.6900,2.4100,2.6100,2.6100,363933,0.0000,1.0000
2019-05-17,2.5000,2.6000,2.4700,2.5300,2.5300,275987,0.0000,1.0000
2019-05-16,2.6600,2.7100,2.4450,2.5200,2.5200,362955,0.0000,1.0000
2019-05-15,2.7700,2.8400,2.6100,2.6600,2.6600,349727,0.0000,1.0000
2019-05-14,3.1800,3.1800,2.7500,2.8200,2.8200,687639,0.0000,1.0000
2019-05-13,3.0900,3.2600,3.0202,3.1300,3.1300,314860,0.0000,1.0000
2019-05-10,3.2100,3.2933,3.0600,3.1800,3.1800,376665,0.0000,1.0000
2019-05-09,3.6200,3.6200,3.1000,3.2000,3.2000,468968,0.0000,1.0000
2019-05-08,3.3500,3.7300,3.3500,3.6000,3.6000,489448,0.0000,1.0000
2019-05-07,3.9200,3.9800,3.2500,3.3400,3.3400,955343,0.0000,1.0000
2019-05-06,3.5000,4.1900,3.4200,3.9700,3.9700,1250578,0.0000,1.0000
2019-05-03,3.0400,3.8700,3.0400,3.5700,3.5700,1701113,0.0000,1.0000
2019-05-02,2.9200,3.0800,2.8500,3.0600,3.0600,201348,0.0000,1.0000
2019-05-01,3.0000,3.0400,2.8400,2.9500,2.9500,287365,0.0000,1.0000
