timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-31,185.7600,187.3600,183.3450,184.3600,184.3600,65935,0.0000,1.0000
2019-07-30,182.7100,185.7800,182.5800,185.6800,185.6800,63309,0.0000,1.0000
2019-07-29,184.2000,184.8400,183.4609,183.9700,183.9700,84844,0.0000,1.0000
2019-07-26,183.2400,185.0145,182.9000,184.7400,184.7400,47070,0.0000,1.0000
2019-07-25,184.9900,184.9900,182.5477,182.6300,182.6300,89133,0.0000,1.0000
2019-07-24,181.8900,185.1500,181.7300,185.0500,185.0500,87986,0.0000,1.0000
2019-07-23,181.7600,182.3700,180.8200,182.3700,182.3700,67858,0.0000,1.0000
2019-07-22,181.2900,182.1200,180.7128,180.8500,180.8500,81950,0.0000,1.0000
2019-07-19,181.9700,182.8097,180.9800,181.0900,181.0900,83178,0.0000,1.0000
2019-07-18,180.7500,182.2000,180.6700,181.8200,181.8200,60086,0.0000,1.0000
2019-07-17,181.2600,182.0700,180.6600,181.1700,181.1700,205573,0.0000,1.0000
2019-07-16,181.9900,183.0100,181.5450,181.9400,181.9400,49327,0.0000,1.0000
2019-07-15,183.2600,183.4994,181.4700,181.9600,181.9600,61000,0.0000,1.0000
2019-07-12,181.9100,183.4318,181.6819,182.7300,182.7300,58674,0.0000,1.0000
2019-07-11,182.9500,182.9500,180.6793,181.5500,181.5500,75063,0.0000,1.0000
2019-07-10,182.8300,183.3112,181.6912,182.3300,182.3300,76258,0.0000,1.0000
2019-07-09,181.1200,181.8300,180.7800,181.7100,181.7100,83782,0.0000,1.0000
2019-07-08,183.3500,183.3500,181.5400,181.8400,181.8400,63275,0.0000,1.0000
2019-07-05,181.9300,183.7700,181.5700,183.6700,183.6700,66874,0.0000,1.0000
2019-07-03,182.5500,183.2400,182.0080,183.0300,183.0300,122339,0.0000,1.0000
2019-07-02,182.6300,182.8400,180.8346,181.8100,181.8100,67632,0.0000,1.0000
2019-07-01,184.4000,185.3800,182.2300,182.8500,182.8500,112958,0.0000,1.0000
2019-06-28,180.3800,182.9300,180.3800,182.4800,182.4800,127842,0.0000,1.0000
2019-06-27,177.0200,180.1600,177.0200,179.9900,179.9900,73790,0.0000,1.0000
2019-06-26,177.7500,178.4600,176.6201,176.7800,176.7800,53885,0.0000,1.0000
2019-06-25,178.3800,178.7938,177.0200,177.2400,177.2400,90096,0.0000,1.0000
2019-06-24,180.2600,180.5800,178.2500,178.3800,178.3800,83408,0.0000,1.0000
2019-06-21,181.6900,181.6900,179.8001,180.2600,180.2600,196409,0.0000,1.0000
2019-06-20,181.7300,182.4300,180.7000,181.6600,181.6600,70428,0.0000,1.0000
2019-06-19,179.1200,180.4700,179.1200,180.4600,180.4600,62393,0.0000,1.0000
2019-06-18,178.0500,180.7200,178.0500,179.4600,179.4600,73771,0.0000,1.0000
2019-06-17,177.1600,178.4000,177.1400,177.2400,177.2400,66529,0.4110,1.0000
2019-06-14,178.3800,178.7100,177.2600,177.3700,176.9597,38721,0.0000,1.0000
2019-06-13,178.3000,178.9181,177.6337,178.6700,178.2567,58980,0.0000,1.0000
2019-06-12,176.1900,177.4083,176.0400,177.2300,176.8200,68810,0.0000,1.0000
2019-06-11,179.2500,179.2700,176.2113,177.0200,176.6105,69698,0.0000,1.0000
2019-06-10,177.2900,179.4100,177.2900,178.0600,177.6481,53133,0.0000,1.0000
2019-06-07,175.7100,177.5545,175.7100,176.8200,176.4109,62967,0.0000,1.0000
2019-06-06,175.6900,175.9999,173.8000,175.5200,175.1140,96148,0.0000,1.0000
2019-06-05,176.1700,176.3600,174.2550,175.8800,175.4731,142900,0.0000,1.0000
2019-06-04,172.8000,175.8250,172.8000,175.6200,175.2137,84023,0.0000,1.0000
2019-06-03,170.8100,172.3172,170.2300,171.3500,170.9536,121346,0.0000,1.0000
2019-05-31,171.1000,171.5500,169.8300,170.6900,170.2951,225779,0.0000,1.0000
2019-05-30,173.3500,174.6762,172.0000,172.8500,172.4501,73180,0.0000,1.0000
2019-05-29,173.6400,173.6400,171.9238,173.0200,172.6197,113695,0.0000,1.0000
2019-05-28,175.8600,176.6838,174.4100,174.4100,174.0065,199381,0.0000,1.0000
2019-05-24,174.3100,175.5900,174.1000,175.4200,175.0142,45773,0.0000,1.0000
2019-05-23,175.1900,176.1000,172.6243,173.4300,173.0288,84586,0.0000,1.0000
