timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-30,0.7500,0.7500,0.7500,0.7500,0.7500,601,0.0000,1.0000
2019-07-26,0.6500,0.6500,0.6500,0.6500,0.6500,98,0.0000,1.0000
2019-07-17,0.6500,0.6500,0.6500,0.6500,0.6500,580,0.0000,1.0000
2019-07-15,0.5000,0.5000,0.4987,0.4987,0.4987,4870,0.0000,1.0000
2019-07-12,0.2701,0.7500,0.2701,0.7500,0.7500,3655,0.0000,1.0000
2019-07-11,0.6270,0.8100,0.6172,0.7300,0.7300,5896,0.0000,1.0000
2019-06-27,0.2200,0.2200,0.2200,0.2200,0.2200,130,0.0000,1.0000
2019-06-26,0.7100,0.8420,0.7100,0.8420,0.8420,200,0.0000,1.0000
2019-06-20,0.7300,0.7300,0.7200,0.7300,0.7300,530,0.0000,1.0000
2019-06-18,0.7414,0.7414,0.7414,0.7414,0.7414,2400,0.0000,1.0000
2019-06-14,0.7100,0.9200,0.7100,0.8900,0.8900,852,0.0000,1.0000
2019-06-13,0.9000,0.9005,0.8991,0.9000,0.9000,7654,0.0000,1.0000
2019-06-11,0.9000,0.9000,0.9000,0.9000,0.9000,19,0.0000,1.0000
2019-06-10,0.9000,0.9000,0.9000,0.9000,0.9000,3000,0.0000,1.0000
2019-06-07,0.9000,0.9500,0.9000,0.9000,0.9000,3100,0.0000,1.0000
2019-06-06,0.7100,1.0000,0.7100,0.8300,0.8300,7936,0.0000,1.0000
2019-06-05,0.8500,0.8500,0.8500,0.8500,0.8500,1000,0.0000,1.0000
2019-06-04,0.8589,0.8589,0.8589,0.8589,0.8589,500,0.0000,1.0000
2019-06-03,0.9000,0.9000,0.9000,0.9000,0.9000,10000,0.0000,1.0000
2019-05-31,0.8685,0.8700,0.8685,0.8700,0.8700,9500,0.0000,1.0000
2019-05-30,0.9101,0.9101,0.7100,0.7970,0.7970,18536,0.0000,1.0000
2019-05-29,0.5500,0.9001,0.5500,0.8700,0.8700,91261,0.0000,1.0000
2019-05-28,0.5700,0.5700,0.5700,0.5700,0.5700,582,0.0000,1.0000
2019-05-15,0.2027,0.5876,0.2027,0.5600,0.5600,7117,0.0000,1.0000
2019-05-07,0.6000,0.6000,0.6000,0.6000,0.6000,2000,0.0000,1.0000
2019-05-01,0.6601,0.6601,0.6601,0.6601,0.6601,26,0.0000,1.0000
2019-04-26,0.6601,0.6601,0.6601,0.6601,0.6601,210,0.0000,1.0000
2019-04-25,0.8800,0.8800,0.8800,0.8800,0.8800,238,0.0000,1.0000
