timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-31,7.2600,7.5451,7.2600,7.5451,7.5451,414,0.0000,1.0000
2019-07-30,7.1700,7.5500,7.1700,7.5500,7.5500,606,0.0000,1.0000
2019-07-29,7.0900,7.5600,7.0900,7.5600,7.5600,503,0.0000,1.0000
2019-07-26,7.5500,7.5500,6.3510,7.1665,7.1665,1338,0.0000,1.0000
2019-07-25,7.7000,7.7000,7.5375,7.6000,7.6000,430,0.0000,1.0000
2019-07-24,7.5000,7.9099,7.5000,7.5000,7.5000,4791,0.0000,1.0000
2019-07-23,7.7000,7.9950,7.5000,7.5124,7.5124,1650,0.0000,1.0000
2019-07-22,7.5500,7.5600,7.5000,7.5600,7.5600,1448,0.0000,1.0000
2019-07-19,8.1325,8.1325,7.7174,7.7174,7.7174,783,0.0000,1.0000
2019-07-18,7.5070,8.1800,7.5070,7.9225,7.9225,2995,0.0000,1.0000
2019-07-17,7.7000,8.1971,7.7000,7.9866,7.9866,1393,0.0000,1.0000
2019-07-16,7.6500,7.7852,7.5700,7.5700,7.5700,4947,0.0000,1.0000
2019-07-15,7.5602,7.9000,7.5602,7.8722,7.8722,978,0.0000,1.0000
2019-07-12,8.1000,8.2000,7.6667,8.0200,8.0200,1982,0.0000,1.0000
2019-07-11,7.9716,7.9716,7.9100,7.9100,7.9100,610,0.0000,1.0000
2019-07-10,8.1400,8.7775,7.9964,8.2700,8.2700,836,0.0000,1.0000
2019-07-09,8.1101,8.4718,7.7600,8.4718,8.4718,7796,0.0000,1.0000
2019-07-08,8.4400,8.4500,8.0124,8.3352,8.3352,3457,0.0000,1.0000
2019-07-05,8.8500,8.9800,8.1500,8.5400,8.5400,28142,0.0000,1.0000
2019-07-03,9.0253,9.0253,8.8500,8.8500,8.8500,689,0.0000,1.0000
2019-07-02,9.2300,9.4935,9.1900,9.4935,9.4935,638,0.0000,1.0000
2019-07-01,10.2600,10.2600,8.7500,9.0500,9.0500,6925,0.0000,1.0000
2019-06-28,9.1500,9.5400,8.4000,8.6750,8.6750,9819,0.0000,1.0000
2019-06-27,8.6001,9.6100,8.6001,9.3500,9.3500,1634,0.0000,1.0000
