timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-31,1.2300,1.2500,1.1900,1.1900,1.1900,92825,0.0000,1.0000
2019-07-30,1.2100,1.2400,1.2100,1.2200,1.2200,51430,0.0000,1.0000
2019-07-29,1.1900,1.2400,1.1700,1.1700,1.1700,77984,0.0000,1.0000
2019-07-26,1.1800,1.2300,1.1800,1.1800,1.1800,39720,0.0000,1.0000
2019-07-25,1.1800,1.2300,1.1700,1.1800,1.1800,60861,0.0000,1.0000
2019-07-24,1.1800,1.2100,1.1600,1.1900,1.1900,39031,0.0000,1.0000
2019-07-23,1.2500,1.2500,1.1541,1.2000,1.2000,169655,0.0000,1.0000
2019-07-22,1.1500,1.1800,1.1300,1.1300,1.1300,110998,0.0000,1.0000
2019-07-19,1.1700,1.2300,1.1500,1.1600,1.1600,81429,0.0000,1.0000
2019-07-18,1.1900,1.2200,1.1700,1.1700,1.1700,75607,0.0000,1.0000
2019-07-17,1.2300,1.2400,1.1700,1.1900,1.1900,90730,0.0000,1.0000
2019-07-16,1.1900,1.2700,1.1500,1.2400,1.2400,148873,0.0000,1.0000
2019-07-15,1.2200,1.2400,1.1500,1.1900,1.1900,196753,0.0000,1.0000
2019-07-12,1.2500,1.2700,1.1900,1.1900,1.1900,50174,0.0000,1.0000
2019-07-11,1.2800,1.3000,1.2250,1.2500,1.2500,106717,0.0000,1.0000
2019-07-10,1.2600,1.3000,1.2600,1.2906,1.2906,37431,0.0000,1.0000
2019-07-09,1.2400,1.2900,1.2400,1.2600,1.2600,35011,0.0000,1.0000
2019-07-08,1.2800,1.2900,1.2300,1.2400,1.2400,79969,0.0000,1.0000
2019-07-05,1.2700,1.3000,1.2700,1.2700,1.2700,21646,0.0000,1.0000
2019-07-03,1.2600,1.3000,1.2200,1.2500,1.2500,58078,0.0000,1.0000
2019-07-02,1.2700,1.2900,1.2495,1.2500,1.2500,107295,0.0000,1.0000
2019-07-01,1.2900,1.3300,1.2500,1.2700,1.2700,133987,0.0000,1.0000
2019-06-28,1.2500,1.3000,1.2200,1.3000,1.3000,135988,0.0000,1.0000
2019-06-27,1.2300,1.2600,1.2000,1.2100,1.2100,81179,0.0000,1.0000
2019-06-26,1.2700,1.2900,1.2200,1.2200,1.2200,204431,0.0000,1.0000
2019-06-25,1.3300,1.3300,1.2600,1.2600,1.2600,102489,0.0000,1.0000
2019-06-24,1.3300,1.3800,1.2800,1.3400,1.3400,79103,0.0000,1.0000
2019-06-21,1.3000,1.3800,1.3000,1.3100,1.3100,61967,0.0000,1.0000
2019-06-20,1.3000,1.3500,1.2800,1.2850,1.2850,70755,0.0000,1.0000
2019-06-19,1.3300,1.3300,1.2800,1.3000,1.3000,9156,0.0000,1.0000
2019-06-18,1.2700,1.3200,1.2700,1.3200,1.3200,51396,0.0000,1.0000
2019-06-17,1.3000,1.3394,1.2400,1.2500,1.2500,124965,0.0000,1.0000
2019-06-14,1.3300,1.3300,1.2900,1.2900,1.2900,27493,0.0000,1.0000
2019-06-13,1.3000,1.3420,1.2900,1.3300,1.3300,290602,0.0000,1.0000
2019-06-12,1.3000,1.3200,1.2900,1.3100,1.3100,88124,0.0000,1.0000
2019-06-11,1.3300,1.3500,1.2900,1.3000,1.3000,112948,0.0000,1.0000
2019-06-10,1.3600,1.3800,1.3100,1.3268,1.3268,94836,0.0000,1.0000
2019-06-07,1.3700,1.4100,1.3200,1.3700,1.3700,124370,0.0000,1.0000
2019-06-06,1.4000,1.4400,1.3400,1.3500,1.3500,45640,0.0000,1.0000
2019-06-05,1.4300,1.4800,1.4000,1.4100,1.4100,123088,0.0000,1.0000
2019-06-04,1.4500,1.4990,1.3700,1.4100,1.4100,110782,0.0000,1.0000
2019-06-03,1.3700,1.6500,1.3500,1.4500,1.4500,313336,0.0000,1.0000
2019-05-31,1.3200,1.4200,1.3200,1.3800,1.3800,174127,0.0000,1.0000
2019-05-30,1.3200,1.3700,1.3200,1.3200,1.3200,49308,0.0000,1.0000
2019-05-29,1.3200,1.3600,1.2800,1.3100,1.3100,203674,0.0000,1.0000
2019-05-28,1.3300,1.3800,1.3100,1.3200,1.3200,113595,0.0000,1.0000
2019-05-24,1.3400,1.3600,1.3100,1.3300,1.3300,189569,0.0000,1.0000
2019-05-23,1.3400,1.3500,1.3000,1.3400,1.3400,217125,0.0000,1.0000
2019-05-22,1.3600,1.3700,1.3200,1.3400,1.3400,141463,0.0000,1.0000
