timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-31,7.8500,8.2800,7.8500,7.9700,7.9700,3042,0.0000,1.0000
2019-07-30,7.8100,7.8100,7.8100,7.8100,7.8100,2,0.0000,1.0000
2019-07-29,7.8100,7.8100,7.8100,7.8100,7.8100,293,0.0000,1.0000
2019-07-26,8.7800,8.8000,7.7600,7.9000,7.9000,8900,0.0000,1.0000
2019-07-25,7.8500,8.3000,7.8500,8.3000,8.3000,3901,0.0000,1.0000
2019-07-24,8.0604,8.0604,8.0604,8.0604,8.0604,284,0.0000,1.0000
2019-07-23,8.3600,8.3600,8.0000,8.0000,8.0000,6221,0.0000,1.0000
2019-07-22,8.4031,8.6500,8.3000,8.3300,8.3300,16613,0.0000,1.0000
2019-07-19,8.4300,8.4300,8.2300,8.2300,8.2300,8410,0.0000,1.0000
2019-07-18,8.5100,8.5100,8.5100,8.5100,8.5100,657,0.0000,1.0000
2019-07-17,8.7170,8.7170,8.5100,8.5500,8.5500,7805,0.0000,1.0000
2019-07-16,8.7500,8.7500,8.6945,8.6945,8.6945,2465,0.0000,1.0000
2019-07-15,8.7000,8.7010,8.5100,8.5100,8.5100,1262,0.0000,1.0000
2019-07-12,8.7500,8.7500,8.7500,8.7500,8.7500,365,0.0000,1.0000
2019-07-11,8.9000,8.9000,8.9000,8.9000,8.9000,369,0.0000,1.0000
2019-07-10,8.9000,8.9000,8.8900,8.9000,8.9000,1571,0.0000,1.0000
2019-07-09,8.6100,8.8611,8.5800,8.8611,8.8611,2166,0.0000,1.0000
2019-07-08,8.6001,8.7744,8.6001,8.7744,8.7744,3139,0.0000,1.0000
2019-07-05,8.4101,8.4101,8.4101,8.4101,8.4101,190,0.0000,1.0000
2019-07-03,9.1000,9.1000,8.6777,8.9000,8.9000,916,0.0000,1.0000
2019-07-02,8.5200,8.6800,8.5200,8.6800,8.6800,622,0.0000,1.0000
2019-07-01,8.7100,8.7800,8.5800,8.7600,8.7600,903,0.0000,1.0000
2019-06-28,8.3000,8.3000,8.3000,8.3000,8.3000,248,0.0000,1.0000
2019-06-27,8.1000,8.1000,8.1000,8.1000,8.1000,109,0.0000,1.0000
2019-06-26,8.5700,8.5700,8.1000,8.1000,8.1000,418,0.0000,1.0000
2019-06-25,8.9000,8.9000,8.9000,8.9000,8.9000,208,0.0000,1.0000
2019-06-24,8.1101,8.9000,8.1101,8.9000,8.9000,2196,0.0000,1.0000
2019-06-21,8.8000,8.9000,8.4450,8.9000,8.9000,1800,0.0000,1.0000
2019-06-20,8.9000,8.9000,7.6700,8.6250,8.6250,574,0.0000,1.0000
2019-06-19,8.3600,8.5500,8.3600,8.5500,8.5500,937,0.0000,1.0000
2019-06-18,8.6300,8.9700,8.3600,8.3600,8.3600,3782,0.0000,1.0000
2019-06-17,8.3600,9.0500,8.3600,8.8500,8.8500,40422,0.0000,1.0000
2019-06-14,8.3479,8.3800,7.7800,8.3800,8.3800,3967,0.0000,1.0000
2019-06-13,7.2100,8.3300,7.2100,8.1400,8.1400,32372,0.0000,1.0000
2019-06-12,7.1938,7.1938,7.1938,7.1938,7.1938,6,0.0000,1.0000
2019-06-11,7.3000,7.3000,7.1938,7.1938,7.1938,1240,0.0000,1.0000
2019-06-10,7.5200,7.6000,7.3000,7.3000,7.3000,9898,0.0000,1.0000
2019-06-07,7.1900,8.1480,7.0100,8.1480,8.1480,7661,0.0000,1.0000
2019-06-06,7.0350,7.3100,7.0000,7.0000,7.0000,1085,0.0000,1.0000
2019-06-05,7.5000,7.5000,7.0200,7.0200,7.0200,2255,0.0000,1.0000
2019-06-04,7.6242,7.6242,7.4700,7.4700,7.4700,402,0.0000,1.0000
2019-06-03,7.5001,7.6900,7.4500,7.4500,7.4500,6075,0.0000,1.0000
2019-05-31,7.4500,7.6900,7.4500,7.6900,7.6900,1421,0.0000,1.0000
2019-05-30,7.5050,7.7000,7.4500,7.4700,7.4700,2789,0.0000,1.0000
2019-05-29,8.1200,8.2600,7.4300,7.5878,7.5878,9196,0.0000,1.0000
2019-05-28,8.1400,8.1400,7.7500,7.7500,7.7500,5253,0.0000,1.0000
2019-05-24,7.4500,7.8200,7.4100,7.8200,7.8200,5220,0.0000,1.0000
2019-05-23,7.8200,7.8227,7.7000,7.7000,7.7000,8430,0.0000,1.0000
2019-05-22,7.9100,7.9100,7.9100,7.9100,7.9100,0,0.0000,1.0000
2019-05-21,7.8600,7.9100,7.8100,7.9100,7.9100,511,0.0000,1.0000
2019-05-20,8.1100,8.1600,8.0801,8.0801,8.0801,5201,0.0000,1.0000
2019-05-17,7.8500,8.0800,7.8500,8.0800,8.0800,2603,0.0000,1.0000
2019-05-16,8.0950,8.0950,7.8100,7.9600,7.9600,311,0.0000,1.0000
2019-05-15,7.9400,8.3600,7.7700,7.9200,7.9200,22166,0.0000,1.0000
2019-05-14,7.7000,7.7100,7.7000,7.7000,7.7000,764,0.0000,1.0000
2019-05-13,7.4100,7.4100,7.4100,7.4100,7.4100,106,0.0000,1.0000
2019-05-10,7.6117,7.6400,7.6100,7.6400,7.6400,1103,0.0000,1.0000
2019-05-09,7.6000,7.6000,7.6000,7.6000,7.6000,160,0.0000,1.0000
2019-05-08,7.7200,7.7200,7.5700,7.5700,7.5700,512,0.0000,1.0000
2019-05-07,7.7000,7.9500,7.5700,7.7200,7.7200,4408,0.0000,1.0000
2019-05-06,7.6500,7.8000,7.6500,7.6500,7.6500,1081,0.0000,1.0000
2019-05-03,8.0800,8.0800,7.8700,7.8700,7.8700,1136,0.0000,1.0000
2019-05-02,7.5900,8.3600,7.5900,8.0800,8.0800,10268,0.0000,1.0000
2019-05-01,7.7500,7.7500,7.7500,7.7500,7.7500,182,0.0000,1.0000
2019-04-30,7.6883,7.6883,7.6883,7.6883,7.6883,52,0.0000,1.0000
2019-04-29,7.6883,7.6883,7.6883,7.6883,7.6883,756,0.0000,1.0000
2019-04-26,7.9900,7.9900,7.9900,7.9900,7.9900,38,0.0000,1.0000
2019-04-25,7.9900,7.9900,7.9900,7.9900,7.9900,112,0.0000,1.0000
2019-04-24,7.7127,7.9900,7.7127,7.9900,7.9900,1484,0.0000,1.0000
2019-04-23,7.6328,7.7500,7.6000,7.6500,7.6500,6884,0.0000,1.0000
2019-04-22,8.0000,8.0000,7.5900,7.5900,7.5900,1187,0.0000,1.0000
2019-04-18,7.5439,8.2500,7.5439,8.0246,8.0246,1549,0.0000,1.0000
2019-04-17,7.8500,8.1500,7.7500,8.0500,8.0500,4936,0.0000,1.0000
2019-04-16,8.2100,8.2557,6.9500,7.8500,7.8500,10239,0.0000,1.0000
2019-04-15,8.7300,8.7300,8.5000,8.6450,8.6450,1025,0.0000,1.0000
2019-04-12,8.9000,8.9500,8.3000,8.6700,8.6700,15992,0.0000,1.0000
2019-04-11,8.8000,8.8000,8.6500,8.7000,8.7000,947,0.0000,1.0000
2019-04-10,8.6500,8.7500,8.4200,8.6500,8.6500,2222,0.0000,1.0000
2019-04-09,8.8000,9.1500,8.6000,8.6200,8.6200,5251,0.0000,1.0000
2019-04-08,8.7300,9.2500,8.5000,9.0800,9.0800,16220,0.0000,1.0000
2019-04-05,9.0205,9.1500,8.6300,9.0800,9.0800,30129,0.0000,1.0000
2019-04-04,9.1562,9.3200,9.0200,9.2900,9.2900,22024,0.0000,1.0000
2019-04-03,9.1500,9.2000,8.9675,9.2000,9.2000,44976,0.0000,1.0000
2019-04-02,8.7459,9.1100,8.6160,9.0500,9.0500,10572,0.0000,1.0000
2019-04-01,8.7500,9.0000,8.5000,8.8500,8.8500,9280,0.0000,1.0000
2019-03-29,8.8000,9.2200,8.5500,8.5500,8.5500,7891,0.0000,1.0000
2019-03-28,8.7800,9.0000,8.3082,8.6000,8.6000,15734,0.0000,1.0000
2019-03-27,7.9100,9.1200,7.9100,8.9500,8.9500,70618,0.0000,1.0000
2019-03-26,7.9100,7.9100,7.9100,7.9100,7.9100,0,0.0000,1.0000
2019-03-25,8.0400,8.0400,7.9100,7.9100,7.9100,378,0.0000,1.0000
2019-03-22,8.0973,8.4600,8.0500,8.2100,8.2100,6173,0.0000,1.0000
2019-03-21,8.0160,8.2000,8.0160,8.1234,8.1234,4029,0.0000,1.0000
2019-03-20,8.1000,8.1000,8.0100,8.0100,8.0100,2957,0.0000,1.0000
2019-03-19,8.7033,8.7500,8.0000,8.0000,8.0000,18726,0.0000,1.0000
2019-03-18,8.1772,9.1900,7.7800,8.3500,8.3500,77955,0.0000,1.0000
2019-03-15,8.2027,8.2027,7.8500,7.9000,7.9000,3170,0.0000,1.0000
2019-03-14,8.0500,8.1500,8.0500,8.1500,8.1500,1146,0.0000,1.0000
2019-03-13,7.5500,8.7948,7.5500,8.0800,8.0800,71115,0.0000,1.0000
2019-03-12,7.6500,7.6500,7.6500,7.6500,7.6500,0,0.0000,1.0000
2019-03-11,7.5500,8.0121,7.5500,7.6500,7.6500,2886,0.0000,1.0000
2019-03-08,7.9000,8.4359,7.8800,7.9459,7.9459,2788,0.0000,1.0000
2019-03-07,8.0084,8.0300,7.6481,7.8000,7.8000,4621,0.0000,1.0000
2019-03-06,7.3200,8.4000,7.3200,8.0000,8.0000,30160,0.0000,1.0000
2019-03-05,7.1300,7.2300,7.1000,7.2300,7.2300,3322,0.0000,1.0000
2019-03-04,7.5200,7.5200,7.5200,7.5200,7.5200,37,0.0000,1.0000
2019-03-01,7.4804,7.5200,7.4804,7.5200,7.5200,330,0.0000,1.0000
2019-02-28,7.2300,7.2300,7.2300,7.2300,7.2300,103,0.0000,1.0000
2019-02-27,7.5401,7.5401,7.2300,7.2300,7.2300,513,0.0000,1.0000
2019-02-26,7.4000,7.4500,7.4000,7.4500,7.4500,618,0.0000,1.0000
2019-02-25,7.1456,7.6390,7.1456,7.4200,7.4200,4519,0.0000,1.0000
2019-02-22,7.5500,7.6500,7.1850,7.2300,7.2300,12728,0.0000,1.0000
2019-02-21,7.3100,7.5500,7.3100,7.5500,7.5500,2064,0.0000,1.0000
2019-02-20,7.3571,7.3571,7.0200,7.0200,7.0200,1144,0.0000,1.0000
2019-02-19,7.3150,7.3150,7.3000,7.3000,7.3000,288,0.0000,1.0000
2019-02-15,7.1500,7.4250,7.0134,7.1500,7.1500,17108,0.0000,1.0000
2019-02-14,7.1500,7.4700,7.1500,7.1500,7.1500,4337,0.0000,1.0000
2019-02-13,7.2000,7.4200,7.1500,7.4200,7.4200,4296,0.0000,1.0000
2019-02-12,7.1800,7.3600,7.1800,7.2000,7.2000,1407,0.0000,1.0000
2019-02-11,7.5000,7.5000,7.1700,7.2000,7.2000,1069,0.0000,1.0000
2019-02-08,7.5100,7.5100,7.5100,7.5100,7.5100,1056,0.0000,1.0000
2019-02-07,7.1900,7.2001,7.1900,7.2001,7.2001,728,0.0000,1.0000
2019-02-06,7.1638,7.1638,7.1638,7.1638,7.1638,14,0.0000,1.0000
2019-02-05,7.1700,7.5299,7.1500,7.1638,7.1638,4597,0.0000,1.0000
2019-02-04,7.1600,7.2000,7.1500,7.1500,7.1500,4961,0.0000,1.0000
2019-02-01,7.2035,7.5500,7.2035,7.5500,7.5500,1147,0.0000,1.0000
2019-01-31,7.5500,7.5500,7.5500,7.5500,7.5500,16,0.0000,1.0000
2019-01-30,7.5500,7.5500,7.5500,7.5500,7.5500,224,0.0000,1.0000
2019-01-29,7.4100,7.4414,7.4100,7.4414,7.4414,7005,0.0000,1.0000
2019-01-28,7.4500,7.4500,7.4000,7.4000,7.4000,408,0.0000,1.0000
2019-01-25,7.2700,7.5500,7.2700,7.4500,7.4500,3795,0.0000,1.0000
2019-01-24,7.1501,7.1501,7.1501,7.1501,7.1501,17,0.0000,1.0000
2019-01-23,7.1900,7.1900,7.1500,7.1501,7.1501,5236,0.0000,1.0000
2019-01-22,7.1600,7.1600,7.1600,7.1600,7.1600,278,0.0000,1.0000
2019-01-18,7.6300,7.9400,7.4500,7.5000,7.5000,5637,0.0000,1.0000
2019-01-17,7.9600,7.9600,7.0501,7.1500,7.1500,2041,0.0000,1.0000
2019-01-16,6.9113,6.9113,6.9113,6.9113,6.9113,91,0.0000,1.0000
2019-01-15,7.0406,7.0406,6.9113,6.9113,6.9113,534,0.0000,1.0000
2019-01-14,7.0161,7.0161,7.0000,7.0000,7.0000,926,0.0000,1.0000
2019-01-11,6.8500,7.0001,6.7300,6.7500,6.7500,8575,0.0000,1.0000
2019-01-10,6.9900,7.0399,6.8000,7.0067,7.0067,2915,0.0000,1.0000
2019-01-09,6.8000,7.1200,6.5520,6.7200,6.7200,10875,0.0000,1.0000
2019-01-08,7.0600,7.0600,6.2300,6.4600,6.4600,10382,0.0000,1.0000
2019-01-07,7.1100,7.1100,7.1100,7.1100,7.1100,90,0.0000,1.0000
2019-01-04,7.1100,7.1100,7.1100,7.1100,7.1100,88,0.0000,1.0000
2019-01-03,7.1100,7.1100,7.1100,7.1100,7.1100,100,0.0000,1.0000
2019-01-02,7.1100,7.1100,7.1100,7.1100,7.1100,587,0.0000,1.0000
