timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-31,0.4100,0.4819,0.0288,0.3900,0.3900,58102,0.0000,1.0000
2019-07-30,0.4900,0.5000,0.4900,0.5000,0.5000,74586,0.0000,1.0000
2019-07-26,0.5000,0.5000,0.5000,0.5000,0.5000,100,0.0000,1.0000
2019-07-25,0.5500,0.5500,0.4000,0.5000,0.5000,65780,0.0000,1.0000
2019-07-23,0.5500,0.5500,0.5400,0.5400,0.5400,2100,0.0000,1.0000
2019-07-22,0.5188,0.5300,0.4900,0.5300,0.5300,34291,0.0000,1.0000
2019-07-19,0.4500,0.4725,0.4500,0.4725,0.4725,2900,0.0000,1.0000
2019-07-18,0.5145,0.5145,0.4500,0.4500,0.4500,98113,0.0000,1.0000
2019-07-17,0.4900,0.4900,0.4900,0.4900,0.4900,5700,0.0000,1.0000
2019-07-16,0.4500,0.4725,0.4500,0.4725,0.4725,20600,0.0000,1.0000
2019-07-15,0.5200,0.5200,0.5200,0.5200,0.5200,431,0.0000,1.0000
2019-07-12,0.4200,0.4800,0.3700,0.4500,0.4500,307439,0.0000,1.0000
2019-07-11,0.5200,0.5200,0.3900,0.4000,0.4000,46271,0.0000,1.0000
2019-07-10,0.6500,0.6700,0.5102,0.5200,0.5200,215441,0.0000,1.0000
2019-07-09,0.6800,0.6800,0.5990,0.5990,0.5990,3760,0.0000,1.0000
2019-07-08,0.6600,0.7020,0.6500,0.6600,0.6600,183385,0.0000,1.0000
2019-07-05,0.6200,0.7836,0.5910,0.6300,0.6300,209570,0.0000,1.0000
2019-07-03,0.5800,0.6300,0.5100,0.6200,0.6200,89956,0.0000,1.0000
2019-07-02,0.4000,0.5000,0.4000,0.4500,0.4500,79110,0.0000,1.0000
2019-07-01,0.3900,0.3900,0.3610,0.3700,0.3700,86346,0.0000,1.0000
2019-06-28,0.3600,0.4000,0.3600,0.3800,0.3800,103675,0.0000,1.0000
2019-06-27,0.3400,0.3901,0.3400,0.3401,0.3401,68000,0.0000,1.0000
2019-06-26,0.3100,0.3400,0.3100,0.3400,0.3400,61066,0.0000,1.0000
2019-06-18,0.2800,0.2800,0.2800,0.2800,0.2800,186602,0.0000,1.0000
2019-06-17,0.2800,0.2800,0.2800,0.2800,0.2800,1000,0.0000,1.0000
2019-06-14,0.2800,0.2800,0.2800,0.2800,0.2800,500,0.0000,1.0000
2019-06-13,0.2800,0.2800,0.2800,0.2800,0.2800,500,0.0000,1.0000
2019-06-12,0.2700,0.2800,0.2600,0.2800,0.2800,14244,0.0000,1.0000
2019-06-11,0.2323,0.2884,0.2321,0.2872,0.2872,8500,0.0000,1.0000
2019-06-10,0.2415,0.2415,0.2300,0.2300,0.2300,50604,0.0000,1.0000
2019-06-06,0.2313,0.2317,0.2233,0.2300,0.2300,4697,0.0000,1.0000
2019-06-05,0.2313,0.2313,0.2313,0.2313,0.2313,150,0.0000,1.0000
2019-06-04,0.2010,0.2400,0.2010,0.2100,0.2100,74721,0.0000,1.0000
2019-06-03,0.2000,0.2400,0.2000,0.2200,0.2200,42600,0.0000,1.0000
2019-05-31,0.2000,0.2000,0.1900,0.2000,0.2000,51600,0.0000,1.0000
2019-05-30,0.2000,0.2000,0.2000,0.2000,0.2000,100,0.0000,1.0000
2019-05-29,0.2000,0.2000,0.2000,0.2000,0.2000,300,0.0000,1.0000
2019-05-28,0.2100,0.2199,0.2000,0.2050,0.2050,28100,0.0000,1.0000
2019-05-24,0.2010,0.2100,0.1994,0.1994,0.1994,84700,0.0000,1.0000
2019-05-23,0.2200,0.2200,0.2000,0.2000,0.2000,15100,0.0000,1.0000
2019-05-22,0.2400,0.2400,0.2200,0.2200,0.2200,5555,0.0000,1.0000
2019-05-21,0.2000,0.2000,0.2000,0.2000,0.2000,47100,0.0000,1.0000
2019-05-20,0.1900,0.2000,0.1900,0.2000,0.2000,37201,0.0000,1.0000
2019-05-17,0.1900,0.1900,0.1900,0.1900,0.1900,1000,0.0000,1.0000
2019-05-16,0.2000,0.2000,0.1800,0.1800,0.1800,510000,0.0000,1.0000
