timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-08-01,17.3100,17.4550,17.3100,17.4550,17.4550,1349,0.0000,1.0000
2019-07-31,17.8100,17.9000,17.2900,17.3400,17.3400,131685,0.0000,1.0000
2019-07-30,17.0900,17.8900,16.8700,17.8100,17.8100,151893,0.0000,1.0000
2019-07-29,17.5000,17.5611,17.1100,17.2400,17.2400,110749,0.0000,1.0000
2019-07-26,17.4000,17.6400,17.4000,17.5400,17.5400,112805,0.0000,1.0000
2019-07-25,17.5500,17.8800,17.3400,17.3500,17.3500,92884,0.0000,1.0000
2019-07-24,17.4000,17.5500,17.1300,17.5200,17.5200,156065,0.0000,1.0000
2019-07-23,17.4700,17.6300,17.3500,17.3900,17.3900,64190,0.0000,1.0000
2019-07-22,17.4700,17.5100,17.3000,17.4300,17.4300,76996,0.0000,1.0000
2019-07-19,17.5500,17.7500,17.4300,17.4600,17.4600,86815,0.0000,1.0000
2019-07-18,17.5100,17.6500,17.4400,17.6200,17.6200,107844,0.0000,1.0000
2019-07-17,17.6300,17.6300,17.1000,17.5200,17.5200,109322,0.0000,1.0000
2019-07-16,17.3600,17.7000,17.3200,17.5600,17.5600,59507,0.0000,1.0000
2019-07-15,17.5700,17.5700,17.2300,17.4000,17.4000,75239,0.0000,1.0000
2019-07-12,17.2700,17.5500,17.2300,17.5100,17.5100,72762,0.0000,1.0000
2019-07-11,17.4600,17.5800,17.1100,17.2000,17.2000,63477,0.0000,1.0000
2019-07-10,17.1000,17.4900,17.1000,17.4600,17.4600,95097,0.0000,1.0000
2019-07-09,17.0400,17.3400,16.8600,17.1600,17.1600,133406,0.0000,1.0000
2019-07-08,16.9700,17.1000,16.9200,17.0900,17.0900,51956,0.0000,1.0000
2019-07-05,16.8300,17.0200,16.7000,16.9700,16.9700,51700,0.0000,1.0000
2019-07-03,17.0000,17.1000,16.9300,17.0200,17.0200,33405,0.0000,1.0000
2019-07-02,17.2700,17.2700,16.7400,17.0000,17.0000,93601,0.0000,1.0000
2019-07-01,17.3000,17.4500,16.8500,17.1900,17.1900,350769,0.0000,1.0000
2019-06-28,16.8900,17.5600,16.8900,17.4300,17.4300,403565,0.0000,1.0000
2019-06-27,16.2500,16.9600,16.2400,16.9600,16.9600,169526,0.0000,1.0000
2019-06-26,16.4400,16.6300,16.0600,16.2400,16.2400,94389,0.0000,1.0000
2019-06-25,16.6000,16.6000,16.3400,16.4400,16.4400,87320,0.0000,1.0000
2019-06-24,16.8100,16.9250,16.5500,16.6200,16.6200,143847,0.0800,1.0000
2019-06-21,16.9800,17.0763,16.7800,16.8200,16.7394,190240,0.0000,1.0000
2019-06-20,16.9800,17.1900,16.8100,17.1200,17.0380,123267,0.0000,1.0000
2019-06-19,16.8300,16.8800,16.6000,16.7800,16.6996,67689,0.0000,1.0000
2019-06-18,16.6500,17.0000,16.6500,16.7500,16.6698,85924,0.0000,1.0000
2019-06-17,16.5100,16.6300,16.4200,16.6200,16.5404,73825,0.0000,1.0000
2019-06-14,16.7400,16.9300,16.4200,16.5500,16.4707,64729,0.0000,1.0000
2019-06-13,16.7500,16.8900,16.6700,16.7300,16.6499,374398,0.0000,1.0000
2019-06-12,16.3500,16.8200,16.2600,16.6600,16.5802,87183,0.0000,1.0000
2019-06-11,16.3200,16.3850,16.1400,16.3500,16.2717,77409,0.0000,1.0000
2019-06-10,16.2800,16.3400,16.0300,16.1500,16.0726,97216,0.0000,1.0000
2019-06-07,15.8400,16.1400,15.8400,16.1000,16.0229,54435,0.0000,1.0000
2019-06-06,15.9300,15.9300,15.5900,15.7400,15.6646,48455,0.0000,1.0000
2019-06-05,16.1200,16.1200,15.8600,15.9500,15.8736,52522,0.0000,1.0000
2019-06-04,15.9100,16.1700,15.8700,16.1600,16.0826,52855,0.0000,1.0000
2019-06-03,15.4400,15.8700,15.4400,15.7800,15.7044,88108,0.0000,1.0000
2019-05-31,15.2800,15.4600,14.9550,15.4400,15.3660,157654,0.0000,1.0000
2019-05-30,15.4900,15.5350,15.2600,15.4100,15.3362,120416,0.0000,1.0000
2019-05-29,15.7900,15.7900,15.2800,15.4200,15.3461,83266,0.0000,1.0000
2019-05-28,16.2200,16.3900,15.9100,15.9600,15.8835,120496,0.0000,1.0000
2019-05-24,16.3900,16.4000,16.0800,16.2300,16.1523,51817,0.0000,1.0000
2019-05-23,16.4300,16.4300,16.1700,16.2900,16.2120,79206,0.0000,1.0000
2019-05-22,16.3900,16.6400,16.3100,16.5300,16.4508,66946,0.0000,1.0000
2019-05-21,16.2400,16.5000,16.2200,16.4700,16.3911,60047,0.0000,1.0000
2019-05-20,16.3200,16.3200,16.0400,16.1700,16.0925,63088,0.0000,1.0000
