timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-08-01,1.2600,1.2600,1.2200,1.2200,1.2200,17326,0.0000,1.0000
2019-07-31,1.3300,1.3500,1.2600,1.2600,1.2600,241207,0.0000,1.0000
2019-07-30,1.3400,1.3700,1.3000,1.3400,1.3400,82909,0.0000,1.0000
2019-07-29,1.3800,1.4000,1.3200,1.3600,1.3600,66678,0.0000,1.0000
2019-07-26,1.4000,1.4030,1.3100,1.3800,1.3800,106641,0.0000,1.0000
2019-07-25,1.3600,1.4131,1.3600,1.4000,1.4000,80819,0.0000,1.0000
2019-07-24,1.3900,1.4200,1.3300,1.3900,1.3900,450876,0.0000,1.0000
2019-07-23,1.4000,1.4530,1.3800,1.3800,1.3800,138946,0.0000,1.0000
2019-07-22,1.4500,1.4700,1.3900,1.3900,1.3900,169543,0.0000,1.0000
2019-07-19,1.6500,1.7200,1.4100,1.4700,1.4700,394977,0.0000,1.0000
2019-07-18,1.5100,1.6000,1.4600,1.5400,1.5400,158908,0.0000,1.0000
2019-07-17,1.5000,1.5600,1.4900,1.5100,1.5100,143940,0.0000,1.0000
2019-07-16,1.5400,1.5800,1.4600,1.5100,1.5100,248787,0.0000,1.0000
2019-07-15,1.7300,1.7300,1.5000,1.5200,1.5200,204137,0.0000,1.0000
2019-07-12,1.6500,1.7900,1.6100,1.6100,1.6100,102003,0.0000,1.0000
2019-07-11,1.5700,1.7500,1.5700,1.6600,1.6600,93877,0.0000,1.0000
2019-07-10,1.6100,1.7000,1.5400,1.5500,1.5500,71215,0.0000,1.0000
2019-07-09,1.5500,1.6323,1.5500,1.6000,1.6000,44785,0.0000,1.0000
2019-07-08,1.6200,1.7100,1.5101,1.5700,1.5700,124306,0.0000,1.0000
2019-07-05,1.6900,1.8500,1.5872,1.6000,1.6000,238915,0.0000,1.0000
2019-07-03,1.6600,1.7199,1.6600,1.6600,1.6600,49189,0.0000,1.0000
2019-07-02,1.7000,1.7900,1.6300,1.6800,1.6800,114219,0.0000,1.0000
2019-07-01,1.7800,1.8114,1.6900,1.6900,1.6900,87537,0.0000,1.0000
