timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-08-01,16.3500,16.4200,16.3350,16.4200,16.4200,4397,0.0000,1.0000
2019-07-31,16.1600,16.5400,16.1000,16.3800,16.3800,294810,0.0000,1.0000
2019-07-30,16.0100,16.2150,16.0000,16.1700,16.1700,157848,0.0000,1.0000
2019-07-29,16.4700,16.6400,16.1200,16.1900,16.1900,116225,0.0000,1.0000
2019-07-26,16.0000,16.6000,15.9600,16.5700,16.5700,160024,0.0000,1.0000
2019-07-25,16.5000,16.6400,16.3800,16.4300,16.4300,86376,0.0000,1.0000
2019-07-24,15.8600,16.5000,15.8600,16.4900,16.4900,126026,0.0000,1.0000
2019-07-23,15.8300,15.9500,15.7600,15.9100,15.9100,102577,0.0000,1.0000
2019-07-22,15.9200,15.9250,15.6600,15.7700,15.7700,228669,0.0000,1.0000
2019-07-19,15.9600,16.0800,15.9350,16.0000,16.0000,115112,0.0000,1.0000
2019-07-18,16.0400,16.1550,15.9200,16.0200,16.0200,228688,0.0000,1.0000
2019-07-17,15.9400,16.0800,15.8750,16.0500,16.0500,106234,0.0000,1.0000
2019-07-16,16.0500,16.1600,16.0000,16.0500,16.0500,57365,0.0000,1.0000
2019-07-15,16.2700,16.2700,15.9900,16.0300,16.0300,76271,0.0000,1.0000
2019-07-12,16.2000,16.4200,16.1000,16.3200,16.3200,90108,0.0000,1.0000
2019-07-11,16.1000,16.2100,16.0000,16.1800,16.1800,91044,0.0000,1.0000
2019-07-10,16.1600,16.3100,16.0400,16.1300,16.1300,102041,0.0000,1.0000
2019-07-09,16.0700,16.2500,15.4000,16.2100,16.2100,291387,0.0000,1.0000
2019-07-08,16.2800,16.3700,16.1400,16.1800,16.1800,66467,0.0000,1.0000
2019-07-05,16.2000,16.4200,16.2000,16.4000,16.4000,69356,0.0000,1.0000
2019-07-03,16.0200,16.2000,16.0200,16.1800,16.1800,51880,0.0000,1.0000
2019-07-02,16.2600,16.2600,15.8400,15.9700,15.9700,96079,0.0000,1.0000
2019-07-01,16.2600,16.3300,16.1300,16.2500,16.2500,154431,0.0000,1.0000
2019-06-28,16.0100,16.3100,15.8200,16.1500,16.1500,999811,0.0000,1.0000
2019-06-27,15.7000,15.9800,15.3800,15.9800,15.9800,251924,0.0000,1.0000
2019-06-26,15.5100,15.8800,15.5100,15.7000,15.7000,121283,0.0000,1.0000
2019-06-25,15.4700,15.5900,15.3300,15.5000,15.5000,205516,0.0000,1.0000
2019-06-24,15.8400,15.9700,15.5200,15.5300,15.5300,108776,0.0000,1.0000
2019-06-21,15.4300,15.9400,15.4300,15.8500,15.8500,582382,0.0000,1.0000
