timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-31,4.6800,4.7800,4.4100,4.5900,4.5900,1103337,0.0000,1.0000
2019-07-30,5.0300,5.0650,4.6700,4.6800,4.6800,951592,0.0000,1.0000
2019-07-29,5.0200,5.1200,4.8400,5.0800,5.0800,1190659,0.0000,1.0000
2019-07-26,4.8800,5.0600,4.8300,5.0200,5.0200,669933,0.0000,1.0000
2019-07-25,5.2600,5.4200,4.7300,4.8700,4.8700,1101327,0.0000,1.0000
2019-07-24,4.6900,5.3100,4.5600,5.2800,5.2800,2557131,0.0000,1.0000
2019-07-23,5.0900,5.1300,4.6700,4.7200,4.7200,1454293,0.0000,1.0000
2019-07-22,5.2000,5.3800,5.0250,5.0700,5.0700,696700,0.0000,1.0000
2019-07-19,4.9800,5.3700,4.8900,5.2300,5.2300,872937,0.0000,1.0000
2019-07-18,5.1200,5.2000,4.8900,5.0000,5.0000,782033,0.0000,1.0000
2019-07-17,5.2300,5.3600,4.9300,5.1400,5.1400,1442784,0.0000,1.0000
2019-07-16,5.5400,5.5900,5.1600,5.2600,5.2600,1356735,0.0000,1.0000
2019-07-15,6.0000,6.0000,5.4100,5.5700,5.5700,1021407,0.0000,1.0000
2019-07-12,6.2800,6.3300,5.9400,6.0100,6.0100,690117,0.0000,1.0000
2019-07-11,6.3000,6.4900,6.2000,6.3100,6.3100,1232025,0.0000,1.0000
2019-07-10,6.1700,6.5000,6.1300,6.3300,6.3300,911064,0.0000,1.0000
2019-07-09,5.8800,6.1700,5.8600,6.1500,6.1500,637564,0.0000,1.0000
2019-07-08,6.1000,6.1200,5.8150,5.8700,5.8700,964275,0.0000,1.0000
2019-07-05,6.2600,6.3400,6.0300,6.1700,6.1700,731587,0.0000,1.0000
2019-07-03,6.3800,6.4000,6.1900,6.3000,6.3000,492814,0.0000,1.0000
2019-07-02,6.3300,6.4500,6.1100,6.4000,6.4000,558411,0.0000,1.0000
2019-07-01,6.3100,6.5500,6.3000,6.3500,6.3500,1143239,0.0000,1.0000
2019-06-28,5.9800,6.3400,5.9300,6.2900,6.2900,6893333,0.0000,1.0000
2019-06-27,6.2800,6.4200,5.8500,5.9800,5.9800,1011099,0.0000,1.0000
2019-06-26,6.0900,6.3800,6.0100,6.3000,6.3000,1105293,0.0000,1.0000
2019-06-25,5.8700,6.0718,5.7000,6.0300,6.0300,1065902,0.0000,1.0000
2019-06-24,5.7600,6.1900,5.7300,5.8600,5.8600,1245690,0.0000,1.0000
2019-06-21,5.9800,5.9800,5.3100,5.5200,5.5200,2680181,0.0000,1.0000
2019-06-20,6.1100,6.1800,5.9200,5.9800,5.9800,641393,0.0000,1.0000
2019-06-19,6.2700,6.4600,6.0500,6.1000,6.1000,644764,0.0000,1.0000
2019-06-18,6.4000,6.5500,6.1600,6.2400,6.2400,800294,0.0000,1.0000
2019-06-17,6.4400,6.6300,6.2300,6.3400,6.3400,741461,0.0000,1.0000
2019-06-14,6.6100,6.7500,6.2000,6.4300,6.4300,1519020,0.0000,1.0000
2019-06-13,6.1800,6.7600,6.0680,6.6500,6.6500,1393784,0.0000,1.0000
2019-06-12,6.2900,6.4000,5.9450,6.1500,6.1500,1130562,0.0000,1.0000
2019-06-11,6.2000,6.6500,6.0900,6.3000,6.3000,1818517,0.0000,1.0000
2019-06-10,6.0300,6.2400,5.9500,6.1100,6.1100,1072928,0.0000,1.0000
2019-06-07,5.8500,6.1100,5.6650,6.0400,6.0400,2278070,0.0000,1.0000
2019-06-06,6.3300,6.3813,5.5600,5.6800,5.6800,1542888,0.0000,1.0000
2019-06-05,6.6900,6.6900,6.0100,6.3200,6.3200,1343360,0.0000,1.0000
2019-06-04,6.5500,6.7400,6.5000,6.6500,6.6500,1144576,0.0000,1.0000
2019-06-03,7.0000,7.0400,6.5000,6.5400,6.5400,864214,0.0000,1.0000
2019-05-31,7.3400,7.3548,6.7900,7.0000,7.0000,1913783,0.0000,1.0000
2019-05-30,6.7300,7.0000,6.6400,6.7400,6.7400,938090,0.0000,1.0000
2019-05-29,7.2000,7.2000,6.5800,6.7900,6.7900,1275673,0.0000,1.0000
2019-05-28,7.3400,7.4450,7.0000,7.0800,7.0800,1355060,0.0000,1.0000
2019-05-24,7.3600,7.5900,6.8900,7.1200,7.1200,1191375,0.0000,1.0000
2019-05-23,7.1000,7.4400,6.9900,7.3300,7.3300,1573028,0.0000,1.0000
2019-05-22,6.9700,7.3500,6.8600,7.1800,7.1800,1208949,0.0000,1.0000
2019-05-21,7.0600,7.1001,6.7500,6.8500,6.8500,1226101,0.0000,1.0000
2019-05-20,7.4000,7.4500,6.9900,7.0100,7.0100,1485604,0.0000,1.0000
2019-05-17,7.5300,8.2200,7.4300,7.4500,7.4500,3439904,0.0000,1.0000
2019-05-16,8.1200,8.2600,7.2500,7.8100,7.8100,1604241,0.0000,1.0000
2019-05-15,8.2800,8.3600,7.9200,8.1400,8.1400,627647,0.0000,1.0000
2019-05-14,8.9800,9.0100,8.2100,8.3600,8.3600,1334418,0.0000,1.0000
2019-05-13,9.0300,9.0800,8.7400,8.9600,8.9600,850728,0.0000,1.0000
2019-05-10,8.9800,9.2500,8.9000,9.2100,9.2100,410423,0.0000,1.0000
2019-05-09,9.4600,9.9000,8.4018,9.0500,9.0500,1297996,0.0000,1.0000
2019-05-08,8.9200,9.3700,8.8300,9.0800,9.0800,588513,0.0000,1.0000
2019-05-07,9.1200,9.1700,8.7500,8.9400,8.9400,562250,0.0000,1.0000
2019-05-06,9.0200,9.2800,8.9500,9.2100,9.2100,250864,0.0000,1.0000
2019-05-03,9.0000,9.3500,8.9000,9.2100,9.2100,394209,0.0000,1.0000
2019-05-02,9.5200,9.5900,8.8100,8.9600,8.9600,626368,0.0000,1.0000
2019-05-01,9.7800,9.9000,9.2500,9.5200,9.5200,738071,0.0000,1.0000
2019-04-30,10.3200,10.4250,9.7000,9.7600,9.7600,585244,0.0000,1.0000
2019-04-29,10.5800,10.7000,10.3000,10.3500,10.3500,245834,0.0000,1.0000
2019-04-26,10.8000,10.9225,10.4400,10.5500,10.5500,351571,0.0000,1.0000
2019-04-25,10.5600,11.0000,10.5000,10.7900,10.7900,467215,0.0000,1.0000
2019-04-24,10.9800,11.0400,10.4700,10.5900,10.5900,357767,0.0000,1.0000
2019-04-23,10.9600,11.0900,10.7300,10.9600,10.9600,627823,0.0000,1.0000
2019-04-22,10.9400,11.0309,10.5900,10.9500,10.9500,474469,0.0000,1.0000
2019-04-18,11.1000,11.1000,10.0800,11.0000,11.0000,2378796,0.0000,1.0000
2019-04-17,11.1400,11.3400,10.9900,11.2000,11.2000,273143,0.0000,1.0000
2019-04-16,11.0000,11.1200,10.8700,11.0700,11.0700,364889,0.0000,1.0000
2019-04-15,11.1800,11.2000,10.9700,11.0000,11.0000,189540,0.0000,1.0000
2019-04-12,11.1800,11.2900,10.7800,11.2000,11.2000,276494,0.0000,1.0000
2019-04-11,11.3800,11.3800,11.1000,11.1100,11.1100,375851,0.0000,1.0000
2019-04-10,11.5000,11.9100,11.3700,11.4000,11.4000,318053,0.0000,1.0000
2019-04-09,11.7200,11.7900,11.3100,11.4900,11.4900,561838,0.0000,1.0000
2019-04-08,11.9800,12.3704,11.6500,11.8100,11.8100,238590,0.0000,1.0000
2019-04-05,12.4400,12.5600,11.8500,11.9900,11.9900,360241,0.0000,1.0000
2019-04-04,12.5600,12.7800,12.4000,12.4500,12.4500,232263,0.0000,1.0000
2019-04-03,12.3000,12.7999,12.2900,12.5600,12.5600,292333,0.0000,1.0000
2019-04-02,12.5400,12.9000,12.2300,12.2500,12.2500,414323,0.0000,1.0000
2019-04-01,12.3600,12.8250,12.2980,12.5500,12.5500,502556,0.0000,1.0000
2019-03-29,12.0200,12.3654,11.9900,12.2900,12.2900,836946,0.0000,1.0000
2019-03-28,11.9000,12.2700,11.8000,11.9900,11.9900,689450,0.0000,1.0000
2019-03-27,12.1100,12.2400,11.5700,11.9300,11.9300,725816,0.0000,1.0000
2019-03-26,12.6200,12.7400,12.0600,12.1200,12.1200,474459,0.0000,1.0000
2019-03-25,12.3000,12.6400,12.2800,12.5500,12.5500,353341,0.0000,1.0000
2019-03-22,12.6900,12.9900,11.8800,12.3300,12.3300,776368,0.0000,1.0000
2019-03-21,12.6300,13.1100,12.6300,12.7900,12.7900,376891,0.0000,1.0000
