timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-22,0.8200,0.8200,0.8200,0.8200,0.8200,2377,0.0000,1.0000
2019-07-16,0.8590,0.8590,0.8590,0.8590,0.8590,16666,0.0000,1.0000
2019-07-12,0.8590,0.8590,0.8590,0.8590,0.8590,100,0.0000,1.0000
2019-07-10,0.9000,0.9000,0.9000,0.9000,0.9000,22002,0.0000,1.0000
2019-07-05,0.7900,0.7900,0.7900,0.7900,0.7900,1000,0.0000,1.0000
2019-07-02,0.8000,0.8000,0.8000,0.8000,0.8000,100,0.0000,1.0000
2019-06-27,0.8500,0.8500,0.8500,0.8500,0.8500,100,0.0000,1.0000
2019-06-26,0.7500,0.7500,0.7500,0.7500,0.7500,41200,0.0000,1.0000
2019-06-20,0.8500,0.8500,0.8500,0.8500,0.8500,20000,0.0000,1.0000
2019-06-18,0.7500,0.8000,0.7400,0.8000,0.8000,108267,0.0000,1.0000
2019-06-12,0.7500,0.8000,0.7500,0.7500,0.7500,11000,0.0000,1.0000
2019-06-06,1.0000,1.0000,0.8250,0.8250,0.8250,7600,0.0000,1.0000
