timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-08-01,2.7100,2.7600,2.7100,2.7600,2.7600,28143,0.0000,1.0000
2019-07-31,2.6600,2.8500,2.6100,2.7100,2.7100,1871236,0.0000,1.0000
2019-07-30,2.4700,2.7650,2.4700,2.6500,2.6500,1644009,0.0000,1.0000
2019-07-29,2.5100,2.5500,2.4300,2.4700,2.4700,911476,0.0000,1.0000
2019-07-26,2.4200,2.5100,2.4100,2.4900,2.4900,956886,0.0000,1.0000
2019-07-25,2.3600,2.4500,2.3023,2.4000,2.4000,974364,0.0000,1.0000
2019-07-24,2.2200,2.3600,2.2000,2.3400,2.3400,854002,0.0000,1.0000
2019-07-23,2.2800,2.3000,2.2100,2.2100,2.2100,767909,0.0000,1.0000
2019-07-22,2.3400,2.3600,2.2600,2.2800,2.2800,943219,0.0000,1.0000
2019-07-19,2.4500,2.4500,2.3500,2.3600,2.3600,884243,0.0000,1.0000
2019-07-18,2.3600,2.6100,2.3300,2.4700,2.4700,4352992,0.0000,1.0000
2019-07-17,2.5700,2.7700,2.5600,2.7500,2.7500,1855519,0.0000,1.0000
2019-07-16,2.6000,2.6200,2.5800,2.5900,2.5900,842534,0.0000,1.0000
2019-07-15,2.5700,2.6250,2.5500,2.5900,2.5900,436899,0.0000,1.0000
2019-07-12,2.5200,2.5700,2.4900,2.5600,2.5600,641558,0.0000,1.0000
2019-07-11,2.5300,2.5700,2.4700,2.5000,2.5000,525317,0.0000,1.0000
2019-07-10,2.5100,2.5800,2.4700,2.5300,2.5300,575884,0.0000,1.0000
2019-07-09,2.5000,2.5150,2.4600,2.4800,2.4800,782674,0.0000,1.0000
2019-07-08,2.6200,2.6300,2.5100,2.5300,2.5300,561237,0.0000,1.0000
2019-07-05,2.6300,2.6400,2.5950,2.6200,2.6200,292415,0.0000,1.0000
2019-07-03,2.7000,2.7000,2.5900,2.5900,2.5900,400600,0.0000,1.0000
2019-07-02,2.8000,2.8100,2.6400,2.7200,2.7200,869365,0.0000,1.0000
2019-07-01,2.7600,2.8300,2.7500,2.8200,2.8200,814367,0.0000,1.0000
2019-06-28,2.7200,2.7600,2.6800,2.7000,2.7000,3190138,0.0000,1.0000
2019-06-27,2.6000,2.7000,2.5900,2.6900,2.6900,542094,0.0000,1.0000
2019-06-26,2.6700,2.7199,2.5800,2.6000,2.6000,1273137,0.0000,1.0000
2019-06-25,2.7600,2.8200,2.6700,2.6800,2.6800,527572,0.0000,1.0000
2019-06-24,2.8500,2.9298,2.7500,2.7500,2.7500,649544,0.0000,1.0000
2019-06-21,2.8500,2.8700,2.8150,2.8600,2.8600,823291,0.0000,1.0000
2019-06-20,2.9200,2.9300,2.8200,2.8400,2.8400,1260428,0.0000,1.0000
2019-06-19,2.8400,2.8700,2.7800,2.8600,2.8600,1727380,0.0000,1.0000
2019-06-18,2.8100,2.8400,2.7700,2.8100,2.8100,413137,0.0000,1.0000
2019-06-17,2.7800,2.8250,2.7600,2.7800,2.7800,487379,0.0000,1.0000
2019-06-14,2.8100,2.8300,2.7400,2.7700,2.7700,512504,0.0000,1.0000
2019-06-13,2.7800,2.8500,2.7250,2.8100,2.8100,711956,0.0000,1.0000
2019-06-12,2.8400,2.8400,2.7600,2.7600,2.7600,918000,0.0000,1.0000
2019-06-11,2.9300,2.9600,2.7500,2.8400,2.8400,1448476,0.0000,1.0000
2019-06-10,3.0800,3.1100,2.8900,2.9100,2.9100,1490084,0.0000,1.0000
2019-06-07,3.0200,3.1000,3.0100,3.0700,3.0700,1967077,0.0000,1.0000
2019-06-06,3.1200,3.1400,2.9750,3.0100,3.0100,1004047,0.0000,1.0000
2019-06-05,3.0800,3.1800,3.0800,3.1100,3.1100,1602549,0.0000,1.0000
2019-06-04,2.9800,3.0700,2.9800,3.0600,3.0600,1570904,0.0000,1.0000
2019-06-03,2.9800,3.0600,2.9500,2.9800,2.9800,2205185,0.0000,1.0000
2019-05-31,3.0500,3.0800,3.0100,3.0800,3.0800,525591,0.0000,1.0000
2019-05-30,3.1000,3.1500,3.0300,3.0900,3.0900,532301,0.0000,1.0000
2019-05-29,3.2500,3.2500,3.0800,3.1000,3.1000,1997145,0.0000,1.0000
2019-05-28,3.2000,3.3100,3.2000,3.2800,3.2800,1565243,0.0000,1.0000
2019-05-24,3.2300,3.2500,3.1800,3.2100,3.2100,688769,0.0000,1.0000
2019-05-23,3.0200,3.2400,3.0000,3.2300,3.2300,1722522,0.0000,1.0000
2019-05-22,2.9300,3.0800,2.9300,3.0600,3.0600,3234465,0.0000,1.0000
2019-05-21,2.9300,2.9700,2.9200,2.9400,2.9400,3114918,0.0000,1.0000
2019-05-20,2.9600,2.9650,2.8600,2.9200,2.9200,599518,0.0000,1.0000
2019-05-17,2.9700,3.0300,2.9460,3.0000,3.0000,499029,0.0000,1.0000
2019-05-16,2.8700,3.0100,2.8600,3.0000,3.0000,1377002,0.0000,1.0000
2019-05-15,2.8900,2.9200,2.8600,2.8700,2.8700,1709773,0.0000,1.0000
2019-05-14,2.8400,2.9900,2.8400,2.8900,2.8900,584725,0.0000,1.0000
2019-05-13,2.9000,2.9000,2.8000,2.8200,2.8200,484093,0.0000,1.0000
2019-05-10,2.9800,3.0100,2.9100,2.9500,2.9500,410135,0.0000,1.0000
2019-05-09,2.9500,3.0400,2.9201,3.0100,3.0100,283382,0.0000,1.0000
