timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-08-01,21.4400,21.4400,21.2500,21.2500,21.2500,1101,0.0000,1.0000
2019-07-31,21.5500,21.5673,21.5500,21.5673,21.5673,774,0.0000,1.0000
2019-07-30,21.3116,21.3116,21.3116,21.3116,21.3116,301,0.0000,1.0000
2019-07-29,21.1900,21.3673,21.1900,21.3116,21.3116,1877,0.0000,1.0000
2019-07-26,21.2401,21.4040,21.2401,21.3864,21.3864,1679,0.0000,1.0000
2019-07-25,21.1955,21.4100,21.1955,21.3500,21.3500,1100,0.0000,1.0000
2019-07-24,21.4900,21.5500,21.4900,21.5500,21.5500,684,0.0000,1.0000
2019-07-23,21.3900,21.4400,21.1201,21.4400,21.4400,1457,0.0000,1.0000
2019-07-22,21.3400,21.5200,21.2600,21.3500,21.3500,56292,0.0000,1.0000
2019-07-19,21.5000,21.6400,21.5000,21.5100,21.5100,949,0.0000,1.0000
2019-07-18,21.1000,21.3375,21.1000,21.2075,21.2075,1192,0.0000,1.0000
2019-07-17,21.3261,21.4100,21.3261,21.4100,21.4100,2439,0.0000,1.0000
2019-07-16,21.4400,21.4400,21.1920,21.1920,21.1920,1328,0.0000,1.0000
2019-07-15,21.1800,21.4450,21.1800,21.3600,21.3600,140194,0.0000,1.0000
2019-07-12,21.0901,21.3100,21.0901,21.3100,21.3100,914,0.0000,1.0000
2019-07-11,21.6100,21.6100,21.3700,21.4500,21.4500,2906,0.0000,1.0000
2019-07-10,21.5873,21.5873,21.5873,21.5873,21.5873,733,0.0000,1.0000
2019-07-09,21.3114,21.3175,21.3114,21.3175,21.3175,768,0.0000,1.0000
2019-07-08,21.4800,21.5964,21.2750,21.3800,21.3800,100441,0.0000,1.0000
2019-07-05,21.5600,21.7400,21.5283,21.5500,21.5500,7309,0.0000,1.0000
2019-07-03,21.6900,21.7866,21.6900,21.7382,21.7382,2735,0.0000,1.0000
2019-07-02,21.3900,21.6203,21.3900,21.5800,21.5800,4167,0.0000,1.0000
2019-07-01,21.6200,21.6800,21.5000,21.5225,21.5225,13782,0.0000,1.0000
2019-06-28,21.1400,21.2717,21.1400,21.2717,21.2717,687,0.0000,1.0000
2019-06-27,21.0635,21.1146,21.0635,21.1146,21.1146,2543,0.0529,1.0000
2019-06-26,21.2700,21.2700,20.9601,20.9800,20.9276,3853,0.0000,1.0000
2019-06-25,21.4200,21.5800,21.2735,21.2735,21.2204,2451,0.0000,1.0000
2019-06-24,21.6400,21.6800,21.3401,21.3401,21.2868,1230,0.0000,1.0000
2019-06-21,21.6400,21.6400,21.4500,21.5774,21.5235,3061,0.0000,1.0000
2019-06-20,21.6000,21.7900,21.6000,21.7900,21.7356,5104,0.0000,1.0000
2019-06-19,21.3501,21.5000,21.3501,21.4035,21.3500,4554,0.0000,1.0000
2019-06-18,21.2700,21.4620,21.2700,21.4500,21.3964,2587,0.0000,1.0000
2019-06-17,21.0400,21.2000,21.0400,21.1900,21.1371,2379,0.0000,1.0000
2019-06-14,20.7800,20.9344,20.7800,20.8901,20.8379,4588,0.0000,1.0000
2019-06-13,21.0402,21.0402,20.9300,20.9300,20.8777,15043,0.0000,1.0000
2019-06-12,20.8922,20.9800,20.8526,20.9800,20.9276,1571,0.0000,1.0000
2019-06-11,20.9300,20.9650,20.9300,20.9300,20.8777,495,0.0000,1.0000
2019-06-10,21.0400,21.0800,20.9955,21.0200,20.9675,2764,0.0000,1.0000
2019-06-07,20.6900,20.8378,20.6900,20.8378,20.7857,425,0.0000,1.0000
2019-06-06,20.5450,20.5450,20.5450,20.5450,20.4937,107,0.0000,1.0000
2019-06-05,20.5600,20.5600,20.5000,20.5450,20.4937,1212,0.0000,1.0000
2019-06-04,20.5100,20.5100,20.3619,20.4000,20.3490,23361,0.0000,1.0000
2019-06-03,20.2857,20.3709,20.2744,20.3709,20.3200,1224,0.0000,1.0000
2019-05-31,20.2000,20.2480,20.2000,20.2480,20.1974,543,0.0000,1.0000
2019-05-30,20.2001,20.2690,20.2000,20.2200,20.1695,2695,0.0000,1.0000
2019-05-29,20.4000,20.4000,20.4000,20.4000,20.3490,237,0.0000,1.0000
2019-05-28,20.7383,20.7383,20.6284,20.6284,20.5769,1046,0.0000,1.0000
2019-05-24,20.7000,20.7000,20.4800,20.4800,20.4288,744,0.0000,1.0000
2019-05-23,20.3700,20.4450,20.3300,20.3300,20.2792,1522,0.0000,1.0000
2019-05-22,20.5201,20.5201,20.5201,20.5201,20.4688,335,0.0000,1.0000
2019-05-21,20.4800,20.4800,20.3901,20.4700,20.4189,1615,0.0000,1.0000
2019-05-20,20.2101,20.3263,20.2101,20.3209,20.2701,370,0.0000,1.0000
2019-05-17,20.4655,20.5969,20.4655,20.5969,20.5454,938,0.0000,1.0000
2019-05-16,20.6000,20.7800,20.5028,20.5321,20.4808,2993,0.0000,1.0000
2019-05-15,20.4200,20.4466,20.4200,20.4466,20.3955,295,0.0000,1.0000
2019-05-14,20.3800,20.3800,20.3620,20.3620,20.3111,331,0.0000,1.0000
2019-05-13,20.3109,20.3109,20.0610,20.1700,20.1196,19323,0.0000,1.0000
2019-05-10,20.6000,20.6499,20.4400,20.6499,20.5983,2310,0.0000,1.0000
2019-05-09,20.4650,20.6817,20.4650,20.6817,20.6300,1625,0.0000,1.0000
2019-05-08,20.8239,20.8239,20.6757,20.6757,20.6241,1424,0.0000,1.0000
2019-05-07,20.7400,20.9342,20.7300,20.8300,20.7780,8571,0.0000,1.0000
2019-05-06,20.6100,21.0400,20.6100,20.9900,20.9376,2487,0.0000,1.0000
2019-05-03,20.8300,20.8500,20.8300,20.8500,20.7979,733,0.0000,1.0000
2019-05-02,20.6800,20.6800,20.6800,20.6800,20.6283,566,0.0000,1.0000
2019-05-01,20.6400,20.8142,20.5821,20.5821,20.5307,2891,0.0000,1.0000
2019-04-30,20.6769,20.6769,20.6769,20.6769,20.6252,554,0.0000,1.0000
2019-04-29,20.8600,20.8600,20.6450,20.6500,20.5984,1193,0.0000,1.0000
2019-04-26,20.5126,20.7043,20.5126,20.7043,20.6526,964,0.0000,1.0000
2019-04-25,20.4200,20.6250,20.4200,20.4400,20.3889,4877,0.0000,1.0000
