timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-08-01,6.2800,6.2800,6.2800,6.2800,6.2800,621,0.0000,1.0000
2019-07-31,6.4000,6.4200,6.2800,6.2800,6.2800,26220,0.0000,1.0000
2019-07-30,6.3400,6.4401,6.3400,6.3600,6.3600,14403,0.0000,1.0000
2019-07-29,6.3800,6.4500,6.3200,6.3900,6.3900,21004,0.0000,1.0000
2019-07-26,6.3200,6.4100,6.2900,6.2900,6.2900,14243,0.0000,1.0000
2019-07-25,6.2900,6.3100,6.2800,6.2900,6.2900,20372,0.0000,1.0000
2019-07-24,6.2800,6.2900,6.2800,6.2800,6.2800,9876,0.0000,1.0000
2019-07-23,6.3000,6.3000,6.2800,6.2835,6.2835,19888,0.0000,1.0000
2019-07-22,6.3000,6.3000,6.2800,6.2800,6.2800,16312,0.0000,1.0000
2019-07-19,6.2800,6.3050,6.2800,6.2850,6.2850,3755,0.0000,1.0000
2019-07-18,6.4400,6.4400,6.2800,6.3000,6.3000,33664,0.0000,1.0000
2019-07-17,6.3150,6.3799,6.3000,6.3500,6.3500,10532,0.0000,1.0000
2019-07-16,6.2800,6.3500,6.2000,6.2800,6.2800,39183,0.0000,1.0000
2019-07-15,6.2000,6.3114,6.2000,6.2400,6.2400,16529,0.0000,1.0000
2019-07-12,6.1700,6.3100,6.1700,6.2000,6.2000,22001,0.0000,1.0000
2019-07-11,6.3800,6.3800,6.1600,6.2000,6.2000,33755,0.0000,1.0000
2019-07-10,6.3300,6.3500,6.3000,6.3000,6.3000,36910,0.0000,1.0000
2019-07-09,6.6000,6.6000,6.2100,6.3000,6.3000,72100,0.1200,1.0000
2019-07-08,6.6300,6.7200,6.5500,6.7200,6.5944,108541,0.0000,1.0000
2019-07-05,6.4900,6.6084,6.4400,6.5600,6.4374,46263,0.0000,1.0000
2019-07-03,6.4642,6.5000,6.4400,6.4503,6.3297,12345,0.0000,1.0000
2019-07-02,6.3900,6.5000,6.3900,6.4250,6.3049,22422,0.0000,1.0000
2019-07-01,6.4000,6.5000,6.3900,6.4500,6.3294,31395,0.0000,1.0000
2019-06-28,6.3071,6.4000,6.2113,6.4000,6.2804,50521,0.0000,1.0000
2019-06-27,6.2800,6.3000,6.2800,6.3000,6.1822,11793,0.0000,1.0000
2019-06-26,6.1800,6.2800,6.1800,6.2600,6.1430,17897,0.0000,1.0000
2019-06-25,6.2700,6.2800,6.1800,6.2600,6.1430,21956,0.0000,1.0000
2019-06-24,6.2200,6.2799,6.2200,6.2400,6.1234,19008,0.0000,1.0000
2019-06-21,6.2300,6.2800,6.1800,6.2800,6.1626,17346,0.0000,1.0000
2019-06-20,6.1900,6.2200,6.1600,6.2002,6.0843,15201,0.0000,1.0000
2019-06-19,6.1000,6.2000,6.1000,6.1500,6.0350,10467,0.0000,1.0000
2019-06-18,6.1500,6.1800,6.0700,6.1700,6.0547,14417,0.0000,1.0000
2019-06-17,6.1500,6.1500,6.0803,6.1500,6.0350,11702,0.0000,1.0000
2019-06-14,6.1200,6.1300,6.0400,6.1300,6.0154,8982,0.0000,1.0000
2019-06-13,6.0200,6.1200,6.0100,6.0200,5.9075,11168,0.0000,1.0000
2019-06-12,6.0600,6.1199,6.0000,6.0700,5.9565,6673,0.0000,1.0000
2019-06-11,6.1000,6.1399,6.0500,6.1200,6.0056,4602,0.0000,1.0000
2019-06-10,6.1400,6.1400,6.0772,6.0903,5.9765,10916,0.0000,1.0000
2019-06-07,6.0400,6.1400,6.0400,6.0650,5.9516,6646,0.0000,1.0000
2019-06-06,6.0800,6.1395,6.0387,6.0500,5.9369,8038,0.0000,1.0000
2019-06-05,6.1500,6.1500,6.0000,6.1500,6.0350,6365,0.0000,1.0000
2019-06-04,6.0300,6.0300,5.9343,6.0000,5.8879,28791,0.0000,1.0000
2019-06-03,5.9800,6.0400,5.9100,6.0400,5.9271,22667,0.0000,1.0000
2019-05-31,5.9605,5.9999,5.9100,5.9400,5.8290,6725,0.0000,1.0000
2019-05-30,5.9300,6.0400,5.9300,5.9800,5.8682,8587,0.0000,1.0000
2019-05-29,6.0600,6.0890,5.9000,5.9200,5.8093,42172,0.0000,1.0000
