timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-08-02,5.1300,5.2350,5.0100,5.0500,5.0500,68499,0.0000,1.0000
2019-08-01,5.1900,5.2800,5.0100,5.1300,5.1300,124178,0.0000,1.0000
2019-07-31,5.2600,5.5230,5.1237,5.1500,5.1500,329567,0.0000,1.0000
2019-07-30,5.0600,5.2656,5.0600,5.2141,5.2141,191477,0.0000,1.0000
2019-07-29,5.0200,5.0500,4.9500,5.0300,5.0300,87233,0.0000,1.0000
2019-07-26,4.9500,5.0100,4.9169,4.9800,4.9800,37679,0.0000,1.0000
2019-07-25,5.0000,5.0000,4.9100,4.9200,4.9200,39309,0.0000,1.0000
2019-07-24,5.0000,5.0100,4.9574,4.9600,4.9600,55408,0.0000,1.0000
2019-07-23,5.0000,5.0200,4.9200,4.9700,4.9700,65552,0.0000,1.0000
2019-07-22,5.0000,5.0925,4.9500,4.9900,4.9900,198927,0.0000,1.0000
2019-07-19,4.9900,5.0100,4.9536,4.9900,4.9900,96974,0.0000,1.0000
2019-07-18,4.9300,5.0200,4.9120,4.9500,4.9500,73581,0.0000,1.0000
2019-07-17,4.9900,5.0000,4.9400,4.9500,4.9500,47573,0.0000,1.0000
2019-07-16,5.1000,5.2200,4.9700,4.9900,4.9900,92068,0.0000,1.0000
2019-07-15,5.2500,5.4000,5.1100,5.1600,5.1600,122345,0.0000,1.0000
2019-07-12,5.2400,5.4000,5.0400,5.1200,5.1200,299652,0.0000,1.0000
2019-07-11,4.9500,5.2399,4.7700,5.1500,5.1500,321511,0.0000,1.0000
2019-07-10,4.5000,4.9500,4.4850,4.9500,4.9500,296230,0.0000,1.0000
2019-07-09,4.4206,4.5426,4.4199,4.5100,4.5100,22729,0.0000,1.0000
2019-07-08,4.5400,4.5502,4.4600,4.4700,4.4700,43992,0.0000,1.0000
2019-07-05,4.4600,4.5888,4.4400,4.5800,4.5800,23170,0.0000,1.0000
2019-07-03,4.4800,4.5500,4.2400,4.5500,4.5500,26074,0.0000,1.0000
2019-07-02,4.5100,4.5399,4.3900,4.5000,4.5000,32879,0.0000,1.0000
2019-07-01,4.4800,4.5300,4.4127,4.5100,4.5100,46614,0.0000,1.0000
2019-06-28,4.3100,4.5000,4.3100,4.5000,4.5000,62108,0.0000,1.0000
2019-06-27,4.2500,4.3613,4.1900,4.3100,4.3100,92605,0.0000,1.0000
2019-06-26,4.2200,4.2700,4.2000,4.2700,4.2700,26762,0.0000,1.0000
2019-06-25,4.2687,4.2840,4.1400,4.2200,4.2200,39230,0.0000,1.0000
2019-06-24,4.4200,4.4200,4.1720,4.2200,4.2200,29737,0.0000,1.0000
2019-06-21,4.2165,4.5000,4.1521,4.4800,4.4800,87591,0.0000,1.0000
2019-06-20,4.3300,4.3300,4.2200,4.2700,4.2700,21696,0.0000,1.0000
2019-06-19,4.2200,4.3200,4.1600,4.3200,4.3200,47347,0.0000,1.0000
2019-06-18,4.1400,4.3000,4.1300,4.2000,4.2000,65873,0.0000,1.0000
2019-06-17,4.1200,4.1500,4.0800,4.1400,4.1400,40064,0.0000,1.0000
2019-06-14,4.0985,4.1400,4.0646,4.1100,4.1100,30622,0.0000,1.0000
2019-06-13,4.0100,4.0900,4.0000,4.0900,4.0900,21864,0.0000,1.0000
2019-06-12,4.0400,4.0700,3.9800,3.9900,3.9900,49066,0.0000,1.0000
2019-06-11,4.0000,4.0899,3.9793,4.0500,4.0500,45652,0.0000,1.0000
2019-06-10,3.9500,4.0610,3.9195,3.9900,3.9900,57552,0.0000,1.0000
2019-06-07,3.9400,4.0350,3.9000,3.9700,3.9700,138849,0.0000,1.0000
2019-06-06,4.1100,4.1300,3.9499,3.9900,3.9900,68325,0.0000,1.0000
2019-06-05,4.1500,4.1700,4.1000,4.1100,4.1100,24795,0.0000,1.0000
2019-06-04,4.1500,4.1800,4.1000,4.1000,4.1000,32262,0.0000,1.0000
2019-06-03,4.2000,4.2000,4.0704,4.1600,4.1600,39810,0.0000,1.0000
2019-05-31,4.1200,4.2000,4.0900,4.2000,4.2000,38707,0.0000,1.0000
2019-05-30,4.1400,4.2000,4.1105,4.1800,4.1800,30853,0.0000,1.0000
2019-05-29,4.1400,4.2700,4.0921,4.1800,4.1800,63049,0.0000,1.0000
2019-05-28,4.2800,4.3000,4.0700,4.1600,4.1600,137675,0.0000,1.0000
2019-05-24,4.4100,4.4900,4.3000,4.3500,4.3500,110561,0.0000,1.0000
2019-05-23,4.3400,4.4000,4.2800,4.4000,4.4000,83377,0.0000,1.0000
2019-05-22,4.4000,4.4399,4.3500,4.3800,4.3800,86708,0.0000,1.0000
2019-05-21,4.3900,4.4400,4.3600,4.3800,4.3800,58994,0.0000,1.0000
2019-05-20,4.4100,4.4100,4.3019,4.4000,4.4000,49395,0.0000,1.0000
