timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-08-02,6.2700,6.3499,6.2150,6.3000,6.3000,19422,0.0000,1.0000
2019-08-01,6.1400,6.4400,6.1400,6.3300,6.3300,57504,0.0000,1.0000
2019-07-31,6.5000,6.6600,6.0900,6.1400,6.1400,106479,0.0000,1.0000
2019-07-30,6.4000,6.7900,6.4000,6.4900,6.4900,70299,0.0000,1.0000
2019-07-29,6.3500,6.4500,6.2075,6.4000,6.4000,131597,0.0000,1.0000
2019-07-26,5.8200,6.4300,5.8200,6.0500,6.0500,262280,0.0000,1.0000
2019-07-25,5.5200,5.9000,5.5000,5.8100,5.8100,59718,0.0000,1.0000
2019-07-24,5.3000,5.4400,5.2800,5.4000,5.4000,129930,0.0000,1.0000
2019-07-23,5.2700,5.4100,5.2400,5.3000,5.3000,13966,0.0000,1.0000
2019-07-22,5.4134,5.4134,5.2300,5.2900,5.2900,44650,0.0000,1.0000
2019-07-19,5.4200,5.4800,5.3400,5.3500,5.3500,20523,0.0000,1.0000
2019-07-18,5.4400,5.5300,5.3500,5.4500,5.4500,21449,0.0000,1.0000
2019-07-17,5.4500,5.6400,5.2800,5.4300,5.4300,87989,0.0000,1.0000
2019-07-16,5.6200,5.8400,5.4300,5.4900,5.4900,315301,0.0000,1.0000
2019-07-15,5.6400,5.7700,5.6100,5.6100,5.6100,13993,0.0000,1.0000
2019-07-12,5.7100,5.7700,5.6000,5.6800,5.6800,167942,0.0000,1.0000
2019-07-11,5.7200,5.7900,5.7100,5.7100,5.7100,9446,0.0000,1.0000
2019-07-10,5.6600,5.8000,5.6500,5.7400,5.7400,26640,0.0000,1.0000
2019-07-09,5.6400,5.7800,5.6225,5.6700,5.6700,22994,0.0000,1.0000
2019-07-08,5.7200,5.8100,5.6600,5.7000,5.7000,19694,0.0000,1.0000
2019-07-05,5.7600,5.8100,5.6400,5.8100,5.8100,10030,0.0000,1.0000
2019-07-03,5.8100,5.8700,5.7500,5.7500,5.7500,4751,0.0000,1.0000
2019-07-02,5.7800,6.0250,5.6500,5.8200,5.8200,51835,0.0000,1.0000
2019-07-01,6.0400,6.0900,5.7600,6.0300,6.0300,38810,0.0000,1.0000
2019-06-28,5.9100,6.1000,5.7900,6.0500,6.0500,60979,0.0000,1.0000
2019-06-27,5.8500,5.9300,5.7100,5.9100,5.9100,14130,0.0000,1.0000
2019-06-26,5.6400,5.9000,5.6200,5.8800,5.8800,66825,0.0000,1.0000
2019-06-25,5.6300,5.7800,5.5800,5.7800,5.7800,46644,0.0000,1.0000
2019-06-24,5.5301,5.7500,5.5300,5.5800,5.5800,9930,0.0000,1.0000
2019-06-21,5.5500,5.6800,5.5200,5.6700,5.6700,22568,0.0000,1.0000
2019-06-20,5.6900,5.6900,5.5210,5.5900,5.5900,11569,0.0000,1.0000
2019-06-19,5.6300,5.7000,5.5850,5.6500,5.6500,17690,0.0000,1.0000
2019-06-18,5.6400,5.7000,5.5400,5.6600,5.6600,18927,0.0000,1.0000
2019-06-17,5.6700,5.6900,5.5000,5.6500,5.6500,26049,0.0000,1.0000
2019-06-14,5.7200,5.8000,5.6600,5.7400,5.7400,13131,0.0000,1.0000
2019-06-13,5.7000,5.7900,5.6900,5.7000,5.7000,4942,0.0000,1.0000
2019-06-12,5.7300,5.7500,5.5100,5.7000,5.7000,32143,0.0000,1.0000
2019-06-11,5.8000,5.9100,5.5800,5.7700,5.7700,45969,0.0000,1.0000
2019-06-10,5.8300,5.8500,5.7400,5.7600,5.7600,29111,0.0000,1.0000
2019-06-07,5.7500,5.8700,5.7500,5.8000,5.8000,34851,0.0000,1.0000
2019-06-06,5.8900,5.9500,5.7500,5.8000,5.8000,52962,0.0000,1.0000
2019-06-05,5.9000,6.1200,5.8800,5.9400,5.9400,550812,0.0000,1.0000
2019-06-04,5.8600,6.1200,5.8100,5.8800,5.8800,60866,0.0000,1.0000
2019-06-03,5.8700,5.9450,5.7500,5.8600,5.8600,36107,0.0000,1.0000
2019-05-31,5.9600,6.1500,5.8193,5.8600,5.8600,161858,0.0000,1.0000
2019-05-30,6.3200,6.3200,5.7100,6.2400,6.2400,33961,0.0000,1.0000
2019-05-29,6.3000,6.3000,6.0800,6.1700,6.1700,21742,0.0000,1.0000
2019-05-28,6.2500,6.3200,6.2325,6.3000,6.3000,6937,0.0000,1.0000
2019-05-24,6.3300,6.3300,6.1701,6.2300,6.2300,4091,0.0000,1.0000
2019-05-23,6.1600,6.3200,6.1500,6.2500,6.2500,18227,0.0000,1.0000
2019-05-22,6.3200,6.4800,6.1600,6.2500,6.2500,12477,0.0000,1.0000
2019-05-21,5.8900,6.4400,5.7500,6.3100,6.3100,141293,0.0000,1.0000
2019-05-20,6.0100,6.0400,5.6800,5.9800,5.9800,14838,0.0000,1.0000
2019-05-17,5.8400,6.1200,5.7800,6.0000,6.0000,16564,0.0000,1.0000
2019-05-16,5.9300,6.1100,5.8150,5.9000,5.9000,13371,0.0000,1.0000
2019-05-15,5.7572,5.9900,5.7572,5.9600,5.9600,17726,0.0000,1.0000
2019-05-14,5.8200,5.9000,5.7600,5.8500,5.8500,18144,0.0000,1.0000
2019-05-13,5.7000,5.8800,5.7000,5.8000,5.8000,21748,0.0000,1.0000
2019-05-10,5.9400,5.9400,5.7850,5.8700,5.8700,5837,0.0000,1.0000
2019-05-09,5.8100,5.9100,5.7400,5.8600,5.8600,24902,0.0000,1.0000
2019-05-08,5.9800,6.0000,5.5400,5.8700,5.8700,22657,0.0000,1.0000
2019-05-07,5.9300,6.1600,5.7700,6.0300,6.0300,22686,0.0000,1.0000
2019-05-06,5.7400,6.1100,5.7400,6.0300,6.0300,11115,0.0000,1.0000
2019-05-03,5.8300,5.9000,5.6600,5.9000,5.9000,90880,0.0000,1.0000
2019-05-02,6.1700,6.2500,5.6800,5.8500,5.8500,36007,0.0000,1.0000
2019-05-01,6.3500,6.5400,6.1600,6.1600,6.1600,19117,0.0000,1.0000
2019-04-30,6.6000,6.6000,6.1000,6.5400,6.5400,28034,0.0000,1.0000
2019-04-29,6.2500,6.7400,6.1407,6.6000,6.6000,45523,0.0000,1.0000
2019-04-26,6.1100,6.2500,6.1100,6.2500,6.2500,13073,0.0000,1.0000
2019-04-25,6.0700,6.2600,6.0700,6.1100,6.1100,19227,0.0000,1.0000
2019-04-24,6.1950,6.2200,6.0700,6.1100,6.1100,74984,0.0000,1.0000
2019-04-23,6.1800,6.4300,6.0500,6.0800,6.0800,43155,0.0000,1.0000
2019-04-22,6.0200,6.2200,6.0000,6.1900,6.1900,70177,0.0000,1.0000
2019-04-18,5.9500,6.1300,5.9500,6.0000,6.0000,39935,0.0000,1.0000
2019-04-17,5.9900,6.1500,5.9700,6.0100,6.0100,141673,0.0000,1.0000
2019-04-16,5.8300,6.0000,5.7600,5.9800,5.9800,48819,0.0000,1.0000
2019-04-15,5.8800,5.9500,5.4700,5.8600,5.8600,136161,0.0000,1.0000
2019-04-12,5.8000,6.0000,5.7400,5.8900,5.8900,74152,0.0000,1.0000
2019-04-11,5.7900,5.8600,5.7500,5.7600,5.7600,106303,0.0000,1.0000
2019-04-10,5.8200,5.8400,5.6883,5.7700,5.7700,111636,0.0000,1.0000
2019-04-09,5.8500,5.9300,5.6700,5.7300,5.7300,47452,0.0000,1.0000
