timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-08-02,142.2300,142.7878,137.3550,140.4900,140.4900,540024,0.0000,1.0000
2019-08-01,142.9300,148.7800,138.1250,143.6600,143.6600,1262967,0.0000,1.0000
2019-07-31,143.0000,146.9000,140.8810,143.2200,143.2200,1535417,0.0000,1.0000
2019-07-30,144.0100,146.0800,140.0000,142.0300,142.0300,1432242,0.0000,1.0000
2019-07-29,157.9000,158.5200,143.4500,144.8900,144.8900,3530761,0.0000,1.0000
2019-07-26,156.7300,159.5000,155.5000,158.0600,158.0600,954993,0.0000,1.0000
2019-07-25,156.0000,158.5800,153.3302,155.7000,155.7000,970753,0.0000,1.0000
2019-07-24,155.1200,158.0000,152.1859,156.0200,156.0200,2535009,0.0000,1.0000
2019-07-23,162.5600,163.1000,154.3438,155.9700,155.9700,1481750,0.0000,1.0000
2019-07-22,164.3900,166.3048,160.2300,160.8600,160.8600,1337270,0.0000,1.0000
2019-07-19,164.8800,166.4100,161.0000,164.0000,164.0000,1338767,0.0000,1.0000
2019-07-18,159.7700,163.1700,157.1500,162.9300,162.9300,1489823,0.0000,1.0000
2019-07-17,152.4000,161.7700,151.5700,160.7900,160.7900,1916072,0.0000,1.0000
2019-07-16,153.0500,155.4650,146.6500,151.7900,151.7900,1676291,0.0000,1.0000
2019-07-15,153.2900,157.1000,152.3980,153.1700,153.1700,1538997,0.0000,1.0000
2019-07-12,157.2400,158.4917,151.0300,153.1000,153.1000,1303386,0.0000,1.0000
2019-07-11,157.2600,159.3300,154.3301,158.0400,158.0400,1057672,0.0000,1.0000
2019-07-10,159.0000,161.3850,156.4400,157.2300,157.2300,1102462,0.0000,1.0000
2019-07-09,156.5600,158.0688,154.3900,157.7200,157.7200,790817,0.0000,1.0000
2019-07-08,154.9400,158.6800,153.0100,157.0400,157.0400,952072,0.0000,1.0000
2019-07-05,152.4200,156.0200,151.3400,155.9000,155.9000,994126,0.0000,1.0000
2019-07-03,155.4400,158.4500,153.4600,154.9800,154.9800,1866866,0.0000,1.0000
2019-07-02,145.6200,154.4100,144.3800,154.0500,154.0500,2310854,0.0000,1.0000
2019-07-01,155.3200,155.3200,143.8500,147.6700,147.6700,2671966,0.0000,1.0000
2019-06-28,151.9100,152.7824,145.2601,152.0900,152.0900,3846980,0.0000,1.0000
2019-06-27,150.8800,153.3524,148.0400,151.4900,151.4900,2045051,0.0000,1.0000
2019-06-26,160.5000,161.7530,150.2908,150.6900,150.6900,1623669,0.0000,1.0000
2019-06-25,165.9400,165.9400,155.6400,158.5900,158.5900,1266533,0.0000,1.0000
