timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-08-02,0.1800,0.1800,0.1650,0.1710,0.1710,153295,0.0000,1.0000
2019-08-01,0.1724,0.1800,0.1715,0.1740,0.1740,297664,0.0000,1.0000
2019-07-31,0.1800,0.1800,0.1700,0.1700,0.1700,314552,0.0000,1.0000
2019-07-30,0.1769,0.1800,0.1715,0.1752,0.1752,128374,0.0000,1.0000
2019-07-29,0.1800,0.1810,0.1769,0.1769,0.1769,235512,0.0000,1.0000
2019-07-26,0.1800,0.1800,0.1770,0.1770,0.1770,247216,0.0000,1.0000
2019-07-25,0.1800,0.1810,0.1702,0.1798,0.1798,353773,0.0000,1.0000
2019-07-24,0.1819,0.1819,0.1750,0.1769,0.1769,197312,0.0000,1.0000
2019-07-23,0.1825,0.1830,0.1718,0.1751,0.1751,338190,0.0000,1.0000
2019-07-22,0.1798,0.1850,0.1750,0.1775,0.1775,302788,0.0000,1.0000
2019-07-19,0.1660,0.1820,0.1660,0.1798,0.1798,261039,0.0000,1.0000
2019-07-18,0.1865,0.1868,0.1790,0.1817,0.1817,336241,0.0000,1.0000
2019-07-17,0.1935,0.1935,0.1800,0.1840,0.1840,219057,0.0000,1.0000
2019-07-16,0.1800,0.1988,0.1795,0.1890,0.1890,1920020,0.0000,1.0000
2019-07-15,0.1850,0.1850,0.1760,0.1799,0.1799,240508,0.0000,1.0000
2019-07-12,0.1869,0.1869,0.1793,0.1799,0.1799,372799,0.0000,1.0000
2019-07-11,0.1875,0.1890,0.1750,0.1780,0.1780,711549,0.0000,1.0000
2019-07-10,0.1800,0.1890,0.1800,0.1827,0.1827,439670,0.0000,1.0000
2019-07-09,0.1850,0.1900,0.1760,0.1814,0.1814,982816,0.0000,1.0000
2019-07-08,0.1986,0.2000,0.1850,0.1870,0.1870,748869,0.0000,1.0000
2019-07-05,0.1921,0.2100,0.1830,0.1937,0.1937,2615480,0.0000,1.0000
2019-07-03,0.1822,0.1900,0.1821,0.1830,0.1830,390011,0.0000,1.0000
2019-07-02,0.1800,0.1824,0.1750,0.1797,0.1797,263221,0.0000,1.0000
2019-07-01,0.1900,0.1900,0.1745,0.1785,0.1785,219209,0.0000,1.0000
2019-06-28,0.1800,0.1839,0.1712,0.1750,0.1750,282117,0.0000,1.0000
2019-06-27,0.1811,0.1869,0.1780,0.1800,0.1800,179858,0.0000,1.0000
2019-06-26,0.1810,0.1840,0.1755,0.1812,0.1812,357498,0.0000,1.0000
2019-06-25,0.1850,0.1890,0.1800,0.1831,0.1831,409844,0.0000,1.0000
2019-06-24,0.1889,0.1901,0.1840,0.1900,0.1900,503837,0.0000,1.0000
2019-06-21,0.1890,0.1900,0.1850,0.1890,0.1890,395063,0.0000,1.0000
2019-06-20,0.1900,0.1950,0.1860,0.1878,0.1878,322082,0.0000,1.0000
2019-06-19,0.1950,0.1950,0.1900,0.1906,0.1906,133517,0.0000,1.0000
2019-06-18,0.1935,0.1935,0.1880,0.1909,0.1909,360962,0.0000,1.0000
2019-06-17,0.1947,0.1947,0.1880,0.1899,0.1899,363850,0.0000,1.0000
2019-06-14,0.1950,0.2000,0.1870,0.1965,0.1965,1031370,0.0000,1.0000
2019-06-13,0.2000,0.2000,0.1890,0.1951,0.1951,415933,0.0000,1.0000
2019-06-12,0.2000,0.2030,0.1920,0.1938,0.1938,335326,0.0000,1.0000
2019-06-11,0.2000,0.2130,0.1980,0.2010,0.2010,698048,0.0000,1.0000
2019-06-10,0.2300,0.2300,0.2000,0.2101,0.2101,783339,0.0000,1.0000
2019-06-07,0.2097,0.2135,0.1958,0.2076,0.2076,864838,0.0000,1.0000
2019-06-06,0.1900,0.2300,0.1900,0.2138,0.2138,5713217,0.0000,1.0000
2019-06-05,0.1911,0.2000,0.1850,0.1910,0.1910,608981,0.0000,1.0000
2019-06-04,0.1880,0.2040,0.1850,0.1911,0.1911,1744713,0.0000,1.0000
2019-06-03,0.1800,0.1920,0.1760,0.1900,0.1900,362492,0.0000,1.0000
2019-05-31,0.1905,0.1950,0.1870,0.1880,0.1880,306570,0.0000,1.0000
2019-05-30,0.1900,0.1999,0.1900,0.1938,0.1938,413631,0.0000,1.0000
2019-05-29,0.1990,0.2100,0.1910,0.1925,0.1925,514457,0.0000,1.0000
2019-05-28,0.1915,0.2000,0.1899,0.1950,0.1950,749280,0.0000,1.0000
2019-05-24,0.2000,0.2150,0.1850,0.1996,0.1996,2769455,0.0000,1.0000
2019-05-23,0.1904,0.2000,0.1850,0.1866,0.1866,351782,0.0000,1.0000
2019-05-22,0.1912,0.2050,0.1800,0.1990,0.1990,707125,0.0000,1.0000
2019-05-21,0.1957,0.2070,0.1920,0.2000,0.2000,517242,0.0000,1.0000
2019-05-20,0.2020,0.2080,0.1950,0.2000,0.2000,536638,0.0000,1.0000
2019-05-17,0.2068,0.2100,0.1991,0.2049,0.2049,422074,0.0000,1.0000
2019-05-16,0.2068,0.2220,0.2068,0.2198,0.2198,539859,0.0000,1.0000
2019-05-15,0.2146,0.2200,0.1975,0.2131,0.2131,930488,0.0000,1.0000
2019-05-14,0.1991,0.2200,0.1950,0.2064,0.2064,975601,0.0000,1.0000
2019-05-13,0.2020,0.2100,0.1933,0.1991,0.1991,1114383,0.0000,1.0000
2019-05-10,0.2126,0.2205,0.1903,0.2075,0.2075,2712198,0.0000,1.0000
2019-05-09,0.2301,0.2349,0.2249,0.2277,0.2277,653200,0.0000,1.0000
2019-05-08,0.2324,0.2490,0.2250,0.2273,0.2273,2371112,0.0000,1.0000
2019-05-07,0.2275,0.2350,0.2240,0.2300,0.2300,1506483,0.0000,1.0000
2019-05-06,0.2200,0.2300,0.2170,0.2212,0.2212,682449,0.0000,1.0000
2019-05-03,0.2290,0.2300,0.2150,0.2175,0.2175,678393,0.0000,1.0000
2019-05-02,0.2298,0.2325,0.2180,0.2300,0.2300,1105787,0.0000,1.0000
2019-05-01,0.2277,0.2450,0.2050,0.2290,0.2290,2187782,0.0000,1.0000
2019-04-30,0.2380,0.2380,0.2150,0.2275,0.2275,696710,0.0000,1.0000
2019-04-29,0.2357,0.2400,0.2140,0.2300,0.2300,1569231,0.0000,1.0000
2019-04-26,0.2110,0.2580,0.2011,0.2270,0.2270,7495624,0.0000,1.0000
2019-04-25,0.2110,0.2140,0.2000,0.2041,0.2041,247780,0.0000,1.0000
2019-04-24,0.1960,0.2160,0.1921,0.2010,0.2010,405986,0.0000,1.0000
2019-04-23,0.2000,0.2080,0.1920,0.1974,0.1974,591775,0.0000,1.0000
2019-04-22,0.2087,0.2117,0.2000,0.2001,0.2001,374797,0.0000,1.0000
2019-04-18,0.2100,0.2150,0.2000,0.2100,0.2100,639619,0.0000,1.0000
2019-04-17,0.2161,0.2178,0.2000,0.2001,0.2001,855863,0.0000,1.0000
2019-04-16,0.2150,0.2250,0.2140,0.2178,0.2178,516461,0.0000,1.0000
2019-04-15,0.2236,0.2350,0.2150,0.2178,0.2178,887339,0.0000,1.0000
2019-04-12,0.2150,0.2300,0.2120,0.2205,0.2205,1004472,0.0000,1.0000
2019-04-11,0.2205,0.2350,0.2100,0.2240,0.2240,2953711,0.0000,1.0000
2019-04-10,0.2200,0.2300,0.2100,0.2150,0.2150,3342508,0.0000,1.0000
2019-04-09,0.2000,0.2159,0.1950,0.2100,0.2100,1805172,0.0000,1.0000
2019-04-08,0.1800,0.1975,0.1800,0.1956,0.1956,1233654,0.0000,1.0000
