timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-08-02,1.5300,1.5300,1.4110,1.4642,1.4642,90186,0.0000,1.0000
2019-08-01,1.5400,1.6343,1.5300,1.5500,1.5500,112642,0.0000,1.0000
2019-07-31,1.6300,1.7499,1.5200,1.5400,1.5400,193147,0.0000,1.0000
2019-07-30,1.6300,1.8000,1.6000,1.6200,1.6200,149780,0.0000,1.0000
2019-07-29,1.7000,1.7000,1.6100,1.6300,1.6300,65722,0.0000,1.0000
2019-07-26,1.7300,1.7999,1.6902,1.7262,1.7262,81243,0.0000,1.0000
2019-07-25,1.7300,1.7500,1.5600,1.7100,1.7100,234115,0.0000,1.0000
2019-07-24,1.5100,1.7500,1.5079,1.6300,1.6300,279764,0.0000,1.0000
2019-07-23,1.6400,1.6968,1.5030,1.5300,1.5300,198860,0.0000,1.0000
2019-07-22,1.7200,1.7300,1.5600,1.6400,1.6400,708462,0.0000,1.0000
2019-07-19,2.6500,2.7200,1.6300,1.8600,1.8600,18122441,0.0000,1.0000
2019-07-18,1.3100,1.3500,1.2893,1.3000,1.3000,33848,0.0000,1.0000
2019-07-17,1.3571,1.3571,1.2400,1.3300,1.3300,96558,0.0000,1.0000
2019-07-16,1.4200,1.4200,1.3501,1.3800,1.3800,23428,0.0000,1.0000
2019-07-15,1.3300,1.4200,1.3300,1.4200,1.4200,43904,0.0000,1.0000
2019-07-12,1.3899,1.4692,1.3400,1.3800,1.3800,162689,0.0000,1.0000
2019-07-11,1.2777,1.4200,1.2777,1.4100,1.4100,79827,0.0000,1.0000
2019-07-10,1.2800,1.4400,1.2800,1.3300,1.3300,16707,0.0000,1.0000
2019-07-09,1.3700,1.3700,1.2800,1.3000,1.3000,81909,0.0000,1.0000
2019-07-08,1.3654,1.3843,1.3400,1.3700,1.3700,48921,0.0000,1.0000
2019-07-05,1.4200,1.4200,1.2000,1.3200,1.3200,65936,0.0000,1.0000
2019-07-03,1.4900,1.4900,1.4127,1.4280,1.4280,41585,0.0000,1.0000
2019-07-02,1.3900,1.4100,1.3600,1.4100,1.4100,8194,0.0000,1.0000
2019-07-01,1.4200,1.4352,1.3500,1.4099,1.4099,41510,0.0000,1.0000
2019-06-28,1.4000,1.5610,1.3702,1.4400,1.4400,190428,0.0000,1.0000
2019-06-27,1.3605,1.4900,1.3300,1.4100,1.4100,87147,0.0000,1.0000
2019-06-26,1.3450,1.3500,1.3172,1.3355,1.3355,28757,0.0000,1.0000
2019-06-25,1.3500,1.4000,1.3100,1.3500,1.3500,15674,0.0000,1.0000
2019-06-24,1.3800,1.4400,1.3575,1.3600,1.3600,28450,0.0000,1.0000
2019-06-21,1.4000,1.4300,1.3600,1.3900,1.3900,19071,0.0000,1.0000
2019-06-20,1.4400,1.5700,1.3900,1.3900,1.3900,44077,0.0000,1.0000
2019-06-19,1.3500,1.6000,1.3000,1.4400,1.4400,51770,0.0000,1.0000
2019-06-18,1.3500,1.4500,1.3300,1.3500,1.3500,31815,0.0000,1.0000
2019-06-17,1.3905,1.4900,1.3200,1.3601,1.3601,26896,0.0000,1.0000
2019-06-14,1.5500,1.5500,1.3300,1.4000,1.4000,105376,0.0000,1.0000
2019-06-13,1.5300,1.7200,1.4303,1.6200,1.6200,283628,0.0000,1.0000
2019-06-12,1.5900,1.7800,1.4300,1.5400,1.5400,377415,0.0000,1.0000
2019-06-11,1.5100,1.7300,1.4000,1.5500,1.5500,350003,0.0000,1.0000
2019-06-10,1.2500,1.4400,1.1405,1.4000,1.4000,159514,0.0000,1.0000
2019-06-07,1.3500,1.3999,1.2000,1.2300,1.2300,45934,0.0000,1.0000
2019-06-06,1.3700,1.3769,1.3500,1.3500,1.3500,63256,0.0000,1.0000
2019-06-05,1.3300,1.4244,1.3100,1.3600,1.3600,101868,0.0000,1.0000
2019-06-04,1.3700,1.4283,1.2600,1.3100,1.3100,52284,0.0000,1.0000
2019-06-03,1.4500,1.4500,1.2600,1.3300,1.3300,75667,0.0000,1.0000
2019-05-31,1.3701,1.6000,1.3500,1.4756,1.4756,252488,0.0000,1.0000
2019-05-30,1.5028,1.5028,1.3700,1.4213,1.4213,63763,0.0000,1.0000
2019-05-29,1.6100,1.6100,1.4000,1.4200,1.4200,74201,0.0000,1.0000
2019-05-28,1.6333,1.9800,1.5100,1.6303,1.6303,416092,0.0000,1.0000
2019-05-24,1.6100,1.6400,1.5630,1.5800,1.5800,14855,0.0000,1.0000
2019-05-23,1.5678,1.6440,1.5400,1.5600,1.5600,26024,0.0000,1.0000
2019-05-22,1.5900,1.6491,1.5400,1.5700,1.5700,21353,0.0000,1.0000
2019-05-21,1.5600,1.6500,1.5600,1.5900,1.5900,24446,0.0000,1.0000
2019-05-20,1.6075,1.6087,1.5300,1.5700,1.5700,60317,0.0000,1.0000
2019-05-17,1.6800,1.7000,1.5700,1.5900,1.5900,115089,0.0000,1.0000
2019-05-16,1.6500,1.8200,1.6000,1.7134,1.7134,172217,0.0000,1.0000
2019-05-15,1.6800,1.7200,1.5900,1.6500,1.6500,60375,0.0000,1.0000
2019-05-14,1.6600,1.7200,1.6600,1.6900,1.6900,73049,0.0000,1.0000
2019-05-13,1.9200,1.9200,1.6200,1.6400,1.6400,173878,0.0000,1.0000
2019-05-10,1.9100,1.9500,1.8500,1.9000,1.9000,125010,0.0000,1.0000
2019-05-09,2.0800,2.0999,1.8700,1.9200,1.9200,374970,0.0000,1.0000
2019-05-08,2.0200,2.2496,1.9900,2.0900,2.0900,553510,0.0000,1.0000
2019-05-07,2.0000,2.1000,1.9000,2.0500,2.0500,278720,0.0000,1.0000
2019-05-06,1.9500,2.1500,1.9500,2.0200,2.0200,249508,0.0000,1.0000
2019-05-03,1.9200,2.0300,1.9200,2.0000,2.0000,105367,0.0000,1.0000
2019-05-02,2.0000,2.0200,1.8300,1.9300,1.9300,228129,0.0000,1.0000
2019-05-01,1.8300,2.0800,1.7837,2.0200,2.0200,545471,0.0000,1.0000
2019-04-30,2.0400,2.0400,1.7800,1.8500,1.8500,484288,0.0000,1.0000
2019-04-29,2.0700,2.1369,1.9340,2.0100,2.0100,358233,0.0000,1.0000
2019-04-26,2.2200,2.3000,2.0200,2.0900,2.0900,383066,0.0000,1.0000
