timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-08-02,0.5421,0.5316,0.5000,0.5200,0.5200,235395,0.0000,1.0000
2019-08-01,0.5421,0.5600,0.5250,0.5300,0.5300,129360,0.0000,1.0000
2019-07-31,0.5895,0.5900,0.5300,0.5484,0.5484,285516,0.0000,1.0000
2019-07-30,0.6300,0.6300,0.5600,0.5615,0.5615,668019,0.0000,1.0000
2019-07-29,0.6021,0.6199,0.5400,0.5821,0.5821,424029,0.0000,1.0000
2019-07-26,0.6017,0.6420,0.5500,0.5905,0.5905,1192176,0.0000,1.0000
2019-07-25,0.6236,0.7450,0.5600,0.6700,0.6700,9934778,0.0000,1.0000
2019-07-24,0.5860,0.5860,0.4150,0.4500,0.4500,1854464,0.0000,1.0000
2019-07-23,0.6120,0.6218,0.5779,0.5900,0.5900,288576,0.0000,1.0000
2019-07-22,0.6151,0.6300,0.6110,0.6140,0.6140,93300,0.0000,1.0000
2019-07-19,0.6200,0.6300,0.6141,0.6150,0.6150,67338,0.0000,1.0000
2019-07-18,0.6220,0.6332,0.6200,0.6200,0.6200,85627,0.0000,1.0000
2019-07-17,0.6110,0.6500,0.6110,0.6376,0.6376,114710,0.0000,1.0000
2019-07-16,0.6380,0.6380,0.6200,0.6200,0.6200,102922,0.0000,1.0000
2019-07-15,0.6400,0.6450,0.6253,0.6380,0.6380,66874,0.0000,1.0000
2019-07-12,0.6303,0.6473,0.6215,0.6338,0.6338,43238,0.0000,1.0000
2019-07-11,0.6401,0.6500,0.6215,0.6303,0.6303,123534,0.0000,1.0000
2019-07-10,0.6520,0.6520,0.6325,0.6500,0.6500,64198,0.0000,1.0000
2019-07-09,0.6520,0.6520,0.6400,0.6507,0.6507,82240,0.0000,1.0000
2019-07-08,0.6650,0.6650,0.6500,0.6531,0.6531,54363,0.0000,1.0000
2019-07-05,0.6630,0.6630,0.6500,0.6557,0.6557,70558,0.0000,1.0000
2019-07-03,0.6700,0.6796,0.6500,0.6630,0.6630,22429,0.0000,1.0000
2019-07-02,0.6520,0.6723,0.6500,0.6510,0.6510,74627,0.0000,1.0000
2019-07-01,0.6900,0.6900,0.6500,0.6626,0.6626,95571,0.0000,1.0000
2019-06-28,0.7249,0.7249,0.6700,0.6800,0.6800,59937,0.0000,1.0000
2019-06-27,0.6810,0.7249,0.6750,0.6934,0.6934,169862,0.0000,1.0000
2019-06-26,0.6700,0.6880,0.6650,0.6810,0.6810,151302,0.0000,1.0000
2019-06-25,0.6510,0.7000,0.6500,0.6610,0.6610,239024,0.0000,1.0000
2019-06-24,0.6800,0.6800,0.6500,0.6598,0.6598,102504,0.0000,1.0000
2019-06-21,0.6900,0.6900,0.6550,0.6622,0.6622,127229,0.0000,1.0000
2019-06-20,0.6700,0.7000,0.6450,0.6811,0.6811,856859,0.0000,1.0000
2019-06-19,0.7600,0.7734,0.6500,0.6599,0.6599,1808382,0.0000,1.0000
2019-06-18,0.6500,0.6610,0.6400,0.6401,0.6401,75116,0.0000,1.0000
2019-06-17,0.6900,0.6900,0.6400,0.6423,0.6423,119558,0.0000,1.0000
2019-06-14,0.6700,0.6900,0.6403,0.6500,0.6500,226117,0.0000,1.0000
2019-06-13,0.6600,0.6910,0.6322,0.6800,0.6800,486555,0.0000,1.0000
2019-06-12,0.6620,0.6740,0.6322,0.6400,0.6400,57967,0.0000,1.0000
2019-06-11,0.6500,0.6900,0.6439,0.6800,0.6800,117549,0.0000,1.0000
2019-06-10,0.6593,0.6593,0.6076,0.6493,0.6493,271918,0.0000,1.0000
2019-06-07,0.6900,0.7000,0.6500,0.6593,0.6593,160730,0.0000,1.0000
2019-06-06,0.6800,0.6800,0.6500,0.6520,0.6520,118631,0.0000,1.0000
2019-06-05,0.6700,0.6825,0.6400,0.6698,0.6698,139885,0.0000,1.0000
2019-06-04,0.6760,0.6993,0.6711,0.6950,0.6950,116294,0.0000,1.0000
2019-06-03,0.7100,0.7100,0.6651,0.6699,0.6699,156912,0.0000,1.0000
2019-05-31,0.7084,0.7230,0.6918,0.7020,0.7020,66944,0.0000,1.0000
2019-05-30,0.7250,0.7300,0.6800,0.7000,0.7000,352789,0.0000,1.0000
2019-05-29,0.7700,0.7760,0.7300,0.7550,0.7550,147590,0.0000,1.0000
2019-05-28,0.7900,0.7946,0.7600,0.7700,0.7700,177939,0.0000,1.0000
2019-05-24,0.8600,0.8650,0.7850,0.8000,0.8000,321312,0.0000,1.0000
2019-05-23,0.7500,0.8800,0.7500,0.8650,0.8650,752995,0.0000,1.0000
2019-05-22,0.7600,0.8200,0.7100,0.7900,0.7900,1214357,0.0000,1.0000
2019-05-21,0.7610,0.7901,0.7131,0.7387,0.7387,321207,0.0000,1.0000
2019-05-20,0.7279,0.8400,0.7000,0.7656,0.7656,795925,0.0000,1.0000
2019-05-17,0.8800,1.0300,0.7200,0.7500,0.7500,8384225,0.0000,1.0000
2019-05-16,0.6332,0.6332,0.6000,0.6150,0.6150,204060,0.0000,1.0000
2019-05-15,0.6400,0.6599,0.6125,0.6332,0.6332,314552,0.0000,1.0000
2019-05-14,0.6748,0.6800,0.6212,0.6310,0.6310,193999,0.0000,1.0000
2019-05-13,0.7000,0.7000,0.6400,0.6400,0.6400,294141,0.0000,1.0000
2019-05-10,0.7046,0.7050,0.6650,0.6981,0.6981,145046,0.0000,1.0000
2019-05-09,0.6901,0.7350,0.6500,0.7350,0.7350,230351,0.0000,1.0000
2019-05-08,0.6900,0.7500,0.6500,0.6869,0.6869,532399,0.0000,1.0000
2019-05-07,0.6310,0.6900,0.6200,0.6700,0.6700,541583,0.0000,1.0000
2019-05-06,0.6610,0.6715,0.6350,0.6440,0.6440,267771,0.0000,1.0000
2019-05-03,0.6748,0.6970,0.6600,0.6779,0.6779,155913,0.0000,1.0000
2019-05-02,0.6835,0.7190,0.6750,0.6950,0.6950,132298,0.0000,1.0000
2019-05-01,0.7300,0.7300,0.7000,0.7120,0.7120,142529,0.0000,1.0000
2019-04-30,0.7000,0.7490,0.6753,0.7002,0.7002,630918,0.0000,1.0000
2019-04-29,0.6606,0.6994,0.6606,0.6744,0.6744,136533,0.0000,1.0000
2019-04-26,0.7000,0.7000,0.6102,0.6730,0.6730,322461,0.0000,1.0000
2019-04-25,0.6596,0.7300,0.6596,0.6900,0.6900,666638,0.0000,1.0000
2019-04-24,0.6801,0.7000,0.6701,0.6800,0.6800,173774,0.0000,1.0000
2019-04-23,0.6760,0.7000,0.6700,0.6800,0.6800,164804,0.0000,1.0000
2019-04-22,0.7042,0.7042,0.6664,0.6999,0.6999,263201,0.0000,1.0000
2019-04-18,0.7036,0.7390,0.7000,0.7086,0.7086,114514,0.0000,1.0000
2019-04-17,0.7050,0.7500,0.6801,0.7300,0.7300,339724,0.0000,1.0000
2019-04-16,0.7400,0.7500,0.7000,0.7199,0.7199,220630,0.0000,1.0000
2019-04-15,0.7464,0.7579,0.7420,0.7466,0.7466,58434,0.0000,1.0000
2019-04-12,0.7480,0.7600,0.7300,0.7415,0.7415,159186,0.0000,1.0000
2019-04-11,0.7500,0.7649,0.7425,0.7600,0.7600,101403,0.0000,1.0000
2019-04-10,0.7593,0.7600,0.7401,0.7449,0.7449,97360,0.0000,1.0000
2019-04-09,0.7510,0.7600,0.7301,0.7493,0.7493,151588,0.0000,1.0000
2019-04-08,0.7600,0.7779,0.7500,0.7598,0.7598,68986,0.0000,1.0000
2019-04-05,0.7511,0.7789,0.7500,0.7500,0.7500,103572,0.0000,1.0000
2019-04-04,0.7700,0.7800,0.7511,0.7600,0.7600,191312,0.0000,1.0000
2019-04-03,0.8000,0.8111,0.7800,0.7851,0.7851,66401,0.0000,1.0000
2019-04-02,0.7751,0.8000,0.7750,0.7836,0.7836,88831,0.0000,1.0000
2019-04-01,0.7701,0.7991,0.7700,0.7749,0.7749,123568,0.0000,1.0000
2019-03-29,0.7800,0.8248,0.7700,0.7801,0.7801,103148,0.0000,1.0000
2019-03-28,0.7900,0.8454,0.7900,0.8201,0.8201,136101,0.0000,1.0000
2019-03-27,0.7761,0.7941,0.7700,0.7900,0.7900,81716,0.0000,1.0000
2019-03-26,0.8011,0.8040,0.7856,0.7944,0.7944,139630,0.0000,1.0000
2019-03-25,0.8199,0.8199,0.7901,0.7999,0.7999,104269,0.0000,1.0000
2019-03-22,0.8800,0.8800,0.8000,0.8301,0.8301,163500,0.0000,1.0000
2019-03-21,0.7910,0.8792,0.7900,0.8563,0.8563,856954,0.0000,1.0000
2019-03-20,0.7904,0.8100,0.7807,0.8047,0.8047,80913,0.0000,1.0000
2019-03-19,0.7700,0.8149,0.7700,0.8060,0.8060,159016,0.0000,1.0000
2019-03-18,0.8000,0.8000,0.7800,0.7873,0.7873,112041,0.0000,1.0000
2019-03-15,0.8300,0.8300,0.8001,0.8050,0.8050,77824,0.0000,1.0000
2019-03-14,0.8157,0.8220,0.7900,0.8080,0.8080,99056,0.0000,1.0000
2019-03-13,0.8000,0.8285,0.7900,0.8250,0.8250,76650,0.0000,1.0000
2019-03-12,0.8012,0.8250,0.7900,0.8239,0.8239,79470,0.0000,1.0000
2019-03-11,0.8196,0.8200,0.7900,0.7975,0.7975,72638,0.0000,1.0000
2019-03-08,0.8190,0.8199,0.7802,0.7949,0.7949,60229,0.0000,1.0000
2019-03-07,0.7860,0.8195,0.7650,0.7800,0.7800,171487,0.0000,1.0000
2019-03-06,0.8140,0.8400,0.7839,0.8200,0.8200,141126,0.0000,1.0000
2019-03-05,0.8620,0.8800,0.8085,0.8300,0.8300,563031,0.0000,1.0000
2019-03-04,0.7300,0.7700,0.7300,0.7700,0.7700,173196,0.0000,1.0000
2019-03-01,0.7411,0.7500,0.7250,0.7367,0.7367,140429,0.0000,1.0000
2019-02-28,0.7568,0.7700,0.7351,0.7419,0.7419,124994,0.0000,1.0000
2019-02-27,0.8000,0.8000,0.7501,0.7591,0.7591,70710,0.0000,1.0000
2019-02-26,0.7900,0.8034,0.7723,0.7800,0.7800,98597,0.0000,1.0000
2019-02-25,0.7807,0.8178,0.7601,0.7937,0.7937,63872,0.0000,1.0000
2019-02-22,0.8200,0.8200,0.7800,0.7993,0.7993,91306,0.0000,1.0000
2019-02-21,0.7983,0.8100,0.7814,0.8000,0.8000,137190,0.0000,1.0000
2019-02-20,0.8300,0.8300,0.7900,0.8089,0.8089,153535,0.0000,1.0000
2019-02-19,0.7400,0.8300,0.7400,0.7960,0.7960,487666,0.0000,1.0000
2019-02-15,0.8250,0.8250,0.7550,0.7601,0.7601,100734,0.0000,1.0000
2019-02-14,0.7215,0.8280,0.7207,0.7999,0.7999,573852,0.0000,1.0000
2019-02-13,0.7499,0.7499,0.7350,0.7400,0.7400,78664,0.0000,1.0000
2019-02-12,0.7500,0.7500,0.7400,0.7400,0.7400,76344,0.0000,1.0000
2019-02-11,0.7630,0.7850,0.7500,0.7500,0.7500,122828,0.0000,1.0000
2019-02-08,0.7301,0.7782,0.7301,0.7630,0.7630,54210,0.0000,1.0000
2019-02-07,0.7600,0.7660,0.7300,0.7300,0.7300,158698,0.0000,1.0000
2019-02-06,0.7788,0.7788,0.7501,0.7550,0.7550,120667,0.0000,1.0000
2019-02-05,0.7599,0.8300,0.7300,0.7850,0.7850,486946,0.0000,1.0000
2019-02-04,0.7700,0.7701,0.7418,0.7586,0.7586,99955,0.0000,1.0000
2019-02-01,0.7700,0.7800,0.7500,0.7619,0.7619,143072,0.0000,1.0000
2019-01-31,0.7901,0.7944,0.7580,0.7700,0.7700,276634,0.0000,1.0000
2019-01-30,0.7911,0.8200,0.7901,0.7996,0.7996,106587,0.0000,1.0000
2019-01-29,0.8200,0.8200,0.7900,0.7900,0.7900,105811,0.0000,1.0000
2019-01-28,0.8031,0.8402,0.8000,0.8110,0.8110,77016,0.0000,1.0000
2019-01-25,0.8200,0.8399,0.8001,0.8390,0.8390,93129,0.0000,1.0000
2019-01-24,0.8500,0.8600,0.8131,0.8180,0.8180,113841,0.0000,1.0000
2019-01-23,0.8600,0.8600,0.8200,0.8466,0.8466,97701,0.0000,1.0000
2019-01-22,0.8700,0.8800,0.8300,0.8600,0.8600,105493,0.0000,1.0000
2019-01-18,0.8546,0.8765,0.8310,0.8600,0.8600,77037,0.0000,1.0000
2019-01-17,0.8316,0.8811,0.8316,0.8584,0.8584,56000,0.0000,1.0000
2019-01-16,0.8750,0.8899,0.8100,0.8316,0.8316,149449,0.0000,1.0000
2019-01-15,0.9000,0.9125,0.8601,0.8750,0.8750,180497,0.0000,1.0000
2019-01-14,0.9200,0.9240,0.8600,0.8793,0.8793,194646,0.0000,1.0000
2019-01-11,0.9000,0.9510,0.8500,0.8960,0.8960,344996,0.0000,1.0000
2019-01-10,0.8900,0.9500,0.8802,0.9000,0.9000,243810,0.0000,1.0000
2019-01-09,0.8991,0.9000,0.8700,0.9000,0.9000,105729,0.0000,1.0000
2019-01-08,0.9000,0.9200,0.8700,0.8881,0.8881,149258,0.0000,1.0000
2019-01-07,0.9100,0.9499,0.8700,0.9200,0.9200,198917,0.0000,1.0000
2019-01-04,0.9000,0.9998,0.8510,0.8701,0.8701,421135,0.0000,1.0000
2019-01-03,0.9000,0.9051,0.8400,0.8400,0.8400,251411,0.0000,1.0000
2019-01-02,0.7900,0.8200,0.7600,0.8100,0.8100,163693,0.0000,1.0000
2018-12-31,0.7745,0.8000,0.7350,0.7704,0.7704,275065,0.0000,1.0000
2018-12-28,0.8000,0.8000,0.7500,0.7800,0.7800,131519,0.0000,1.0000
2018-12-27,0.7600,0.8089,0.7500,0.7872,0.7872,272552,0.0000,1.0000
2018-12-26,0.7250,0.7599,0.6901,0.7550,0.7550,217241,0.0000,1.0000
2018-12-24,0.6825,0.7424,0.6700,0.7200,0.7200,340033,0.0000,1.0000
2018-12-21,0.7500,0.8399,0.6500,0.6900,0.6900,455565,0.0000,1.0000
2018-12-20,0.7702,0.8245,0.6801,0.7501,0.7501,696871,0.0000,1.0000
2018-12-19,0.7900,0.8327,0.7501,0.7505,0.7505,356996,0.0000,1.0000
2018-12-18,0.8600,0.8600,0.7500,0.7600,0.7600,465144,0.0000,1.0000
2018-12-17,0.8999,0.9000,0.8201,0.8600,0.8600,301195,0.0000,1.0000
2018-12-14,0.9252,0.9400,0.8900,0.8952,0.8952,89480,0.0000,1.0000
2018-12-13,0.9100,0.9495,0.9000,0.9010,0.9010,133028,0.0000,1.0000
2018-12-12,0.9194,0.9327,0.9000,0.9099,0.9099,126641,0.0000,1.0000
2018-12-11,0.9206,0.9395,0.8692,0.9045,0.9045,277142,0.0000,1.0000
2018-12-10,0.9800,0.9995,0.9000,0.9298,0.9298,319424,0.0000,1.0000
2018-12-07,0.9900,1.0000,0.9900,0.9900,0.9900,137302,0.0000,1.0000
2018-12-06,1.0400,1.0500,0.9900,0.9978,0.9978,149727,0.0000,1.0000
2018-12-04,1.0200,1.0464,1.0200,1.0200,1.0200,64001,0.0000,1.0000
2018-12-03,1.0400,1.0565,1.0200,1.0300,1.0300,120310,0.0000,1.0000
2018-11-30,1.0300,1.0599,1.0300,1.0400,1.0400,135622,0.0000,1.0000
2018-11-29,1.0700,1.0700,1.0300,1.0700,1.0700,177190,0.0000,1.0000
2018-11-28,1.0600,1.0675,1.0321,1.0667,1.0667,82023,0.0000,1.0000
2018-11-27,1.0500,1.0800,1.0200,1.0399,1.0399,159746,0.0000,1.0000
2018-11-26,1.0800,1.0999,1.0500,1.0500,1.0500,146350,0.0000,1.0000
2018-11-23,1.0700,1.0999,1.0700,1.0799,1.0799,52146,0.0000,1.0000
2018-11-21,1.0900,1.1200,1.0500,1.0800,1.0800,153546,0.0000,1.0000
2018-11-20,1.0800,1.1100,1.0000,1.0800,1.0800,565310,0.0000,1.0000
2018-11-19,1.1000,1.1650,1.0600,1.1000,1.1000,361653,0.0000,1.0000
2018-11-16,1.0800,1.1200,1.0200,1.0902,1.0902,160821,0.0000,1.0000
2018-11-15,1.1100,1.1300,1.0600,1.0900,1.0900,182910,0.0000,1.0000
2018-11-14,1.1200,1.1499,1.1000,1.1200,1.1200,377116,0.0000,1.0000
2018-11-13,1.1600,1.2390,1.1000,1.1356,1.1356,815057,0.0000,1.0000
2018-11-12,1.1200,1.1727,1.0950,1.1500,1.1500,794428,0.0000,1.0000
2018-11-09,1.0900,1.1500,1.0900,1.1256,1.1256,213953,0.0000,1.0000
2018-11-08,1.1100,1.1300,1.0800,1.0900,1.0900,213620,0.0000,1.0000
2018-11-07,1.0700,1.1300,1.0500,1.1200,1.1200,261913,0.0000,1.0000
2018-11-06,1.0500,1.1200,1.0400,1.0700,1.0700,607321,0.0000,1.0000
2018-11-05,1.0300,1.0800,1.0300,1.0700,1.0700,225180,0.0000,1.0000
2018-11-02,1.0500,1.1000,1.0200,1.0300,1.0300,255157,0.0000,1.0000
2018-11-01,1.0000,1.0700,0.9800,1.0699,1.0699,518090,0.0000,1.0000
2018-10-31,0.9880,0.9995,0.9600,0.9890,0.9890,226885,0.0000,1.0000
2018-10-30,1.0100,1.0200,0.9500,0.9900,0.9900,248860,0.0000,1.0000
2018-10-29,1.0100,1.0400,1.0000,1.0000,1.0000,214441,0.0000,1.0000
2018-10-26,1.0500,1.0600,1.0000,1.0299,1.0299,330852,0.0000,1.0000
2018-10-25,1.0500,1.0500,1.0200,1.0400,1.0400,149514,0.0000,1.0000
2018-10-24,1.0600,1.0800,1.0200,1.0400,1.0400,270899,0.0000,1.0000
2018-10-23,1.0700,1.0700,1.0200,1.0500,1.0500,210113,0.0000,1.0000
2018-10-22,1.1300,1.1500,1.0448,1.0700,1.0700,884981,0.0000,1.0000
2018-10-19,1.0000,1.0700,1.0000,1.0239,1.0239,460179,0.0000,1.0000
2018-10-18,1.0400,1.0600,1.0000,1.0179,1.0179,414110,0.0000,1.0000
2018-10-17,1.0600,1.0800,1.0300,1.0600,1.0600,209855,0.0000,1.0000
2018-10-16,0.9900,1.1000,0.9900,1.0600,1.0600,302468,0.0000,1.0000
2018-10-15,1.0200,1.0400,0.9902,1.0368,1.0368,137571,0.0000,1.0000
2018-10-12,1.0300,1.0600,0.9900,1.0151,1.0151,195126,0.0000,1.0000
2018-10-11,0.9800,1.0599,0.9606,1.0000,1.0000,997333,0.0000,1.0000
2018-10-10,1.0200,1.0300,0.9600,0.9700,0.9700,405872,0.0000,1.0000
2018-10-09,1.0400,1.0400,1.0100,1.0300,1.0300,219011,0.0000,1.0000
2018-10-08,1.0100,1.0600,1.0100,1.0300,1.0300,320418,0.0000,1.0000
2018-10-05,1.0300,1.0399,1.0000,1.0100,1.0100,476152,0.0000,1.0000
2018-10-04,1.0600,1.0700,1.0000,1.0500,1.0500,605275,0.0000,1.0000
2018-10-03,1.0600,1.1100,1.0500,1.0900,1.0900,450392,0.0000,1.0000
2018-10-02,1.1400,1.1700,1.0200,1.0200,1.0200,595895,0.0000,1.0000
2018-10-01,1.1000,1.2100,1.1000,1.1200,1.1200,410346,0.0000,1.0000
2018-09-28,1.1900,1.1900,1.0800,1.1700,1.1700,785739,0.0000,1.0000
2018-09-27,1.2700,1.3000,1.2000,1.2200,1.2200,1035061,0.0000,1.0000
2018-09-26,1.3800,1.4800,1.3000,1.3200,1.3200,4270475,0.0000,1.0000
2018-09-25,1.2200,1.3200,1.2200,1.2500,1.2500,733431,0.0000,1.0000
2018-09-24,1.2300,1.3000,1.2100,1.2600,1.2600,525500,0.0000,1.0000
2018-09-21,1.3300,1.3300,1.1800,1.2500,1.2500,1315121,0.0000,1.0000
2018-09-20,1.0000,1.3500,1.0000,1.3500,1.3500,3583082,0.0000,1.0000
2018-09-19,0.9600,1.0200,0.9400,0.9800,0.9800,1044329,0.0000,1.0000
2018-09-18,1.0000,1.0500,0.9203,1.0200,1.0200,2929878,0.0000,1.0000
2018-09-17,1.3500,1.4095,1.1200,1.1500,1.1500,6490175,0.0000,1.0000
2018-09-14,1.0900,1.4600,1.0700,1.3500,1.3500,19448732,0.0000,1.0000
2018-09-13,0.9300,1.0500,0.9003,1.0500,1.0500,1756313,0.0000,1.0000
2018-09-12,0.9600,0.9600,0.8900,0.9137,0.9137,321780,0.0000,1.0000
2018-09-11,0.9000,0.9600,0.8620,0.9500,0.9500,933505,0.0000,1.0000
2018-09-10,0.8500,0.8775,0.8362,0.8451,0.8451,265270,0.0000,1.0000
2018-09-07,0.8692,0.9148,0.8101,0.8400,0.8400,636775,0.0000,1.0000
2018-09-06,0.9950,1.0800,0.9000,0.9100,0.9100,3951400,0.0000,1.0000
2018-09-05,0.9043,0.9043,0.8500,0.8701,0.8701,269773,0.0000,1.0000
2018-09-04,0.9000,0.9400,0.8600,0.9167,0.9167,910868,0.0000,1.0000
2018-08-31,0.8100,0.8800,0.8000,0.8655,0.8655,577942,0.0000,1.0000
2018-08-30,0.8200,0.8400,0.8000,0.8075,0.8075,217198,0.0000,1.0000
2018-08-29,0.8012,0.8200,0.7800,0.8190,0.8190,205861,0.0000,1.0000
2018-08-28,0.7995,0.8000,0.7800,0.7952,0.7952,117804,0.0000,1.0000
2018-08-27,0.7774,0.8100,0.7726,0.8001,0.8001,114007,0.0000,1.0000
2018-08-24,0.8000,0.8045,0.7700,0.7897,0.7897,113437,0.0000,1.0000
2018-08-23,0.7930,0.8481,0.7748,0.7800,0.7800,476038,0.0000,1.0000
2018-08-22,0.7600,0.7999,0.7600,0.7973,0.7973,247666,0.0000,1.0000
2018-08-21,0.7900,0.7904,0.7501,0.7644,0.7644,174413,0.0000,1.0000
2018-08-20,0.7800,0.7800,0.7500,0.7656,0.7656,138766,0.0000,1.0000
2018-08-17,0.7400,0.7830,0.7400,0.7620,0.7620,122138,0.0000,1.0000
2018-08-16,0.7700,0.7821,0.7300,0.7420,0.7420,201358,0.0000,1.0000
2018-08-15,0.7748,0.7835,0.7500,0.7635,0.7635,248965,0.0000,1.0000
2018-08-14,0.9000,0.9000,0.7700,0.7800,0.7800,966416,0.0000,1.0000
2018-08-13,0.7980,0.8100,0.7600,0.7620,0.7620,545251,0.0000,1.0000
2018-08-10,0.8600,0.8600,0.8008,0.8105,0.8105,178950,0.0000,1.0000
2018-08-09,0.8300,0.8800,0.8104,0.8600,0.8600,850406,0.0000,1.0000
2018-08-08,0.7800,0.8299,0.7601,0.8150,0.8150,692027,0.0000,1.0000
2018-08-07,0.7621,0.7859,0.7500,0.7680,0.7680,311523,0.0000,1.0000
2018-08-06,0.7800,0.7942,0.7500,0.7601,0.7601,359901,0.0000,1.0000
2018-08-03,0.7671,0.8300,0.7351,0.7731,0.7731,691851,0.0000,1.0000
2018-08-02,0.7433,0.8649,0.7111,0.7424,0.7424,1320543,0.0000,1.0000
2018-08-01,0.7600,0.7866,0.7200,0.7638,0.7638,437591,0.0000,1.0000
2018-07-31,0.8400,0.8400,0.7500,0.7500,0.7500,443519,0.0000,1.0000
2018-07-30,0.8300,0.8512,0.8200,0.8242,0.8242,135630,0.0000,1.0000
2018-07-27,0.8800,0.8800,0.8100,0.8399,0.8399,361291,0.0000,1.0000
2018-07-26,0.9000,0.9010,0.8625,0.8800,0.8800,313192,0.0000,1.0000
2018-07-25,0.9753,1.0000,0.8900,0.9100,0.9100,943109,0.0000,1.0000
2018-07-24,0.9000,1.0400,0.8811,1.0350,1.0350,2265244,0.0000,1.0000
2018-07-23,0.8700,0.9400,0.8500,0.9000,0.9000,987682,0.0000,1.0000
2018-07-20,0.8805,0.8912,0.8500,0.8779,0.8779,207524,0.0000,1.0000
2018-07-19,0.8600,0.8860,0.8350,0.8805,0.8805,376165,0.0000,1.0000
2018-07-18,0.9200,0.9200,0.8350,0.8538,0.8538,190854,0.0000,1.0000
