timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-08-02,13.9600,13.9900,13.6300,13.6600,13.6600,525338,0.0000,1.0000
2019-08-01,14.1900,14.2500,13.7300,13.9600,13.9600,1791064,0.0000,1.0000
2019-07-31,14.3400,14.4700,14.0800,14.1500,14.1500,2114281,0.0000,1.0000
2019-07-30,14.1300,14.3850,14.0600,14.3200,14.3200,2047098,0.0000,1.0000
2019-07-29,14.1200,14.4500,14.1200,14.2400,14.2400,1759965,0.0000,1.0000
2019-07-26,14.2800,14.3600,14.0000,14.0800,14.0800,3141439,0.0000,1.0000
2019-07-25,14.9300,15.1550,14.1000,14.1800,14.1800,6159010,0.0000,1.0000
2019-07-24,14.0000,15.6700,14.0000,15.0900,15.0900,6085489,0.0000,1.0000
2019-07-23,13.4700,13.7550,13.4300,13.7000,13.7000,1944445,0.0000,1.0000
2019-07-22,13.5900,13.7200,13.4200,13.4400,13.4400,1384482,0.0000,1.0000
2019-07-19,13.7000,13.8400,13.5350,13.5500,13.5500,1185177,0.0000,1.0000
2019-07-18,13.5200,13.8200,13.5200,13.7100,13.7100,1200861,0.0000,1.0000
2019-07-17,13.5000,13.6350,13.3900,13.5300,13.5300,1668900,0.0000,1.0000
2019-07-16,13.4500,13.6600,13.4400,13.5500,13.5500,1599341,0.0000,1.0000
2019-07-15,13.6500,13.6500,13.3400,13.4000,13.4000,1297801,0.0000,1.0000
2019-07-12,13.3500,13.7300,13.3000,13.6300,13.6300,1551439,0.0000,1.0000
2019-07-11,13.3200,13.3650,13.1900,13.3100,13.3100,1711986,0.0000,1.0000
2019-07-10,13.2700,13.4700,13.2100,13.2700,13.2700,2684867,0.0000,1.0000
2019-07-09,13.4600,13.4600,13.2200,13.2400,13.2400,3953193,0.0000,1.0000
2019-07-08,14.0100,14.1200,13.4600,13.4800,13.4800,2076322,0.0000,1.0000
2019-07-05,13.8700,14.1400,13.8400,14.1000,14.1000,1325615,0.0000,1.0000
2019-07-03,13.8100,13.9550,13.7700,13.9200,13.9200,993617,0.0000,1.0000
2019-07-02,13.6100,13.8450,13.5800,13.8100,13.8100,1315483,0.0000,1.0000
2019-07-01,13.8200,13.9900,13.5300,13.6600,13.6600,1475324,0.0000,1.0000
2019-06-28,13.3900,13.6900,13.2300,13.6500,13.6500,3647069,0.0000,1.0000
2019-06-27,13.0600,13.3750,13.0500,13.3000,13.3000,1367225,0.0000,1.0000
2019-06-26,13.0400,13.1600,12.9700,12.9900,12.9900,1277643,0.0000,1.0000
2019-06-25,12.9300,13.0600,12.7500,12.9700,12.9700,1523222,0.0000,1.0000
2019-06-24,13.5000,13.5000,12.9200,12.9400,12.9400,1274988,0.0000,1.0000
2019-06-21,13.3900,13.5300,13.2600,13.3600,13.3600,3604094,0.0000,1.0000
2019-06-20,13.3700,13.4600,13.2450,13.4400,13.4400,1452724,0.0000,1.0000
2019-06-19,13.2500,13.3950,13.1100,13.2200,13.2200,1438149,0.0000,1.0000
2019-06-18,13.1600,13.4800,13.1100,13.2500,13.2500,1411197,0.0000,1.0000
2019-06-17,13.3100,13.4500,13.0700,13.1200,13.1200,1717706,0.0000,1.0000
2019-06-14,13.3400,13.3700,13.0650,13.3300,13.3300,1062304,0.0000,1.0000
2019-06-13,13.3500,13.3750,13.1650,13.3600,13.3600,1063304,0.0000,1.0000
2019-06-12,13.3600,13.3600,13.0350,13.2000,13.2000,1220952,0.0000,1.0000
2019-06-11,13.4300,13.5950,13.2700,13.3300,13.3300,1522527,0.0000,1.0000
2019-06-10,13.1600,13.4100,13.1550,13.2900,13.2900,1242173,0.0000,1.0000
2019-06-07,13.2000,13.2000,13.0100,13.0400,13.0400,892275,0.0000,1.0000
2019-06-06,13.1000,13.2000,12.9200,13.1600,13.1600,1009228,0.1600,1.0000
2019-06-05,13.3900,13.4300,13.1400,13.2200,13.0612,1151517,0.0000,1.0000
2019-06-04,12.9600,13.5000,12.9350,13.3600,13.1995,1446602,0.0000,1.0000
2019-06-03,12.9900,13.2300,12.8300,12.8600,12.7055,2105658,0.0000,1.0000
2019-05-31,13.0100,13.0900,12.8100,13.0400,12.8834,2349046,0.0000,1.0000
2019-05-30,13.3200,13.4950,13.1100,13.1900,13.0316,1200262,0.0000,1.0000
2019-05-29,13.1800,13.2600,13.0850,13.2300,13.0711,1150634,0.0000,1.0000
2019-05-28,13.2300,13.4400,13.2000,13.2100,13.0513,1269159,0.0000,1.0000
2019-05-24,13.0100,13.2550,13.0100,13.2200,13.0612,778399,0.0000,1.0000
2019-05-23,13.1500,13.1500,12.8200,12.9600,12.8043,1253005,0.0000,1.0000
2019-05-22,13.4600,13.5500,13.1800,13.2200,13.0612,943688,0.0000,1.0000
2019-05-21,13.4600,13.6700,13.4600,13.5700,13.4070,1191136,0.0000,1.0000
2019-05-20,13.3600,13.5100,13.2700,13.3500,13.1896,1095397,0.0000,1.0000
2019-05-17,13.3900,13.6000,13.3900,13.4500,13.2884,938710,0.0000,1.0000
2019-05-16,13.5900,13.7900,13.4750,13.5400,13.3774,1308385,0.0000,1.0000
2019-05-15,13.2200,13.5500,13.1600,13.5500,13.3872,1902381,0.0000,1.0000
2019-05-14,13.3200,13.5500,13.2250,13.3600,13.1995,1618695,0.0000,1.0000
2019-05-13,13.5100,13.7900,13.2150,13.2300,13.0711,1308785,0.0000,1.0000
2019-05-10,13.6000,13.8600,13.4850,13.8200,13.6540,1104632,0.0000,1.0000
2019-05-09,13.5300,13.6400,13.3400,13.6300,13.4663,1276190,0.0000,1.0000
2019-05-08,13.7400,13.9100,13.6200,13.6500,13.4860,1057154,0.0000,1.0000
2019-05-07,13.7300,13.9150,13.6800,13.7800,13.6145,1039339,0.0000,1.0000
2019-05-06,13.6800,14.0100,13.4900,13.9300,13.7627,1409446,0.0000,1.0000
2019-05-03,13.8600,13.9800,13.7350,13.9200,13.7528,1220734,0.0000,1.0000
2019-05-02,13.6500,13.8600,13.6500,13.8400,13.6738,2074255,0.0000,1.0000
2019-05-01,13.5400,13.7500,13.3800,13.6300,13.4663,2390173,0.0000,1.0000
2019-04-30,13.1600,13.5400,13.1000,13.5100,13.3477,2050075,0.0000,1.0000
2019-04-29,13.2600,13.3100,13.1400,13.1800,13.0217,1586773,0.0000,1.0000
2019-04-26,13.1700,13.3350,13.0450,13.2000,13.0414,1709315,0.0000,1.0000
2019-04-25,13.2000,13.4600,13.1400,13.1900,13.0316,3668305,0.0000,1.0000
2019-04-24,12.4900,13.0800,12.4300,12.9600,12.8043,2264205,0.0000,1.0000
2019-04-23,12.1100,12.4500,12.0800,12.4300,12.2807,2363960,0.0000,1.0000
2019-04-22,12.2000,12.2400,12.0250,12.0600,11.9151,1409330,0.0000,1.0000
2019-04-18,12.2000,12.2600,12.0900,12.1900,12.0436,1274414,0.0000,1.0000
2019-04-17,12.4100,12.4100,12.1100,12.1700,12.0238,1598981,0.0000,1.0000
2019-04-16,12.3400,12.4200,12.2200,12.3500,12.2017,1057871,0.0000,1.0000
2019-04-15,12.4000,12.4600,12.2400,12.2700,12.1226,954450,0.0000,1.0000
2019-04-12,12.3300,12.5150,12.2399,12.4200,12.2708,1116233,0.0000,1.0000
2019-04-11,12.2000,12.2500,12.0400,12.1600,12.0139,971816,0.0000,1.0000
2019-04-10,11.9700,12.1800,11.9550,12.1500,12.0041,1080446,0.0000,1.0000
2019-04-09,12.2300,12.2400,11.9000,11.9200,11.7768,1328500,0.0000,1.0000
2019-04-08,12.2000,12.2700,12.0550,12.2600,12.1127,1831917,0.0000,1.0000
2019-04-05,12.2500,12.3350,12.1400,12.1700,12.0238,1081642,0.0000,1.0000
2019-04-04,12.0300,12.2200,11.9500,12.2100,12.0633,1430929,0.0000,1.0000
2019-04-03,11.8900,12.1100,11.8900,11.9800,11.8361,1216334,0.0000,1.0000
2019-04-02,12.0800,12.1900,11.8000,11.8300,11.6879,1457559,0.0000,1.0000
2019-04-01,11.7100,12.1100,11.6900,12.1000,11.9547,1516501,0.0000,1.0000
2019-03-29,11.8500,11.9450,11.5400,11.5700,11.4310,1941026,0.0000,1.0000
2019-03-28,11.5800,11.7850,11.5800,11.7300,11.5891,1189326,0.0000,1.0000
2019-03-27,11.6500,11.7400,11.5500,11.5600,11.4211,1793376,0.0000,1.0000
2019-03-26,11.6700,11.7600,11.4900,11.6200,11.4804,1466700,0.0000,1.0000
2019-03-25,11.5700,11.7600,11.4600,11.5900,11.4508,1316855,0.0000,1.0000
2019-03-22,11.9500,11.9500,11.4800,11.5900,11.4508,1694731,0.0000,1.0000
2019-03-21,11.7300,12.1300,11.6700,12.0400,11.8954,1272192,0.0000,1.0000
2019-03-20,11.9500,11.9500,11.7200,11.7900,11.6484,1779668,0.0000,1.0000
2019-03-19,12.2200,12.2300,11.9400,11.9600,11.8163,1408123,0.0000,1.0000
2019-03-18,12.1100,12.2500,12.1100,12.1400,11.9942,1307097,0.0000,1.0000
2019-03-15,11.8400,12.0700,11.8100,12.0300,11.8855,4576211,0.0000,1.0000
2019-03-14,11.8000,11.9500,11.7800,11.8500,11.7077,1651955,0.0000,1.0000
2019-03-13,11.8200,11.8700,11.7100,11.8000,11.6583,1553679,0.0000,1.0000
2019-03-12,11.7700,12.3900,11.5800,11.7500,11.6089,2474369,0.0000,1.0000
2019-03-11,11.7600,11.8200,11.5400,11.7500,11.6089,1412886,0.0000,1.0000
2019-03-08,11.4400,11.8500,11.4200,11.7300,11.5891,1312027,0.0000,1.0000
2019-03-07,11.8500,11.8550,11.5100,11.5400,11.4014,1541508,0.0000,1.0000
2019-03-06,12.0200,12.0300,11.8100,11.8100,11.6681,1881833,0.0000,1.0000
2019-03-05,11.9900,12.1500,11.9700,11.9800,11.8361,1744891,0.0000,1.0000
2019-03-04,12.1900,12.3600,12.0800,12.1200,11.9744,2157673,0.0000,1.0000
2019-03-01,12.3300,12.4000,12.1800,12.2100,12.0633,2054371,0.0000,1.0000
2019-02-28,12.5100,12.5100,12.2200,12.2200,12.0732,2460990,0.1600,1.0000
2019-02-27,12.6400,12.6400,12.4500,12.5500,12.2390,1733175,0.0000,1.0000
2019-02-26,12.5500,12.6550,12.4700,12.6000,12.2878,2243011,0.0000,1.0000
2019-02-25,12.5100,12.6700,12.4700,12.5900,12.2780,2563109,0.0000,1.0000
2019-02-22,12.4000,12.4600,12.2700,12.4400,12.1317,1583554,0.0000,1.0000
2019-02-21,11.9400,12.3400,11.8600,12.3200,12.0147,3545265,0.0000,1.0000
2019-02-20,12.8200,12.8500,12.5500,12.6600,12.3463,4288196,0.0000,1.0000
2019-02-19,12.5600,12.9000,12.3100,12.7900,12.4731,6228747,0.0000,1.0000
2019-02-15,11.7000,11.8750,11.6100,11.7300,11.4393,1754283,0.0000,1.0000
2019-02-14,11.6200,11.7050,11.5100,11.6200,11.3320,1206301,0.0000,1.0000
2019-02-13,11.6400,11.7800,11.5700,11.6900,11.4003,1203823,0.0000,1.0000
2019-02-12,11.4500,11.6900,11.4300,11.5800,11.2930,1661986,0.0000,1.0000
2019-02-11,11.2700,11.4050,11.2700,11.3900,11.1077,1285365,0.0000,1.0000
2019-02-08,11.2600,11.3600,11.1200,11.2500,10.9712,1436543,0.0000,1.0000
2019-02-07,11.4000,11.5100,11.2950,11.3700,11.0882,1459065,0.0000,1.0000
2019-02-06,11.4200,11.4750,11.3400,11.4200,11.1370,1611679,0.0000,1.0000
2019-02-05,11.4100,11.5000,11.3200,11.4400,11.1565,1297274,0.0000,1.0000
2019-02-04,11.4000,11.5500,11.2800,11.4000,11.1175,1745876,0.0000,1.0000
2019-02-01,11.4000,11.5200,11.3200,11.4400,11.1565,1492926,0.0000,1.0000
2019-01-31,11.4100,11.4900,11.2800,11.4000,11.1175,2384705,0.0000,1.0000
2019-01-30,11.4600,11.5700,11.3000,11.4500,11.1663,1737497,0.0000,1.0000
2019-01-29,11.4000,11.5200,11.3400,11.4500,11.1663,1750005,0.0000,1.0000
2019-01-28,11.3700,11.5400,11.3300,11.4400,11.1565,1613848,0.0000,1.0000
2019-01-25,11.6000,11.6300,11.4400,11.5400,11.2540,2168309,0.0000,1.0000
2019-01-24,11.0900,11.5250,11.0469,11.4400,11.1565,2150151,0.0000,1.0000
2019-01-23,11.6000,11.6100,10.8000,11.1100,10.8347,2585603,0.0000,1.0000
2019-01-22,10.8300,10.9150,10.6800,10.8500,10.5811,2990966,0.0000,1.0000
2019-01-18,10.6700,10.9400,10.6500,10.9100,10.6396,1777750,0.0000,1.0000
2019-01-17,10.5800,10.6950,10.5000,10.5600,10.2983,2205529,0.0000,1.0000
2019-01-16,10.5900,10.8150,10.5800,10.6500,10.3861,2520416,0.0000,1.0000
2019-01-15,10.4000,10.4800,10.2800,10.4600,10.2008,1581712,0.0000,1.0000
2019-01-14,10.3100,10.4900,10.2000,10.4100,10.1520,1508392,0.0000,1.0000
2019-01-11,10.3600,10.5000,10.2500,10.3900,10.1325,2082007,0.0000,1.0000
2019-01-10,10.3600,10.4750,10.2450,10.4500,10.1910,2039445,0.0000,1.0000
2019-01-09,10.2200,10.4700,10.1500,10.3900,10.1325,1635994,0.0000,1.0000
2019-01-08,10.1400,10.3300,10.0300,10.1800,9.9277,2390576,0.0000,1.0000
2019-01-07,9.8700,10.1700,9.8000,10.0500,9.8010,2920898,0.0000,1.0000
2019-01-04,9.6000,9.9600,9.6000,9.8300,9.5864,2800157,0.0000,1.0000
2019-01-03,9.2300,9.5750,9.1200,9.4500,9.2158,2889890,0.0000,1.0000
2019-01-02,8.6800,9.2900,8.6400,9.2900,9.0598,2378419,0.0000,1.0000
2018-12-31,8.9200,8.9200,8.6700,8.8100,8.5917,1947123,0.0000,1.0000
2018-12-28,8.8300,9.0400,8.7700,8.8500,8.6307,1900705,0.0000,1.0000
2018-12-27,8.6800,8.8200,8.5200,8.8100,8.5917,2848804,0.0000,1.0000
2018-12-26,8.4700,8.8600,8.2300,8.8500,8.6307,2371249,0.0000,1.0000
2018-12-24,8.4800,8.6200,8.3500,8.4300,8.2211,1743843,0.0000,1.0000
2018-12-21,8.7700,8.8600,8.4200,8.5400,8.3284,5204734,0.0000,1.0000
2018-12-20,8.6000,8.7800,8.5300,8.7000,8.4844,3356904,0.0000,1.0000
2018-12-19,9.1600,9.2900,8.5900,8.6900,8.4747,3437892,0.0000,1.0000
2018-12-18,9.3400,9.5150,9.0700,9.1100,8.8842,2715549,0.0000,1.0000
2018-12-17,9.5300,9.6500,9.2400,9.3300,9.0988,2939645,0.0000,1.0000
2018-12-14,9.7600,9.9800,9.5300,9.5900,9.3524,2821037,0.0000,1.0000
2018-12-13,10.2000,10.2400,9.8100,9.8500,9.6059,1882093,0.0000,1.0000
2018-12-12,10.0000,10.3250,10.0000,10.1700,9.9180,1953846,0.0000,1.0000
2018-12-11,10.3400,10.4900,9.8900,9.9300,9.6839,2578696,0.0000,1.0000
2018-12-10,10.6100,10.6400,10.0600,10.1900,9.9375,2723299,0.0000,1.0000
2018-12-07,10.8100,10.9750,10.4600,10.6400,10.3763,2610392,0.0000,1.0000
2018-12-06,10.6000,10.8500,10.3790,10.8100,10.5421,3452707,0.1600,1.0000
2018-12-04,11.3300,11.4600,10.7600,10.8200,10.3980,1965270,0.0000,1.0000
2018-12-03,11.6800,11.8200,11.2100,11.3800,10.9361,2258563,0.0000,1.0000
2018-11-30,11.4000,11.6050,11.3000,11.5000,11.0514,3979813,0.0000,1.0000
2018-11-29,11.2100,11.6300,11.1000,11.4500,11.0034,2791724,0.0000,1.0000
2018-11-28,11.1500,11.2700,10.9200,11.2100,10.7728,2597177,0.0000,1.0000
2018-11-27,11.3300,11.3600,11.0050,11.0800,10.6478,1854715,0.0000,1.0000
2018-11-26,11.3300,11.4800,11.2450,11.3500,10.9073,1621469,0.0000,1.0000
2018-11-23,11.1500,11.3100,11.0800,11.1400,10.7055,942669,0.0000,1.0000
2018-11-21,10.7500,11.3700,10.7500,11.2000,10.7631,3151557,0.0000,1.0000
2018-11-20,11.8700,11.8700,10.6900,10.7300,10.3115,4826677,0.0000,1.0000
2018-11-19,12.1100,12.2500,11.9800,12.0000,11.5319,2816155,0.0000,1.0000
