timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-08-02,8.8000,9.4000,8.2200,8.4700,8.4700,10856,0.0000,1.0000
2019-08-01,8.8500,9.9000,8.1300,8.7800,8.7800,24750,0.0000,1.0000
2019-07-31,9.1254,9.8669,8.6100,8.6100,8.6100,23725,0.0000,1.0000
2019-07-30,9.1400,9.5300,8.7100,9.0000,9.0000,42164,0.0000,1.0000
2019-07-29,8.2500,9.0651,8.0200,9.0200,9.0200,13461,0.0000,1.0000
2019-07-26,7.7100,8.4200,7.5300,8.1100,8.1100,21189,0.0000,1.0000
2019-07-25,8.3975,8.3975,7.8600,7.8600,7.8600,12156,0.0000,1.0000
2019-07-24,9.0000,9.0200,8.1400,8.1400,8.1400,10007,0.0000,1.0000
2019-07-23,9.6500,9.6500,9.1000,9.1000,9.1000,1075,0.0000,1.0000
2019-07-22,9.1601,9.5500,9.1601,9.5500,9.5500,1832,0.0000,1.0000
2019-07-19,9.6500,9.6500,9.2000,9.2600,9.2600,3247,0.0000,1.0000
2019-07-18,9.4400,9.5000,9.2500,9.3500,9.3500,4343,0.0000,1.0000
2019-07-17,9.8500,9.9000,9.3500,9.3500,9.3500,4521,0.0000,1.0000
2019-07-16,9.5045,9.7800,9.4900,9.7800,9.7800,5279,0.0000,1.0000
2019-07-15,9.7400,9.8600,9.5200,9.5800,9.5800,3455,0.0000,1.0000
2019-07-12,9.5100,9.7350,9.5000,9.5200,9.5200,3203,0.0000,1.0000
2019-07-11,9.8700,9.8700,9.3000,9.7500,9.7500,15209,0.0000,1.0000
2019-07-10,10.0600,10.4191,9.0300,9.8600,9.8600,27486,0.0000,1.0000
2019-07-09,9.9281,10.1500,9.1300,10.1500,10.1500,33306,0.0000,1.0000
2019-07-08,9.9000,10.8050,9.8500,9.8800,9.8800,9887,0.0000,1.0000
2019-07-05,10.3600,10.3600,9.6100,9.7900,9.7900,30237,0.0000,1.0000
2019-07-03,10.3100,10.6000,9.9500,10.2000,10.2000,13103,0.0000,1.0000
2019-07-02,10.4600,11.1400,10.1100,10.3100,10.3100,15690,0.0000,1.0000
2019-07-01,10.2200,11.0400,10.0000,10.5600,10.5600,31742,0.0000,1.0000
2019-06-28,9.7200,10.3800,9.6278,10.3800,10.3800,65342,0.0000,1.0000
2019-06-27,9.9400,10.0750,9.1700,9.7900,9.7900,49275,0.0000,1.0000
2019-06-26,10.6000,10.8000,9.5300,9.7400,9.7400,24155,0.0000,1.0000
2019-06-25,10.9200,10.9200,10.5100,10.5100,10.5100,15608,0.0000,1.0000
2019-06-24,11.0800,11.3000,10.4300,10.7500,10.7500,16492,0.0000,1.0000
2019-06-21,11.0300,11.7950,10.3400,10.8100,10.8100,50605,0.0000,1.0000
2019-06-20,11.7600,11.7700,11.2700,11.5400,11.5400,24914,0.0000,1.0000
2019-06-19,12.2579,12.3500,11.7100,11.8400,11.8400,23245,0.0000,1.0000
2019-06-18,12.2900,12.6300,12.0201,12.2000,12.2000,8072,0.0000,1.0000
2019-06-17,11.9600,12.4982,11.7300,11.7300,11.7300,13454,0.0000,1.0000
2019-06-14,12.7851,12.7851,11.7300,11.9400,11.9400,4095,0.0000,1.0000
2019-06-13,12.4900,12.4900,11.6400,11.6500,11.6500,64157,0.0000,1.0000
2019-06-12,11.6900,12.3700,11.2300,11.8800,11.8800,10958,0.0000,1.0000
2019-06-11,11.9702,11.9702,11.4000,11.4000,11.4000,4595,0.0000,1.0000
2019-06-10,12.3944,12.3944,11.1700,11.4700,11.4700,7192,0.0000,1.0000
2019-06-07,12.0500,12.0650,11.8100,11.8100,11.8100,1617,0.0000,1.0000
2019-06-06,12.0000,12.3500,11.3200,12.0300,12.0300,589237,0.0000,1.0000
2019-06-05,12.3100,12.3100,10.8515,11.5100,11.5100,11028,0.0000,1.0000
2019-06-04,12.0400,12.6600,11.7100,11.9200,11.9200,11406,0.0000,1.0000
2019-06-03,12.2400,13.5000,11.5300,11.5300,11.5300,16295,0.0000,1.0000
2019-05-31,14.0316,14.0316,12.0000,12.0000,12.0000,6825,0.0000,1.0000
2019-05-30,13.8000,13.8000,13.8000,13.8000,13.8000,121,0.0000,1.0000
2019-05-29,13.9800,14.4000,13.8000,13.8000,13.8000,3101,0.0000,1.0000
2019-05-28,15.0000,15.0000,13.8600,13.8600,13.8600,8799,0.0000,1.0000
2019-05-24,16.0000,16.0000,14.7100,15.1850,15.1850,2902,0.0000,1.0000
2019-05-23,14.9300,14.9300,14.9300,14.9300,14.9300,278,0.0000,1.0000
2019-05-22,14.1600,14.6250,14.1600,14.4800,14.4800,1294,0.0000,1.0000
2019-05-21,14.1847,14.6300,14.0800,14.3900,14.3900,12037,0.0000,1.0000
2019-05-20,14.7100,14.7100,13.8400,14.2200,14.2200,3033,0.0000,1.0000
2019-05-17,15.1050,15.1050,14.5300,14.5700,14.5700,9258,0.0000,1.0000
2019-05-16,15.0000,15.2750,14.4700,14.5300,14.5300,12934,0.0000,1.0000
2019-05-15,14.4059,15.0000,14.4059,14.8300,14.8300,21834,0.0000,1.0000
2019-05-14,14.7500,15.2685,14.4600,14.5500,14.5500,25807,0.0000,1.0000
2019-05-13,14.5000,15.1400,14.0500,14.2400,14.2400,9672,0.0000,1.0000
2019-05-10,14.7500,16.1200,14.0700,14.4200,14.4200,9772,0.0000,1.0000
2019-05-09,14.4900,15.0750,13.8500,14.1400,14.1400,20389,0.0000,1.0000
2019-05-08,15.0000,15.3400,14.3300,14.3300,14.3300,24984,0.0000,1.0000
2019-05-07,15.3300,15.9700,14.4821,15.1200,15.1200,17109,0.0000,1.0000
2019-05-06,15.7900,15.9100,15.0000,15.6600,15.6600,28608,0.0000,1.0000
2019-05-03,15.1200,15.9500,15.1200,15.7500,15.7500,30400,0.0000,1.0000
2019-05-02,15.4800,17.0000,14.7700,15.2000,15.2000,25926,0.0000,1.0000
2019-05-01,15.0000,15.6000,14.8700,15.1900,15.1900,16627,0.0000,1.0000
2019-04-30,15.1500,15.6071,14.5300,15.0000,15.0000,21633,0.0000,1.0000
2019-04-29,14.4250,15.1000,14.0200,14.9800,14.9800,151165,0.0000,1.0000
2019-04-26,12.8000,13.7000,12.8000,13.1800,13.1800,197630,0.0000,1.0000
2019-04-25,12.5500,13.3000,12.5500,12.7800,12.7800,7030,0.0000,1.0000
2019-04-24,12.9200,13.5500,12.7200,12.7200,12.7200,9173,0.0000,1.0000
2019-04-23,13.7200,13.9300,12.9300,12.9300,12.9300,12487,0.0000,1.0000
2019-04-22,13.8100,14.9500,13.5600,13.6500,13.6500,12411,0.0000,1.0000
2019-04-18,13.9100,14.7000,13.5500,13.5500,13.5500,12330,0.0000,1.0000
2019-04-17,13.9300,14.0750,12.9000,14.0000,14.0000,10282,0.0000,1.0000
2019-04-16,15.2000,15.6810,13.6800,14.0000,14.0000,50011,0.0000,1.0000
2019-04-15,15.8400,16.4000,15.1500,15.2000,15.2000,60018,0.0000,1.0000
2019-04-12,16.0700,17.0600,15.3150,15.9500,15.9500,110908,0.0000,1.0000
2019-04-11,17.0300,17.0900,15.4150,16.2000,16.2000,119467,0.0000,1.0000
2019-04-10,15.7400,17.1600,15.2450,17.1600,17.1600,209990,0.0000,1.0000
2019-04-09,15.7000,16.0700,15.5250,15.9700,15.9700,18087,0.0000,1.0000
2019-04-08,16.9050,17.0000,15.7000,15.7500,15.7500,43800,0.0000,1.0000
2019-04-05,17.3000,17.3300,16.9750,17.0600,17.0600,45899,0.0000,1.0000
2019-04-04,16.8000,17.9200,16.6800,17.0000,17.0000,44776,0.0000,1.0000
2019-04-03,17.2450,17.7695,16.9400,17.4500,17.4500,27197,0.0000,1.0000
2019-04-02,17.0000,17.5200,16.2100,17.2500,17.2500,31376,0.0000,1.0000
2019-04-01,16.9800,17.7600,16.9400,17.4500,17.4500,39554,0.0000,1.0000
2019-03-29,15.6200,17.4000,15.5100,17.0000,17.0000,43480,0.0000,1.0000
2019-03-28,15.7700,16.9885,15.7000,15.7400,15.7400,11702,0.0000,1.0000
2019-03-27,16.9600,16.9600,15.3000,15.8500,15.8500,27982,0.0000,1.0000
2019-03-26,16.7100,17.0534,15.9200,16.1600,16.1600,8089,0.0000,1.0000
2019-03-25,18.9461,18.9461,16.5400,16.7400,16.7400,64534,0.0000,1.0000
2019-03-22,17.3200,19.2800,16.8700,18.0300,18.0300,81520,0.0000,1.0000
2019-03-21,16.5700,17.8500,16.5700,17.0400,17.0400,25873,0.0000,1.0000
2019-03-20,15.3900,16.1700,15.0500,16.0000,16.0000,35184,0.0000,1.0000
2019-03-19,16.6600,17.1500,15.2600,15.5200,15.5200,48832,0.0000,1.0000
2019-03-18,15.9800,16.9900,14.4500,16.5000,16.5000,159367,0.0000,1.0000
2019-03-15,15.4300,16.1899,15.0000,16.1000,16.1000,167343,0.0000,1.0000
2019-03-14,15.1659,15.7500,14.7600,15.5200,15.5200,103700,0.0000,1.0000
2019-03-13,13.9750,15.9100,13.5901,15.0800,15.0800,669726,0.0000,1.0000
2019-03-12,13.8000,14.0000,13.2600,13.2600,13.2600,18031,0.0000,1.0000
2019-03-11,13.3300,14.5300,13.3300,13.8600,13.8600,10817,0.0000,1.0000
2019-03-08,12.1700,14.9400,12.1000,13.0000,13.0000,141104,0.0000,1.0000
2019-03-07,12.4500,12.4500,12.0701,12.2400,12.2400,25941,0.0000,1.0000
2019-03-06,13.5500,13.5500,12.2100,12.5600,12.5600,56828,0.0000,1.0000
2019-03-05,12.7900,13.6000,12.7500,13.4300,13.4300,52571,0.0000,1.0000
2019-03-04,11.9000,13.0000,11.7000,12.9000,12.9000,165119,0.0000,1.0000
2019-03-01,11.5614,11.8600,11.0100,11.5200,11.5200,14251,0.0000,1.0000
2019-02-28,11.9400,12.3300,11.7500,11.9000,11.9000,12831,0.0000,1.0000
2019-02-27,11.8300,12.0300,11.7000,11.8700,11.8700,43870,0.0000,1.0000
2019-02-26,11.9000,12.3100,11.6500,11.7800,11.7800,63148,0.0000,1.0000
2019-02-25,11.6600,12.1000,11.6500,11.7300,11.7300,27135,0.0000,1.0000
2019-02-22,11.5800,11.9200,11.5500,11.7100,11.7100,93884,0.0000,1.0000
2019-02-21,11.6500,11.9500,11.5500,11.5600,11.5600,63564,0.0000,1.0000
2019-02-20,11.6135,11.9000,11.5000,11.6600,11.6600,20035,0.0000,1.0000
2019-02-19,11.5700,11.8400,11.5500,11.5500,11.5500,11240,0.0000,1.0000
2019-02-15,11.4200,11.9200,11.4200,11.7200,11.7200,40296,0.0000,1.0000
2019-02-14,11.9000,11.9400,11.0900,11.3100,11.3100,25281,0.0000,1.0000
2019-02-13,11.1354,11.8300,10.8300,11.4900,11.4900,63683,0.0000,1.0000
2019-02-12,11.5800,11.9500,10.8741,11.1800,11.1800,46642,0.0000,1.0000
2019-02-11,11.1000,11.9000,11.1000,11.5875,11.5875,36884,0.0000,1.0000
2019-02-08,10.3700,11.9800,10.3700,10.9200,10.9200,269316,0.0000,1.0000
2019-02-07,11.8400,12.8600,10.8600,10.9600,10.9600,54493,0.0000,1.0000
2019-02-06,12.1200,12.2900,11.6300,12.0200,12.0200,158194,0.0000,1.0000
