timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-08-02,5.3765,5.5600,5.5400,5.5600,5.5600,1052,0.0000,1.0000
2019-08-01,5.5500,5.5500,5.5500,5.5500,5.5500,140,0.0000,1.0000
2019-07-31,5.9000,5.9000,5.8250,5.8250,5.8250,295,0.0000,1.0000
2019-07-30,5.6400,5.9000,5.6400,5.8600,5.8600,1959,0.0000,1.0000
2019-07-29,5.9600,5.9600,5.6000,5.6000,5.6000,7331,0.0000,1.0000
2019-07-26,6.0100,6.0250,5.8900,5.8950,5.8950,1110,0.0000,1.0000
2019-07-25,6.1600,6.1600,6.0000,6.0500,6.0500,2427,0.0000,1.0000
2019-07-24,6.0300,6.0700,5.9850,6.0400,6.0400,29516,0.0000,1.0000
2019-07-23,6.0000,6.1000,5.8900,6.0500,6.0500,21056,0.0000,1.0000
2019-07-22,6.0000,6.0400,5.8601,6.0000,6.0000,4478,0.0000,1.0000
2019-07-19,6.0200,6.1100,6.0100,6.0700,6.0700,4379,0.0000,1.0000
2019-07-18,6.1900,6.2300,5.8893,6.1600,6.1600,3623,0.0000,1.0000
2019-07-17,6.1100,6.4000,5.8200,6.2300,6.2300,4880,0.0000,1.0000
2019-07-16,6.2100,6.2100,6.1197,6.1197,6.1197,654,0.0000,1.0000
2019-07-15,6.4100,6.4100,6.1700,6.3900,6.3900,14930,0.0000,1.0000
2019-07-12,5.8500,6.4800,5.6300,6.3400,6.3400,216629,0.0000,1.0000
2019-07-11,5.5600,6.1600,5.5600,5.9000,5.9000,29496,0.0000,1.0000
2019-07-10,5.3800,6.1200,5.2620,5.7500,5.7500,114600,0.0000,1.0000
2019-07-09,5.3700,5.4300,5.3700,5.4200,5.4200,962,0.0000,1.0000
2019-07-08,5.2863,5.4400,5.2700,5.3800,5.3800,1180,0.0000,1.0000
2019-07-05,5.5400,5.6850,5.3900,5.4000,5.4000,5471,0.0000,1.0000
2019-07-03,5.5200,5.6800,5.5100,5.6800,5.6800,987,0.0000,1.0000
2019-07-02,5.6200,5.7900,5.5600,5.7773,5.7773,55966,0.0000,1.0000
2019-07-01,5.6180,5.7268,5.5900,5.7200,5.7200,5374,0.0000,1.0000
2019-06-28,5.4727,5.5500,5.2500,5.5000,5.5000,7212,0.0000,1.0000
2019-06-27,5.5500,5.5899,5.4400,5.5830,5.5830,12620,0.0000,1.0000
2019-06-26,5.4000,5.5500,5.4000,5.4850,5.4850,506,0.0000,1.0000
2019-06-25,5.6500,5.6500,5.3200,5.6000,5.6000,2711,0.0000,1.0000
2019-06-24,5.4600,5.7000,5.3700,5.4900,5.4900,4147,0.0000,1.0000
2019-06-21,5.5699,5.5699,5.4000,5.4097,5.4097,5518,0.0000,1.0000
2019-06-20,5.4100,5.4100,5.4100,5.4100,5.4100,750,0.0000,1.0000
2019-06-19,5.2948,5.4400,5.2900,5.4000,5.4000,5961,0.0000,1.0000
2019-06-18,5.2499,5.2500,5.1600,5.2500,5.2500,3352,0.0000,1.0000
2019-06-17,5.1758,5.1758,5.1758,5.1758,5.1758,539,0.0000,1.0000
2019-06-14,5.2800,5.2800,5.2800,5.2800,5.2800,1079,0.0000,1.0000
2019-06-13,5.1758,5.2300,5.1758,5.1910,5.1910,1377,0.0000,1.0000
2019-06-12,5.2605,5.2605,5.1758,5.2391,5.2391,968,0.0000,1.0000
2019-06-11,5.2156,5.2156,5.2156,5.2156,5.2156,467,0.0000,1.0000
2019-06-10,5.3800,5.4500,5.1600,5.1800,5.1800,4816,0.0000,1.0000
2019-06-07,5.5400,5.5400,5.2700,5.2700,5.2700,224,0.0000,1.0000
2019-06-06,5.3090,5.3500,5.2200,5.2600,5.2600,3878,0.0000,1.0000
2019-06-05,5.4600,5.5120,5.1803,5.1803,5.1803,18894,0.0000,1.0000
2019-06-04,5.5300,5.7200,5.3300,5.5027,5.5027,26330,0.0000,1.0000
2019-06-03,5.7600,5.8300,5.5000,5.5650,5.5650,7742,0.0000,1.0000
2019-05-31,5.8521,5.8800,5.7100,5.7300,5.7300,17475,0.0000,1.0000
2019-05-30,6.0500,6.1400,5.9000,5.9000,5.9000,61032,0.0000,1.0000
2019-05-29,6.2500,6.2700,6.0000,6.0000,6.0000,109168,0.0000,1.0000
2019-05-28,6.3000,6.3427,6.2310,6.2700,6.2700,4089,0.0000,1.0000
2019-05-24,6.3000,6.3000,6.2500,6.3000,6.3000,860,0.0000,1.0000
2019-05-23,6.3104,6.3400,6.2504,6.3100,6.3100,3783,0.0000,1.0000
2019-05-22,6.3000,6.4500,6.2913,6.4500,6.4500,1208,0.0000,1.0000
2019-05-21,6.3300,6.3687,6.3086,6.3687,6.3687,2239,0.0000,1.0000
2019-05-20,6.2310,6.3400,6.2310,6.2900,6.2900,15049,0.0000,1.0000
2019-05-17,6.5038,6.5900,6.0400,6.2500,6.2500,22264,0.0000,1.0000
2019-05-16,6.7800,6.7800,6.0900,6.5928,6.5928,81251,0.0000,1.0000
2019-05-15,7.1844,7.1844,6.7300,6.7884,6.7884,70030,0.0000,1.0000
2019-05-14,7.4500,7.4500,7.2000,7.2000,7.2000,7242,0.0000,1.0000
2019-05-13,7.4100,7.5130,7.2025,7.4300,7.4300,10850,0.0000,1.0000
2019-05-10,7.7181,7.7181,7.5100,7.5600,7.5600,4172,0.0000,1.0000
2019-05-09,7.5200,7.7000,7.4419,7.6600,7.6600,49090,0.0000,1.0000
2019-05-08,7.6600,7.8200,7.6100,7.6200,7.6200,13748,0.0000,1.0000
2019-05-07,7.4000,7.7400,7.3200,7.5700,7.5700,525323,0.0000,1.0000
2019-05-06,7.3700,7.3900,7.0824,7.3900,7.3900,34207,0.0000,1.0000
2019-05-03,7.3000,7.5800,7.3000,7.5700,7.5700,13571,0.0000,1.0000
2019-05-02,7.6141,7.7200,7.3550,7.3900,7.3900,31908,0.0000,1.0000
2019-05-01,7.7460,7.8200,7.6400,7.8000,7.8000,15030,0.0000,1.0000
2019-04-30,8.3000,9.1000,7.4800,7.6200,7.6200,172600,0.0000,1.0000
2019-04-29,8.1001,8.2900,8.1001,8.2702,8.2702,4856,0.0000,1.0000
2019-04-26,8.0100,8.3000,8.0100,8.1300,8.1300,5213,0.0000,1.0000
2019-04-25,7.9000,8.0300,7.8900,8.0100,8.0100,14962,0.0000,1.0000
2019-04-24,7.8200,7.9596,7.8100,7.9000,7.9000,10904,0.0000,1.0000
2019-04-23,7.6500,8.0200,7.6422,7.8700,7.8700,63737,0.0000,1.0000
2019-04-22,7.0300,7.8800,7.0300,7.8000,7.8000,93755,0.0000,1.0000
2019-04-18,7.1100,7.6804,7.1100,7.6100,7.6100,15828,0.0000,1.0000
2019-04-17,7.6500,7.6900,7.2300,7.6500,7.6500,11597,0.0000,1.0000
2019-04-16,7.7700,7.7700,7.6400,7.6800,7.6800,4264,0.0000,1.0000
2019-04-15,7.7200,7.7200,7.6000,7.7000,7.7000,5819,0.0000,1.0000
2019-04-12,7.7918,7.7918,7.6101,7.7299,7.7299,7682,0.0000,1.0000
2019-04-11,7.4732,7.8400,7.4732,7.7400,7.7400,10623,0.0000,1.0000
2019-04-10,7.8400,7.8400,7.5000,7.6400,7.6400,128584,0.0000,1.0000
2019-04-09,7.5200,7.7500,7.4400,7.7500,7.7500,37448,0.0000,1.0000
2019-04-08,7.5300,7.6500,7.3800,7.6200,7.6200,87989,0.0000,1.0000
2019-04-05,7.5610,7.7100,7.4700,7.6500,7.6500,35260,0.0000,1.0000
2019-04-04,7.7200,7.8800,7.5100,7.7500,7.7500,24765,0.0000,1.0000
2019-04-03,7.7200,7.9800,7.4400,7.6500,7.6500,22984,0.0000,1.0000
2019-04-02,7.6000,7.7500,7.4500,7.6500,7.6500,8397,0.0000,1.0000
2019-04-01,7.3500,7.6500,7.3500,7.5100,7.5100,120423,0.0000,1.0000
2019-03-29,7.3800,7.4000,7.1950,7.2700,7.2700,52747,0.0000,1.0000
2019-03-28,7.5900,7.5900,7.1100,7.1500,7.1500,95691,0.0000,1.0000
2019-03-27,7.2201,7.5000,7.2100,7.5000,7.5000,7113,0.0000,1.0000
