timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-08-02,4.7900,4.9857,4.7720,4.7975,4.7975,5038,0.0000,1.0000
2019-08-01,4.9200,5.0000,4.7658,4.8300,4.8300,12795,0.0000,1.0000
2019-07-31,5.0100,5.1000,4.8624,4.9200,4.9200,13561,0.0000,1.0000
2019-07-30,4.9500,5.0900,4.7901,5.0100,5.0100,16562,0.0000,1.0000
2019-07-29,4.8834,5.0150,4.8000,4.8200,4.8200,17890,0.0000,1.0000
2019-07-26,4.9995,5.1000,4.9800,5.0100,5.0100,16609,0.0000,1.0000
2019-07-25,5.0297,5.1000,4.9200,4.9700,4.9700,13249,0.0000,1.0000
2019-07-24,4.8700,5.1460,4.8335,4.9500,4.9500,14526,0.0000,1.0000
2019-07-23,5.1500,5.1500,4.8200,4.9000,4.9000,31678,0.0000,1.0000
2019-07-22,5.1500,5.3800,5.0100,5.1600,5.1600,15402,0.0000,1.0000
2019-07-19,5.0800,5.3100,5.0800,5.1500,5.1500,33610,0.0000,1.0000
2019-07-18,5.2200,5.3000,5.0700,5.1300,5.1300,10622,0.0000,1.0000
2019-07-17,5.8500,5.8600,4.9100,5.1700,5.1700,45277,0.0000,1.0000
2019-07-16,5.9100,5.9100,5.8500,5.8900,5.8900,8059,0.0000,1.0000
2019-07-15,5.9100,5.9100,5.8500,5.8600,5.8600,7893,0.0000,1.0000
2019-07-12,5.9375,6.1000,5.8200,5.8600,5.8600,35085,0.0000,1.0000
2019-07-11,5.9700,6.1908,5.8550,5.8900,5.8900,11040,0.0000,1.0000
2019-07-10,5.8990,5.9800,5.8700,5.9600,5.9600,27261,0.0000,1.0000
2019-07-09,5.7700,5.9400,5.7388,5.8500,5.8500,6120,0.0000,1.0000
2019-07-08,5.9300,6.1300,5.7100,5.7700,5.7700,25364,0.0000,1.0000
2019-07-05,5.9900,6.0450,5.8000,5.9300,5.9300,21236,0.0000,1.0000
2019-07-03,5.9400,6.1300,5.8700,6.0100,6.0100,5245,0.0000,1.0000
2019-07-02,6.1200,6.2100,5.8600,5.9000,5.9000,24566,0.0000,1.0000
2019-07-01,6.3000,6.3000,5.9000,5.9000,5.9000,78116,0.0000,1.0000
2019-06-28,6.1400,6.3800,5.7955,6.3200,6.3200,484709,0.0000,1.0000
2019-06-27,5.9500,6.2150,5.9300,6.1000,6.1000,47940,0.0000,1.0000
2019-06-26,6.0700,6.3100,5.9000,6.0000,6.0000,39193,0.0000,1.0000
2019-06-25,6.1500,6.1500,5.8400,6.0900,6.0900,25923,0.0000,1.0000
2019-06-24,6.0400,6.3200,6.0400,6.2100,6.2100,25395,0.0000,1.0000
2019-06-21,6.6000,6.6000,5.9400,6.0400,6.0400,90079,0.0000,1.0000
2019-06-20,6.2300,6.6700,6.2250,6.6500,6.6500,45598,0.0000,1.0000
2019-06-19,6.3800,6.7100,6.3800,6.5000,6.5000,44158,0.0000,1.0000
2019-06-18,6.5800,6.5900,6.3600,6.4900,6.4900,49893,0.0000,1.0000
2019-06-17,6.3000,6.4900,6.0000,6.3500,6.3500,83460,0.0000,1.0000
2019-06-14,5.9300,6.3000,5.9201,6.2100,6.2100,59604,0.0000,1.0000
2019-06-13,5.7500,6.1000,5.6650,5.9800,5.9800,45662,0.0000,1.0000
2019-06-12,5.3950,5.9000,5.3700,5.8300,5.8300,29742,0.0000,1.0000
2019-06-11,5.9000,5.9000,5.6000,5.8000,5.8000,23166,0.0000,1.0000
2019-06-10,5.9000,5.9200,5.6381,5.8500,5.8500,33301,0.0000,1.0000
2019-06-07,5.8700,6.1000,5.7900,5.8800,5.8800,37764,0.0000,1.0000
2019-06-06,5.7800,5.9600,5.4800,5.8800,5.8800,38032,0.0000,1.0000
2019-06-05,5.5900,5.7000,5.4300,5.6500,5.6500,22889,0.0000,1.0000
2019-06-04,5.5400,5.5500,5.2600,5.4800,5.4800,45386,0.0000,1.0000
2019-06-03,5.4300,5.5500,5.3000,5.4200,5.4200,11459,0.0000,1.0000
2019-05-31,5.4300,5.5500,5.1225,5.4300,5.4300,50111,0.0000,1.0000
2019-05-30,5.3400,5.4950,5.2500,5.4200,5.4200,28320,0.0000,1.0000
2019-05-29,5.3300,5.4500,5.2088,5.2300,5.2300,21149,0.0000,1.0000
2019-05-28,5.4800,5.8410,5.2600,5.3000,5.3000,40379,0.0000,1.0000
2019-05-24,5.5451,5.6800,5.1700,5.4100,5.4100,23041,0.0000,1.0000
2019-05-23,5.4200,5.5600,5.1000,5.2000,5.2000,24583,0.0000,1.0000
2019-05-22,5.3100,5.7700,5.3100,5.4700,5.4700,9396,0.0000,1.0000
2019-05-21,5.4800,5.5300,5.0500,5.3300,5.3300,19473,0.0000,1.0000
2019-05-20,5.4700,5.5300,5.2000,5.4300,5.4300,25935,0.0000,1.0000
2019-05-17,5.5000,5.8989,5.3700,5.4300,5.4300,22001,0.0000,1.0000
2019-05-16,5.9000,5.9000,5.3000,5.5000,5.5000,67118,0.0000,1.0000
2019-05-15,5.4000,5.9400,5.3900,5.8800,5.8800,43485,0.0000,1.0000
2019-05-14,5.2500,5.4642,5.1000,5.4500,5.4500,44925,0.0000,1.0000
2019-05-13,5.3142,5.4000,5.1000,5.2500,5.2500,29432,0.0000,1.0000
2019-05-10,5.3265,5.4400,5.3000,5.4400,5.4400,16835,0.0000,1.0000
2019-05-09,5.5000,5.5000,5.3000,5.3200,5.3200,22411,0.0000,1.0000
2019-05-08,5.3101,5.5000,5.3101,5.4500,5.4500,20700,0.0000,1.0000
2019-05-07,5.5450,5.7350,5.3800,5.3800,5.3800,26095,0.0000,1.0000
2019-05-06,5.3700,5.5800,5.2500,5.4700,5.4700,24678,0.0000,1.0000
2019-05-03,5.4200,5.5600,5.3342,5.4400,5.4400,20270,0.0000,1.0000
2019-05-02,5.6000,5.6900,5.4200,5.4500,5.4500,51962,0.0000,1.0000
2019-05-01,5.5700,5.7683,5.5100,5.5200,5.5200,34910,0.0000,1.0000
2019-04-30,5.5700,5.8000,5.5100,5.5500,5.5500,95489,0.0000,1.0000
2019-04-29,5.5200,5.8200,5.3595,5.7500,5.7500,25997,0.0000,1.0000
2019-04-26,5.4000,5.6500,5.2500,5.5100,5.5100,28573,0.0000,1.0000
2019-04-25,5.2900,5.5542,5.2500,5.3000,5.3000,14566,0.0000,1.0000
2019-04-24,5.3700,5.3700,5.2200,5.2200,5.2200,5120,0.0000,1.0000
2019-04-23,5.2200,5.3900,5.1700,5.3900,5.3900,25062,0.0000,1.0000
2019-04-22,5.1600,5.2690,5.1600,5.1700,5.1700,12637,0.0000,1.0000
2019-04-18,5.2000,5.2600,5.0753,5.1600,5.1600,15568,0.0000,1.0000
2019-04-17,5.2700,5.7200,5.1800,5.2400,5.2400,27753,0.0000,1.0000
2019-04-16,5.1800,5.3900,5.0300,5.3100,5.3100,23190,0.0000,1.0000
2019-04-15,5.1200,5.3700,5.0200,5.2800,5.2800,28881,0.0000,1.0000
2019-04-12,5.2800,5.3250,4.9300,5.1900,5.1900,14966,0.0000,1.0000
2019-04-11,5.2100,5.4300,5.1000,5.2800,5.2800,7397,0.0000,1.0000
2019-04-10,5.0300,5.1700,5.0300,5.1500,5.1500,7189,0.0000,1.0000
