timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-08-02,1.6900,1.6900,1.6450,1.6800,1.6800,1615569,0.0000,1.0000
2019-08-01,1.7100,1.7200,1.6500,1.6800,1.6800,1018620,0.0000,1.0000
2019-07-31,1.7000,1.7300,1.6700,1.7100,1.7100,374549,0.0000,1.0000
2019-07-30,1.7300,1.7550,1.6800,1.7000,1.7000,502782,0.0000,1.0000
2019-07-29,1.7800,1.7800,1.7000,1.7300,1.7300,561000,0.0000,1.0000
2019-07-26,1.7500,1.7900,1.7200,1.7800,1.7800,468766,0.0000,1.0000
2019-07-25,1.7600,1.7950,1.7300,1.7500,1.7500,658699,0.0000,1.0000
2019-07-24,1.8000,1.8100,1.7500,1.7700,1.7700,426533,0.0000,1.0000
2019-07-23,1.8000,1.8100,1.7700,1.7800,1.7800,241534,0.0000,1.0000
2019-07-22,1.8100,1.8300,1.7500,1.8000,1.8000,498337,0.0000,1.0000
2019-07-19,1.8000,1.8100,1.7600,1.8100,1.8100,447499,0.0000,1.0000
2019-07-18,1.7600,1.8100,1.7400,1.8000,1.8000,580997,0.0000,1.0000
2019-07-17,1.8000,1.8100,1.7300,1.7600,1.7600,385939,0.0000,1.0000
2019-07-16,1.8100,1.8300,1.7800,1.8100,1.8100,535698,0.0000,1.0000
2019-07-15,1.8000,1.8200,1.7600,1.8000,1.8000,726889,0.0000,1.0000
2019-07-12,1.7800,1.8150,1.7600,1.8000,1.8000,687210,0.0000,1.0000
2019-07-11,1.7800,1.8200,1.7500,1.7800,1.7800,787500,0.0000,1.0000
2019-07-10,1.8000,1.8500,1.7700,1.7800,1.7800,957019,0.0000,1.0000
2019-07-09,1.8100,1.8600,1.7600,1.8000,1.8000,913554,0.0000,1.0000
2019-07-08,1.8500,1.8800,1.7650,1.8100,1.8100,805240,0.0000,1.0000
2019-07-05,1.7100,1.8600,1.7000,1.8500,1.8500,978847,0.0000,1.0000
2019-07-03,1.6800,1.7300,1.6700,1.7100,1.7100,979187,0.0000,1.0000
2019-07-02,1.7000,1.7500,1.5800,1.6700,1.6700,5965129,0.0000,1.0000
2019-07-01,1.7400,1.7800,1.6800,1.7000,1.7000,1065964,0.0000,1.0000
2019-06-28,1.7300,1.7700,1.5800,1.6900,1.6900,13020398,0.0000,1.0000
2019-06-27,1.7100,1.8150,1.7000,1.7700,1.7700,865927,0.0000,1.0000
2019-06-26,1.7800,1.8000,1.6700,1.7100,1.7100,926347,0.0000,1.0000
2019-06-25,1.8500,1.8600,1.7600,1.7600,1.7600,472455,0.0000,1.0000
2019-06-24,1.9000,1.9200,1.8100,1.8500,1.8500,536039,0.0000,1.0000
2019-06-21,1.8900,1.9200,1.8400,1.8800,1.8800,913264,0.0000,1.0000
2019-06-20,1.9300,1.9800,1.8800,1.9100,1.9100,1053571,0.0000,1.0000
2019-06-19,1.8300,1.9450,1.8300,1.9300,1.9300,726475,0.0000,1.0000
