timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-08-02,0.4275,0.4275,0.3700,0.3783,0.3783,63202,0.0000,1.0000
2019-08-01,0.3900,0.4285,0.3800,0.3950,0.3950,283483,0.0000,1.0000
2019-07-31,0.3777,0.3900,0.3725,0.3735,0.3735,31919,0.0000,1.0000
2019-07-30,0.3600,0.3797,0.3600,0.3706,0.3706,18236,0.0000,1.0000
2019-07-29,0.3600,0.3799,0.3600,0.3719,0.3719,30625,0.0000,1.0000
2019-07-26,0.3800,0.3800,0.3601,0.3680,0.3680,70588,0.0000,1.0000
2019-07-25,0.3680,0.3800,0.3612,0.3749,0.3749,33345,0.0000,1.0000
2019-07-24,0.3708,0.3800,0.3621,0.3749,0.3749,58453,0.0000,1.0000
2019-07-23,0.4000,0.4000,0.3628,0.3931,0.3931,154221,0.0000,1.0000
2019-07-22,0.3900,0.3900,0.3610,0.3899,0.3899,33681,0.0000,1.0000
2019-07-19,0.4000,0.4009,0.3802,0.3980,0.3980,67549,0.0000,1.0000
2019-07-18,0.4500,0.4500,0.3550,0.3840,0.3840,291565,0.0000,1.0000
2019-07-17,0.4270,0.4810,0.4200,0.4577,0.4577,235742,0.0000,1.0000
2019-07-16,0.4200,0.4500,0.4060,0.4270,0.4270,108679,0.0000,1.0000
2019-07-15,0.4900,0.4900,0.4321,0.4350,0.4350,111614,0.0000,1.0000
2019-07-12,0.4900,0.4900,0.4200,0.4500,0.4500,82781,0.0000,1.0000
2019-07-11,0.4150,0.5000,0.4150,0.4550,0.4550,687681,0.0000,1.0000
2019-07-10,0.4300,0.4389,0.4060,0.4222,0.4222,89821,0.0000,1.0000
2019-07-09,0.4499,0.4499,0.4100,0.4190,0.4190,75034,0.0000,1.0000
2019-07-08,0.4400,0.4600,0.4100,0.4231,0.4231,103401,0.0000,1.0000
2019-07-05,0.4200,0.4550,0.4200,0.4280,0.4280,41304,0.0000,1.0000
2019-07-03,0.4200,0.4680,0.4000,0.4100,0.4100,33375,0.0000,1.0000
2019-07-02,0.4700,0.4700,0.3600,0.4200,0.4200,179810,0.0000,1.0000
