timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-08-02,24.9301,24.9593,24.9200,24.9593,24.9593,3111,0.0000,1.0000
2019-08-01,24.9575,24.9700,24.8000,24.9700,24.9700,1498,0.0000,1.0000
2019-07-31,24.8500,24.9900,24.8500,24.9000,24.9000,10039,0.0000,1.0000
2019-07-30,24.8467,24.9714,24.8466,24.8940,24.8940,2823,0.0000,1.0000
2019-07-29,24.9800,25.0000,24.8101,24.9700,24.9700,19145,0.0000,1.0000
2019-07-26,24.7947,25.0000,24.7947,24.9722,24.9722,6300,0.0000,1.0000
2019-07-25,24.8529,24.8800,24.8529,24.8612,24.8612,1866,0.0000,1.0000
2019-07-24,24.8305,24.8800,24.7600,24.8450,24.8450,6437,0.0000,1.0000
2019-07-23,24.5900,24.8800,24.5900,24.7912,24.7912,13716,0.0000,1.0000
2019-07-22,24.7500,24.7615,24.5800,24.5800,24.5800,3713,0.0000,1.0000
2019-07-19,24.7000,24.7779,24.7000,24.7779,24.7779,6616,0.0000,1.0000
2019-07-18,24.6500,24.7500,24.6500,24.7250,24.7250,3646,0.0000,1.0000
2019-07-17,24.7500,24.7500,24.6024,24.6024,24.6024,4514,0.0000,1.0000
2019-07-16,24.7400,24.7400,24.6700,24.7348,24.7348,5071,0.0000,1.0000
2019-07-15,24.5000,24.6710,24.4824,24.6100,24.6100,9363,0.0000,1.0000
2019-07-12,24.4800,24.5000,24.4606,24.4948,24.4948,3897,0.0000,1.0000
2019-07-11,24.4900,24.4900,24.4100,24.4640,24.4640,7686,0.0000,1.0000
2019-07-10,24.4600,24.4600,24.4150,24.4500,24.4500,2657,0.0000,1.0000
2019-07-09,24.5200,24.5200,24.3800,24.4500,24.4500,4093,0.0000,1.0000
2019-07-08,24.4000,24.4300,24.3800,24.3800,24.3800,5142,0.0000,1.0000
2019-07-05,24.4500,24.4500,24.2300,24.3579,24.3579,2816,0.0000,1.0000
2019-07-03,24.3930,24.3930,24.3930,24.3930,24.3930,201,0.0000,1.0000
2019-07-02,24.2800,24.4600,24.2500,24.3001,24.3001,5039,0.0000,1.0000
2019-07-01,24.5900,24.5900,24.0100,24.0800,24.0800,3081,0.0000,1.0000
2019-06-28,24.2100,24.2905,24.0309,24.0600,24.0600,15745,0.4844,1.0000
2019-06-27,24.6340,24.6999,24.5100,24.5600,24.0753,11365,0.0000,1.0000
2019-06-26,24.6700,24.6900,24.6400,24.6400,24.1537,12375,0.0000,1.0000
2019-06-25,24.6400,24.6709,24.6400,24.6709,24.1840,15552,0.0000,1.0000
2019-06-24,24.6851,24.6851,24.6158,24.6400,24.1537,15771,0.0000,1.0000
2019-06-21,24.5000,24.6380,24.5000,24.6300,24.1439,5185,0.0000,1.0000
2019-06-20,24.5801,24.6999,24.5700,24.6280,24.1420,8756,0.0000,1.0000
2019-06-19,24.6500,24.6700,24.5200,24.5760,24.0910,15889,0.0000,1.0000
2019-06-18,24.5700,24.6000,24.5101,24.5101,24.0264,10342,0.0000,1.0000
2019-06-17,24.4500,24.5400,24.4500,24.5400,24.0557,24947,0.0000,1.0000
2019-06-14,24.4700,24.4700,24.4010,24.4300,23.9479,4699,0.0000,1.0000
2019-06-13,24.5000,24.5000,24.4700,24.4800,23.9969,2957,0.0000,1.0000
2019-06-12,24.4301,24.6000,24.4126,24.4700,23.9871,5823,0.0000,1.0000
2019-06-11,24.4800,24.5600,24.4500,24.4500,23.9675,9092,0.0000,1.0000
2019-06-10,24.4800,24.4800,24.4000,24.4500,23.9675,2406,0.0000,1.0000
2019-06-07,24.4200,24.4800,24.3000,24.4800,23.9969,5400,0.0000,1.0000
2019-06-06,24.4800,24.4800,24.4074,24.4703,23.9874,5987,0.0000,1.0000
2019-06-05,24.4650,24.4800,24.4300,24.4700,23.9871,4445,0.0000,1.0000
2019-06-04,24.1500,24.5099,24.1500,24.4210,23.9391,5931,0.0000,1.0000
2019-06-03,24.0300,24.3051,24.0300,24.1674,23.6905,1266,0.0000,1.0000
2019-05-31,24.3000,24.4215,23.9000,24.3300,23.8499,14668,0.0000,1.0000
2019-05-30,24.5280,24.5800,24.4400,24.4800,23.9969,6565,0.0000,1.0000
2019-05-29,24.5200,24.5400,24.4567,24.5119,24.0282,11540,0.0000,1.0000
2019-05-28,24.5250,24.5800,24.4900,24.5150,24.0312,7255,0.0000,1.0000
2019-05-24,24.4974,24.5102,24.4500,24.4660,23.9832,4356,0.0000,1.0000
2019-05-23,24.4500,24.5000,24.4500,24.4500,23.9675,4505,0.0000,1.0000
2019-05-22,24.5500,24.6000,24.4600,24.5000,24.0165,3394,0.0000,1.0000
2019-05-21,24.4969,24.6000,24.4500,24.5000,24.0165,12750,0.0000,1.0000
2019-05-20,24.5000,24.5000,24.4900,24.4900,24.0067,4045,0.0000,1.0000
2019-05-17,24.4000,24.4300,24.4000,24.4200,23.9381,6023,0.0000,1.0000
2019-05-16,24.4000,24.4200,24.3900,24.4000,23.9185,11242,0.0000,1.0000
2019-05-15,24.4300,24.4550,24.3281,24.4000,23.9185,11750,0.0000,1.0000
2019-05-14,24.4167,24.4800,24.4167,24.4200,23.9381,4371,0.0000,1.0000
2019-05-13,24.4500,24.4500,24.4200,24.4200,23.9381,3891,0.0000,1.0000
2019-05-10,24.4638,24.5000,24.4201,24.4499,23.9674,5346,0.0000,1.0000
2019-05-09,24.5000,24.5000,24.4800,24.4901,24.0068,7600,0.0000,1.0000
2019-05-08,24.6000,24.6000,24.4500,24.4800,23.9969,12208,0.0000,1.0000
2019-05-07,24.7000,24.7000,24.6650,24.6650,24.1782,665,0.0000,1.0000
2019-05-06,24.7900,24.7900,24.6900,24.7000,24.2126,935,0.0000,1.0000
2019-05-03,24.6776,24.7321,24.5966,24.6047,24.1191,5149,0.0000,1.0000
2019-05-02,24.6200,24.7886,24.5924,24.5924,24.1071,5318,0.0000,1.0000
2019-05-01,24.8000,24.8000,24.7422,24.7422,24.2539,922,0.0000,1.0000
2019-04-30,24.6500,24.6859,24.6200,24.6200,24.1341,2371,0.0000,1.0000
2019-04-29,24.7900,24.7900,24.6880,24.6880,24.2008,1284,0.0000,1.0000
2019-04-26,24.6900,24.7000,24.6600,24.6659,24.1791,2457,0.0000,1.0000
2019-04-25,24.7100,24.7100,24.6239,24.6239,24.1380,1151,0.0000,1.0000
2019-04-24,24.7000,24.8000,24.6200,24.6800,24.1929,4877,0.0000,1.0000
2019-04-23,24.7000,24.8000,24.7000,24.8000,24.3106,7972,0.0000,1.0000
2019-04-22,24.6300,24.8000,24.6300,24.7800,24.2910,1751,0.0000,1.0000
2019-04-18,24.7707,24.8190,24.7301,24.7301,24.2421,3377,0.0000,1.0000
2019-04-17,24.7357,24.8000,24.6200,24.8000,24.3106,3506,0.0000,1.0000
2019-04-16,24.8400,24.8800,24.6204,24.7400,24.2518,3765,0.0000,1.0000
2019-04-15,24.9000,24.9749,24.6200,24.7570,24.2684,10241,0.0000,1.0000
2019-04-12,24.6850,24.7600,24.6200,24.6850,24.1978,7083,0.0000,1.0000
2019-04-11,24.7600,24.7600,24.6101,24.6101,24.1244,4072,0.0000,1.0000
2019-04-10,24.6763,24.7060,24.6763,24.7060,24.2184,200,0.0000,1.0000
2019-04-09,24.7500,24.7500,24.6100,24.6800,24.1929,3094,0.0000,1.0000
2019-04-08,24.6600,24.7493,24.6011,24.6779,24.1909,3778,0.0000,1.0000
2019-04-05,24.5900,24.7050,24.5900,24.5900,24.1047,6170,0.0000,1.0000
2019-04-04,24.6600,24.6600,24.5300,24.5900,24.1047,12329,0.0000,1.0000
2019-04-03,24.5000,24.7099,24.4625,24.5222,24.0383,6968,0.0000,1.0000
2019-04-02,24.6500,24.7600,24.5000,24.7000,24.2126,13510,0.0000,1.0000
2019-04-01,24.5900,24.7000,24.5000,24.6099,24.1242,21875,0.0000,1.0000
2019-03-29,24.1700,24.5889,24.1700,24.3900,23.9087,5686,0.4844,1.0000
2019-03-28,24.4284,24.5990,24.4284,24.5600,23.6065,7925,0.0000,1.0000
2019-03-27,24.5733,24.5950,24.4853,24.4853,23.5347,3826,0.0000,1.0000
2019-03-26,24.5000,24.6800,24.3810,24.6800,23.7218,11132,0.0000,1.0000
2019-03-25,24.4600,24.5000,24.4000,24.5000,23.5488,7972,0.0000,1.0000
2019-03-22,24.4000,24.5500,24.3500,24.5500,23.5969,5015,0.0000,1.0000
2019-03-21,24.4000,24.4500,24.3676,24.4400,23.4912,4767,0.0000,1.0000
2019-03-20,24.2200,24.4300,24.1106,24.4300,23.4815,2191,0.0000,1.0000
2019-03-19,24.1905,24.2700,24.0550,24.2362,23.2953,10705,0.0000,1.0000
2019-03-18,23.9000,24.4500,23.8595,24.3510,23.4056,12736,0.0000,1.0000
2019-03-15,23.8823,24.0900,23.8823,24.0283,23.0954,8248,0.0000,1.0000
2019-03-14,23.9500,24.0850,23.8377,23.9900,23.0586,2600,0.0000,1.0000
2019-03-13,24.0000,24.0450,23.6600,23.6600,22.7414,3870,0.0000,1.0000
2019-03-12,23.8900,24.0364,23.8800,23.8907,22.9632,2005,0.0000,1.0000
2019-03-11,23.9598,23.9598,23.7040,23.8827,22.9555,4951,0.0000,1.0000
2019-03-08,23.8551,23.9316,23.8551,23.9316,23.0025,3740,0.0000,1.0000
2019-03-07,23.9700,24.0000,23.8100,24.0000,23.0682,6252,0.0000,1.0000
2019-03-06,24.0600,24.0600,23.9863,24.0000,23.0682,5107,0.0000,1.0000
2019-03-05,23.9500,24.0500,23.9500,24.0500,23.1163,2459,0.0000,1.0000
2019-03-04,23.9889,24.0418,23.9001,23.9001,22.9722,1616,0.0000,1.0000
2019-03-01,24.1000,24.1000,24.0000,24.0900,23.1547,6490,0.0000,1.0000
2019-02-28,24.0500,24.1549,24.0405,24.1000,23.1644,3473,0.0000,1.0000
2019-02-27,23.9000,24.2671,23.9000,24.2400,23.2989,9391,0.0000,1.0000
2019-02-26,24.0101,24.0950,23.9200,24.0950,23.1596,1739,0.0000,1.0000
2019-02-25,24.1100,24.1100,23.8925,23.9638,23.0334,3930,0.0000,1.0000
2019-02-22,24.2500,24.2500,23.8230,24.0999,23.1643,1646,0.0000,1.0000
2019-02-21,23.9800,24.2700,23.8300,23.9015,22.9736,7610,0.0000,1.0000
