timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-08-02,3.6000,3.7300,3.2700,3.5400,3.5400,1560971,0.0000,1.0000
2019-08-01,5.1200,5.3800,4.8000,4.8500,4.8500,347986,0.0000,1.0000
2019-07-31,5.1600,5.9700,5.1600,5.2000,5.2000,493520,0.0000,1.0000
2019-07-30,6.0100,6.2300,5.5300,5.6800,5.6800,853847,0.0000,1.0000
2019-07-29,6.2700,7.1699,5.8700,6.4200,6.4200,1775849,0.0000,1.0000
2019-07-26,4.2200,8.4800,4.0100,6.5000,6.5000,3697813,0.0000,1.0000
2019-07-25,5.2100,5.6800,4.7800,5.3400,5.3400,725131,0.0000,0.1000
2019-07-24,0.6600,0.6890,0.5500,0.5721,5.7210,9004020,0.0000,1.0000
2019-07-23,0.7000,1.0500,0.6850,0.9600,9.6000,10401785,0.0000,1.0000
2019-07-22,0.6150,0.7459,0.6100,0.7300,7.3000,2415862,0.0000,1.0000
2019-07-19,0.6101,0.6300,0.5920,0.6050,6.0500,579221,0.0000,1.0000
2019-07-18,0.6100,0.6100,0.5899,0.5901,5.9010,624196,0.0000,1.0000
2019-07-17,0.6350,0.6350,0.6000,0.6060,6.0600,880626,0.0000,1.0000
2019-07-16,0.6500,0.6600,0.6223,0.6249,6.2490,1595203,0.0000,1.0000
2019-07-15,0.6500,0.6500,0.6060,0.6117,6.1170,858369,0.0000,1.0000
2019-07-12,0.6229,0.6510,0.6111,0.6350,6.3500,734031,0.0000,1.0000
2019-07-11,0.6500,0.6700,0.6126,0.6318,6.3180,1083688,0.0000,1.0000
2019-07-10,0.6800,0.7650,0.6405,0.6583,6.5826,5590322,0.0000,1.0000
2019-07-09,0.5800,0.6089,0.5600,0.5900,5.9000,1199307,0.0000,1.0000
2019-07-08,0.6001,0.6094,0.5810,0.5830,5.8300,715573,0.0000,1.0000
2019-07-05,0.6600,0.6602,0.5520,0.6050,6.0500,1783773,0.0000,1.0000
2019-07-03,0.6700,0.6850,0.6400,0.6567,6.5670,996940,0.0000,1.0000
2019-07-02,0.7450,0.7483,0.6700,0.6900,6.9000,1172176,0.0000,1.0000
2019-07-01,0.7125,0.7555,0.7000,0.7130,7.1300,846110,0.0000,1.0000
2019-06-28,0.6900,0.7400,0.6700,0.6991,6.9910,1099056,0.0000,1.0000
2019-06-27,0.6801,0.7290,0.6700,0.6941,6.9410,1254141,0.0000,1.0000
2019-06-26,0.7900,0.8300,0.7200,0.7505,7.5050,2328905,0.0000,1.0000
