timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-08-02,29.3200,29.6209,29.3200,29.6209,29.6209,5589,0.0000,1.0000
2019-08-01,29.5200,29.6100,29.4644,29.5800,29.5800,8844,0.0000,1.0000
2019-07-31,29.7500,29.8300,29.6100,29.6100,29.6100,7759,0.0000,1.0000
2019-07-30,29.3600,29.7398,29.3600,29.7398,29.7398,4809,0.0000,1.0000
2019-07-29,29.5300,29.7450,29.5300,29.6850,29.6850,8179,0.0000,1.0000
2019-07-26,29.3800,29.5385,29.3000,29.4814,29.4814,2571,0.0000,1.0000
2019-07-25,29.4400,29.4400,29.3900,29.3900,29.3900,4603,0.0000,1.0000
2019-07-24,29.4400,29.5590,29.4000,29.4000,29.4000,12600,0.0000,1.0000
2019-07-23,29.2600,29.3900,29.2600,29.3900,29.3900,4827,0.0000,1.0000
2019-07-22,29.2600,29.3821,29.2600,29.3050,29.3050,8464,0.0000,1.0000
2019-07-19,29.6600,29.7400,29.3700,29.3700,29.3700,4094,0.0000,1.0000
2019-07-18,29.4400,29.7100,29.4350,29.7100,29.7100,2982,0.0000,1.0000
2019-07-17,29.3700,29.5260,29.3700,29.4900,29.4900,5938,0.0000,1.0000
2019-07-16,29.4000,29.4000,29.3000,29.3100,29.3100,6925,0.0000,1.0000
2019-07-15,29.6200,29.6600,29.4500,29.4990,29.4990,7514,0.0000,1.0000
2019-07-12,29.6400,29.6400,29.3900,29.5599,29.5599,6156,0.0000,1.0000
2019-07-11,29.7800,29.7800,29.4541,29.5500,29.5500,4534,0.0000,1.0000
2019-07-10,29.6800,29.7900,29.5825,29.7900,29.7900,7751,0.0000,1.0000
2019-07-09,29.4300,29.4985,29.3500,29.4985,29.4985,5975,0.0000,1.0000
2019-07-08,29.3200,29.4900,29.3200,29.4860,29.4860,3437,0.0000,1.0000
2019-07-05,29.4200,29.4292,28.9805,29.3900,29.3900,8451,0.0000,1.0000
2019-07-03,29.4652,29.4813,29.4397,29.4812,29.4812,2548,0.0000,1.0000
2019-07-02,28.6700,29.1100,28.6700,29.1100,29.1100,7360,0.0000,1.0000
2019-07-01,28.6500,28.8770,28.4000,28.6300,28.6300,6317,0.0000,1.0000
2019-06-28,28.6000,29.0400,28.5375,28.6700,28.6700,2807,0.1349,1.0000
2019-06-27,28.4500,28.5309,28.4500,28.5172,28.3837,1821,0.0000,1.0000
2019-06-26,28.8100,28.8100,28.2950,28.3900,28.2571,6890,0.0000,1.0000
2019-06-25,29.0100,29.0234,28.9499,28.9499,28.8143,4001,0.0000,1.0000
2019-06-24,29.0400,29.0400,28.8100,28.9600,28.8244,3525,0.0000,1.0000
2019-06-21,29.2000,29.2000,28.7750,28.8700,28.7348,9120,0.0000,1.0000
2019-06-20,29.3100,29.3699,29.2900,29.2900,29.1529,4807,0.0000,1.0000
2019-06-19,28.8400,29.0200,28.6200,29.0200,28.8841,25349,0.0000,1.0000
2019-06-18,28.8700,29.0000,28.8200,28.8200,28.6851,13623,0.0000,1.0000
2019-06-17,28.6000,28.8100,28.6000,28.7977,28.6629,4072,0.0000,1.0000
2019-06-14,28.4447,28.5700,28.4447,28.5700,28.4362,5463,0.0000,1.0000
2019-06-13,28.3222,28.3700,28.3000,28.3499,28.2172,2833,0.0000,1.0000
2019-06-12,28.2800,28.4600,28.2800,28.3900,28.2571,4216,0.0000,1.0000
2019-06-11,28.3600,28.3600,28.1201,28.2094,28.0773,3552,0.0000,1.0000
2019-06-10,28.4400,28.4400,28.2601,28.2660,28.1336,12184,0.0000,1.0000
2019-06-07,28.3600,28.4592,28.3600,28.4400,28.3068,1236,0.0000,1.0000
2019-06-06,28.1300,28.1413,28.0000,28.1200,27.9883,4365,0.0000,1.0000
2019-06-05,27.8800,27.9400,27.8800,27.9400,27.8092,1164,0.0000,1.0000
2019-06-04,27.9100,27.9100,27.5154,27.6400,27.5106,3638,0.0000,1.0000
2019-06-03,27.8900,27.8900,27.8900,27.8900,27.7594,1121,0.0000,1.0000
2019-05-31,27.6900,27.9267,27.6900,27.8973,27.7667,1870,0.0000,1.0000
2019-05-30,27.6190,27.6900,27.5903,27.6875,27.5579,1863,0.0000,1.0000
2019-05-29,27.8600,27.8600,27.5400,27.5400,27.4110,9140,0.0000,1.0000
2019-05-28,28.2400,28.2523,28.1300,28.1300,27.9983,12042,0.0000,1.0000
2019-05-24,28.1600,28.2190,28.1494,28.1562,28.0244,2680,0.0000,1.0000
2019-05-23,27.9500,27.9800,27.9500,27.9694,27.8384,1585,0.0000,1.0000
2019-05-22,27.9802,28.0626,27.9699,28.0626,27.9312,2037,0.0000,1.0000
2019-05-21,28.0778,28.0778,28.0000,28.0000,27.8689,2003,0.0000,1.0000
2019-05-20,27.9000,27.9000,27.7700,27.7700,27.6400,1704,0.0000,1.0000
2019-05-17,27.8100,27.9800,27.7682,27.9600,27.8291,4450,0.0000,1.0000
2019-05-16,27.9200,28.1212,27.9200,28.0301,27.8988,4131,0.0000,1.0000
2019-05-15,27.6475,27.7000,27.6475,27.6600,27.5305,2288,0.0000,1.0000
2019-05-14,27.7100,27.7100,27.4547,27.6400,27.5106,6378,0.0000,1.0000
2019-05-13,27.1400,27.6200,27.1400,27.6200,27.4907,2676,0.0000,1.0000
2019-05-10,27.1900,27.5000,27.1900,27.4941,27.3654,4879,0.0000,1.0000
2019-05-09,27.0500,27.1691,26.8911,27.1691,27.0419,2037,0.0000,1.0000
2019-05-08,27.1700,27.2399,27.1500,27.1600,27.0328,5075,0.0000,1.0000
2019-05-07,27.2900,27.2900,27.0200,27.0200,26.8935,1252,0.0000,1.0000
2019-05-06,27.2600,27.3099,27.1501,27.2000,27.0726,7918,0.0000,1.0000
2019-05-03,27.2800,27.4318,27.0860,27.3400,27.2120,5610,0.0000,1.0000
2019-05-02,27.0000,27.0522,26.8001,26.9900,26.8636,8486,0.0000,1.0000
2019-05-01,26.9573,27.1310,26.8900,26.9400,26.8139,4727,0.0000,1.0000
2019-04-30,26.9900,26.9900,26.8300,26.8950,26.7691,1979,0.0000,1.0000
2019-04-29,26.8100,26.8100,26.7360,26.7500,26.6247,1152,0.0000,1.0000
2019-04-26,26.7900,26.8900,26.7900,26.8550,26.7293,1080,0.0000,1.0000
2019-04-25,26.5500,26.6200,26.5000,26.6082,26.4836,2801,0.0000,1.0000
2019-04-24,26.4900,26.5754,26.4900,26.5754,26.4510,3889,0.0000,1.0000
2019-04-23,25.9600,26.4599,25.9600,26.3666,26.2431,13289,0.0000,1.0000
2019-04-22,26.1200,26.1900,25.8710,25.9000,25.7787,4408,0.0000,1.0000
2019-04-18,26.3600,26.3600,26.0700,26.3190,26.1958,4474,0.0000,1.0000
2019-04-17,26.6200,26.6200,26.0101,26.1002,25.9780,12100,0.0000,1.0000
2019-04-16,27.2300,27.2833,26.6000,26.6850,26.5600,23760,0.0000,1.0000
2019-04-15,27.3790,27.3790,27.2858,27.3100,27.1821,1206,0.0000,1.0000
2019-04-12,27.2688,27.3300,27.2100,27.3300,27.2020,8122,0.0000,1.0000
2019-04-11,27.3771,27.3771,27.2500,27.2950,27.1672,1834,0.0000,1.0000
2019-04-10,27.1300,27.3700,27.1300,27.3600,27.2319,16660,0.0000,1.0000
2019-04-09,27.2900,27.2900,27.1900,27.1900,27.0627,9286,0.0000,1.0000
2019-04-08,27.6200,27.6200,27.3500,27.3552,27.2271,2860,0.0000,1.0000
2019-04-05,27.5100,27.5689,27.5100,27.5563,27.4273,1801,0.0000,1.0000
2019-04-04,27.6050,27.6050,27.4400,27.4522,27.3237,1892,0.0000,1.0000
2019-04-03,27.5600,27.7234,27.5600,27.6400,27.5106,4782,0.0000,1.0000
2019-04-02,27.4946,27.5499,27.4600,27.5200,27.3911,6215,0.0000,1.0000
2019-04-01,27.9500,27.9500,27.6200,27.6500,27.5205,5789,0.0000,1.0000
2019-03-29,28.0126,28.0150,27.9399,27.9697,27.8387,3240,0.0905,1.0000
2019-03-28,27.7000,27.9400,27.7000,27.7996,27.5802,3655,0.0000,1.0000
2019-03-27,27.8000,27.9427,27.7100,27.7390,27.5201,3666,0.0000,1.0000
2019-03-26,28.0500,28.0500,27.9100,27.9991,27.7782,12990,0.0000,1.0000
2019-03-25,27.6500,27.9191,27.5234,27.8685,27.6486,4114,0.0000,1.0000
2019-03-22,27.9400,27.9485,27.7606,27.8100,27.5905,28166,0.0000,1.0000
2019-03-21,27.4100,27.9067,27.4000,27.8603,27.6405,4716,0.0000,1.0000
2019-03-20,27.1299,27.4549,27.1273,27.4299,27.2134,4041,0.0000,1.0000
2019-03-19,27.3000,27.3100,27.2800,27.2837,27.0684,1785,0.0000,1.0000
2019-03-18,27.6379,27.6379,27.2073,27.2500,27.0350,5474,0.0000,1.0000
2019-03-15,27.9800,27.9800,27.6801,27.6801,27.4617,2729,0.0000,1.0000
2019-03-14,27.7700,27.8011,27.7400,27.7600,27.5409,3263,0.0000,1.0000
2019-03-13,27.6900,27.6900,27.5700,27.6454,27.4272,5139,0.0000,1.0000
2019-03-12,27.3856,27.4262,27.3856,27.4262,27.2098,1696,0.0000,1.0000
2019-03-11,27.1200,27.2600,27.1100,27.1600,26.9457,4560,0.0000,1.0000
2019-03-08,26.9400,26.9400,26.8000,26.8200,26.6084,4687,0.0000,1.0000
2019-03-07,26.7700,26.9804,26.7600,26.7700,26.5588,7259,0.0000,1.0000
2019-03-06,27.2300,27.2300,26.8574,26.8574,26.6455,2669,0.0000,1.0000
2019-03-05,27.2100,27.2299,27.1200,27.2299,27.0150,3175,0.0000,1.0000
2019-03-04,27.0200,27.1852,26.9300,26.9600,26.7473,9840,0.0000,1.0000
2019-03-01,27.1000,27.1838,26.8200,26.9600,26.7473,6572,0.0000,1.0000
