timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-08-02,25.5882,25.5889,25.4100,25.5800,25.5800,934,0.0000,1.0000
2019-08-01,25.3000,25.5780,25.3000,25.5000,25.5000,4193,0.0000,1.0000
2019-07-31,25.3100,25.5500,25.3100,25.5500,25.5500,1526,0.0000,1.0000
2019-07-30,25.3500,25.4500,25.3500,25.4500,25.4500,545,0.0000,1.0000
2019-07-29,25.4014,25.4600,25.4014,25.4500,25.4500,6086,0.0000,1.0000
2019-07-26,25.5000,25.5000,25.5000,25.5000,25.5000,20,0.0000,1.0000
2019-07-25,25.5900,25.5900,25.3400,25.5000,25.5000,2302,0.0000,1.0000
2019-07-24,25.3600,25.4100,25.3600,25.4095,25.4095,3635,0.0000,1.0000
2019-07-23,25.4600,25.4789,25.3100,25.4100,25.4100,987,0.1406,1.0000
2019-07-22,25.5100,25.5100,25.3600,25.4000,25.2602,2125,0.0000,1.0000
2019-07-19,25.5100,25.6300,25.5000,25.5000,25.3597,5263,0.0000,1.0000
2019-07-18,25.4884,25.5673,25.3400,25.4400,25.3000,3857,0.0000,1.0000
2019-07-17,25.3500,25.5600,25.3400,25.5000,25.3597,3498,0.0000,1.0000
2019-07-16,25.5000,25.5000,25.4500,25.4500,25.3099,2383,0.0000,1.0000
2019-07-15,25.5773,25.5800,25.4600,25.5700,25.4293,3517,0.0000,1.0000
2019-07-12,25.4960,25.5789,25.3400,25.5789,25.4381,2827,0.0000,1.0000
2019-07-11,25.3500,25.5800,25.3500,25.5775,25.4367,1372,0.0000,1.0000
2019-07-10,25.5000,25.5117,25.5000,25.5117,25.3713,1831,0.0000,1.0000
2019-07-09,25.4592,25.4700,25.3571,25.4483,25.3082,2450,0.0000,1.0000
2019-07-08,25.2900,25.4870,25.2900,25.4500,25.3099,5534,0.0000,1.0000
2019-07-05,25.3300,25.4500,25.2700,25.3900,25.2503,4939,0.0000,1.0000
2019-07-03,25.4500,25.4500,25.4152,25.4152,25.2753,834,0.0000,1.0000
2019-07-02,25.4599,25.4599,25.4599,25.4599,25.3198,1,0.0000,1.0000
2019-07-01,25.5200,25.5200,25.3100,25.4599,25.3198,1774,0.0000,1.0000
2019-06-28,25.3000,25.3800,25.3000,25.3000,25.1608,3531,0.0000,1.0000
2019-06-27,25.2800,25.3300,25.2500,25.2998,25.1606,5105,0.0000,1.0000
2019-06-26,25.3000,25.3100,25.2891,25.2893,25.1501,1197,0.0000,1.0000
2019-06-25,25.2700,25.3273,25.2000,25.3073,25.1680,2555,0.0000,1.0000
2019-06-24,25.3173,25.3173,25.2639,25.2639,25.1249,783,0.0000,1.0000
2019-06-21,25.2900,25.2900,25.2500,25.2608,25.1218,1879,0.0000,1.0000
2019-06-20,25.1995,25.3290,25.1995,25.3000,25.1608,1885,0.1406,1.0000
2019-06-19,25.3800,25.4000,25.3000,25.3875,25.1082,4537,0.0000,1.0000
2019-06-18,25.3401,25.4000,25.3000,25.3500,25.0711,3427,0.0000,1.0000
2019-06-17,25.3501,25.4275,25.3400,25.4275,25.1478,3380,0.0000,1.0000
2019-06-14,25.3400,25.4300,25.3300,25.4300,25.1502,9719,0.0000,1.0000
2019-06-13,25.4000,25.4235,25.3400,25.3401,25.0613,5470,0.0000,1.0000
2019-06-12,25.4299,25.4299,25.3700,25.4000,25.1206,2697,0.0000,1.0000
2019-06-11,25.3700,25.4399,25.3700,25.4399,25.1600,2672,0.0000,1.0000
2019-06-10,25.3200,25.3700,25.3100,25.3100,25.0316,6728,0.0000,1.0000
2019-06-07,25.2800,25.3000,25.2362,25.3000,25.0217,7023,0.0000,1.0000
2019-06-06,25.2800,25.3820,25.2000,25.2900,25.0118,7038,0.0000,1.0000
2019-06-05,25.3200,25.3975,25.2600,25.2750,24.9970,11957,0.0000,1.0000
2019-06-04,25.3700,25.4000,25.3100,25.3300,25.0513,5991,0.0000,1.0000
2019-06-03,25.3950,25.4200,25.3700,25.4200,25.1404,1141,0.0000,1.0000
2019-05-31,25.4500,25.5129,25.3501,25.4750,25.1948,5088,0.0000,1.0000
2019-05-30,25.8300,25.8300,25.7800,25.7800,25.4964,892,0.0000,1.0000
2019-05-29,25.7499,25.7499,25.7499,25.7499,25.4666,1,0.0000,1.0000
2019-05-28,25.4500,25.7499,25.4500,25.7499,25.4666,400,0.0000,1.0000
2019-05-24,25.4500,25.6000,25.4500,25.6000,25.3184,400,0.0000,1.0000
2019-05-23,25.6550,25.6550,25.6550,25.6550,25.3728,100,0.1406,1.0000
2019-05-22,25.6000,26.0000,25.6000,25.6550,25.2345,13365,0.0000,1.0000
2019-05-21,25.4000,25.5835,25.4000,25.5835,25.1641,2602,0.0000,1.0000
2019-05-20,25.5500,25.5500,25.5500,25.5500,25.1312,0,0.0000,1.0000
2019-05-17,25.5500,25.5500,25.5500,25.5500,25.1312,26,0.0000,1.0000
2019-05-16,25.5500,25.5500,25.5500,25.5500,25.1312,43,0.0000,1.0000
2019-05-15,25.5500,25.5500,25.5500,25.5500,25.1312,1,0.0000,1.0000
2019-05-14,25.5000,25.6700,25.3600,25.5500,25.1312,1948,0.0000,1.0000
2019-05-13,25.6700,25.6700,25.6700,25.6700,25.2492,221,0.0000,1.0000
2019-05-10,25.5556,25.5556,25.5556,25.5556,25.1367,542,0.0000,1.0000
2019-05-09,25.5560,25.5560,25.5560,25.5560,25.1371,0,0.0000,1.0000
2019-05-08,25.4523,25.5556,25.3800,25.5556,25.1367,1789,0.0000,1.0000
2019-05-07,25.6500,25.6500,25.6500,25.6500,25.2295,0,0.0000,1.0000
2019-05-06,25.4400,25.6500,25.3133,25.6500,25.2295,3326,0.0000,1.0000
2019-05-03,25.5317,25.5317,25.5317,25.5317,25.1132,250,0.0000,1.0000
2019-05-02,25.5600,25.5600,25.5600,25.5600,25.1410,4,0.0000,1.0000
2019-05-01,25.3710,25.5600,25.3710,25.5600,25.1410,2786,0.0000,1.0000
2019-04-30,25.3500,25.6875,25.2200,25.6875,25.2664,3092,0.0000,1.0000
2019-04-29,25.2632,25.5644,25.2632,25.5644,25.1453,6529,0.0000,1.0000
2019-04-26,25.4400,25.4989,25.2600,25.4975,25.0795,851,0.0000,1.0000
2019-04-25,25.4400,25.5264,25.3700,25.3900,24.9738,5556,0.0000,1.0000
2019-04-24,25.5100,25.5647,25.4400,25.4400,25.0230,2389,0.0000,1.0000
2019-04-23,25.4400,25.6800,25.4400,25.6800,25.2590,719,0.0000,1.0000
2019-04-22,25.4400,25.5000,25.4400,25.5000,25.0820,550,0.1406,1.0000
2019-04-18,25.3100,25.6058,25.3100,25.6058,25.0479,685,0.0000,1.0000
2019-04-17,25.4500,25.6546,25.4500,25.6546,25.0957,969,0.0000,1.0000
2019-04-16,25.4500,25.5500,25.4500,25.5500,24.9933,2129,0.0000,1.0000
2019-04-15,25.5145,25.5145,25.5145,25.5145,24.9586,500,0.0000,1.0000
2019-04-12,25.6975,25.6975,25.6975,25.6975,25.1376,100,0.0000,1.0000
2019-04-11,25.4999,25.7500,25.4900,25.7500,25.1890,1172,0.0000,1.0000
2019-04-10,25.3100,25.6600,25.3100,25.6600,25.1009,2201,0.0000,1.0000
2019-04-09,25.4675,25.6089,25.4000,25.5266,24.9705,3602,0.0000,1.0000
2019-04-08,25.6600,25.6600,25.6600,25.6600,25.1009,163,0.0000,1.0000
2019-04-05,25.4300,25.4300,25.4300,25.4300,24.8760,0,0.0000,1.0000
2019-04-04,25.4300,25.4301,25.4300,25.4300,24.8760,416,0.0000,1.0000
2019-04-03,25.4165,25.4165,25.4165,25.4165,24.8628,26,0.0000,1.0000
2019-04-02,25.4500,25.5763,25.3000,25.4165,24.8628,4503,0.0000,1.0000
2019-04-01,25.5463,25.5463,25.3636,25.3636,24.8110,1712,0.0000,1.0000
2019-03-29,25.3895,25.5100,25.3895,25.4950,24.9395,696,0.0000,1.0000
2019-03-28,25.3000,25.3000,25.3000,25.3000,24.7488,0,0.0000,1.0000
2019-03-27,25.2800,25.5200,25.2800,25.3000,24.7488,626,0.0000,1.0000
2019-03-26,25.1064,25.5539,25.1064,25.5539,24.9972,343,0.0000,1.0000
2019-03-25,25.5000,25.7915,25.5000,25.7915,25.2296,1328,0.0000,1.0000
2019-03-22,25.3494,25.3494,25.3494,25.3494,24.7971,0,0.0000,1.0000
2019-03-21,25.4900,25.4900,25.4900,25.4900,24.9346,28,0.1406,1.0000
2019-03-20,25.5200,25.5200,25.4900,25.4900,24.7978,244,0.0000,1.0000
2019-03-19,25.2800,25.5100,25.2800,25.5000,24.8076,903,0.0000,1.0000
2019-03-18,25.3900,25.6000,25.3900,25.5850,24.8903,2847,0.0000,1.0000
2019-03-15,25.2400,25.3900,25.2200,25.3900,24.7006,520,0.0000,1.0000
2019-03-14,25.2001,25.3900,25.2000,25.3547,24.6662,1370,0.0000,1.0000
2019-03-13,25.3500,25.3689,25.2000,25.2612,24.5753,1750,0.0000,1.0000
2019-03-12,25.3673,25.3700,25.2001,25.3500,24.6616,1550,0.0000,1.0000
2019-03-11,25.3700,25.3700,25.3700,25.3700,24.6811,200,0.0000,1.0000
2019-03-08,25.1600,25.1779,23.3900,25.1779,24.4942,475,0.0000,1.0000
2019-03-07,25.1527,25.1527,25.1500,25.1500,24.4671,300,0.0000,1.0000
2019-03-06,25.0752,25.3875,25.0752,25.3700,24.6811,925,0.0000,1.0000
2019-03-05,25.3026,25.3281,24.9901,25.2000,24.5157,5536,0.0000,1.0000
2019-03-04,25.2100,25.2400,25.2100,25.2100,24.5254,1701,0.0000,1.0000
2019-03-01,25.1700,25.2570,25.1101,25.2100,24.5254,2329,0.0000,1.0000
2019-02-28,25.2892,25.2892,25.2892,25.2892,24.6025,136,0.0000,1.0000
2019-02-27,25.3000,25.3470,25.2000,25.2892,24.6025,8157,0.0000,1.0000
2019-02-26,25.3799,25.3799,25.3799,25.3799,24.6907,26,0.0000,1.0000
2019-02-25,25.3600,25.3800,25.2878,25.3799,24.6907,2700,0.0000,1.0000
2019-02-22,25.3500,25.3701,25.3500,25.3701,24.6812,729,0.0000,1.0000
2019-02-21,25.2375,25.3000,25.2000,25.3000,24.6130,985,0.0000,1.0000
2019-02-20,25.1700,25.3500,25.1700,25.3001,24.6131,2725,0.1406,1.0000
2019-02-19,25.2742,25.3000,25.2500,25.3000,24.4770,1005,0.0000,1.0000
2019-02-15,25.1500,25.3000,25.1500,25.1500,24.3318,2659,0.0000,1.0000
2019-02-14,25.3000,25.3000,25.2989,25.3000,24.4770,2575,0.0000,1.0000
2019-02-13,25.2800,25.3000,25.1500,25.1500,24.3318,2650,0.0000,1.0000
2019-02-12,25.3500,25.3500,25.1500,25.1500,24.3318,7420,0.0000,1.0000
2019-02-11,25.2822,25.3500,25.2822,25.3500,24.5253,1999,0.0000,1.0000
2019-02-08,25.3000,25.3000,25.3000,25.3000,24.4770,200,0.0000,1.0000
2019-02-07,25.2700,25.2900,25.2201,25.2500,24.4286,7873,0.0000,1.0000
2019-02-06,25.2539,25.2539,25.2539,25.2539,24.4324,312,0.0000,1.0000
2019-02-05,25.2500,25.2500,25.2500,25.2500,24.4286,337,0.0000,1.0000
