timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-08-02,5.3300,5.6300,5.1900,5.4200,5.4200,544469,0.0000,1.0000
2019-08-01,5.4100,5.4600,5.1850,5.3800,5.3800,2380279,0.0000,1.0000
2019-07-31,5.3500,5.4200,5.3200,5.4000,5.4000,1561392,0.0000,1.0000
2019-07-30,5.2100,5.3700,5.2100,5.3500,5.3500,1090206,0.0000,1.0000
2019-07-29,5.2500,5.3200,5.1400,5.2300,5.2300,1083808,0.0000,1.0000
2019-07-26,5.2600,5.3500,5.2000,5.2400,5.2400,1606428,0.0000,1.0000
2019-07-25,5.3300,5.3300,5.1700,5.2500,5.2500,2145503,0.0000,1.0000
2019-07-24,5.2200,5.3400,5.2200,5.3000,5.3000,990313,0.0000,1.0000
2019-07-23,5.3200,5.3200,5.2500,5.2600,5.2600,988233,0.0000,1.0000
2019-07-22,5.2900,5.3700,5.1500,5.3000,5.3000,1256552,0.0000,1.0000
2019-07-19,5.8400,5.8400,5.0300,5.3300,5.3300,8317296,0.0000,1.0000
2019-07-18,5.8700,5.9000,5.7700,5.8800,5.8800,870439,0.0000,1.0000
2019-07-17,5.8800,5.9000,5.8350,5.8700,5.8700,1506493,0.0000,1.0000
2019-07-16,5.9600,5.9600,5.9000,5.9000,5.9000,1121277,0.0000,1.0000
2019-07-15,5.9600,5.9900,5.9000,5.9600,5.9600,1230557,0.0000,1.0000
2019-07-12,5.9500,5.9650,5.8600,5.9400,5.9400,1270566,0.0000,1.0000
2019-07-11,5.9800,5.9800,5.8300,5.9300,5.9300,1412910,0.0000,1.0000
2019-07-10,6.0100,6.0500,5.9400,5.9800,5.9800,3581416,0.0000,1.0000
2019-07-09,6.0600,6.0700,5.8600,6.0000,6.0000,2134565,0.0000,1.0000
2019-07-08,6.1000,6.1300,6.0300,6.0500,6.0500,1328719,0.0000,1.0000
2019-07-05,6.1400,6.1600,6.1000,6.1100,6.1100,405342,0.0000,1.0000
2019-07-03,6.1000,6.2100,6.0800,6.1600,6.1600,698959,0.0000,1.0000
2019-07-02,6.1200,6.1250,5.9800,6.0800,6.0800,1245346,0.0000,1.0000
2019-07-01,6.1100,6.1200,5.9700,6.0900,6.0900,1324599,0.0000,1.0000
2019-06-28,5.9900,6.1200,5.9800,6.0500,6.0500,2080528,0.0000,1.0000
2019-06-27,5.9000,6.0200,5.8100,6.0100,6.0100,2203861,0.0000,1.0000
2019-06-26,6.0000,6.0200,5.8000,5.9200,5.9200,873740,0.0000,1.0000
2019-06-25,6.0600,6.1650,5.9850,6.0000,6.0000,1228208,0.0000,1.0000
2019-06-24,6.2300,6.2300,6.0500,6.0600,6.0600,722773,0.0000,1.0000
2019-06-21,6.2000,6.2700,6.0400,6.2300,6.2300,3402629,0.0000,1.0000
2019-06-20,6.2700,6.2900,6.2000,6.2100,6.2100,1420042,0.0000,1.0000
2019-06-19,6.4100,6.4400,6.2500,6.2700,6.2700,2009733,0.0000,1.0000
2019-06-18,6.2400,6.5000,6.2000,6.4000,6.4000,8909587,0.0000,1.0000
2019-06-17,6.6600,6.8150,6.6000,6.6800,6.6800,1289598,0.0000,1.0000
2019-06-14,6.6600,6.6650,6.6100,6.6500,6.6500,1231355,0.0000,1.0000
2019-06-13,6.7600,6.7950,6.4600,6.6600,6.6600,2031335,0.0000,1.0000
2019-06-12,6.7800,6.7900,6.7100,6.7400,6.7400,1527586,0.0000,1.0000
2019-06-11,6.8200,6.8300,6.7000,6.7300,6.7300,2345417,0.0000,1.0000
2019-06-10,6.8800,6.9300,6.7700,6.8200,6.8200,976458,0.0000,1.0000
2019-06-07,6.9200,6.9400,6.8300,6.8900,6.8900,607916,0.0000,1.0000
2019-06-06,6.9500,6.9600,6.8900,6.9100,6.9100,1269818,0.0000,1.0000
2019-06-05,6.9400,7.0300,6.9100,6.9700,6.9700,1573624,0.0000,1.0000
2019-06-04,6.9000,6.9200,6.7700,6.9100,6.9100,1176366,0.0000,1.0000
2019-06-03,6.7300,6.9100,6.7101,6.8900,6.8900,1613158,0.0000,1.0000
2019-05-31,6.8000,6.8300,6.6900,6.7000,6.7000,2766050,0.0000,1.0000
2019-05-30,6.8800,6.9700,6.8100,6.8300,6.8300,706525,0.0000,1.0000
2019-05-29,6.8500,7.0350,6.7900,6.8700,6.8700,2678490,0.0000,1.0000
2019-05-28,6.7800,6.9000,6.6600,6.8500,6.8500,2037731,0.0000,1.0000
2019-05-24,6.9200,6.9250,6.6800,6.8000,6.8000,2438394,0.0000,1.0000
