timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-08-02,4.1400,4.2100,4.0200,4.0300,4.0300,186192,0.0000,1.0000
2019-08-01,4.1400,4.2200,4.0400,4.1500,4.1500,297994,0.0000,1.0000
2019-07-31,4.1000,4.2100,4.1000,4.1600,4.1600,217476,0.0000,1.0000
2019-07-30,4.1700,4.2000,3.9700,4.1700,4.1700,277002,0.0000,1.0000
2019-07-29,4.4000,4.4100,4.1750,4.1800,4.1800,175807,0.0000,1.0000
2019-07-26,4.5700,4.5700,4.2900,4.3800,4.3800,159999,0.0000,1.0000
2019-07-25,4.6300,4.6600,4.4700,4.4800,4.4800,122898,0.0000,1.0000
2019-07-24,4.5000,4.6700,4.4590,4.6100,4.6100,338007,0.0000,1.0000
2019-07-23,4.5000,4.5700,4.4600,4.4800,4.4800,204212,0.0000,1.0000
2019-07-22,4.4600,4.5700,4.4200,4.4800,4.4800,244606,0.0000,1.0000
2019-07-19,4.4300,4.4900,4.4000,4.4400,4.4400,127546,0.0000,1.0000
2019-07-18,4.5100,4.5600,4.3500,4.4600,4.4600,420001,0.0000,1.0000
2019-07-17,4.5900,4.6000,4.5000,4.5400,4.5400,167707,0.0000,1.0000
2019-07-16,4.5900,4.7100,4.5000,4.6000,4.6000,118757,0.0000,1.0000
2019-07-15,4.5400,4.6200,4.4400,4.6000,4.6000,230502,0.0000,1.0000
2019-07-12,4.6300,4.6450,4.2400,4.4600,4.4600,662700,0.0000,1.0000
2019-07-11,4.7700,4.8500,4.5100,4.6100,4.6100,278917,0.0000,1.0000
2019-07-10,4.8000,4.8800,4.7500,4.7900,4.7900,276541,0.0000,1.0000
2019-07-09,4.9800,4.9800,4.8300,4.8700,4.8700,335788,0.0000,1.0000
2019-07-08,5.0300,5.0500,4.9000,4.9300,4.9300,179548,0.0000,1.0000
2019-07-05,5.0100,5.0700,4.9900,5.0600,5.0600,138460,0.0000,1.0000
2019-07-03,5.0400,5.0400,4.9500,5.0300,5.0300,131925,0.0000,1.0000
2019-07-02,4.8600,4.9500,4.8500,4.9400,4.9400,186530,0.0000,1.0000
2019-07-01,5.0800,5.1100,4.9100,4.9300,4.9300,240608,0.0000,1.0000
2019-06-28,4.8600,5.1200,4.7700,5.0900,5.0900,1030538,0.0000,1.0000
2019-06-27,5.0200,5.0200,4.8300,4.8400,4.8400,220570,0.0000,1.0000
2019-06-26,5.0100,5.0400,4.8950,4.9600,4.9600,141019,0.0000,1.0000
2019-06-25,5.1000,5.1100,4.8700,4.9800,4.9800,223337,0.0000,1.0000
2019-06-24,5.0700,5.1100,5.0200,5.1000,5.1000,292871,0.0000,1.0000
2019-06-21,5.0200,5.1600,5.0200,5.0800,5.0800,297165,0.0000,1.0000
2019-06-20,5.1200,5.1800,4.9600,5.0500,5.0500,377819,0.0000,1.0000
2019-06-19,5.0000,5.1200,4.9000,5.1100,5.1100,224894,0.0000,1.0000
2019-06-18,5.0400,5.1600,4.9500,4.9900,4.9900,334245,0.0000,1.0000
2019-06-17,5.0100,5.0500,4.8300,5.0300,5.0300,395704,0.0000,1.0000
2019-06-14,4.8000,5.0400,4.8000,5.0000,5.0000,330316,0.0000,1.0000
2019-06-13,4.5300,4.8398,4.5200,4.8000,4.8000,370717,0.0000,1.0000
2019-06-12,4.8000,4.8000,4.5068,4.5200,4.5200,167689,0.0000,1.0000
2019-06-11,4.4800,4.8300,4.4200,4.8200,4.8200,589869,0.0000,1.0000
2019-06-10,4.5500,4.7000,4.3800,4.4500,4.4500,400817,0.0000,1.0000
2019-06-07,4.6000,4.6300,4.5000,4.5200,4.5200,326110,0.0000,1.0000
2019-06-06,4.7200,4.7300,4.5300,4.5700,4.5700,315227,0.0000,1.0000
2019-06-05,5.0200,5.0511,4.6900,4.7100,4.7100,237718,0.0000,1.0000
2019-06-04,4.8000,4.9900,4.8000,4.9700,4.9700,397806,0.0000,1.0000
2019-06-03,4.9400,4.9800,4.7400,4.7600,4.7600,295791,0.0000,1.0000
2019-05-31,4.8700,5.0400,4.7500,5.0300,5.0300,221649,0.0000,1.0000
2019-05-30,5.0500,5.0600,4.8600,4.8900,4.8900,399043,0.0000,1.0000
2019-05-29,5.3200,5.3200,5.0000,5.0300,5.0300,366254,0.0000,1.0000
2019-05-28,5.3800,5.5150,5.3100,5.3100,5.3100,455398,0.0000,1.0000
2019-05-24,5.4800,5.5000,5.2700,5.3300,5.3300,184926,0.0000,1.0000
2019-05-23,5.5200,5.5500,5.4000,5.4500,5.4500,195024,0.0000,1.0000
2019-05-22,5.7000,5.7800,5.4900,5.5900,5.5900,158925,0.0000,1.0000
2019-05-21,5.5600,5.9500,5.5501,5.7200,5.7200,226512,0.0000,1.0000
2019-05-20,5.9000,5.9900,5.3600,5.5100,5.5100,380518,0.0000,1.0000
2019-05-17,5.5800,5.8700,5.5800,5.7700,5.7700,298226,0.0000,1.0000
2019-05-16,5.9100,5.9200,5.5100,5.5800,5.5800,500044,0.0000,1.0000
2019-05-15,5.9400,5.9600,5.8100,5.8700,5.8700,272629,0.0000,1.0000
2019-05-14,5.9300,6.0800,5.7800,5.9200,5.9200,491737,0.0000,1.0000
2019-05-13,6.3900,6.3900,5.9000,5.9800,5.9800,476875,0.0000,1.0000
2019-05-10,6.5500,6.7000,6.3900,6.4500,6.4500,268749,0.0000,1.0000
2019-05-09,6.8100,7.0000,6.4725,6.5400,6.5400,510448,0.0000,1.0000
2019-05-08,7.1300,7.2000,6.7000,6.8700,6.8700,2768659,0.0000,1.0000
2019-05-07,8.8000,8.9000,8.5700,8.6300,8.6300,188124,0.0000,1.0000
2019-05-06,8.7000,9.0000,8.6000,8.8700,8.8700,88429,0.0000,1.0000
2019-05-03,8.7900,8.9850,8.7566,8.8500,8.8500,103343,0.0000,1.0000
2019-05-02,8.6600,8.7900,8.5000,8.7500,8.7500,184971,0.0000,1.0000
2019-05-01,8.9000,9.0000,8.6100,8.6600,8.6600,272731,0.0000,1.0000
2019-04-30,9.2000,9.2100,8.8400,8.9000,8.9000,244267,0.0000,1.0000
2019-04-29,9.1200,9.2300,9.0700,9.1900,9.1900,103568,0.0000,1.0000
2019-04-26,9.0800,9.2900,9.0800,9.1300,9.1300,98519,0.0000,1.0000
2019-04-25,8.9900,9.1200,8.9200,9.0800,9.0800,88891,0.0000,1.0000
2019-04-24,8.9800,9.1700,8.8300,9.0000,9.0000,263547,0.0000,1.0000
2019-04-23,8.9500,9.0600,8.7600,9.0000,9.0000,277336,0.0000,1.0000
2019-04-22,8.9100,9.0100,8.7700,8.9600,8.9600,154662,0.0000,1.0000
2019-04-18,8.7800,8.9900,8.7700,8.9200,8.9200,134386,0.0000,1.0000
2019-04-17,8.8200,8.8300,8.6600,8.8000,8.8000,147921,0.0000,1.0000
2019-04-16,9.0300,9.0600,8.7600,8.8000,8.8000,113885,0.0000,1.0000
2019-04-15,8.9800,9.0500,8.9200,9.0000,9.0000,219322,0.0000,1.0000
2019-04-12,9.1000,9.2100,8.8200,8.9400,8.9400,432949,0.0000,1.0000
2019-04-11,9.1000,9.1300,9.0300,9.0600,9.0600,107768,0.0000,1.0000
2019-04-10,9.0500,9.0950,8.9800,9.0600,9.0600,138832,0.0000,1.0000
2019-04-09,9.2700,9.3400,8.9600,9.0200,9.0200,142074,0.0000,1.0000
2019-04-08,9.3300,9.4200,9.2000,9.3100,9.3100,100929,0.0000,1.0000
2019-04-05,9.1800,9.4000,9.1650,9.3600,9.3600,89120,0.0000,1.0000
2019-04-04,9.0500,9.2500,9.0400,9.1600,9.1600,112936,0.0000,1.0000
2019-04-03,9.2200,9.3400,8.9700,9.0500,9.0500,254488,0.0000,1.0000
2019-04-02,8.8300,9.2800,8.7000,9.2100,9.2100,210876,0.0000,1.0000
2019-04-01,8.5500,8.8300,8.5500,8.8200,8.8200,378140,0.0000,1.0000
2019-03-29,8.7000,8.8400,8.4900,8.5100,8.5100,206529,0.0000,1.0000
2019-03-28,8.6300,8.8400,8.6300,8.6800,8.6800,131050,0.0000,1.0000
2019-03-27,8.5900,8.7300,8.4800,8.6700,8.6700,130600,0.0000,1.0000
2019-03-26,8.4900,8.6400,8.4900,8.6000,8.6000,132998,0.0000,1.0000
2019-03-25,8.4200,8.6000,8.3900,8.4900,8.4900,161869,0.0000,1.0000
2019-03-22,8.3800,8.5100,8.3700,8.4500,8.4500,163918,0.0000,1.0000
2019-03-21,8.4000,8.5400,8.3900,8.4100,8.4100,129681,0.0000,1.0000
2019-03-20,8.4400,8.5200,8.3500,8.4100,8.4100,135600,0.0000,1.0000
2019-03-19,8.4400,8.5100,8.3600,8.4500,8.4500,117344,0.0000,1.0000
2019-03-18,8.4700,8.5300,8.3600,8.4500,8.4500,231985,0.0000,1.0000
2019-03-15,8.5600,8.6900,8.4600,8.4600,8.4600,351968,0.0000,1.0000
2019-03-14,8.3900,8.6100,8.3100,8.5400,8.5400,195474,0.0000,1.0000
2019-03-13,8.2700,8.4600,8.2700,8.4000,8.4000,149842,0.0000,1.0000
2019-03-12,8.2000,8.3900,8.1800,8.2500,8.2500,186079,0.0000,1.0000
2019-03-11,8.5100,8.5100,8.0000,8.2300,8.2300,197252,0.0000,1.0000
2019-03-08,8.4800,8.5400,8.4300,8.5000,8.5000,149629,0.0000,1.0000
2019-03-07,8.5700,8.6100,8.4600,8.5200,8.5200,170319,0.0000,1.0000
2019-03-06,8.5300,8.6200,8.4900,8.5800,8.5800,191354,0.0000,1.0000
2019-03-05,8.5600,8.7500,8.5000,8.5600,8.5600,158532,0.0000,1.0000
2019-03-04,8.6300,8.7800,8.5000,8.5600,8.5600,214004,0.0000,1.0000
2019-03-01,8.4500,8.6800,8.4000,8.5900,8.5900,141668,0.0000,1.0000
2019-02-28,8.4500,8.5200,8.3000,8.4200,8.4200,237639,0.0000,1.0000
2019-02-27,8.3900,8.5000,8.2700,8.4700,8.4700,179481,0.0000,1.0000
2019-02-26,8.0300,8.9200,8.0300,8.4300,8.4300,1058556,0.0000,1.0000
2019-02-25,8.5300,8.5300,8.0500,8.3200,8.3200,701985,0.0000,1.0000
2019-02-22,8.3000,8.5300,8.3000,8.4700,8.4700,162470,0.0000,1.0000
2019-02-21,8.7600,8.7900,8.3000,8.3300,8.3300,263752,0.0000,1.0000
2019-02-20,8.5000,8.8400,8.5000,8.7600,8.7600,178847,0.0000,1.0000
2019-02-19,8.3700,8.6000,8.3700,8.5200,8.5200,119463,0.0000,1.0000
2019-02-15,8.3100,8.5200,8.2300,8.3500,8.3500,195696,0.0000,1.0000
2019-02-14,8.1400,8.3200,8.1400,8.2600,8.2600,131329,0.0000,1.0000
2019-02-13,8.3100,8.3700,8.1400,8.2200,8.2200,133843,0.0000,1.0000
2019-02-12,8.3300,8.4500,8.3000,8.3200,8.3200,80888,0.0000,1.0000
2019-02-11,8.4000,8.4700,8.2900,8.3000,8.3000,150469,0.0000,1.0000
2019-02-08,8.2300,8.4300,8.0700,8.4000,8.4000,165811,0.0000,1.0000
2019-02-07,8.2200,8.3400,8.1600,8.2400,8.2400,84165,0.0000,1.0000
2019-02-06,8.4000,8.4500,8.1800,8.2800,8.2800,135120,0.0000,1.0000
2019-02-05,8.5000,8.5200,8.3400,8.3800,8.3800,142852,0.0000,1.0000
2019-02-04,8.5300,8.5900,8.4500,8.4900,8.4900,120783,0.0000,1.0000
2019-02-01,8.6900,8.6900,8.4600,8.5200,8.5200,64168,0.0000,1.0000
2019-01-31,8.6700,8.7400,8.5400,8.6700,8.6700,115201,0.0000,1.0000
2019-01-30,8.7600,8.8300,8.6000,8.6600,8.6600,110588,0.0000,1.0000
2019-01-29,8.6300,8.7700,8.4900,8.7600,8.7600,137353,0.0000,1.0000
2019-01-28,8.6400,8.7000,8.4600,8.6400,8.6400,201020,0.0000,1.0000
2019-01-25,8.6800,8.7917,8.6500,8.7000,8.7000,84573,0.0000,1.0000
2019-01-24,8.5600,8.6800,8.4900,8.6500,8.6500,160308,0.0000,1.0000
2019-01-23,8.4900,8.5900,8.3450,8.5500,8.5500,75573,0.0000,1.0000
2019-01-22,8.5400,8.5400,8.3600,8.4800,8.4800,142475,0.0000,1.0000
2019-01-18,8.4800,8.6100,8.4400,8.5600,8.5600,116566,0.0000,1.0000
2019-01-17,8.4000,8.4850,8.3500,8.4600,8.4600,105541,0.0000,1.0000
2019-01-16,8.4100,8.4800,8.3500,8.4400,8.4400,69669,0.0000,1.0000
2019-01-15,8.4200,8.4500,8.3300,8.4000,8.4000,80450,0.0000,1.0000
2019-01-14,8.4200,8.5200,8.2700,8.4100,8.4100,165878,0.0000,1.0000
2019-01-11,8.4400,8.5400,8.4100,8.4400,8.4400,267230,0.0000,1.0000
2019-01-10,8.4700,8.5700,8.4500,8.5000,8.5000,96830,0.0000,1.0000
2019-01-09,8.4200,8.7100,8.3300,8.5200,8.5200,181643,0.0000,1.0000
2019-01-08,8.3600,8.4300,8.2800,8.4200,8.4200,162784,0.0000,1.0000
2019-01-07,8.1800,8.4500,8.0600,8.3000,8.3000,561973,0.0000,1.0000
2019-01-04,8.0300,8.3100,7.9000,8.1800,8.1800,399538,0.0000,1.0000
2019-01-03,7.9100,8.0650,7.8000,7.9600,7.9600,193250,0.0000,1.0000
2019-01-02,8.0000,8.1300,7.8000,8.0300,8.0300,183046,0.0000,1.0000
2018-12-31,8.0300,8.1400,7.8389,8.0500,8.0500,389136,0.0000,1.0000
2018-12-28,8.0400,8.1500,7.8900,8.0200,8.0200,265687,0.0000,1.0000
