timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-08-02,74.1400,74.1400,71.3686,72.0400,72.0400,341252,0.0000,1.0000
2019-08-01,75.4900,76.5100,74.7300,74.7600,74.7600,493772,0.0000,1.0000
2019-07-31,77.1600,77.4700,74.6600,75.6000,75.6000,374476,0.0000,1.0000
2019-07-30,77.0500,77.6000,76.2400,76.8500,76.8500,172678,0.0000,1.0000
2019-07-29,78.9600,78.9600,76.8900,77.4900,77.4900,177614,0.0000,1.0000
2019-07-26,78.0900,79.6700,77.8050,78.8400,78.8400,162058,0.0000,1.0000
2019-07-25,77.5800,77.9000,76.9800,77.6600,77.6600,105844,0.0000,1.0000
2019-07-24,76.4700,77.7800,75.8800,77.6400,77.6400,146349,0.0000,1.0000
2019-07-23,76.5100,76.8900,75.7300,76.1800,76.1800,187759,0.0000,1.0000
2019-07-22,75.8800,76.8700,75.8800,76.2900,76.2900,116401,0.0000,1.0000
2019-07-19,76.5800,77.2900,75.3100,75.5400,75.5400,266685,0.0000,1.0000
2019-07-18,76.5100,76.5800,75.6600,76.2000,76.2000,167203,0.0000,1.0000
2019-07-17,76.5200,77.2100,76.5000,76.5300,76.5300,265465,0.0000,1.0000
2019-07-16,77.3000,77.3200,76.3400,76.5200,76.5200,206215,0.0000,1.0000
2019-07-15,78.4500,78.4500,77.1500,77.1900,77.1900,198124,0.0000,1.0000
2019-07-12,77.2800,78.6100,77.2800,78.1000,78.1000,469771,0.0000,1.0000
2019-07-11,76.4200,77.5500,76.1800,76.9600,76.9600,390486,0.0000,1.0000
2019-07-10,75.2800,76.1000,75.1500,75.8500,75.8500,242091,0.0000,1.0000
2019-07-09,72.9700,74.9300,72.9700,74.8700,74.8700,237187,0.0000,1.0000
2019-07-08,72.8400,73.2200,72.4850,73.0800,73.0800,148841,0.0000,1.0000
2019-07-05,73.1600,73.4800,72.1500,73.3800,73.3800,155095,0.0000,1.0000
2019-07-03,73.1100,74.2900,73.0300,73.6400,73.6400,458734,0.0000,1.0000
2019-07-02,72.3000,72.8900,72.0000,72.7100,72.7100,276268,0.0000,1.0000
2019-07-01,72.1700,72.9700,71.2000,72.4000,72.4000,291357,0.0000,1.0000
2019-06-28,70.9000,71.3400,69.5800,71.2100,71.2100,502459,0.0300,1.0000
2019-06-27,70.4200,71.3000,70.0900,70.3500,70.3204,426413,0.0000,1.0000
2019-06-26,70.5400,71.7500,70.0200,70.1000,70.0705,261740,0.0000,1.0000
2019-06-25,72.1900,73.0900,70.4450,70.5100,70.4803,242534,0.0000,1.0000
2019-06-24,73.4300,73.4300,71.8000,71.9200,71.8897,268010,0.0000,1.0000
2019-06-21,73.3600,74.3500,72.8000,73.3400,73.3091,738919,0.0000,1.0000
2019-06-20,74.3700,75.0000,73.5300,73.5600,73.5290,291925,0.0000,1.0000
2019-06-19,72.6700,73.5400,72.4100,73.3500,73.3191,269167,0.0000,1.0000
2019-06-18,71.2800,72.5400,71.2750,72.5200,72.4895,214967,0.0000,1.0000
2019-06-17,70.3800,71.6050,70.1700,70.5100,70.4803,376465,0.0000,1.0000
2019-06-14,71.0900,71.0900,69.8300,70.1400,70.1105,165384,0.0000,1.0000
2019-06-13,70.2500,71.6000,70.2200,71.1900,71.1600,406354,0.0000,1.0000
2019-06-12,70.6500,71.8550,70.1050,70.2200,70.1904,244284,0.0000,1.0000
2019-06-11,72.0300,72.3250,69.9900,70.6600,70.6302,388993,0.0000,1.0000
2019-06-10,70.9500,72.6200,70.6500,71.6400,71.6098,211206,0.0000,1.0000
2019-06-07,71.4900,71.4900,70.2800,70.6300,70.6003,203660,0.0000,1.0000
2019-06-06,71.5800,71.6650,70.9100,71.0600,71.0301,333185,0.0000,1.0000
2019-06-05,70.7800,71.8100,69.8750,71.6700,71.6398,221906,0.0000,1.0000
2019-06-04,70.6900,70.6900,69.4300,69.9100,69.8806,600688,0.0000,1.0000
2019-06-03,72.1500,72.6750,69.3600,69.6800,69.6507,313105,0.0000,1.0000
2019-05-31,72.4300,72.9719,71.9700,72.1400,72.1096,176630,0.0000,1.0000
2019-05-30,73.0400,73.6250,72.7118,73.3000,73.2691,261413,0.0000,1.0000
2019-05-29,73.9600,74.1100,72.6500,72.8100,72.7793,308516,0.0000,1.0000
2019-05-28,73.6200,75.1600,73.6200,74.1300,74.0988,534932,0.0000,1.0000
2019-05-24,73.1400,74.6100,73.1400,73.5300,73.4990,298009,0.0000,1.0000
2019-05-23,71.9000,73.4000,71.8000,72.9600,72.9293,680665,0.0000,1.0000
2019-05-22,72.1100,73.4200,72.1100,72.9600,72.9293,145835,0.0000,1.0000
2019-05-21,71.4100,72.8596,71.3520,72.6400,72.6094,360655,0.0000,1.0000
2019-05-20,70.6800,71.4600,69.9900,70.6300,70.6003,182193,0.0000,1.0000
2019-05-17,71.3600,72.7050,71.2200,71.5900,71.5599,308071,0.0000,1.0000
2019-05-16,70.3100,72.6000,70.3100,72.0600,72.0297,398805,0.0000,1.0000
2019-05-15,68.1300,70.4000,68.1300,70.2600,70.2304,265353,0.0000,1.0000
2019-05-14,68.0700,69.1400,68.0700,68.6200,68.5911,312298,0.0000,1.0000
2019-05-13,68.8000,69.5500,67.7000,67.8000,67.7714,450319,0.0000,1.0000
2019-05-10,68.6600,70.6500,68.0600,70.6500,70.6202,394488,0.0000,1.0000
2019-05-09,68.2900,70.4650,67.6200,68.9800,68.9510,398849,0.0000,1.0000
2019-05-08,71.6500,74.2900,69.5600,70.5300,70.5003,925626,0.0000,1.0000
2019-05-07,74.4100,74.9800,72.3200,72.9200,72.8893,561217,0.0000,1.0000
2019-05-06,74.1400,75.2800,71.9813,75.0000,74.9684,198987,0.0000,1.0000
2019-05-03,74.1500,75.2900,73.8800,75.1700,75.1383,171041,0.0000,1.0000
2019-05-02,72.8900,73.9900,72.4600,73.9000,73.8689,178185,0.0000,1.0000
2019-05-01,75.1300,75.1300,72.8100,72.9500,72.9193,475975,0.0000,1.0000
2019-04-30,75.2300,75.6400,74.5200,75.0100,74.9784,231873,0.0000,1.0000
2019-04-29,75.7900,76.4900,75.3000,75.4100,75.3782,170846,0.0000,1.0000
2019-04-26,74.7500,75.7700,74.0800,75.6300,75.5982,204892,0.0000,1.0000
2019-04-25,74.5300,75.6000,73.7900,74.6500,74.6186,308420,0.0000,1.0000
2019-04-24,74.0000,74.8900,73.8500,74.2200,74.1887,365316,0.0000,1.0000
2019-04-23,72.2700,74.3100,72.2700,73.6700,73.6390,454228,0.0000,1.0000
2019-04-22,70.1100,72.1500,70.1100,71.9100,71.8797,402896,0.0000,1.0000
