timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-08-02,10.0400,10.9500,9.9100,10.6500,10.6500,417155,0.0000,1.0000
2019-08-01,10.4900,10.7445,10.0200,10.0500,10.0500,210038,0.0000,1.0000
2019-07-31,9.8800,10.9850,9.8800,10.5600,10.5600,234949,0.0000,1.0000
2019-07-30,10.2500,10.6200,9.3000,9.9900,9.9900,710154,0.0000,1.0000
2019-07-29,10.8800,11.0000,10.2300,10.3900,10.3900,477332,0.0000,1.0000
2019-07-26,11.1000,11.4003,10.8500,10.9300,10.9300,266539,0.0000,1.0000
2019-07-25,11.3200,11.4700,10.8450,11.1100,11.1100,339595,0.0000,1.0000
2019-07-24,11.2400,11.4600,11.0700,11.2400,11.2400,135368,0.0000,1.0000
2019-07-23,11.3000,11.4359,11.2000,11.2400,11.2400,140215,0.0000,1.0000
2019-07-22,11.8900,12.0800,11.2000,11.3500,11.3500,258477,0.0000,1.0000
2019-07-19,11.5500,11.9800,11.5100,11.9000,11.9000,157918,0.0000,1.0000
2019-07-18,12.0200,12.3200,11.0000,11.5100,11.5100,354935,0.0000,1.0000
2019-07-17,13.0800,13.1000,12.0300,12.0600,12.0600,272592,0.0000,1.0000
2019-07-16,12.9400,13.0999,12.3601,13.0000,13.0000,256875,0.0000,1.0000
2019-07-15,12.0800,13.2500,12.0800,12.8100,12.8100,595465,0.0000,1.0000
2019-07-12,11.1800,12.0900,11.1700,12.0000,12.0000,292729,0.0000,1.0000
2019-07-11,11.2900,11.5000,10.9100,11.2700,11.2700,212386,0.0000,1.0000
2019-07-10,11.4200,11.6900,10.8900,11.2900,11.2900,281412,0.0000,1.0000
2019-07-09,11.3600,11.8399,11.3600,11.4000,11.4000,201820,0.0000,1.0000
2019-07-08,11.1900,11.8566,11.1900,11.4200,11.4200,269655,0.0000,1.0000
2019-07-05,11.6400,12.0002,11.1700,11.1800,11.1800,269541,0.0000,1.0000
2019-07-03,12.2600,12.2600,11.6700,11.7000,11.7000,144778,0.0000,1.0000
2019-07-02,12.5600,12.6210,12.0500,12.2600,12.2600,200996,0.0000,1.0000
2019-07-01,12.6200,12.6800,12.1600,12.5600,12.5600,482084,0.0000,1.0000
2019-06-28,11.2800,12.1604,11.1600,12.1000,12.1000,578170,0.0000,1.0000
