timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-08-02,78.6400,78.6400,76.9600,77.8600,77.8600,48204,0.0000,1.0000
2019-08-01,78.4900,80.5700,78.4900,78.9300,78.9300,70616,0.0000,1.0000
2019-07-31,78.5800,79.5700,77.2145,78.3400,78.3400,47403,0.0000,1.0000
2019-07-30,76.8600,77.8098,76.5200,77.4000,77.4000,117837,0.0000,1.0000
2019-07-29,79.4200,79.4200,76.0000,77.5000,77.5000,65844,0.0000,1.0000
2019-07-26,78.4100,79.3899,78.4100,79.1400,79.1400,44206,0.0000,1.0000
2019-07-25,78.1700,78.4500,77.3700,77.8000,77.8000,32817,0.0000,1.0000
2019-07-24,76.8600,78.4000,76.6886,78.1600,78.1600,28948,0.0000,1.0000
2019-07-23,78.2800,78.2800,76.4400,76.8801,76.8801,102364,0.0000,1.0000
2019-07-22,77.8100,78.2500,77.6700,77.6800,77.6800,19433,0.0000,1.0000
2019-07-19,78.5700,79.0158,77.3200,77.3200,77.3200,47524,0.0000,1.0000
2019-07-18,77.6900,78.2382,77.2916,78.1100,78.1100,37156,0.0000,1.0000
2019-07-17,77.0800,78.2701,77.0800,77.7500,77.7500,73573,0.0000,1.0000
2019-07-16,78.1400,78.3999,77.0600,77.1600,77.1600,54171,0.0000,1.0000
2019-07-15,78.2800,78.4400,77.3601,77.9500,77.9500,38703,0.0000,1.0000
2019-07-12,77.5400,77.7430,76.7101,77.6100,77.6100,32989,0.0000,1.0000
2019-07-11,77.7900,77.7900,76.9600,77.3800,77.3800,42131,0.0000,1.0000
2019-07-10,77.3000,78.0000,77.0600,77.4200,77.4200,43952,0.0000,1.0000
2019-07-09,75.5900,76.9426,75.5900,76.8800,76.8800,24510,0.0000,1.0000
2019-07-08,75.6900,76.0300,75.3900,75.9100,75.9100,41509,0.0000,1.0000
2019-07-05,75.3400,75.9800,74.0600,75.9800,75.9800,220317,0.0000,1.0000
2019-07-03,74.7900,75.5770,74.7900,75.3900,75.3900,77143,0.0000,1.0000
2019-07-02,73.5700,74.3932,73.5000,74.3500,74.3500,20980,0.0000,1.0000
2019-07-01,74.8200,74.8200,73.0800,73.5700,73.5700,33393,0.0000,1.0000
2019-06-28,72.4500,72.9797,71.8500,72.8800,72.8800,15486,0.0000,1.0000
2019-06-27,71.5100,72.6600,71.5100,72.4700,72.4700,36325,0.0000,1.0000
2019-06-26,71.8500,72.5931,71.0014,71.0650,71.0650,100429,0.0000,1.0000
2019-06-25,73.2700,73.3300,71.0900,71.3200,71.3200,62477,0.0000,1.0000
2019-06-24,74.2600,74.3571,73.1200,73.3300,73.3300,31776,0.0000,1.0000
2019-06-21,75.4000,75.4100,74.1318,74.2500,74.2500,16691,0.0000,1.0000
2019-06-20,76.7600,76.7600,74.9000,75.4500,75.4500,38799,0.0000,1.0000
2019-06-19,74.0000,74.7927,73.4101,74.6900,74.6900,110867,0.0000,1.0000
2019-06-18,73.9200,74.4000,73.3500,73.3700,73.3700,39833,0.0000,1.0000
2019-06-17,72.4400,73.2300,72.4400,72.8799,72.8799,18667,0.0000,1.0000
2019-06-14,71.9900,72.3901,71.6136,72.1700,72.1700,25316,0.0000,1.0000
2019-06-13,72.5244,72.9800,72.3387,72.5800,72.5800,43185,0.0000,1.0000
2019-06-12,71.6200,72.6399,71.6200,72.6399,72.6399,35293,0.0000,1.0000
2019-06-11,73.9700,73.9700,71.0116,71.6800,71.6800,23371,0.0000,1.0000
2019-06-10,73.2400,74.9049,73.0000,73.2599,73.2599,72770,0.0000,1.0000
2019-06-07,70.8000,72.5100,70.8000,72.2900,72.2900,48613,0.0000,1.0000
