timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-08-02,16.3600,16.7600,16.2900,16.4000,16.4000,25496,0.0000,1.0000
2019-08-01,16.6000,16.8000,16.4000,16.4400,16.4400,40790,0.0000,1.0000
2019-07-31,16.5900,16.9650,16.4600,16.5500,16.5500,54776,0.0000,1.0000
2019-07-30,16.5000,16.7200,16.5000,16.6600,16.6600,40410,0.0000,1.0000
2019-07-29,16.5000,16.6550,16.4300,16.4500,16.4500,28551,0.0000,1.0000
2019-07-26,16.4100,16.6300,16.4000,16.4900,16.4900,26735,0.0000,1.0000
2019-07-25,16.3000,17.0300,16.2100,16.3950,16.3950,35615,0.0000,1.0000
2019-07-24,15.8500,16.5000,15.8000,16.3600,16.3600,68699,0.0000,1.0000
2019-07-23,16.4600,16.4600,15.7600,15.8700,15.8700,73927,0.0000,1.0000
2019-07-22,16.2800,16.5800,16.2700,16.4000,16.4000,20195,0.0000,1.0000
2019-07-19,16.6500,16.7100,16.4000,16.4300,16.4300,24061,0.0000,1.0000
2019-07-18,16.6250,16.7500,16.4000,16.7100,16.7100,27267,0.0000,1.0000
2019-07-17,17.2200,17.2300,16.6400,16.7700,16.7700,35195,0.0000,1.0000
2019-07-16,17.3600,17.3900,17.2550,17.2700,17.2700,10897,0.0000,1.0000
2019-07-15,17.3350,17.5700,17.2500,17.3800,17.3800,18673,0.0000,1.0000
2019-07-12,17.8100,18.0700,17.6600,17.7100,17.7100,24283,0.0000,1.0000
2019-07-11,18.3500,18.3500,17.4900,17.8200,17.8200,15760,0.0000,1.0000
2019-07-10,17.7800,17.9100,17.5000,17.8700,17.8700,20687,0.0000,1.0000
2019-07-09,17.3900,17.8800,17.3900,17.8000,17.8000,17562,0.0000,1.0000
2019-07-08,17.6900,17.9100,17.6525,17.8200,17.8200,11601,0.0000,1.0000
2019-07-05,17.5400,17.8800,17.5400,17.8100,17.8100,8998,0.0000,1.0000
2019-07-03,17.4100,17.8000,17.4100,17.6700,17.6700,15410,0.0000,1.0000
2019-07-02,17.0934,17.7900,17.0934,17.4500,17.4500,18228,0.0000,1.0000
2019-07-01,17.2400,17.8700,17.2400,17.5300,17.5300,28225,0.0000,1.0000
2019-06-28,16.7400,17.4200,16.7100,17.3700,17.3700,60217,0.0000,1.0000
2019-06-27,16.7400,16.9100,16.4000,16.6700,16.6700,63350,0.0000,1.0000
2019-06-26,17.0150,17.1300,16.6400,16.8000,16.8000,40221,0.0000,1.0000
2019-06-25,17.1200,17.2700,16.9800,17.1800,17.1800,43213,0.0000,1.0000
2019-06-24,17.2100,17.4900,16.8700,17.0600,17.0600,49900,0.0000,1.0000
2019-06-21,17.4300,17.6700,17.2100,17.3300,17.3300,36330,0.0000,1.0000
2019-06-20,17.9100,17.9100,17.2500,17.5400,17.5400,20245,0.0000,1.0000
2019-06-19,17.5400,17.7900,17.5100,17.6700,17.6700,18877,0.0000,1.0000
2019-06-18,17.9800,18.0600,17.5500,17.7900,17.7900,19086,0.0000,1.0000
2019-06-17,17.9000,18.1800,17.3850,18.1600,18.1600,26132,0.0000,1.0000
2019-06-14,17.9100,18.0000,17.7450,17.8200,17.8200,13690,0.0000,1.0000
2019-06-13,17.7300,17.9800,17.7300,17.8300,17.8300,19317,0.0000,1.0000
2019-06-12,17.5200,17.7500,17.5000,17.6800,17.6800,14895,0.0000,1.0000
2019-06-11,17.2600,17.6500,17.2600,17.6400,17.6400,39831,0.0000,1.0000
