timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-08-02,18.8800,19.7500,18.0000,19.6600,19.6600,3818809,0.0000,1.0000
2019-08-01,18.1400,18.2800,17.5800,17.7200,17.7200,1201723,0.0000,1.0000
2019-07-31,18.0900,18.6400,17.9300,18.0400,18.0400,1090892,0.0000,1.0000
2019-07-30,17.3600,18.0300,17.3500,18.0100,18.0100,649508,0.0000,1.0000
2019-07-29,17.9100,18.0433,17.0400,17.4600,17.4600,1011984,0.0000,1.0000
2019-07-26,17.6000,17.9950,17.6000,17.9600,17.9600,557387,0.0000,1.0000
2019-07-25,18.0000,18.1500,17.5000,17.5900,17.5900,610917,0.0000,1.0000
2019-07-24,17.6200,17.9900,17.2000,17.9800,17.9800,858519,0.0000,1.0000
2019-07-23,16.8700,17.8000,16.7042,17.7900,17.7900,1094840,0.0000,1.0000
2019-07-22,16.9100,17.4000,16.7701,17.3800,17.3800,727910,0.0000,1.0000
2019-07-19,16.8000,17.1000,16.6550,16.9800,16.9800,707338,0.0000,1.0000
2019-07-18,17.4900,17.5500,16.8000,16.8500,16.8500,862748,0.0000,1.0000
2019-07-17,17.7700,18.0400,17.3900,17.5800,17.5800,1079450,0.0000,1.0000
2019-07-16,17.4600,17.5400,17.1100,17.1200,17.1200,737510,0.0000,1.0000
2019-07-15,18.0000,18.0003,17.0000,17.5200,17.5200,1077249,0.0000,1.0000
2019-07-12,17.8100,18.0500,17.5900,17.8800,17.8800,814309,0.0000,1.0000
2019-07-11,18.0000,18.1800,17.6800,17.7100,17.7100,929502,0.0000,1.0000
2019-07-10,18.7100,18.7215,17.5650,17.9400,17.9400,1074907,0.0000,1.0000
2019-07-09,17.8900,18.3800,17.8900,17.9700,17.9700,976155,0.0000,1.0000
2019-07-08,17.8400,18.0400,17.7000,17.8900,17.8900,539191,0.0000,1.0000
2019-07-05,17.5500,17.8800,17.2400,17.7800,17.7800,464543,0.0000,1.0000
2019-07-03,18.0500,18.0600,17.5000,17.6400,17.6400,467150,0.0000,1.0000
2019-07-02,17.9400,18.0500,17.6000,17.9700,17.9700,721471,0.0000,1.0000
2019-07-01,18.2200,18.3499,17.8900,17.9400,17.9400,777169,0.0000,1.0000
