timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-08-02,2.4678,2.4804,2.3000,2.3000,2.3000,87313,0.0000,1.0000
2019-08-01,2.3000,2.4900,2.2800,2.4300,2.4300,224333,0.0000,1.0000
2019-07-31,2.2800,2.4900,2.1500,2.3000,2.3000,183763,0.0000,1.0000
2019-07-30,2.4000,2.4000,2.2394,2.2500,2.2500,79694,0.0000,1.0000
2019-07-29,2.2400,2.3250,2.2300,2.2400,2.2400,33932,0.0000,1.0000
2019-07-26,2.3100,2.4000,2.2600,2.2600,2.2600,31575,0.0000,1.0000
2019-07-25,2.2400,2.3500,2.2300,2.3000,2.3000,42217,0.0000,1.0000
2019-07-24,2.2000,2.2700,2.1800,2.2400,2.2400,48065,0.0000,1.0000
2019-07-23,2.2900,2.3486,2.1500,2.1700,2.1700,101979,0.0000,1.0000
2019-07-22,2.3500,2.4300,2.2700,2.2900,2.2900,55765,0.0000,1.0000
2019-07-19,2.4000,2.4600,2.3000,2.3500,2.3500,47200,0.0000,1.0000
2019-07-18,2.3900,2.4700,2.3500,2.3800,2.3800,45954,0.0000,1.0000
2019-07-17,2.3200,2.3900,2.3200,2.3700,2.3700,31762,0.0000,1.0000
2019-07-16,2.2800,2.3993,2.2700,2.3100,2.3100,43160,0.0000,1.0000
2019-07-15,2.4700,2.5000,2.3100,2.3600,2.3600,78357,0.0000,1.0000
2019-07-12,2.4800,2.6554,2.4250,2.4700,2.4700,126836,0.0000,1.0000
2019-07-11,2.4600,2.4700,2.3700,2.4400,2.4400,64540,0.0000,1.0000
2019-07-10,2.4300,2.4500,2.3011,2.4400,2.4400,58516,0.0000,1.0000
2019-07-09,2.2000,2.4800,2.2000,2.4300,2.4300,136903,0.0000,1.0000
2019-07-08,2.1400,2.2000,2.1300,2.1600,2.1600,44894,0.0000,1.0000
2019-07-05,2.1900,2.2240,2.0900,2.1300,2.1300,83030,0.0000,1.0000
2019-07-03,2.2300,2.2600,2.1500,2.1800,2.1800,60369,0.0000,1.0000
2019-07-02,2.2600,2.2900,2.1700,2.2200,2.2200,58558,0.0000,1.0000
2019-07-01,2.4000,2.4720,2.2500,2.2600,2.2600,49604,0.0000,1.0000
2019-06-28,2.2800,2.3900,2.2800,2.3800,2.3800,94250,0.0000,1.0000
2019-06-27,2.1900,2.2800,2.1900,2.2700,2.2700,55703,0.0000,1.0000
2019-06-26,2.1500,2.2400,2.1500,2.1800,2.1800,33330,0.0000,1.0000
2019-06-25,2.1600,2.2200,2.1300,2.1400,2.1400,68008,0.0000,1.0000
2019-06-24,2.1900,2.2500,2.1100,2.1700,2.1700,94797,0.0000,1.0000
2019-06-21,2.0600,2.2100,2.0000,2.2000,2.2000,288826,0.0000,1.0000
2019-06-20,2.2400,2.2499,2.0000,2.0700,2.0700,321059,0.0000,1.0000
2019-06-19,2.2600,2.3900,1.9300,2.1200,2.1200,450633,0.0000,1.0000
2019-06-18,2.5200,2.5500,2.2900,2.3800,2.3800,166805,0.0000,1.0000
2019-06-17,2.4400,2.5500,2.4000,2.5300,2.5300,164859,0.0000,1.0000
2019-06-14,2.5600,2.6200,2.4500,2.4900,2.4900,238034,0.0000,1.0000
2019-06-13,2.6700,2.7400,2.5500,2.5700,2.5700,166464,0.0000,1.0000
2019-06-12,2.7100,2.8500,2.6800,2.7100,2.7100,45904,0.0000,1.0000
2019-06-11,2.8000,2.9300,2.7200,2.7300,2.7300,72464,0.0000,1.0000
2019-06-10,2.7100,2.8000,2.7000,2.7700,2.7700,63636,0.0000,1.0000
2019-06-07,2.9200,2.9200,2.7100,2.7400,2.7400,66399,0.0000,1.0000
2019-06-06,2.7200,2.9499,2.7200,2.9200,2.9200,114455,0.0000,1.0000
2019-06-05,2.8300,2.9900,2.7500,2.7600,2.7600,202883,0.0000,1.0000
2019-06-04,2.6800,2.8800,2.6500,2.8600,2.8600,166199,0.0000,1.0000
2019-06-03,2.3800,2.7000,2.3000,2.6600,2.6600,266748,0.0000,1.0000
2019-05-31,2.4800,2.6000,2.3900,2.4000,2.4000,90552,0.0000,1.0000
2019-05-30,2.6700,2.7000,2.4800,2.5000,2.5000,205267,0.0000,1.0000
2019-05-29,2.6700,2.7200,2.6000,2.6800,2.6800,111709,0.0000,1.0000
2019-05-28,2.7700,2.8000,2.6600,2.7000,2.7000,126002,0.0000,1.0000
2019-05-24,2.6000,2.8099,2.5300,2.6000,2.6000,66108,0.0000,1.0000
2019-05-23,2.6900,2.6900,2.5800,2.6200,2.6200,99940,0.0000,1.0000
2019-05-22,2.7300,2.8100,2.7000,2.7000,2.7000,53943,0.0000,1.0000
2019-05-21,2.7600,2.8500,2.7022,2.7500,2.7500,27273,0.0000,1.0000
2019-05-20,2.7300,2.7900,2.6800,2.7200,2.7200,87074,0.0000,1.0000
2019-05-17,2.8500,2.8500,2.7200,2.7500,2.7500,151471,0.0000,1.0000
2019-05-16,2.9800,3.0150,2.8700,2.8850,2.8850,159776,0.0000,1.0000
2019-05-15,2.9300,3.1800,2.9100,2.9700,2.9700,100388,0.0000,1.0000
2019-05-14,3.0300,3.0900,2.9000,2.9300,2.9300,89019,0.0000,1.0000
2019-05-13,3.0500,3.1900,3.0400,3.0700,3.0700,160644,0.0000,1.0000
2019-05-10,3.2400,3.2617,3.0200,3.1600,3.1600,201276,0.0000,1.0000
2019-05-09,3.0000,3.4100,2.9300,3.2700,3.2700,281755,0.0000,1.0000
2019-05-08,3.0200,3.1200,3.0100,3.1200,3.1200,69559,0.0000,1.0000
2019-05-07,2.9300,3.0600,2.9100,3.0600,3.0600,178773,0.0000,1.0000
2019-05-06,2.9900,3.0000,2.9000,2.9600,2.9600,90884,0.0000,1.0000
2019-05-03,2.7800,3.0000,2.7576,2.9899,2.9899,107872,0.0000,1.0000
2019-05-02,2.9200,2.9500,2.4100,2.7800,2.7800,384078,0.0000,1.0000
2019-05-01,3.0800,3.0800,2.8800,2.9100,2.9100,146336,0.0000,1.0000
2019-04-30,3.0500,3.1000,2.9800,3.0200,3.0200,101656,0.0000,1.0000
2019-04-29,3.0900,3.1900,3.0200,3.0300,3.0300,140519,0.0000,1.0000
2019-04-26,3.0300,3.1300,2.9800,3.0600,3.0600,56941,0.0000,1.0000
2019-04-25,2.9500,3.0000,2.9000,3.0000,3.0000,120413,0.0000,1.0000
2019-04-24,3.0200,3.0400,2.9700,2.9700,2.9700,82456,0.0000,1.0000
2019-04-23,2.9000,3.0900,2.9000,3.0500,3.0500,116865,0.0000,1.0000
2019-04-22,3.0100,3.0100,2.9000,2.9300,2.9300,83063,0.0000,1.0000
2019-04-18,2.9800,3.0000,2.9000,2.9900,2.9900,94374,0.0000,1.0000
2019-04-17,2.8800,2.9800,2.8000,2.9600,2.9600,206224,0.0000,1.0000
2019-04-16,3.1000,3.1243,2.8000,2.8500,2.8500,336985,0.0000,1.0000
2019-04-15,3.0500,3.1300,2.9600,3.0700,3.0700,231137,0.0000,1.0000
2019-04-12,3.1200,3.1700,3.0400,3.0900,3.0900,197041,0.0000,1.0000
2019-04-11,3.1000,3.1125,3.0300,3.0600,3.0600,88207,0.0000,1.0000
2019-04-10,3.1400,3.2325,3.0000,3.0700,3.0700,96074,0.0000,1.0000
2019-04-09,3.0500,3.1400,3.0100,3.1200,3.1200,65048,0.0000,1.0000
2019-04-08,3.1600,3.1724,3.0300,3.0500,3.0500,182684,0.0000,1.0000
2019-04-05,3.2100,3.2600,3.0600,3.1500,3.1500,132707,0.0000,1.0000
2019-04-04,3.4200,3.4300,3.1600,3.1800,3.1800,143488,0.0000,1.0000
2019-04-03,3.2500,3.4400,3.2200,3.4000,3.4000,239093,0.0000,1.0000
2019-04-02,3.1700,3.3000,3.0900,3.2200,3.2200,217028,0.0000,1.0000
2019-04-01,3.0600,3.1500,2.9600,3.1500,3.1500,186627,0.0000,1.0000
2019-03-29,2.9600,3.1000,2.9087,3.0000,3.0000,117418,0.0000,1.0000
2019-03-28,3.0100,3.0100,2.8500,2.9500,2.9500,97286,0.0000,1.0000
2019-03-27,2.9800,3.0100,2.8200,2.9900,2.9900,95923,0.0000,1.0000
2019-03-26,3.0100,3.0500,2.9100,2.9600,2.9600,119613,0.0000,1.0000
2019-03-25,2.9800,3.0510,2.9400,3.0400,3.0400,139529,0.0000,1.0000
2019-03-22,3.0400,3.0500,2.9000,2.9500,2.9500,165255,0.0000,1.0000
2019-03-21,3.0500,3.1099,2.9900,3.0500,3.0500,180865,0.0000,1.0000
2019-03-20,2.9000,3.0800,2.8700,3.0300,3.0300,228605,0.0000,1.0000
2019-03-19,3.0900,3.1000,2.9200,3.0500,3.0500,121911,0.0000,1.0000
2019-03-18,2.9800,3.1600,2.9097,3.0900,3.0900,248311,0.0000,1.0000
2019-03-15,2.8000,2.9050,2.7200,2.8500,2.8500,322617,0.0000,1.0000
2019-03-14,3.0100,3.2400,2.8900,3.0000,3.0000,276307,0.0000,1.0000
2019-03-13,2.9999,3.0300,2.8600,2.9600,2.9600,149110,0.0000,1.0000
2019-03-12,3.0000,3.0250,2.9000,2.9800,2.9800,93455,0.0000,1.0000
2019-03-11,2.9200,2.9800,2.7200,2.9800,2.9800,162292,0.0000,1.0000
2019-03-08,2.9400,2.9500,2.8000,2.8500,2.8500,233373,0.0000,1.0000
2019-03-07,3.0100,3.0645,2.9200,2.9600,2.9600,175917,0.0000,1.0000
2019-03-06,3.0700,3.0900,3.0000,3.0200,3.0200,82507,0.0000,1.0000
2019-03-05,3.1800,3.2300,3.0500,3.0900,3.0900,113599,0.0000,1.0000
2019-03-04,3.2300,3.2390,3.0800,3.1900,3.1900,116779,0.0000,1.0000
2019-03-01,3.1800,3.2500,3.0000,3.1900,3.1900,272259,0.0000,1.0000
2019-02-28,3.0300,3.1790,3.0300,3.1100,3.1100,186653,0.0000,1.0000
2019-02-27,3.1000,3.1000,2.8800,3.0500,3.0500,300947,0.0000,1.0000
2019-02-26,3.3200,3.4700,3.1000,3.1000,3.1000,378776,0.0000,1.0000
2019-02-25,3.7000,3.7450,3.3200,3.3800,3.3800,347996,0.0000,1.0000
2019-02-22,3.6600,3.7250,3.4600,3.6400,3.6400,321465,0.0000,1.0000
2019-02-21,3.9000,3.9800,3.2500,3.6900,3.6900,679752,0.0000,1.0000
2019-02-20,3.5800,4.0000,3.4500,3.8500,3.8500,996671,0.0000,1.0000
2019-02-19,3.4500,3.4500,3.2500,3.4500,3.4500,169337,0.0000,1.0000
2019-02-15,3.3000,3.4799,3.2905,3.3000,3.3000,114455,0.0000,1.0000
2019-02-14,3.5600,3.6300,3.2500,3.3000,3.3000,325819,0.0000,1.0000
2019-02-13,3.3000,3.6000,3.2500,3.5100,3.5100,243036,0.0000,1.0000
2019-02-12,3.2900,3.2900,3.1800,3.2800,3.2800,158680,0.0000,1.0000
2019-02-11,3.2200,3.2800,3.0500,3.2300,3.2300,185014,0.0000,1.0000
2019-02-08,3.0800,3.2936,3.0600,3.2000,3.2000,197713,0.0000,1.0000
2019-02-07,3.0200,3.1000,2.9000,3.1000,3.1000,104128,0.0000,1.0000
2019-02-06,2.9100,3.0748,2.9100,3.0600,3.0600,253929,0.0000,1.0000
2019-02-05,2.8300,2.9400,2.8000,2.9100,2.9100,187207,0.0000,1.0000
2019-02-04,3.0400,3.0400,2.6000,2.8000,2.8000,403261,0.0000,1.0000
2019-02-01,3.0500,3.0600,2.7800,2.9000,2.9000,284603,0.0000,1.0000
2019-01-31,3.1000,3.1400,2.7500,3.0800,3.0800,464614,0.0000,1.0000
2019-01-30,3.5000,3.5500,2.8500,3.1200,3.1200,774756,0.0000,1.0000
2019-01-29,3.2000,3.5700,3.1100,3.4800,3.4800,835204,0.0000,1.0000
2019-01-28,3.2400,3.3000,3.0300,3.1900,3.1900,1154071,0.0000,1.0000
2019-01-25,2.8300,3.3292,2.7500,3.1000,3.1000,2181112,0.0000,1.0000
2019-01-24,2.6000,2.9700,2.5999,2.8000,2.8000,831910,0.0000,1.0000
2019-01-23,2.6400,2.7500,2.3300,2.4800,2.4800,234001,0.0000,1.0000
2019-01-22,2.5200,2.7500,2.4500,2.6100,2.6100,285445,0.0000,1.0000
2019-01-18,2.3600,2.6500,2.2800,2.5600,2.5600,345680,0.0000,1.0000
2019-01-17,2.2900,2.3700,2.1300,2.3300,2.3300,287541,0.0000,1.0000
2019-01-16,2.2600,2.7500,2.1600,2.3500,2.3500,982714,0.0000,1.0000
2019-01-15,1.7600,2.6199,1.7600,2.2700,2.2700,1322943,0.0000,1.0000
2019-01-14,1.6800,1.6900,1.6300,1.6700,1.6700,204463,0.0000,1.0000
2019-01-11,1.7200,1.7797,1.6300,1.6600,1.6600,328779,0.0000,1.0000
2019-01-10,1.6600,1.7800,1.6100,1.7400,1.7400,562590,0.0000,1.0000
2019-01-09,1.5700,1.7450,1.5500,1.6600,1.6600,201981,0.0000,1.0000
2019-01-08,1.5700,1.5700,1.5000,1.5700,1.5700,210565,0.0000,1.0000
2019-01-07,1.7000,1.7000,1.5000,1.5400,1.5400,388906,0.0000,1.0000
2019-01-04,1.4900,1.6000,1.4800,1.5900,1.5900,271239,0.0000,1.0000
2019-01-03,1.5300,1.5799,1.3800,1.4400,1.4400,243310,0.0000,1.0000
