timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-08-02,8.9100,8.9688,8.8500,8.9256,8.9256,7211,0.0000,1.0000
2019-08-01,9.0100,9.0800,8.9900,8.9900,8.9900,9501,0.0000,1.0000
2019-07-31,9.0900,9.0900,9.0000,9.0000,9.0000,8259,0.0000,1.0000
2019-07-30,8.9046,9.1651,8.9000,8.9700,8.9700,14108,0.0000,1.0000
2019-07-29,8.5900,8.9600,8.5900,8.8200,8.8200,14150,0.0000,1.0000
2019-07-26,8.4600,8.5900,8.4000,8.5500,8.5500,29954,0.0000,1.0000
2019-07-25,8.3000,8.4000,8.3000,8.4000,8.4000,6681,0.0000,1.0000
2019-07-24,8.3600,8.4182,8.3000,8.3000,8.3000,12009,0.0000,1.0000
2019-07-23,8.3300,8.4899,8.3300,8.3600,8.3600,9145,0.0000,1.0000
2019-07-22,8.4068,8.4899,8.3301,8.4150,8.4150,4838,0.0000,1.0000
2019-07-19,8.3900,8.4569,8.2700,8.4200,8.4200,19686,0.0000,1.0000
2019-07-18,8.3100,8.4400,8.3000,8.3100,8.3100,4887,0.0000,1.0000
2019-07-17,8.3350,8.4086,8.2700,8.3788,8.3788,14387,0.0000,1.0000
2019-07-16,8.4500,8.4500,8.3100,8.4500,8.4500,5327,0.0000,1.0000
2019-07-15,8.3900,8.4800,8.2800,8.4700,8.4700,11164,0.0000,1.0000
2019-07-12,8.5000,8.5600,8.2700,8.2700,8.2700,32500,0.0000,1.0000
2019-07-11,8.4200,8.4200,8.3000,8.3000,8.3000,6261,0.0000,1.0000
2019-07-10,8.4400,8.4687,8.3500,8.3500,8.3500,9422,0.0000,1.0000
2019-07-09,8.4999,8.4999,8.4018,8.4186,8.4186,7491,0.0000,1.0000
2019-07-08,8.4600,8.4999,8.4046,8.4479,8.4479,2551,0.0000,1.0000
2019-07-05,8.4800,8.4801,8.3500,8.4800,8.4800,4052,0.0000,1.0000
2019-07-03,8.4128,8.4128,8.3616,8.3616,8.3616,556,0.0000,1.0000
2019-07-02,8.3600,8.4800,8.3100,8.3200,8.3200,13435,0.0000,1.0000
2019-07-01,8.3500,8.4930,8.3310,8.4200,8.4200,10573,0.0000,1.0000
2019-06-28,8.2600,8.4100,8.2600,8.4000,8.4000,20333,0.0000,1.0000
2019-06-27,8.3100,8.3100,8.2500,8.2700,8.2700,4723,0.0000,1.0000
2019-06-26,8.3500,8.3500,8.2600,8.2600,8.2600,5995,0.0000,1.0000
2019-06-25,8.2600,8.4000,8.2500,8.2600,8.2600,11780,0.0000,1.0000
2019-06-24,8.4900,8.5000,8.0643,8.3700,8.3700,26229,0.0000,1.0000
2019-06-21,8.5000,8.5000,8.4000,8.4300,8.4300,12371,0.0000,1.0000
2019-06-20,8.4749,8.5000,8.4500,8.4900,8.4900,10443,0.0000,1.0000
2019-06-19,8.6000,8.6000,8.4200,8.5000,8.5000,31967,0.0000,1.0000
2019-06-18,8.7500,8.7500,8.5472,8.6500,8.6500,10445,0.0000,1.0000
2019-06-17,8.8100,8.9700,8.6531,8.7600,8.7600,13002,0.0000,1.0000
2019-06-14,8.9900,8.9900,8.8016,8.8500,8.8500,7103,0.0000,1.0000
2019-06-13,8.9000,8.9800,8.9000,8.9100,8.9100,2093,0.0000,1.0000
2019-06-12,8.9000,8.9300,8.7900,8.9200,8.9200,3957,0.0000,1.0000
2019-06-11,8.8309,8.8680,8.8000,8.8100,8.8100,5091,0.0000,1.0000
2019-06-10,9.0100,9.0100,8.9200,8.9300,8.9300,3273,0.0000,1.0000
2019-06-07,9.0000,9.0134,8.8000,8.8831,8.8831,17946,0.0000,1.0000
2019-06-06,9.2000,9.2000,9.0500,9.0500,9.0500,21066,0.0000,1.0000
2019-06-05,9.4200,9.5001,9.1700,9.1843,9.1843,25365,0.0000,1.0000
2019-06-04,9.3500,9.5600,9.3500,9.4500,9.4500,8930,0.0000,1.0000
2019-06-03,9.5300,9.5600,9.3569,9.5100,9.5100,12230,0.1200,1.0000
2019-05-31,9.4500,9.5500,9.4500,9.5500,9.4310,2516,0.0000,1.0000
2019-05-30,9.6520,9.6520,9.5000,9.5178,9.3992,5489,0.0000,1.0000
2019-05-29,9.6300,9.7500,9.6000,9.6000,9.4804,4623,0.0000,1.0000
2019-05-28,9.5000,9.6100,9.5000,9.6000,9.4804,8467,0.0000,1.0000
2019-05-24,9.5787,9.6795,9.5000,9.5000,9.3816,2018,0.0000,1.0000
2019-05-23,9.5700,9.6800,9.5000,9.6800,9.5594,2688,0.0000,1.0000
2019-05-22,9.6300,9.6900,9.4723,9.6900,9.5693,8335,0.0000,1.0000
2019-05-21,9.5200,9.7400,9.5200,9.7400,9.6186,1313,0.0000,1.0000
2019-05-20,9.6200,9.6700,9.4700,9.6500,9.5298,2525,0.0000,1.0000
2019-05-17,9.4600,9.6200,9.4600,9.6200,9.5001,9345,0.0000,1.0000
2019-05-16,9.5100,9.5500,9.4500,9.5500,9.4310,8211,0.0000,1.0000
2019-05-15,9.5000,9.5400,9.4500,9.5200,9.4014,4198,0.0000,1.0000
2019-05-14,9.5651,9.5651,9.5000,9.5150,9.3964,9812,0.0000,1.0000
2019-05-13,9.5000,9.5900,9.5000,9.5000,9.3816,4644,0.0000,1.0000
2019-05-10,9.4300,9.5604,9.4300,9.5400,9.4211,13953,0.0000,1.0000
2019-05-09,9.5300,9.5300,9.4000,9.4300,9.3125,5172,0.0000,1.0000
2019-05-08,9.4400,9.5000,9.4000,9.4450,9.3273,10124,0.0000,1.0000
2019-05-07,9.5938,9.5938,9.2954,9.3228,9.2066,3555,0.0000,1.0000
2019-05-06,9.4800,9.7099,9.2000,9.5000,9.3816,28684,0.0000,1.0000
2019-05-03,9.6600,9.7700,9.4500,9.7400,9.6186,21031,0.0000,1.0000
2019-05-02,9.7900,9.7900,9.4101,9.5800,9.4606,31487,0.0000,1.0000
2019-05-01,9.8400,9.8899,9.6201,9.7429,9.6215,6596,0.0000,1.0000
2019-04-30,9.8600,9.9000,9.7300,9.8400,9.7174,11455,0.0000,1.0000
2019-04-29,9.7100,9.9000,9.6600,9.8550,9.7322,13916,0.0000,1.0000
2019-04-26,9.6400,9.7500,9.5600,9.7472,9.6257,20661,0.0000,1.0000
2019-04-25,9.5000,9.6565,9.5000,9.6194,9.4995,45744,0.0000,1.0000
2019-04-24,9.7000,9.7115,9.4600,9.4600,9.3421,11978,0.0000,1.0000
2019-04-23,9.6700,9.7300,9.5782,9.7300,9.6088,2333,0.0000,1.0000
2019-04-22,9.6800,9.7700,9.5750,9.6900,9.5693,139003,0.0000,1.0000
2019-04-18,9.5400,9.7950,9.4900,9.6001,9.4805,31556,0.0000,1.0000
2019-04-17,9.7200,9.7200,9.4700,9.6000,9.4804,52442,0.0000,1.0000
2019-04-16,9.5400,9.6827,9.4604,9.6500,9.5298,56684,0.0000,1.0000
2019-04-15,9.3800,9.7090,9.3069,9.6000,9.4804,83643,0.0000,1.0000
2019-04-12,9.2500,9.3800,9.2500,9.3800,9.2631,7549,0.0000,1.0000
2019-04-11,9.2735,9.2735,9.2000,9.2600,9.1446,18793,0.0000,1.0000
2019-04-10,9.2000,9.3400,9.2000,9.2000,9.0854,7232,0.0000,1.0000
2019-04-09,9.2500,9.4000,9.2000,9.2000,9.0854,7875,0.0000,1.0000
2019-04-08,9.3600,9.3600,9.2146,9.2303,9.1153,4723,0.0000,1.0000
2019-04-05,9.3800,9.3800,9.2200,9.3800,9.2631,3904,0.0000,1.0000
2019-04-04,9.3324,9.3580,9.2000,9.2000,9.0854,15410,0.0000,1.0000
2019-04-03,9.2600,9.3300,9.2000,9.3044,9.1885,46218,0.0000,1.0000
2019-04-02,9.1500,9.3700,9.1500,9.2000,9.0854,13441,0.0000,1.0000
2019-04-01,9.2300,9.3500,9.2000,9.2150,9.1002,32285,0.0000,1.0000
2019-03-29,9.1500,9.1999,9.0151,9.0200,8.9076,3553,0.0000,1.0000
2019-03-28,9.2300,9.2300,9.1800,9.2000,9.0854,4790,0.0000,1.0000
2019-03-27,9.1500,9.2300,9.0000,9.2300,9.1150,27103,0.0000,1.0000
