timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-08-02,49.9736,50.2014,49.9736,50.0200,50.0200,1665,0.0000,1.0000
2019-08-01,50.5648,50.5648,50.2800,50.2800,50.2800,530,0.0000,1.0000
2019-07-31,51.6300,51.6300,50.9300,50.9300,50.9300,1030,0.0000,1.0000
2019-07-30,51.7078,51.7078,51.4800,51.4800,51.4800,1222,0.0000,1.0000
2019-07-29,51.6570,51.6600,51.6570,51.6600,51.6600,622,0.0000,1.0000
2019-07-26,51.7700,51.7700,51.7700,51.7700,51.7700,300,0.0000,1.0000
2019-07-25,51.8664,51.8664,51.8664,51.8664,51.8664,318,0.0000,1.0000
2019-07-24,52.2400,52.2400,51.9600,51.9600,51.9600,917,0.0000,1.0000
2019-07-23,52.0476,52.1457,51.9600,51.9600,51.9600,1110,0.0000,1.0000
2019-07-22,52.1600,52.1600,52.0000,52.0000,52.0000,1396,0.0000,1.0000
2019-07-19,52.6132,52.6132,52.2800,52.2800,52.2800,666,0.0000,1.0000
2019-07-18,52.6100,52.9050,52.6100,52.8200,52.8200,843,0.0000,1.0000
2019-07-17,52.6000,52.6000,52.3600,52.3600,52.3600,675,0.0000,1.0000
2019-07-16,52.5600,52.5600,52.3300,52.3300,52.3300,1113,0.0000,1.0000
2019-07-15,52.5900,52.5900,52.5600,52.5600,52.5600,583,0.0000,1.0000
2019-07-12,52.6732,52.6732,52.5200,52.5200,52.5200,544,0.0000,1.0000
2019-07-11,52.4200,52.4200,52.4200,52.4200,52.4200,216,0.0000,1.0000
2019-07-10,52.5700,52.7200,52.4300,52.4300,52.4300,3241,0.0000,1.0000
2019-07-09,51.9800,51.9800,51.9800,51.9800,51.9800,302,0.0000,1.0000
2019-07-08,52.3565,52.3565,52.1900,52.1900,52.1900,720,0.0000,1.0000
2019-07-05,52.5028,52.5028,52.4100,52.4100,52.4100,744,0.0000,1.0000
2019-07-03,52.5629,52.5629,52.4700,52.4700,52.4700,671,0.0000,1.0000
2019-07-02,52.3600,52.3600,52.3400,52.3400,52.3400,2505,0.0000,1.0000
2019-07-01,52.7799,52.7799,52.7799,52.7799,52.7799,329,0.0000,1.0000
2019-06-28,52.2600,52.3499,52.0800,52.0800,52.0800,972,0.0000,1.0000
2019-06-27,52.2400,52.5100,52.2400,52.5100,52.5100,783,0.0000,1.0000
