timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-08-02,1.5400,1.5700,1.4700,1.5278,1.5278,59287,0.0000,1.0000
2019-08-01,1.5700,1.5900,1.4300,1.4600,1.4600,72131,0.0000,1.0000
2019-07-31,1.6000,1.6359,1.5400,1.5400,1.5400,62410,0.0000,1.0000
2019-07-30,1.6100,1.6300,1.5800,1.5800,1.5800,27173,0.0000,1.0000
2019-07-29,1.6200,1.6300,1.5600,1.6000,1.6000,30736,0.0000,1.0000
2019-07-26,1.5900,1.6500,1.5900,1.6300,1.6300,32685,0.0000,1.0000
2019-07-25,1.6240,1.6300,1.5500,1.6100,1.6100,9554,0.0000,1.0000
2019-07-24,1.4700,1.6200,1.4700,1.6200,1.6200,37527,0.0000,1.0000
2019-07-23,1.6000,1.6131,1.4600,1.4934,1.4934,72881,0.0000,1.0000
2019-07-22,1.6900,1.7000,1.6100,1.6100,1.6100,12953,0.0000,1.0000
2019-07-19,1.6200,1.6500,1.6100,1.6200,1.6200,29600,0.0000,1.0000
2019-07-18,1.6200,1.7000,1.6200,1.6500,1.6500,42686,0.0000,1.0000
2019-07-17,1.6300,1.6900,1.5600,1.6200,1.6200,286050,0.0000,1.0000
2019-07-16,1.6200,1.6500,1.6100,1.6200,1.6200,41544,0.0000,1.0000
2019-07-15,1.6419,1.6419,1.6200,1.6200,1.6200,18579,0.0000,1.0000
2019-07-12,1.6290,1.6700,1.6000,1.6100,1.6100,102007,0.0000,1.0000
2019-07-11,1.6800,1.6800,1.6100,1.6100,1.6100,40597,0.0000,1.0000
2019-07-10,1.7000,1.7200,1.6650,1.6700,1.6700,726965,0.0000,1.0000
2019-07-09,1.7700,1.7700,1.6900,1.7100,1.7100,315238,0.0000,1.0000
2019-07-08,1.7400,1.8100,1.7250,1.7800,1.7800,23692,0.0000,1.0000
2019-07-05,1.7500,1.7941,1.6300,1.7600,1.7600,145826,0.0000,1.0000
2019-07-03,1.7600,1.8000,1.7150,1.7600,1.7600,20544,0.0000,1.0000
2019-07-02,1.8800,1.9400,1.6500,1.7500,1.7500,156424,0.0000,1.0000
2019-07-01,1.9300,1.9500,1.9000,1.9100,1.9100,22690,0.0000,1.0000
2019-06-28,1.8700,1.9500,1.8450,1.9000,1.9000,110317,0.0000,1.0000
2019-06-27,1.9300,2.0000,1.8700,1.8906,1.8906,235482,0.0000,1.0000
2019-06-26,1.9513,1.9800,1.9000,1.9000,1.9000,1070344,0.0000,1.0000
2019-06-25,1.9000,1.9806,1.8800,1.9100,1.9100,26731,0.0000,1.0000
2019-06-24,1.8800,1.9200,1.8800,1.9100,1.9100,9053,0.0000,1.0000
2019-06-21,2.0000,2.0000,1.9200,1.9200,1.9200,11684,0.0000,1.0000
2019-06-20,1.9500,2.0799,1.9100,2.0200,2.0200,32505,0.0000,1.0000
2019-06-19,1.8600,1.9000,1.8556,1.9000,1.9000,1960,0.0000,1.0000
2019-06-18,1.8700,1.8700,1.8400,1.8500,1.8500,40509,0.0000,1.0000
2019-06-17,1.8075,1.8700,1.8000,1.8600,1.8600,21008,0.0000,1.0000
2019-06-14,1.8137,1.8300,1.7800,1.8155,1.8155,9753,0.0000,1.0000
2019-06-13,1.8200,1.8700,1.8090,1.8700,1.8700,6892,0.0000,1.0000
2019-06-12,1.8399,1.8400,1.7700,1.8000,1.8000,53161,0.0000,1.0000
2019-06-11,1.9100,1.9100,1.8200,1.8400,1.8400,17593,0.0000,1.0000
2019-06-10,1.8700,1.9400,1.7600,1.9200,1.9200,22414,0.0000,1.0000
2019-06-07,1.8300,1.8908,1.8300,1.8600,1.8600,8802,0.0000,1.0000
2019-06-06,1.8500,1.8599,1.7700,1.8000,1.8000,21587,0.0000,1.0000
2019-06-05,1.9600,1.9600,1.8500,1.8500,1.8500,21704,0.0000,1.0000
2019-06-04,1.8100,2.0565,1.8100,1.9600,1.9600,34278,0.0000,1.0000
2019-06-03,1.7975,1.8500,1.7975,1.8050,1.8050,23727,0.0000,1.0000
2019-05-31,1.8900,1.9000,1.8600,1.8700,1.8700,16841,0.0000,1.0000
2019-05-30,1.9300,1.9700,1.9000,1.9000,1.9000,19358,0.0000,1.0000
2019-05-29,2.0600,2.0750,1.8800,1.9100,1.9100,63688,0.0000,1.0000
2019-05-28,2.0500,2.0700,1.9196,1.9900,1.9900,22219,0.0000,1.0000
2019-05-24,1.8600,2.1000,1.8600,2.0500,2.0500,30506,0.0000,1.0000
2019-05-23,1.9700,2.0200,1.8025,1.8600,1.8600,17628,0.0000,1.0000
2019-05-22,2.0700,2.0700,1.9600,1.9600,1.9600,12452,0.0000,1.0000
2019-05-21,2.0100,2.0900,1.9800,2.0800,2.0800,7106,0.0000,1.0000
2019-05-20,2.0600,2.1000,1.9600,2.0100,2.0100,3197,0.0000,1.0000
2019-05-17,2.0000,2.1000,2.0000,2.0600,2.0600,40038,0.0000,1.0000
2019-05-16,2.0000,2.0800,1.8800,2.0500,2.0500,76762,0.0000,1.0000
2019-05-15,2.0700,2.1800,2.0000,2.0100,2.0100,58731,0.0000,1.0000
2019-05-14,2.1000,2.1500,2.0750,2.0900,2.0900,61318,0.0000,1.0000
2019-05-13,2.1053,2.1300,2.0100,2.1000,2.1000,22727,0.0000,1.0000
2019-05-10,2.2400,2.2436,2.1550,2.1900,2.1900,15952,0.0000,1.0000
