timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-08-02,26.2800,26.3300,25.3900,25.8600,25.8600,214406,0.0000,1.0000
2019-08-01,27.0100,27.3600,26.1900,26.4100,26.4100,287985,0.0000,1.0000
2019-07-31,27.3100,27.6400,26.9500,27.0400,27.0400,361965,0.0000,1.0000
2019-07-30,26.7000,27.4100,26.7000,27.3600,27.3600,197788,0.0000,1.0000
2019-07-29,27.2000,27.3100,26.8500,26.9800,26.9800,186685,0.0000,1.0000
2019-07-26,26.6700,27.3550,24.4300,27.2300,27.2300,335940,0.0000,1.0000
2019-07-25,26.5800,26.7200,26.1700,26.2600,26.2600,207356,0.0000,1.0000
2019-07-24,25.6600,26.6800,25.6600,26.6200,26.6200,220296,0.0000,1.0000
2019-07-23,25.6200,25.9500,25.3100,25.6800,25.6800,184148,0.0000,1.0000
2019-07-22,25.6200,25.8300,25.1800,25.4700,25.4700,189763,0.0000,1.0000
2019-07-19,25.5700,25.9800,25.5600,25.6200,25.6200,204169,0.0000,1.0000
2019-07-18,25.4100,25.8500,25.3900,25.6300,25.6300,93793,0.0000,1.0000
2019-07-17,25.4500,25.5750,25.2450,25.4600,25.4600,104327,0.0000,1.0000
2019-07-16,25.5300,25.7600,25.2800,25.6200,25.6200,85684,0.0000,1.0000
2019-07-15,26.0700,26.0700,25.4500,25.5100,25.5100,320648,0.0000,1.0000
2019-07-12,25.7100,26.1500,25.6100,25.9900,25.9900,156269,0.0000,1.0000
2019-07-11,25.2500,25.7150,25.1200,25.6000,25.6000,263447,0.0000,1.0000
2019-07-10,25.6300,25.6350,25.1600,25.2600,25.2600,126691,0.0000,1.0000
2019-07-09,25.3000,25.6100,25.0901,25.6000,25.6000,148348,0.0000,1.0000
2019-07-08,25.4900,25.5600,25.2500,25.4700,25.4700,164861,0.0000,1.0000
2019-07-05,25.5800,25.7000,25.2900,25.6700,25.6700,118840,0.0000,1.0000
2019-07-03,25.3200,25.4100,25.1400,25.3900,25.3900,70235,0.0000,1.0000
2019-07-02,25.5000,25.5350,24.8700,25.2100,25.2100,191847,0.0000,1.0000
2019-07-01,25.7600,25.7600,25.3500,25.5600,25.5600,231429,0.0000,1.0000
2019-06-28,24.8000,25.5200,24.8000,25.4400,25.4400,1040137,0.0000,1.0000
2019-06-27,23.9400,24.9900,23.8600,24.5700,24.5700,191559,0.0000,1.0000
2019-06-26,24.1300,24.4500,23.9000,23.9100,23.9100,164675,0.0000,1.0000
2019-06-25,23.7500,24.2200,23.5300,24.1300,24.1300,240000,0.0000,1.0000
2019-06-24,24.0400,24.2800,23.7100,23.8300,23.8300,210721,0.0000,1.0000
2019-06-21,24.6700,24.8100,23.8700,24.1000,24.1000,414811,0.0000,1.0000
2019-06-20,24.9900,24.9900,24.3800,24.8400,24.8400,158518,0.0000,1.0000
2019-06-19,24.7000,25.0400,24.5500,24.7400,24.7400,183420,0.0000,1.0000
2019-06-18,23.8500,24.8200,23.7912,24.6500,24.6500,245717,0.0000,1.0000
2019-06-17,23.9600,24.2800,23.7500,23.8200,23.8200,128278,0.0000,1.0000
2019-06-14,24.2500,24.4000,23.7400,23.9600,23.9600,132017,0.0000,1.0000
2019-06-13,24.1600,24.4450,24.0700,24.2500,24.2500,154704,0.0000,1.0000
2019-06-12,23.8100,24.1700,23.6600,24.0300,24.0300,94238,0.0000,1.0000
2019-06-11,24.0300,24.1100,23.6900,23.8700,23.8700,131565,0.0000,1.0000
2019-06-10,23.6300,24.1000,23.6300,23.8400,23.8400,152245,0.0000,1.0000
2019-06-07,23.5700,23.7600,23.4050,23.4900,23.4900,162958,0.0000,1.0000
2019-06-06,23.8600,24.1100,23.2300,23.6700,23.6700,111507,0.0000,1.0000
2019-06-05,24.2400,24.3700,23.7100,23.9500,23.9500,126143,0.0000,1.0000
2019-06-04,23.7800,24.2950,23.6900,24.2600,24.2600,145620,0.0000,1.0000
