timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-08-02,122.9400,125.6300,120.2000,121.6800,121.6800,511575,0.0000,1.0000
2019-08-01,127.0800,128.7200,122.8500,123.1900,123.1900,435999,0.0000,1.0000
2019-07-31,127.5600,129.2650,126.7500,127.4600,127.4600,644469,0.5600,1.0000
2019-07-30,126.0000,128.6300,126.0000,128.3500,127.7886,299517,0.0000,1.0000
2019-07-29,126.5300,127.4100,125.7350,126.6400,126.0860,338339,0.0000,1.0000
2019-07-26,124.2200,126.6900,124.0000,126.5200,125.9666,274283,0.0000,1.0000
2019-07-25,127.1700,127.4700,123.7100,123.9800,123.4377,324988,0.0000,1.0000
2019-07-24,124.9000,127.5450,124.9000,126.9300,126.3748,322573,0.0000,1.0000
2019-07-23,124.1700,125.6800,124.1050,125.2200,124.6722,338580,0.0000,1.0000
2019-07-22,124.2400,124.8500,123.1100,124.2000,123.6567,278001,0.0000,1.0000
2019-07-19,122.6100,124.5000,121.8750,123.8700,123.3282,409410,0.0000,1.0000
2019-07-18,122.5100,128.1200,121.7900,122.7800,122.2429,1085459,0.0000,1.0000
2019-07-17,125.0100,125.4900,124.1900,125.0000,124.4532,574410,0.0000,1.0000
2019-07-16,126.3700,127.9000,125.0700,125.4000,124.8515,475605,0.0000,1.0000
2019-07-15,127.6000,128.0000,125.6100,125.9600,125.4090,413936,0.0000,1.0000
2019-07-12,125.9600,128.0300,125.5000,127.6000,127.0418,302230,0.0000,1.0000
2019-07-11,124.8300,126.3800,124.2100,126.1400,125.5882,336606,0.0000,1.0000
2019-07-10,124.8600,125.5500,123.7400,124.4000,123.8558,195490,0.0000,1.0000
2019-07-09,123.7800,125.4800,123.7800,125.0900,124.5428,203537,0.0000,1.0000
2019-07-08,125.4200,126.2600,123.6000,124.2700,123.7264,271857,0.0000,1.0000
2019-07-05,124.2300,125.6800,123.2600,124.5200,123.9753,269614,0.0000,1.0000
2019-07-03,122.5100,124.5500,121.8300,123.9700,123.4277,201574,0.0000,1.0000
2019-07-02,123.3600,124.9600,120.4000,121.7000,121.1676,327972,0.0000,1.0000
2019-07-01,125.5700,125.9900,121.7300,123.2400,122.7009,310670,0.0000,1.0000
2019-06-28,119.6200,121.3600,118.9500,120.8400,120.3114,674739,0.0000,1.0000
2019-06-27,115.9400,119.1000,115.9400,118.9800,118.4595,318983,0.0000,1.0000
2019-06-26,117.0800,117.9300,114.8900,115.5000,114.9948,346756,0.0000,1.0000
2019-06-25,115.5900,116.9087,114.5800,116.6400,116.1298,355939,0.0000,1.0000
2019-06-24,116.8700,117.4000,115.0600,115.4300,114.9251,369164,0.0000,1.0000
2019-06-21,118.0800,119.3000,117.0000,117.1000,116.5878,592075,0.0000,1.0000
2019-06-20,116.5100,118.9062,115.2550,118.2400,117.7228,470431,0.0000,1.0000
