timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-08-02,0.9045,0.9800,0.9045,0.9200,0.9200,19296,0.0000,1.0000
2019-08-01,0.9100,0.9800,0.9000,0.9100,0.9100,19009,0.0000,1.0000
2019-07-31,0.9800,0.9900,0.9200,0.9200,0.9200,38385,0.0000,1.0000
2019-07-30,0.9800,0.9800,0.9200,0.9500,0.9500,46009,0.0000,1.0000
2019-07-29,1.0100,1.0300,0.9000,0.9000,0.9000,118401,0.0000,1.0000
2019-07-26,0.9595,1.0176,0.9500,1.0000,1.0000,109944,0.0000,1.0000
2019-07-25,0.9299,0.9600,0.8200,0.9595,0.9595,58653,0.0000,1.0000
2019-07-24,0.9200,0.9500,0.8200,0.9299,0.9299,23370,0.0000,1.0000
2019-07-23,0.9100,0.9553,0.8800,0.8810,0.8810,30014,0.0000,1.0000
2019-07-22,0.9500,0.9500,0.9000,0.9400,0.9400,14948,0.0000,1.0000
2019-07-19,0.9751,0.9751,0.8241,0.9500,0.9500,25948,0.0000,1.0000
2019-07-18,0.9050,0.9753,0.8200,0.8655,0.8655,28610,0.0000,1.0000
2019-07-17,0.9501,0.9502,0.8800,0.9350,0.9350,44166,0.0000,1.0000
2019-07-16,0.9500,1.0300,0.9500,0.9600,0.9600,95722,0.0000,1.0000
2019-07-15,0.9400,0.9700,0.9001,0.9600,0.9600,60540,0.0000,1.0000
2019-07-12,0.8800,0.9400,0.8800,0.9045,0.9045,67390,0.0000,1.0000
2019-07-11,0.9600,0.9600,0.8200,0.8750,0.8750,136591,0.0000,1.0000
2019-07-10,0.8196,1.0700,0.8017,0.8900,0.8900,594556,0.0000,1.0000
2019-07-09,0.8300,0.8300,0.7800,0.8237,0.8237,13440,0.0000,1.0000
2019-07-08,0.8298,0.8499,0.7700,0.7700,0.7700,25631,0.0000,1.0000
2019-07-05,0.7900,0.8500,0.7800,0.8401,0.8401,38661,0.0000,1.0000
2019-07-03,0.8300,0.8300,0.7610,0.8200,0.8200,17942,0.0000,1.0000
2019-07-02,0.8500,0.8500,0.7590,0.8300,0.8300,54537,0.0000,1.0000
2019-07-01,0.8300,0.8600,0.7610,0.8022,0.8022,129845,0.0000,1.0000
