timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-08-02,2.1000,2.1000,1.8400,1.9800,1.9800,201539,0.0000,1.0000
2019-08-01,1.8600,2.1800,1.8116,2.0800,2.0800,749028,0.0000,1.0000
2019-07-31,1.6900,1.8500,1.6900,1.8000,1.8000,209840,0.0000,1.0000
2019-07-30,1.6800,1.8169,1.6700,1.7100,1.7100,127466,0.0000,1.0000
2019-07-29,1.7200,1.7700,1.6600,1.6800,1.6800,111757,0.0000,1.0000
2019-07-26,1.6400,1.7300,1.5700,1.7000,1.7000,107622,0.0000,1.0000
2019-07-25,1.6500,1.6700,1.5900,1.6000,1.6000,88578,0.0000,1.0000
2019-07-24,1.6300,1.6600,1.5700,1.6600,1.6600,97035,0.0000,1.0000
2019-07-23,1.6500,1.6700,1.6000,1.6300,1.6300,146794,0.0000,1.0000
2019-07-22,1.6900,1.7000,1.6400,1.6400,1.6400,169541,0.0000,1.0000
2019-07-19,1.7200,1.7700,1.6000,1.6900,1.6900,198302,0.0000,1.0000
2019-07-18,1.7600,1.8282,1.6800,1.7200,1.7200,96089,0.0000,1.0000
2019-07-17,1.6700,1.8500,1.6700,1.7500,1.7500,337579,0.0000,1.0000
2019-07-16,1.7200,1.7400,1.6600,1.6700,1.6700,151849,0.0000,1.0000
2019-07-15,1.6600,1.7400,1.6300,1.7100,1.7100,122283,0.0000,1.0000
2019-07-12,1.6800,1.7100,1.6400,1.6600,1.6600,132903,0.0000,1.0000
2019-07-11,1.7200,1.7700,1.6500,1.6600,1.6600,93375,0.0000,1.0000
2019-07-10,1.7200,1.7300,1.6500,1.7100,1.7100,131928,0.0000,1.0000
2019-07-09,1.6600,1.7400,1.6300,1.7100,1.7100,141106,0.0000,1.0000
2019-07-08,1.7400,1.7500,1.5800,1.6600,1.6600,195160,0.0000,1.0000
2019-07-05,1.6400,1.7400,1.6100,1.7400,1.7400,115533,0.0000,1.0000
2019-07-03,1.7000,1.7000,1.6200,1.6700,1.6700,176892,0.0000,1.0000
2019-07-02,1.7600,1.8000,1.6600,1.6900,1.6900,257351,0.0000,1.0000
2019-07-01,1.7900,1.8500,1.7500,1.7600,1.7600,270127,0.0000,1.0000
2019-06-28,1.8800,1.9000,1.6500,1.7900,1.7900,3441179,0.0000,1.0000
2019-06-27,1.8900,2.0300,1.8600,1.8800,1.8800,482596,0.0000,1.0000
2019-06-26,1.9300,1.9900,1.8800,1.8950,1.8950,227260,0.0000,1.0000
2019-06-25,1.8700,2.0400,1.8631,1.9200,1.9200,221463,0.0000,1.0000
2019-06-24,2.0500,2.0564,1.8500,1.8700,1.8700,304456,0.0000,1.0000
