timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-08-02,1.0100,1.0600,1.0100,1.0600,1.0600,305,0.0000,1.0000
2019-08-01,1.0500,1.0600,0.9700,1.0600,1.0600,11113,0.0000,1.0000
2019-07-31,1.0500,1.1304,1.0500,1.0800,1.0800,3555,0.0000,1.0000
2019-07-30,1.1800,1.1800,1.0499,1.0500,1.0500,35194,0.0000,1.0000
2019-07-29,1.1800,1.1800,1.0622,1.1600,1.1600,22953,0.0000,1.0000
2019-07-26,1.1700,1.1700,1.1700,1.1700,1.1700,1032,0.0000,1.0000
2019-07-25,1.1000,1.1500,1.1000,1.1500,1.1500,4500,0.0000,1.0000
2019-07-24,1.0537,1.1000,1.0537,1.1000,1.1000,5306,0.0000,1.0000
2019-07-23,1.0400,1.0743,0.9900,1.0000,1.0000,34012,0.0000,1.0000
2019-07-22,1.0000,1.0500,1.0000,1.0254,1.0254,16322,0.0000,1.0000
2019-07-19,0.9900,0.9900,0.9900,0.9900,0.9900,46,0.0000,1.0000
2019-07-18,0.9900,0.9900,0.9900,0.9900,0.9900,203,0.0000,1.0000
2019-07-17,1.0000,1.0100,0.9900,1.0100,1.0100,12702,0.0000,1.0000
2019-07-16,1.0200,1.0200,1.0200,1.0200,1.0200,0,0.0000,1.0000
2019-07-15,1.0165,1.0165,1.0165,1.0165,1.0165,244,0.0000,1.0000
2019-07-12,1.0400,1.0500,1.0400,1.0400,1.0400,3145,0.0000,1.0000
2019-07-11,1.0500,1.0500,1.0500,1.0500,1.0500,50,0.0000,1.0000
2019-07-10,1.0046,1.0500,1.0046,1.0500,1.0500,3608,0.0000,1.0000
2019-07-09,1.0181,1.0181,1.0181,1.0181,1.0181,441,0.0000,1.0000
2019-07-08,1.0100,1.0400,0.9850,1.0400,1.0400,61540,0.0000,1.0000
2019-07-05,1.0000,1.0000,1.0000,1.0000,1.0000,3008,0.0000,1.0000
2019-07-03,0.9600,0.9600,0.9600,0.9600,0.9600,180,0.0000,1.0000
2019-07-02,1.0400,1.0400,1.0400,1.0400,1.0400,5,0.0000,1.0000
2019-07-01,1.0400,1.0400,1.0200,1.0400,1.0400,3694,0.0000,1.0000
2019-06-28,1.0000,1.0200,1.0000,1.0200,1.0200,1540,0.0000,1.0000
2019-06-27,0.9412,1.0000,0.9412,0.9941,0.9941,14564,0.0000,1.0000
2019-06-26,1.0200,1.0400,1.0200,1.0400,1.0400,389,0.0000,1.0000
2019-06-25,1.0000,1.0500,1.0000,1.0030,1.0030,26006,0.0000,1.0000
2019-06-24,1.0100,1.1000,1.0100,1.1000,1.1000,504,0.0000,1.0000
2019-06-21,1.1000,1.1000,0.9000,0.9626,0.9626,29420,0.0000,1.0000
2019-06-20,1.1000,1.1032,1.1000,1.1032,1.1032,2073,0.0000,1.0000
2019-06-19,1.1033,1.1033,1.1033,1.1033,1.1033,88,0.0000,1.0000
2019-06-18,1.1000,1.1033,1.1000,1.1033,1.1033,15283,0.0000,1.0000
2019-06-17,1.1500,1.1500,1.1500,1.1500,1.1500,598,0.0000,1.0000
2019-06-14,1.1500,1.1500,1.1500,1.1500,1.1500,106,0.0000,1.0000
2019-06-13,1.1000,1.1000,1.1000,1.1000,1.1000,0,0.0000,1.0000
2019-06-12,1.1000,1.1000,1.1000,1.1000,1.1000,0,0.0000,1.0000
2019-06-11,1.1000,1.1000,1.1000,1.1000,1.1000,6,0.0000,1.0000
2019-06-10,1.1000,1.1200,1.1000,1.1000,1.1000,26435,0.0000,1.0000
2019-06-07,1.1800,1.1800,1.1400,1.1400,1.1400,8977,0.0000,1.0000
2019-06-06,1.1800,1.1800,1.1800,1.1800,1.1800,532,0.0000,1.0000
2019-06-05,1.1000,1.1800,1.0450,1.1500,1.1500,51663,0.0000,1.0000
2019-06-04,1.1100,1.1100,1.0500,1.0821,1.0821,19205,0.0000,1.0000
2019-06-03,1.1015,1.1050,1.1000,1.1000,1.1000,9187,0.0000,1.0000
2019-05-31,1.1000,1.1104,1.1000,1.1000,1.1000,7460,0.0000,1.0000
2019-05-30,1.1100,1.1200,1.1000,1.1100,1.1100,7990,0.0000,1.0000
2019-05-29,1.0490,1.1400,1.0000,1.1085,1.1085,38140,0.0000,1.0000
2019-05-28,1.0000,1.0000,1.0000,1.0000,1.0000,1300,0.0000,1.0000
2019-05-24,1.0000,1.0000,1.0000,1.0000,1.0000,2027,0.0000,1.0000
