timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-08-02,7.4500,7.5400,6.9100,6.9600,6.9600,358611,0.0000,1.0000
2019-08-01,7.6200,7.6900,7.3400,7.4600,7.4600,375977,0.0000,1.0000
2019-07-31,7.6400,7.8400,7.5350,7.6300,7.6300,412000,0.0000,1.0000
2019-07-30,7.6300,7.7000,7.5300,7.6900,7.6900,265977,0.0000,1.0000
2019-07-29,7.6000,7.7800,7.5800,7.7400,7.7400,414834,0.0000,1.0000
2019-07-26,7.3300,7.6983,7.2900,7.5900,7.5900,397748,0.0000,1.0000
2019-07-25,7.1100,7.3000,7.0000,7.2700,7.2700,403847,0.0000,1.0000
2019-07-24,6.6600,7.1300,6.5000,7.0900,7.0900,396120,0.0000,1.0000
2019-07-23,6.8900,6.8900,6.4100,6.6400,6.6400,533912,0.0000,1.0000
2019-07-22,6.9600,7.0600,6.8000,6.8600,6.8600,371143,0.0000,1.0000
2019-07-19,7.0700,7.1200,6.8614,6.9400,6.9400,276715,0.0000,1.0000
2019-07-18,7.4700,7.4700,7.0700,7.1000,7.1000,255306,0.0000,1.0000
2019-07-17,7.6300,7.7600,7.4800,7.5000,7.5000,331286,0.0000,1.0000
2019-07-16,7.8500,7.9300,7.6400,7.6600,7.6600,183351,0.0000,1.0000
2019-07-15,8.2200,8.2200,7.8300,7.8600,7.8600,288511,0.0000,1.0000
2019-07-12,8.0300,8.3200,8.0100,8.2300,8.2300,363909,0.0000,1.0000
2019-07-11,7.9600,8.2200,7.7200,8.0100,8.0100,288019,0.0000,1.0000
2019-07-10,8.0000,8.1400,7.8400,7.9300,7.9300,178615,0.0000,1.0000
2019-07-09,7.7600,7.8850,7.7200,7.8700,7.8700,318212,0.0000,1.0000
2019-07-08,7.8200,7.8800,7.6700,7.8300,7.8300,318134,0.0000,1.0000
2019-07-05,8.0500,8.1550,7.8000,7.9000,7.9000,259128,0.0000,1.0000
2019-07-03,8.1500,8.2800,7.9800,8.0600,8.0600,112438,0.0000,1.0000
2019-07-02,7.9600,8.2300,7.8000,8.1000,8.1000,483209,0.0000,1.0000
2019-07-01,8.3200,8.3900,7.9550,8.0000,8.0000,452461,0.0000,1.0000
2019-06-28,7.9300,8.2400,7.6400,8.1400,8.1400,1243529,0.0000,1.0000
2019-06-27,8.0700,8.2700,7.8900,7.9400,7.9400,264480,0.0000,1.0000
2019-06-26,7.9900,8.0493,7.7600,8.0300,8.0300,278060,0.0000,1.0000
