timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-08-02,17.8100,17.8800,17.3600,17.7000,17.7000,77111,0.0000,1.0000
2019-08-01,17.9900,18.4600,17.7500,17.9200,17.9200,48135,0.0000,1.0000
2019-07-31,18.4500,19.1400,17.8200,17.9800,17.9800,153141,0.0000,1.0000
2019-07-30,18.5800,18.8600,18.1000,18.4400,18.4400,223967,0.0000,1.0000
2019-07-29,19.2500,19.3450,18.4100,18.6500,18.6500,124583,0.0000,1.0000
2019-07-26,19.5400,19.8850,19.1600,19.4000,19.4000,52186,0.0000,1.0000
2019-07-25,19.6400,19.6400,19.1500,19.3800,19.3800,73243,0.0000,1.0000
2019-07-24,18.6900,19.5800,18.6900,19.5200,19.5200,50459,0.0000,1.0000
2019-07-23,18.8600,19.0800,18.7000,18.7800,18.7800,61655,0.0000,1.0000
2019-07-22,19.5700,19.9750,18.7650,18.9500,18.9500,66041,0.0000,1.0000
2019-07-19,20.0100,20.9500,19.6900,19.7300,19.7300,178007,0.0000,1.0000
2019-07-18,20.1000,20.6686,19.9300,20.1800,20.1800,192651,0.0000,1.0000
2019-07-17,19.8600,20.1200,19.8600,20.0800,20.0800,55696,0.0000,1.0000
2019-07-16,19.6900,20.0000,19.5600,19.8700,19.8700,74042,0.0000,1.0000
2019-07-15,19.6700,20.0800,19.3600,19.6800,19.6800,112511,0.0000,1.0000
2019-07-12,19.6500,20.0400,19.2500,19.8000,19.8000,79864,0.0000,1.0000
2019-07-11,19.9900,20.3200,19.4800,19.6500,19.6500,132342,0.0000,1.0000
2019-07-10,19.5800,20.1700,19.4729,19.9300,19.9300,90823,0.0000,1.0000
2019-07-09,19.1500,19.7000,19.0650,19.4700,19.4700,67553,0.0000,1.0000
2019-07-08,19.0100,19.3500,18.8300,19.1500,19.1500,120255,0.0000,1.0000
2019-07-05,19.3100,19.3100,18.8200,19.1200,19.1200,66615,0.0000,1.0000
2019-07-03,19.8200,19.9923,19.0100,19.2000,19.2000,122226,0.0000,1.0000
2019-07-02,20.1400,20.4100,19.5200,19.7300,19.7300,135163,0.0000,1.0000
2019-07-01,20.2400,21.0000,19.7350,20.2600,20.2600,314064,0.0000,1.0000
2019-06-28,18.8800,20.6500,18.8800,20.3400,20.3400,1829010,0.0000,1.0000
2019-06-27,18.0000,19.0600,17.9800,18.9400,18.9400,265129,0.0000,1.0000
2019-06-26,18.0400,18.1850,17.7750,18.0000,18.0000,176011,0.0000,1.0000
2019-06-25,17.7700,18.3100,17.4200,17.9800,17.9800,339493,0.0000,1.0000
2019-06-24,17.7300,17.8200,17.4500,17.7100,17.7100,92278,0.0000,1.0000
2019-06-21,18.0500,18.1500,17.4700,17.7300,17.7300,101604,0.0000,1.0000
2019-06-20,18.0000,18.3905,17.7300,18.1700,18.1700,152552,0.0000,1.0000
2019-06-19,17.6700,18.0000,17.5700,18.0000,18.0000,119191,0.0000,1.0000
2019-06-18,17.6900,17.9100,17.5500,17.6300,17.6300,60970,0.0000,1.0000
2019-06-17,17.4900,17.6400,17.1800,17.5800,17.5800,78916,0.0000,1.0000
2019-06-14,17.7200,17.7900,17.0600,17.4600,17.4600,82590,0.0000,1.0000
2019-06-13,17.4300,18.0000,17.4300,17.7200,17.7200,72797,0.0000,1.0000
2019-06-12,17.3500,17.6900,17.0300,17.5000,17.5000,85562,0.0000,1.0000
2019-06-11,17.8600,18.0000,16.9700,17.4300,17.4300,92628,0.0000,1.0000
2019-06-10,17.4500,18.2200,17.4500,17.6900,17.6900,233006,0.0000,1.0000
2019-06-07,17.1500,17.5900,17.1500,17.3500,17.3500,101489,0.0000,1.0000
2019-06-06,17.1900,17.6500,16.4600,17.1100,17.1100,97468,0.0000,1.0000
2019-06-05,17.4300,17.7100,16.6800,17.3300,17.3300,181981,0.0000,1.0000
2019-06-04,17.4700,17.6600,17.1400,17.3400,17.3400,109210,0.0000,1.0000
2019-06-03,16.6200,17.5000,16.3800,17.3400,17.3400,239724,0.0000,1.0000
2019-05-31,16.0000,16.9400,15.7500,16.7900,16.7900,854039,0.0000,1.0000
2019-05-30,16.2500,16.3500,15.8200,16.2000,16.2000,377427,0.0000,1.0000
2019-05-29,15.9400,16.4300,15.8000,16.2500,16.2500,166933,0.0000,1.0000
2019-05-28,15.9400,16.2200,15.6400,16.0600,16.0600,112299,0.0000,1.0000
2019-05-24,16.5000,16.7600,15.7300,15.9300,15.9300,53345,0.0000,1.0000
2019-05-23,16.2800,16.6050,15.7700,16.4600,16.4600,71844,0.0000,1.0000
2019-05-22,16.3300,16.6950,16.1121,16.3600,16.3600,106385,0.0000,1.0000
2019-05-21,16.3000,16.4950,16.1300,16.2900,16.2900,72944,0.0000,1.0000
2019-05-20,15.8500,16.5600,15.6500,16.1800,16.1800,145941,0.0000,1.0000
2019-05-17,15.6800,16.0900,15.6318,15.9300,15.9300,74058,0.0000,1.0000
2019-05-16,15.9500,16.4400,15.4610,15.9400,15.9400,89124,0.0000,1.0000
2019-05-15,16.1300,16.4800,15.6000,16.0800,16.0800,103467,0.0000,1.0000
2019-05-14,16.0600,16.6950,16.0600,16.4000,16.4000,64477,0.0000,1.0000
2019-05-13,16.2100,16.3100,15.2500,16.1800,16.1800,90399,0.0000,1.0000
2019-05-10,16.8800,17.0100,15.6000,16.4500,16.4500,153007,0.0000,1.0000
2019-05-09,17.3400,17.6300,16.5900,16.9200,16.9200,102128,0.0000,1.0000
2019-05-08,17.5300,18.1350,17.1600,17.8550,17.8550,166247,0.0000,1.0000
2019-05-07,16.7300,17.7600,16.7300,17.6100,17.6100,149215,0.0000,1.0000
2019-05-06,16.9300,17.5200,16.8100,17.0600,17.0600,73932,0.0000,1.0000
2019-05-03,16.9816,17.6279,16.9100,17.3800,17.3800,90521,0.0000,1.0000
2019-05-02,16.5700,17.3515,16.3500,16.9500,16.9500,74102,0.0000,1.0000
2019-05-01,17.1100,17.1900,16.3700,16.7500,16.7500,74698,0.0000,1.0000
2019-04-30,17.0200,17.7000,16.5065,17.0000,17.0000,88327,0.0000,1.0000
2019-04-29,16.8900,17.4900,16.3815,17.1800,17.1800,72702,0.0000,1.0000
2019-04-26,16.2600,16.9700,16.1800,16.9600,16.9600,45659,0.0000,1.0000
