timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-08-02,5.6600,5.6600,5.3400,5.4400,5.4400,68033,0.0000,1.0000
2019-08-01,5.6000,5.8100,5.5500,5.5900,5.5900,68938,0.0000,1.0000
2019-07-31,5.7000,5.9800,5.5900,5.6000,5.6000,166209,0.0000,1.0000
2019-07-30,5.4700,5.8500,5.4700,5.6900,5.6900,163125,0.0000,1.0000
2019-07-29,5.4900,5.6300,5.3500,5.5100,5.5100,68627,0.0000,1.0000
2019-07-26,5.4300,5.6000,5.4300,5.4900,5.4900,101518,0.0000,1.0000
2019-07-25,5.5400,5.5400,5.4050,5.4200,5.4200,71065,0.0000,1.0000
2019-07-24,5.4600,5.6400,5.4600,5.5000,5.5000,215817,0.0000,1.0000
2019-07-23,5.5100,5.6700,5.4500,5.4800,5.4800,86373,0.0000,1.0000
2019-07-22,5.4400,5.5800,5.4400,5.5000,5.5000,77018,0.0000,1.0000
2019-07-19,5.6800,5.8240,5.4200,5.4400,5.4400,125325,0.0000,1.0000
2019-07-18,5.7200,5.9600,5.6500,5.6800,5.6800,115616,0.0000,1.0000
2019-07-17,5.7000,5.8500,5.6000,5.6800,5.6800,104681,0.0000,1.0000
2019-07-16,5.8000,5.9800,5.7000,5.7000,5.7000,119983,0.0000,1.0000
2019-07-15,5.7500,5.8600,5.7500,5.8000,5.8000,61224,0.0000,1.0000
2019-07-12,5.7300,5.7800,5.5500,5.7300,5.7300,96756,0.0000,1.0000
2019-07-11,5.7100,5.9700,5.7000,5.7300,5.7300,128275,0.0000,1.0000
2019-07-10,5.6300,5.7300,5.5500,5.7000,5.7000,90276,0.0000,1.0000
2019-07-09,5.6200,5.7700,5.5400,5.6100,5.6100,64290,0.0000,1.0000
2019-07-08,5.7400,6.0800,5.5100,5.6600,5.6600,583280,0.0000,1.0000
2019-07-05,5.6000,5.7550,5.6000,5.7100,5.7100,71263,0.0000,1.0000
2019-07-03,5.6000,5.6600,5.5800,5.6300,5.6300,31685,0.0000,1.0000
2019-07-02,5.6000,5.6788,5.4500,5.5500,5.5500,64367,0.0000,1.0000
2019-07-01,5.6800,5.6800,5.5000,5.6000,5.6000,103355,0.0000,1.0000
2019-06-28,5.6100,5.7400,5.5400,5.6800,5.6800,477647,0.0000,1.0000
2019-06-27,5.4100,5.6000,5.2400,5.5900,5.5900,114423,0.0000,1.0000
2019-06-26,5.4600,5.4700,5.3300,5.3900,5.3900,85294,0.0000,1.0000
2019-06-25,5.5700,5.6600,5.3200,5.4300,5.4300,82497,0.0000,1.0000
2019-06-24,5.4700,5.6900,5.3600,5.5600,5.5600,146456,0.0000,1.0000
2019-06-21,5.2500,5.6100,5.1800,5.5300,5.5300,419076,0.0000,1.0000
2019-06-20,5.4800,5.4800,5.2500,5.2900,5.2900,69046,0.0000,1.0000
2019-06-19,5.3500,5.4100,5.2500,5.3800,5.3800,88090,0.0000,1.0000
2019-06-18,5.5700,5.6500,5.2600,5.3400,5.3400,110241,0.0000,1.0000
2019-06-17,5.5100,5.7285,5.3800,5.5500,5.5500,72261,0.0000,1.0000
2019-06-14,5.4300,5.6000,5.3100,5.4700,5.4700,118645,0.0000,1.0000
2019-06-13,5.3300,5.5000,5.2600,5.4500,5.4500,101035,0.0000,1.0000
2019-06-12,5.2100,5.3500,5.1500,5.3000,5.3000,108174,0.0000,1.0000
2019-06-11,5.7400,5.7500,5.1300,5.2200,5.2200,433672,0.0000,1.0000
2019-06-10,5.5700,5.9300,5.5700,5.6800,5.6800,257566,0.0000,1.0000
2019-06-07,5.5500,5.6500,5.5200,5.6100,5.6100,122640,0.0000,1.0000
2019-06-06,5.6500,5.6900,5.4800,5.5200,5.5200,190257,0.0000,1.0000
2019-06-05,5.8200,5.9100,5.5700,5.6400,5.6400,190221,0.0000,1.0000
2019-06-04,5.5000,5.8600,5.4900,5.8200,5.8200,155288,0.0000,1.0000
2019-06-03,5.5100,5.7621,5.3900,5.4400,5.4400,165938,0.0000,1.0000
2019-05-31,5.6300,5.7600,5.2600,5.3400,5.3400,115990,0.0000,1.0000
2019-05-30,5.8000,5.8500,5.5800,5.6900,5.6900,131556,0.0000,1.0000
2019-05-29,5.8100,5.8621,5.6200,5.7900,5.7900,148615,0.0000,1.0000
2019-05-28,5.8000,5.8800,5.7100,5.8600,5.8600,262387,0.0000,1.0000
2019-05-24,5.8500,5.9300,5.6900,5.7700,5.7700,100611,0.0000,1.0000
2019-05-23,5.7800,5.8400,5.6450,5.8200,5.8200,181111,0.0000,1.0000
2019-05-22,5.8900,6.0460,5.7500,5.8300,5.8300,124788,0.0000,1.0000
2019-05-21,5.9500,6.2000,5.7500,5.9000,5.9000,182015,0.0000,1.0000
2019-05-20,5.5800,5.7200,5.5800,5.7100,5.7100,102158,0.0000,1.0000
2019-05-17,5.4900,5.7300,5.4150,5.5800,5.5800,90058,0.0000,1.0000
2019-05-16,5.6200,5.8600,5.4600,5.5300,5.5300,492779,0.0000,1.0000
2019-05-15,5.3800,5.7600,5.3600,5.6500,5.6500,150878,0.0000,1.0000
2019-05-14,5.5000,5.5200,5.3700,5.4300,5.4300,158410,0.0000,1.0000
2019-05-13,5.5100,5.6100,5.4200,5.4400,5.4400,175455,0.0000,1.0000
2019-05-10,5.5300,5.7600,5.4000,5.6100,5.6100,147556,0.0000,1.0000
2019-05-09,5.4500,5.7200,5.3600,5.5500,5.5500,80822,0.0000,1.0000
2019-05-08,5.4500,5.5200,5.4000,5.4900,5.4900,53323,0.0000,1.0000
2019-05-07,5.5000,5.5300,5.3950,5.4600,5.4600,144516,0.0000,1.0000
2019-05-06,5.3400,5.6300,5.3400,5.5800,5.5800,87169,0.0000,1.0000
2019-05-03,5.2600,5.5600,5.2600,5.5500,5.5500,131433,0.0000,1.0000
2019-05-02,5.2400,5.4600,5.1900,5.2300,5.2300,142340,0.0000,1.0000
2019-05-01,5.2500,5.2899,5.1800,5.2400,5.2400,237462,0.0000,1.0000
2019-04-30,5.2500,5.3000,5.1700,5.2400,5.2400,140528,0.0000,1.0000
2019-04-29,5.2600,5.3000,5.1800,5.2300,5.2300,101630,0.0000,1.0000
2019-04-26,5.2900,5.2900,5.1600,5.2200,5.2200,61665,0.0000,1.0000
2019-04-25,5.3400,5.3500,5.1300,5.2700,5.2700,111247,0.0000,1.0000
2019-04-24,5.4000,5.4000,5.2400,5.3000,5.3000,115731,0.0000,1.0000
2019-04-23,5.2300,5.4300,5.0800,5.4000,5.4000,176266,0.0000,1.0000
2019-04-22,5.2800,5.3500,5.1500,5.2200,5.2200,102832,0.0000,1.0000
