timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-08-02,2.5000,2.5000,2.1491,2.1900,2.1900,324920,0.0000,1.0000
2019-08-01,2.5200,2.8500,2.4146,2.5200,2.5200,631126,0.0000,1.0000
2019-07-31,2.6900,2.6900,2.4000,2.4900,2.4900,549955,0.0000,1.0000
2019-07-30,3.0800,3.0899,2.6000,2.7500,2.7500,803939,0.0000,1.0000
2019-07-29,4.0900,4.3900,2.8700,3.1000,3.1000,5330442,0.0000,0.0333
2019-07-26,0.1000,0.1100,0.0912,0.1000,3.0000,18201144,0.0000,1.0000
2019-07-25,0.0827,0.0950,0.0725,0.0907,2.7210,5352219,0.0000,1.0000
2019-07-24,0.0845,0.0847,0.0800,0.0827,2.4806,1931880,0.0000,1.0000
2019-07-23,0.0840,0.0870,0.0800,0.0819,2.4570,2119071,0.0000,1.0000
2019-07-22,0.0852,0.0900,0.0800,0.0819,2.4571,2819147,0.0000,1.0000
2019-07-19,0.0900,0.0900,0.0861,0.0885,2.6550,1741200,0.0000,1.0000
2019-07-18,0.0940,0.0940,0.0870,0.0877,2.6321,3101883,0.0000,1.0000
2019-07-17,0.0910,0.1000,0.0865,0.0960,2.8800,6508362,0.0000,1.0000
2019-07-16,0.0932,0.0940,0.0825,0.0856,2.5680,3248798,0.0000,1.0000
2019-07-15,0.0952,0.0976,0.0833,0.0900,2.7000,4803887,0.0000,1.0000
2019-07-12,0.0974,0.1000,0.0916,0.0965,2.8950,3327611,0.0000,1.0000
2019-07-11,0.1015,0.1039,0.0900,0.0916,2.7482,6567252,0.0000,1.0000
2019-07-10,0.1012,0.1079,0.1000,0.1026,3.0780,3931652,0.0000,1.0000
2019-07-09,0.1050,0.1100,0.1000,0.1030,3.0900,7538954,0.0000,1.0000
2019-07-08,0.1200,0.1230,0.1051,0.1140,3.4200,14319257,0.0000,1.0000
2019-07-05,0.1000,0.1125,0.1000,0.1120,3.3600,7282949,0.0000,1.0000
2019-07-03,0.1030,0.1200,0.0995,0.1046,3.1380,18572365,0.0000,1.0000
2019-07-02,0.0900,0.1050,0.0850,0.0953,2.8590,5790648,0.0000,1.0000
2019-07-01,0.0900,0.0940,0.0800,0.0871,2.6130,3765493,0.0000,1.0000
2019-06-28,0.0911,0.0940,0.0751,0.0850,2.5500,5724976,0.0000,1.0000
2019-06-27,0.0965,0.1010,0.0852,0.0945,2.8350,3805522,0.0000,1.0000
2019-06-26,0.0991,0.1000,0.0900,0.0936,2.8080,2664015,0.0000,1.0000
2019-06-25,0.0953,0.1050,0.0920,0.0959,2.8770,3725334,0.0000,1.0000
2019-06-24,0.1046,0.1050,0.0950,0.0950,2.8500,4204165,0.0000,1.0000
2019-06-21,0.0968,0.1100,0.0900,0.0990,2.9700,8823930,0.0000,1.0000
2019-06-20,0.0921,0.1000,0.0852,0.0929,2.7870,4846714,0.0000,1.0000
2019-06-19,0.1100,0.1100,0.0900,0.0997,2.9905,6856177,0.0000,1.0000
2019-06-18,0.1100,0.1166,0.1032,0.1080,3.2400,8116180,0.0000,1.0000
2019-06-17,0.1200,0.1200,0.1015,0.1108,3.3240,5260101,0.0000,1.0000
2019-06-14,0.1180,0.1250,0.1160,0.1190,3.5700,6288662,0.0000,1.0000
2019-06-13,0.1264,0.1300,0.1150,0.1199,3.5970,6890701,0.0000,1.0000
2019-06-12,0.1340,0.1400,0.1051,0.1200,3.6000,17158924,0.0000,1.0000
2019-06-11,0.1750,0.2300,0.1400,0.1400,4.2000,84820406,0.0000,1.0000
2019-06-10,0.1501,0.1510,0.1400,0.1400,4.2000,602567,0.0000,1.0000
2019-06-07,0.1600,0.1600,0.1400,0.1499,4.4970,633078,0.0000,1.0000
2019-06-06,0.1603,0.1700,0.1600,0.1601,4.8030,176187,0.0000,1.0000
2019-06-05,0.1820,0.1820,0.1601,0.1611,4.8330,590202,0.0000,1.0000
2019-06-04,0.1800,0.1900,0.1720,0.1900,5.7000,197831,0.0000,1.0000
2019-06-03,0.1800,0.1900,0.1700,0.1789,5.3670,151045,0.0000,1.0000
2019-05-31,0.1800,0.1900,0.1731,0.1750,5.2500,74297,0.0000,1.0000
2019-05-30,0.1700,0.1900,0.1700,0.1801,5.4030,247125,0.0000,1.0000
2019-05-29,0.1775,0.1800,0.1700,0.1731,5.1930,119161,0.0000,1.0000
2019-05-28,0.1950,0.2000,0.1700,0.1711,5.1330,489209,0.0000,1.0000
2019-05-24,0.1800,0.2200,0.1700,0.1901,5.7030,1850602,0.0000,1.0000
2019-05-23,0.1734,0.1840,0.1620,0.1700,5.1000,138268,0.0000,1.0000
2019-05-22,0.1700,0.1740,0.1520,0.1711,5.1341,111943,0.0000,1.0000
2019-05-21,0.1700,0.1750,0.1520,0.1679,5.0370,249431,0.0000,1.0000
2019-05-20,0.1840,0.1840,0.1600,0.1700,5.1000,238336,0.0000,1.0000
2019-05-17,0.1701,0.1899,0.1700,0.1888,5.6640,126467,0.0000,1.0000
2019-05-16,0.1800,0.1840,0.1700,0.1703,5.1090,97734,0.0000,1.0000
2019-05-15,0.1800,0.1895,0.1750,0.1770,5.3100,111136,0.0000,1.0000
2019-05-14,0.1800,0.1900,0.1800,0.1800,5.4000,86918,0.0000,1.0000
2019-05-13,0.1900,0.2000,0.1750,0.1760,5.2800,207615,0.0000,1.0000
2019-05-10,0.1900,0.1900,0.1777,0.1882,5.6460,236561,0.0000,1.0000
2019-05-09,0.2000,0.2000,0.1851,0.1900,5.7000,291667,0.0000,1.0000
2019-05-08,0.2100,0.2100,0.1900,0.1992,5.9760,221370,0.0000,1.0000
2019-05-07,0.2085,0.2100,0.1984,0.2010,6.0300,167174,0.0000,1.0000
2019-05-06,0.2100,0.2100,0.2000,0.2043,6.1290,213136,0.0000,1.0000
2019-05-03,0.2185,0.2200,0.2000,0.2100,6.3000,228618,0.0000,1.0000
2019-05-02,0.2300,0.2300,0.2065,0.2100,6.3000,338292,0.0000,1.0000
2019-05-01,0.2300,0.2300,0.2150,0.2300,6.9000,292022,0.0000,1.0000
2019-04-30,0.2200,0.2399,0.2100,0.2300,6.9000,737586,0.0000,1.0000
2019-04-29,0.2185,0.2250,0.2040,0.2184,6.5520,234851,0.0000,1.0000
2019-04-26,0.2290,0.2300,0.2100,0.2110,6.3300,572728,0.0000,1.0000
2019-04-25,0.2098,0.2300,0.2000,0.2200,6.6000,954188,0.0000,1.0000
2019-04-24,0.2100,0.2200,0.2000,0.2030,6.0900,116179,0.0000,1.0000
2019-04-23,0.2000,0.2200,0.1980,0.2011,6.0330,310364,0.0000,1.0000
2019-04-22,0.2000,0.2100,0.1940,0.2100,6.3000,193946,0.0000,1.0000
2019-04-18,0.2101,0.2200,0.1942,0.2002,6.0060,246554,0.0000,1.0000
2019-04-17,0.2195,0.2300,0.2100,0.2100,6.3000,232270,0.0000,1.0000
2019-04-16,0.2200,0.2300,0.2100,0.2162,6.4860,135992,0.0000,1.0000
2019-04-15,0.2190,0.2400,0.2025,0.2200,6.6000,714049,0.0000,1.0000
2019-04-12,0.2110,0.2200,0.2000,0.2125,6.3736,166559,0.0000,1.0000
2019-04-11,0.2100,0.2400,0.2100,0.2200,6.6000,264961,0.0000,1.0000
2019-04-10,0.2150,0.2160,0.2000,0.2100,6.3000,185777,0.0000,1.0000
2019-04-09,0.2200,0.2200,0.2000,0.2100,6.3000,252854,0.0000,1.0000
2019-04-08,0.2149,0.2295,0.1955,0.2105,6.3150,178739,0.0000,1.0000
2019-04-05,0.1900,0.2400,0.1850,0.2075,6.2250,961113,0.0000,1.0000
2019-04-04,0.1900,0.2050,0.1855,0.1915,5.7442,65898,0.0000,1.0000
2019-04-03,0.1960,0.2050,0.1850,0.1900,5.7000,108575,0.0000,1.0000
2019-04-02,0.2100,0.2200,0.1810,0.2010,6.0300,255372,0.0000,1.0000
2019-04-01,0.1900,0.2058,0.1900,0.2009,6.0270,121929,0.0000,1.0000
2019-03-29,0.2000,0.2200,0.1700,0.1900,5.7000,429472,0.0000,1.0000
2019-03-28,0.2000,0.2100,0.1850,0.1950,5.8500,388791,0.0000,1.0000
2019-03-27,0.2100,0.2100,0.2000,0.2001,6.0030,162427,0.0000,1.0000
2019-03-26,0.2201,0.2201,0.1800,0.2000,6.0000,475882,0.0000,1.0000
2019-03-25,0.2300,0.2300,0.2200,0.2205,6.6150,110747,0.0000,1.0000
2019-03-22,0.2375,0.2397,0.2203,0.2240,6.7200,104334,0.0000,1.0000
2019-03-21,0.2330,0.2398,0.2202,0.2259,6.7770,82699,0.0000,1.0000
2019-03-20,0.2220,0.2400,0.2200,0.2301,6.9030,100894,0.0000,1.0000
2019-03-19,0.2350,0.2400,0.2250,0.2399,7.1970,97768,0.0000,1.0000
2019-03-18,0.2200,0.2450,0.2200,0.2291,6.8730,407082,0.0000,1.0000
2019-03-15,0.2450,0.2450,0.2236,0.2316,6.9480,74569,0.0000,1.0000
2019-03-14,0.2400,0.2400,0.2235,0.2400,7.2000,125964,0.0000,1.0000
2019-03-13,0.2300,0.2400,0.2235,0.2320,6.9600,102518,0.0000,1.0000
2019-03-12,0.2400,0.2411,0.2150,0.2322,6.9660,378698,0.0000,1.0000
2019-03-11,0.2450,0.2498,0.2310,0.2390,7.1700,109840,0.0000,1.0000
2019-03-08,0.2200,0.2412,0.2200,0.2400,7.2000,103261,0.0000,1.0000
2019-03-07,0.2499,0.2499,0.2300,0.2383,7.1490,153717,0.0000,1.0000
2019-03-06,0.2479,0.2499,0.2400,0.2400,7.2000,78711,0.0000,1.0000
2019-03-05,0.2500,0.2600,0.2200,0.2542,7.6260,151212,0.0000,1.0000
2019-03-04,0.2800,0.2800,0.2536,0.2575,7.7250,210630,0.0000,1.0000
2019-03-01,0.2700,0.2700,0.2600,0.2665,7.9950,61021,0.0000,1.0000
2019-02-28,0.2799,0.2799,0.2501,0.2601,7.8030,201324,0.0000,1.0000
2019-02-27,0.2514,0.2800,0.2500,0.2677,8.0305,304502,0.0000,1.0000
2019-02-26,0.2420,0.2599,0.2100,0.2430,7.2900,167087,0.0000,1.0000
2019-02-25,0.2420,0.2600,0.2420,0.2598,7.7940,114974,0.0000,1.0000
2019-02-22,0.2462,0.2600,0.2301,0.2600,7.8000,132053,0.0000,1.0000
2019-02-21,0.2650,0.2650,0.2400,0.2600,7.8000,252254,0.0000,1.0000
2019-02-20,0.2636,0.2900,0.2450,0.2550,7.6500,586955,0.0000,1.0000
2019-02-19,0.2830,0.3000,0.2620,0.2800,8.4000,327184,0.0000,1.0000
2019-02-15,0.2806,0.3000,0.2750,0.2900,8.7000,289443,0.0000,1.0000
2019-02-14,0.3090,0.3490,0.2802,0.2890,8.6700,996662,0.0000,1.0000
2019-02-13,0.2550,0.3050,0.2550,0.3000,9.0000,1827523,0.0000,1.0000
2019-02-12,0.2600,0.2700,0.2500,0.2599,7.7970,565656,0.0000,1.0000
2019-02-11,0.2310,0.2700,0.2200,0.2549,7.6470,514515,0.0000,1.0000
2019-02-08,0.2400,0.2500,0.2100,0.2280,6.8400,510202,0.0000,1.0000
2019-02-07,0.2500,0.2500,0.2300,0.2363,7.0890,381741,0.0000,1.0000
2019-02-06,0.2110,0.2599,0.2100,0.2450,7.3500,1021975,0.0000,1.0000
2019-02-05,0.2000,0.2400,0.2000,0.2250,6.7500,269158,0.0000,1.0000
2019-02-04,0.2130,0.2200,0.2040,0.2060,6.1800,215904,0.0000,1.0000
2019-02-01,0.2200,0.2300,0.2000,0.2157,6.4710,96709,0.0000,1.0000
2019-01-31,0.2100,0.2300,0.1912,0.2100,6.3000,257528,0.0000,1.0000
2019-01-30,0.1910,0.2100,0.1900,0.2046,6.1380,75826,0.0000,1.0000
2019-01-29,0.1910,0.2089,0.1900,0.1977,5.9310,54775,0.0000,1.0000
2019-01-28,0.2010,0.2100,0.1900,0.1999,5.9970,95081,0.0000,1.0000
2019-01-25,0.2000,0.2099,0.1950,0.2090,6.2700,89598,0.0000,1.0000
2019-01-24,0.2020,0.2100,0.1979,0.1979,5.9365,131011,0.0000,1.0000
2019-01-23,0.2091,0.2100,0.2000,0.2100,6.3000,134325,0.0000,1.0000
2019-01-22,0.2120,0.2149,0.2000,0.2090,6.2700,164662,0.0000,1.0000
2019-01-18,0.2020,0.2150,0.2000,0.2090,6.2700,259850,0.0000,1.0000
2019-01-17,0.2100,0.2198,0.2020,0.2100,6.3000,60299,0.0000,1.0000
2019-01-16,0.2200,0.2200,0.2000,0.2147,6.4410,159481,0.0000,1.0000
2019-01-15,0.2200,0.2200,0.2100,0.2161,6.4830,145654,0.0000,1.0000
2019-01-14,0.2200,0.2299,0.2000,0.2149,6.4470,180264,0.0000,1.0000
2019-01-11,0.2400,0.2400,0.2100,0.2109,6.3270,206510,0.0000,1.0000
