timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-08-02,5.4300,5.4300,5.2500,5.2500,5.2500,3517,0.0000,1.0000
2019-08-01,5.1632,5.3800,5.1201,5.3500,5.3500,9132,0.0000,1.0000
2019-07-31,5.1400,5.4000,5.1000,5.1100,5.1100,6202,0.0000,1.0000
2019-07-30,5.4300,5.4300,5.1000,5.1200,5.1200,2880,0.0000,1.0000
2019-07-29,5.2600,5.3200,5.0800,5.1300,5.1300,21166,0.0000,1.0000
2019-07-26,5.4299,5.4299,5.3400,5.3400,5.3400,1482,0.0000,1.0000
2019-07-25,5.0600,5.2500,5.0600,5.0800,5.0800,5238,0.0000,1.0000
2019-07-24,5.1500,5.2485,5.1000,5.1000,5.1000,2086,0.0000,1.0000
2019-07-23,5.2000,5.2666,5.1100,5.1100,5.1100,1437,0.0000,1.0000
2019-07-22,5.1477,5.1693,5.1300,5.1300,5.1300,1266,0.0000,1.0000
2019-07-19,5.4000,5.4000,5.1100,5.1100,5.1100,2974,0.0000,1.0000
2019-07-18,5.4100,5.4100,5.1000,5.1474,5.1474,2109,0.0000,1.0000
2019-07-17,5.0801,5.0900,5.0800,5.0800,5.0800,1684,0.0000,1.0000
2019-07-16,5.2299,5.2299,5.0800,5.0800,5.0800,787,0.0000,1.0000
2019-07-15,5.2342,5.2342,5.1554,5.1554,5.1554,2786,0.0000,1.0000
2019-07-12,5.3600,5.4000,5.2300,5.2300,5.2300,4433,0.0000,1.0000
2019-07-11,5.3900,5.5600,5.1893,5.4399,5.4399,8648,0.0000,1.0000
2019-07-10,5.1200,5.5700,5.1200,5.4600,5.4600,9136,0.0000,1.0000
2019-07-09,5.1500,5.1567,5.1093,5.1200,5.1200,5629,0.0000,1.0000
2019-07-08,5.1000,5.2500,5.0200,5.2500,5.2500,12564,0.0000,1.0000
2019-07-05,5.0700,5.1000,5.0700,5.1000,5.1000,821,0.0000,1.0000
2019-07-03,5.0600,5.0600,5.0240,5.0240,5.0240,2004,0.0000,1.0000
2019-07-02,5.0300,5.0400,4.9100,5.0400,5.0400,7489,0.0000,1.0000
2019-07-01,5.0047,5.0766,4.9901,5.0100,5.0100,4071,0.0000,1.0000
2019-06-28,5.0000,5.0400,4.9300,5.0200,5.0200,8678,0.0000,1.0000
2019-06-27,4.9700,5.0800,4.9000,5.0800,5.0800,9803,0.0000,1.0000
