timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-08-02,12.4100,12.4530,11.5600,11.6400,11.6400,354939,0.0000,1.0000
2019-08-01,12.2500,12.5285,12.0900,12.3200,12.3200,361353,0.0000,1.0000
2019-07-31,12.2800,12.6900,12.0100,12.1300,12.1300,419125,0.0000,1.0000
2019-07-30,12.3000,12.6000,12.1100,12.1700,12.1700,377300,0.0000,1.0000
2019-07-29,13.0100,13.2399,12.4000,12.6900,12.6900,479530,0.0000,1.0000
2019-07-26,13.0600,13.4000,12.3000,12.7600,12.7600,545954,0.0000,1.0000
2019-07-25,14.0000,14.1000,12.5000,12.6900,12.6900,889790,0.0000,1.0000
2019-07-24,13.9300,14.7400,13.5500,13.9400,13.9400,952596,0.0000,1.0000
2019-07-23,14.5300,15.9000,13.5700,14.0200,14.0200,2940185,0.0000,1.0000
2019-07-22,12.1000,14.9542,12.0200,14.7200,14.7200,3452998,0.0000,1.0000
2019-07-19,12.8100,13.2700,12.0100,12.0800,12.0800,760291,0.0000,1.0000
2019-07-18,14.0000,14.4255,12.5600,12.9300,12.9300,874384,0.0000,1.0000
2019-07-17,14.2800,15.3399,13.6700,13.9100,13.9100,946522,0.0000,1.0000
2019-07-16,16.2500,16.6000,14.3500,14.3700,14.3700,1587162,0.0000,1.0000
2019-07-15,18.9000,19.0000,15.8100,16.0500,16.0500,3114005,0.0000,1.0000
2019-07-12,20.5000,21.1800,18.1900,18.5500,18.5500,2724198,0.0000,1.0000
2019-07-11,17.7500,21.9700,16.9000,21.2200,21.2200,7032266,0.0000,1.0000
2019-07-10,16.9000,18.1500,16.8800,17.5000,17.5000,1392264,0.0000,1.0000
2019-07-09,17.0100,19.5000,15.7600,16.8000,16.8000,7582061,0.0000,1.0000
2019-07-08,11.8600,18.5000,11.8600,18.5000,18.5000,10414000,0.0000,1.0000
2019-07-05,11.8800,12.0500,11.3000,11.4300,11.4300,335581,0.0000,1.0000
2019-07-03,12.4500,12.4900,11.8300,12.1500,12.1500,192822,0.0000,1.0000
2019-07-02,13.6400,13.8100,12.0500,12.5100,12.5100,402482,0.0000,1.0000
2019-07-01,14.8900,14.9700,13.3400,13.8200,13.8200,550001,0.0000,1.0000
2019-06-28,14.8600,15.1300,14.5100,14.7000,14.7000,703215,0.0000,1.0000
2019-06-27,14.2300,15.0000,14.0200,14.6200,14.6200,236245,0.0000,1.0000
2019-06-26,14.8400,14.8400,14.0500,14.1100,14.1100,168110,0.0000,1.0000
2019-06-25,14.7000,15.0293,14.0400,14.7200,14.7200,307337,0.0000,1.0000
2019-06-24,15.7300,15.8900,14.6500,14.9100,14.9100,340952,0.0000,1.0000
2019-06-21,15.9600,16.0000,15.1000,15.2500,15.2500,343330,0.0000,1.0000
2019-06-20,16.7700,16.9900,15.5000,16.0600,16.0600,488171,0.0000,1.0000
2019-06-19,17.0300,17.2200,15.8800,16.4900,16.4900,486632,0.0000,1.0000
2019-06-18,17.2600,18.2500,16.8500,17.2200,17.2200,954403,0.0000,1.0000
2019-06-17,14.4500,17.2995,14.3000,16.6400,16.6400,1291519,0.0000,1.0000
2019-06-14,15.6200,16.0500,14.2400,14.3000,14.3000,493177,0.0000,1.0000
2019-06-13,16.1000,16.7800,15.5000,15.7500,15.7500,410311,0.0000,1.0000
2019-06-12,16.9800,17.0700,15.7500,15.8500,15.8500,661628,0.0000,1.0000
2019-06-11,18.3800,18.8891,16.8600,17.6900,17.6900,713999,0.0000,1.0000
2019-06-10,16.5000,18.3200,16.3017,17.9000,17.9000,1032549,0.0000,1.0000
2019-06-07,15.2000,17.1800,14.6500,16.2000,16.2000,719212,0.0000,1.0000
2019-06-06,16.6000,17.5000,15.5705,16.1200,16.1200,893425,0.0000,1.0000
2019-06-05,19.9300,20.5000,16.6000,17.3800,17.3800,2200444,0.0000,1.0000
2019-06-04,17.7400,20.6000,16.3705,18.4900,18.4900,5519266,0.0000,1.0000
2019-06-03,18.6300,18.7300,15.0000,15.1500,15.1500,2087660,0.0000,1.0000
2019-05-31,19.6600,21.7800,18.4000,18.8200,18.8200,3474128,0.0000,1.0000
2019-05-30,17.9700,24.7500,17.0000,18.7000,18.7000,8911534,0.0000,1.0000
2019-05-29,21.1000,29.0000,17.3600,20.2800,20.2800,20366807,0.0000,1.0000
2019-05-28,5.8200,14.9900,5.8200,14.2200,14.2200,23285488,0.0000,1.0000
2019-05-24,5.4300,5.9900,5.4300,5.7300,5.7300,112719,0.0000,1.0000
2019-05-23,5.3000,5.8600,5.0150,5.4600,5.4600,167869,0.0000,1.0000
2019-05-22,6.0300,6.2800,5.1300,5.2800,5.2800,255994,0.0000,1.0000
2019-05-21,6.4500,6.8300,6.1300,6.2500,6.2500,178281,0.0000,1.0000
2019-05-20,7.1400,7.2000,6.2800,6.4200,6.4200,220538,0.0000,1.0000
2019-05-17,8.0700,8.5600,7.2200,7.3200,7.3200,718768,0.0000,1.0000
2019-05-16,10.5400,10.8175,7.0400,7.2200,7.2200,1027958,0.0000,1.0000
2019-05-15,10.5000,10.9000,10.5000,10.5400,10.5400,194540,0.0000,1.0000
2019-05-14,11.9500,11.9599,10.5000,10.6000,10.6000,196088,0.0000,1.0000
2019-05-13,13.5000,13.5000,10.8825,11.3900,11.3900,317581,0.0000,1.0000
2019-05-10,12.2000,13.7700,11.9000,13.6000,13.6000,252428,0.0000,1.0000
2019-05-09,11.3100,12.4200,10.8000,12.3200,12.3200,145085,0.0000,1.0000
2019-05-08,11.5700,11.7518,11.3000,11.5400,11.5400,66438,0.0000,1.0000
2019-05-07,11.6500,11.9800,11.6044,11.8000,11.8000,66575,0.0000,1.0000
2019-05-06,12.2300,12.2300,11.5600,11.6400,11.6400,123300,0.0000,1.0000
2019-05-03,12.4500,12.8700,12.1700,12.2700,12.2700,172058,0.0000,1.0000
2019-05-02,12.1900,12.7700,11.5000,12.4800,12.4800,183136,0.0000,1.0000
2019-05-01,11.1900,12.3093,11.1656,11.9000,11.9000,196865,0.0000,1.0000
2019-04-30,11.4900,11.5793,10.8100,11.1500,11.1500,199482,0.0000,1.0000
2019-04-29,12.0500,12.4800,11.6200,11.7000,11.7000,106070,0.0000,1.0000
2019-04-26,11.9800,12.2312,11.6000,11.8500,11.8500,130625,0.0000,1.0000
2019-04-25,12.0000,12.3900,11.5500,11.7500,11.7500,116026,0.0000,1.0000
2019-04-24,13.8000,13.9314,12.3000,12.3300,12.3300,241022,0.0000,1.0000
2019-04-23,12.3400,13.8100,11.9171,13.7200,13.7200,270676,0.0000,1.0000
2019-04-22,11.8900,12.4900,11.1100,12.2900,12.2900,197168,0.0000,1.0000
2019-04-18,13.3900,13.3900,11.1100,11.8900,11.8900,364133,0.0000,1.0000
2019-04-17,14.5600,14.5772,12.6300,13.2100,13.2100,473149,0.0000,1.0000
2019-04-16,14.4000,15.0000,13.8000,14.8100,14.8100,406594,0.0000,1.0000
2019-04-15,12.4500,14.3900,12.4100,14.2500,14.2500,325561,0.0000,1.0000
2019-04-12,13.5000,14.1800,11.7100,12.4400,12.4400,379445,0.0000,1.0000
2019-04-11,12.6000,13.7500,12.5850,13.3100,13.3100,321427,0.0000,1.0000
2019-04-10,11.9000,12.8000,11.9000,12.5600,12.5600,399942,0.0000,1.0000
2019-04-09,11.5000,14.0000,11.4000,11.8000,11.8000,978725,0.0000,1.0000
2019-04-08,10.7600,11.4900,10.3300,11.3300,11.3300,245533,0.0000,1.0000
2019-04-05,10.0000,11.8400,9.9900,10.5900,10.5900,534150,0.0000,1.0000
2019-04-04,9.1800,10.0000,8.6100,10.0000,10.0000,229545,0.0000,1.0000
2019-04-03,9.4400,9.4500,8.6000,9.0000,9.0000,224195,0.0000,1.0000
2019-04-02,9.0900,9.6983,9.0000,9.3500,9.3500,195199,0.0000,1.0000
2019-04-01,8.2000,9.0400,8.1000,8.9700,8.9700,250039,0.0000,1.0000
2019-03-29,7.4000,8.5200,7.3800,8.1000,8.1000,253003,0.0000,1.0000
2019-03-28,6.7300,7.4299,6.5000,7.3000,7.3000,182113,0.0000,1.0000
2019-03-27,6.9400,6.9499,6.6800,6.7300,6.7300,110237,0.0000,1.0000
2019-03-26,7.4800,7.4800,6.6000,6.8600,6.8600,132267,0.0000,1.0000
2019-03-25,7.9600,7.9600,7.1700,7.2100,7.2100,103253,0.0000,1.0000
2019-03-22,7.9900,8.1000,7.3500,7.8174,7.8174,141679,0.0000,1.0000
2019-03-21,7.5000,8.2999,7.4543,7.9500,7.9500,435865,0.0000,1.0000
2019-03-20,7.4900,7.4900,7.0600,7.3500,7.3500,169244,0.0000,1.0000
2019-03-19,6.3900,7.4900,6.2500,7.3000,7.3000,457706,0.0000,1.0000
2019-03-18,6.5000,6.5000,6.0300,6.2100,6.2100,46355,0.0000,1.0000
2019-03-15,6.4000,6.7000,5.8700,6.4700,6.4700,112122,0.0000,1.0000
2019-03-14,6.2500,6.6179,5.7500,6.4900,6.4900,268602,0.0000,1.0000
2019-03-13,5.0200,6.1900,5.0199,5.9000,5.9000,640095,0.0000,1.0000
2019-03-12,5.0000,5.1250,4.9000,4.9500,4.9500,31839,0.0000,1.0000
2019-03-11,5.1000,5.1000,4.8500,4.8500,4.8500,10359,0.0000,1.0000
2019-03-08,4.8000,5.1980,4.8000,4.9000,4.9000,52586,0.0000,1.0000
2019-03-07,4.8800,4.8800,4.6500,4.7400,4.7400,2795,0.0000,1.0000
2019-03-06,4.5000,4.7400,4.5000,4.6200,4.6200,4242,0.0000,1.0000
2019-03-05,4.8000,4.8000,4.5000,4.5900,4.5900,10639,0.0000,1.0000
2019-03-04,5.0000,5.0200,4.7700,4.8000,4.8000,37148,0.0000,1.0000
2019-03-01,4.6000,5.0100,4.3221,4.9900,4.9900,41640,0.0000,1.0000
2019-02-28,4.4780,4.7599,4.4492,4.6400,4.6400,16770,0.0000,1.0000
2019-02-27,4.5290,4.5500,4.3249,4.3425,4.3425,3625,0.0000,1.0000
2019-02-26,4.9700,4.9763,4.1200,4.5800,4.5800,40802,0.0000,1.0000
2019-02-25,4.6000,4.7500,4.5000,4.7000,4.7000,21417,0.0000,1.0000
2019-02-22,5.2500,5.2500,4.5226,4.6169,4.6169,65658,0.0000,1.0000
2019-02-21,4.8600,4.8899,4.6701,4.8300,4.8300,26988,0.0000,1.0000
2019-02-20,5.0000,5.2500,4.8299,4.8501,4.8501,82768,0.0000,1.0000
2019-02-19,4.8000,4.9500,4.3700,4.8700,4.8700,161072,0.0000,1.0000
