timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-08-02,17.3400,17.5100,17.2500,17.4800,17.4800,10659,0.0000,1.0000
2019-08-01,17.4000,17.7100,17.2500,17.4300,17.4300,16965,0.0000,1.0000
2019-07-31,17.3300,17.7200,17.3300,17.4550,17.4550,11005,0.0000,1.0000
2019-07-30,17.5300,17.5700,17.2600,17.4000,17.4000,5850,0.0000,1.0000
2019-07-29,17.5400,17.7200,17.4250,17.7200,17.7200,18052,0.0000,1.0000
2019-07-26,17.7300,17.7400,17.5700,17.6500,17.6500,14969,0.0000,1.0000
2019-07-25,17.6400,17.8366,17.2500,17.6300,17.6300,27869,0.0000,1.0000
2019-07-24,17.6200,17.8300,17.2600,17.6400,17.6400,5176,0.0000,1.0000
2019-07-23,17.3900,17.7400,17.3900,17.7200,17.7200,2243,0.0300,1.0000
2019-07-22,17.4100,17.5000,17.1700,17.4600,17.4305,8502,0.0000,1.0000
2019-07-19,17.7100,17.7100,16.9960,17.4200,17.3906,26482,0.0000,1.0000
2019-07-18,17.7900,17.9000,17.3900,17.7700,17.7400,18973,0.0000,1.0000
2019-07-17,17.9250,17.9250,17.8300,17.8500,17.8198,4032,0.0000,1.0000
2019-07-16,17.7000,17.9850,17.5200,17.8200,17.7899,5291,0.0000,1.0000
2019-07-15,17.6400,17.9450,16.9946,17.8900,17.8598,15813,0.0000,1.0000
2019-07-12,17.3500,17.8500,17.2950,17.7100,17.6801,19766,0.0000,1.0000
2019-07-11,17.3200,17.5000,17.2400,17.4000,17.3706,25144,0.0000,1.0000
2019-07-10,17.2000,17.5000,17.0500,17.3200,17.2907,15339,0.0000,1.0000
2019-07-09,16.9200,17.3700,16.9200,17.2300,17.2009,34398,0.0000,1.0000
2019-07-08,16.9200,17.1600,16.8250,17.0000,16.9713,18229,0.0000,1.0000
2019-07-05,16.9400,17.2800,16.9000,16.9800,16.9513,6435,0.0000,1.0000
2019-07-03,16.8200,16.9200,16.6500,16.7300,16.7017,5056,0.0000,1.0000
2019-07-02,16.7500,16.9400,16.4100,16.8800,16.8515,58106,0.0000,1.0000
2019-07-01,16.6200,16.8500,16.2700,16.7500,16.7217,69533,0.0000,1.0000
2019-06-28,16.5200,16.6900,16.2200,16.5000,16.4721,748096,0.0000,1.0000
2019-06-27,16.6300,16.9500,16.2800,16.4100,16.3823,310200,0.0000,1.0000
2019-06-26,16.8000,17.1750,16.5600,16.7500,16.7217,98191,0.0000,1.0000
2019-06-25,16.9300,17.2000,16.7600,16.8700,16.8415,47220,0.0000,1.0000
2019-06-24,17.4300,17.5059,16.9100,17.0500,17.0212,55004,0.0000,1.0000
2019-06-21,17.6000,17.8999,17.2150,17.2600,17.2308,134433,0.0000,1.0000
2019-06-20,17.5700,17.8900,17.5000,17.5000,17.4704,44091,0.0000,1.0000
2019-06-19,17.5600,17.9300,17.5000,17.6000,17.5703,41940,0.0000,1.0000
2019-06-18,17.7400,17.9000,17.5800,17.7100,17.6801,31407,0.0000,1.0000
2019-06-17,17.9800,18.0800,17.7000,17.8700,17.8398,45793,0.0000,1.0000
2019-06-14,17.8700,18.1300,17.5500,17.9800,17.9496,19113,0.0000,1.0000
2019-06-13,17.5700,18.1950,17.5700,17.9700,17.9396,16467,0.0000,1.0000
2019-06-12,17.5100,17.9200,17.3500,17.5300,17.5004,38656,0.0000,1.0000
2019-06-11,17.7800,17.9900,17.1300,17.5200,17.4904,43618,0.0000,1.0000
2019-06-10,17.5000,18.1000,17.5000,17.5900,17.5603,52717,0.0000,1.0000
2019-06-07,18.4900,18.4900,17.3400,17.4800,17.4505,55506,0.0000,1.0000
2019-06-06,18.4000,18.4000,17.1600,17.7600,17.7300,18035,0.0000,1.0000
2019-06-05,17.8700,18.5000,17.8000,18.4000,18.3689,22715,0.0000,1.0000
2019-06-04,17.9000,18.0000,17.0600,17.9900,17.9596,28919,0.0000,1.0000
2019-06-03,17.7600,18.5000,17.7500,17.8600,17.8298,24023,0.0000,1.0000
2019-05-31,16.9800,17.5500,16.2600,17.5500,17.5203,14519,0.0000,1.0000
2019-05-30,17.2700,17.8700,16.8500,16.9600,16.9313,15155,0.0000,1.0000
2019-05-29,17.4800,17.5000,16.3500,17.4600,17.4305,50065,0.0000,1.0000
2019-05-28,18.2800,18.6600,16.0400,17.5100,17.4804,88786,0.0000,1.0000
2019-05-24,18.4000,18.5250,17.9500,18.1800,18.1493,7463,0.0000,1.0000
2019-05-23,18.2500,18.7000,18.0200,18.0900,18.0594,36360,0.0000,1.0000
2019-05-22,18.0800,18.4000,18.0000,18.3200,18.2890,16137,0.0000,1.0000
2019-05-21,18.0900,18.5800,18.0900,18.3500,18.3190,102043,0.0000,1.0000
2019-05-20,17.7100,18.7000,17.7100,18.1500,18.1193,55677,0.0000,1.0000
2019-05-17,17.7800,18.0000,17.6500,17.7400,17.7100,52506,0.0000,1.0000
2019-05-16,17.9500,18.2500,17.7105,17.9600,17.9296,101667,0.0000,1.0000
2019-05-15,18.0000,18.2500,17.9000,17.9400,17.9097,111554,0.0000,1.0000
2019-05-14,17.8400,18.6000,17.6800,18.0000,17.9696,111390,0.0000,1.0000
2019-05-13,18.0900,18.4456,17.8500,17.9000,17.8697,127122,0.0000,1.0000
2019-05-10,17.7000,18.5500,17.5000,18.0300,17.9995,111747,0.0000,1.0000
2019-05-09,17.7500,18.2500,17.5100,17.7100,17.6801,1449776,0.0000,1.0000
