timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-08-02,46.9000,47.2169,45.0400,45.5800,45.5800,190892,0.0000,1.0000
2019-08-01,47.0000,49.0000,44.7050,46.9600,46.9600,418706,0.0000,1.0000
2019-07-31,41.0300,42.3200,41.0000,41.7000,41.7000,107944,0.0000,1.0000
2019-07-30,39.3400,41.5800,39.3400,41.3000,41.3000,64471,0.0000,1.0000
2019-07-29,39.7200,39.9200,38.9900,39.8700,39.8700,87072,0.0000,1.0000
2019-07-26,40.0600,40.1500,39.6191,39.7200,39.7200,58814,0.0000,1.0000
2019-07-25,40.6300,41.1300,39.7200,39.8000,39.8000,50351,0.0000,1.0000
2019-07-24,39.0900,40.6100,39.0900,40.5500,40.5500,92351,0.0000,1.0000
2019-07-23,38.8100,39.5300,38.4150,39.2900,39.2900,47951,0.0000,1.0000
2019-07-22,39.2000,39.2000,38.0800,38.6600,38.6600,104977,0.0000,1.0000
2019-07-19,39.8400,40.1752,39.0200,39.0600,39.0600,75506,0.0000,1.0000
2019-07-18,39.3500,40.2700,39.2800,39.9000,39.9000,105235,0.0000,1.0000
2019-07-17,39.3800,39.9400,39.1600,39.5000,39.5000,51905,0.0000,1.0000
2019-07-16,40.0000,40.3200,39.2550,39.3300,39.3300,106357,0.0000,1.0000
2019-07-15,40.1700,40.4800,39.3137,40.2300,40.2300,74532,0.0000,1.0000
2019-07-12,40.4500,40.7900,39.6200,40.3400,40.3400,79561,0.0000,1.0000
2019-07-11,41.9500,42.6544,40.4000,40.7000,40.7000,73389,0.0000,1.0000
2019-07-10,41.9300,42.3400,41.2500,41.3900,41.3900,81287,0.0000,1.0000
2019-07-09,40.7000,41.6100,40.5100,41.5700,41.5700,80911,0.0000,1.0000
2019-07-08,40.8600,41.1509,40.0100,40.9400,40.9400,70882,0.0000,1.0000
2019-07-05,40.8800,41.2600,40.3500,41.1800,41.1800,51278,0.0000,1.0000
2019-07-03,41.3300,41.9400,41.0900,41.1200,41.1200,26496,0.0000,1.0000
2019-07-02,41.1900,41.7600,40.7400,41.0000,41.0000,54243,0.0000,1.0000
2019-07-01,43.9800,43.9800,41.6400,41.9600,41.9600,98952,0.0000,1.0000
2019-06-28,40.2300,43.5400,40.1100,43.1700,43.1700,268842,0.0000,1.0000
2019-06-27,39.4000,40.1100,39.2400,39.9000,39.9000,121897,0.0000,1.0000
2019-06-26,39.6800,40.5200,38.6400,39.0100,39.0100,111562,0.0000,1.0000
2019-06-25,41.1400,41.6900,38.9900,39.5000,39.5000,299659,0.0000,1.0000
2019-06-24,42.8000,42.8000,40.7700,40.8900,40.8900,133717,0.0000,1.0000
2019-06-21,44.2800,44.2800,41.7600,42.4300,42.4300,290283,0.0000,1.0000
2019-06-20,44.1100,44.8700,42.9000,44.6900,44.6900,145159,0.0000,1.0000
2019-06-19,42.3700,43.4800,41.3000,43.3700,43.3700,128386,0.0000,1.0000
2019-06-18,41.5400,42.7872,41.0200,42.1700,42.1700,144161,0.0000,1.0000
2019-06-17,41.4600,41.6499,40.7700,40.8800,40.8800,63561,0.0000,1.0000
2019-06-14,41.6500,42.5150,41.2700,41.3400,41.3400,71064,0.0000,1.0000
2019-06-13,40.8700,41.9400,40.2500,41.9000,41.9000,127787,0.0000,1.0000
2019-06-12,41.3500,42.1600,40.3500,40.4000,40.4000,89400,0.0000,1.0000
2019-06-11,43.0900,43.6750,40.8300,41.3900,41.3900,115507,0.0000,1.0000
2019-06-10,41.7600,43.4100,41.7600,42.5200,42.5200,84847,0.0000,1.0000
2019-06-07,40.2600,41.6700,39.9200,41.4400,41.4400,78076,0.0000,1.0000
2019-06-06,43.0200,43.7000,39.4700,39.9100,39.9100,126111,0.0000,1.0000
2019-06-05,42.0000,42.8500,41.3300,42.7900,42.7900,137120,0.0000,1.0000
2019-06-04,40.7600,41.9700,40.1473,41.8400,41.8400,113587,0.0000,1.0000
2019-06-03,40.4300,41.0250,39.9700,40.2400,40.2400,104994,0.0000,1.0000
2019-05-31,40.3700,40.6500,39.6700,40.5600,40.5600,101248,0.0000,1.0000
2019-05-30,41.0800,41.4400,40.7400,40.9800,40.9800,97816,0.0000,1.0000
2019-05-29,42.1900,42.6500,40.3700,40.8300,40.8300,183869,0.0000,1.0000
2019-05-28,42.5400,43.3600,42.2800,42.4200,42.4200,156370,0.0000,1.0000
2019-05-24,39.6500,43.1000,39.6500,42.4400,42.4400,162128,0.0000,1.0000
2019-05-23,39.2800,39.7600,38.8800,39.5200,39.5200,146174,0.0000,1.0000
2019-05-22,38.9600,39.9300,38.9600,39.7400,39.7400,166465,0.0000,1.0000
2019-05-21,38.5500,39.2650,38.3950,39.1200,39.1200,175217,0.0000,1.0000
2019-05-20,38.5400,38.8600,38.0600,38.2300,38.2300,103713,0.0000,1.0000
2019-05-17,39.5700,39.6600,38.5100,39.0600,39.0600,142562,0.0000,1.0000
2019-05-16,40.5700,40.6800,39.9100,40.0000,40.0000,160375,0.0000,1.0000
2019-05-15,40.2700,40.7700,40.0100,40.3900,40.3900,100776,0.0000,1.0000
2019-05-14,40.3800,41.0100,39.5900,40.6000,40.6000,118895,0.0000,1.0000
2019-05-13,40.1600,40.6650,39.8800,40.0100,40.0100,95896,0.0000,1.0000
2019-05-10,41.3600,41.5600,40.1800,41.1300,41.1300,58665,0.0000,1.0000
2019-05-09,41.4400,41.8100,40.6600,41.5800,41.5800,48164,0.0000,1.0000
2019-05-08,42.6200,42.8700,41.5500,41.6800,41.6800,107475,0.0000,1.0000
2019-05-07,44.3700,44.4700,42.0200,42.6100,42.6100,108601,0.0000,1.0000
2019-05-06,44.4000,45.8100,43.4700,44.7900,44.7900,156434,0.0000,1.0000
2019-05-03,44.1100,45.5100,43.3500,45.3300,45.3300,108102,0.0000,1.0000
