timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-08-02,5.0100,5.1600,5.0100,5.1000,5.1000,5251,0.0000,1.0000
2019-08-01,5.0400,5.2600,4.9600,5.0100,5.0100,19404,0.0000,1.0000
2019-07-31,5.1000,5.1700,4.9440,4.9900,4.9900,42656,0.0000,1.0000
2019-07-30,5.0400,5.1349,4.8600,4.9000,4.9000,20023,0.0000,1.0000
2019-07-29,5.2400,5.3000,4.9000,5.0700,5.0700,24308,0.0000,1.0000
2019-07-26,5.2800,5.2800,5.0400,5.0400,5.0400,6647,0.0000,1.0000
2019-07-25,5.2400,5.2400,4.7500,4.9000,4.9000,32338,0.0000,1.0000
2019-07-24,5.2753,5.3705,5.1100,5.1100,5.1100,7785,0.0000,1.0000
2019-07-23,5.2700,5.2700,5.1700,5.2100,5.2100,4744,0.0000,1.0000
2019-07-22,5.2800,5.3000,5.1200,5.2450,5.2450,3197,0.0000,1.0000
2019-07-19,5.2800,5.3600,5.2200,5.2800,5.2800,13053,0.0000,1.0000
2019-07-18,5.3500,5.4000,5.2100,5.3100,5.3100,29821,0.0000,1.0000
2019-07-17,5.3900,5.3900,5.3700,5.3800,5.3800,3557,0.0000,1.0000
2019-07-16,5.4000,5.4254,5.3500,5.3500,5.3500,4845,0.0000,1.0000
2019-07-15,5.3900,5.3900,5.3100,5.3100,5.3100,513,0.0000,1.0000
2019-07-12,5.5400,5.5400,5.3600,5.3600,5.3600,6415,0.0000,1.0000
2019-07-11,5.5000,5.5000,5.4200,5.4200,5.4200,8053,0.0000,1.0000
2019-07-10,5.3900,5.6400,5.3100,5.3600,5.3600,12584,0.0000,1.0000
2019-07-09,5.2600,5.4850,5.2600,5.3300,5.3300,2958,0.0000,1.0000
2019-07-08,5.4063,5.4450,5.2059,5.2400,5.2400,17527,0.0000,1.0000
2019-07-05,5.3400,5.5660,5.3400,5.4700,5.4700,2906,0.0000,1.0000
2019-07-03,5.4100,5.4900,5.3900,5.4300,5.4300,1045,0.0000,1.0000
2019-07-02,5.5627,5.5627,5.3100,5.3900,5.3900,8675,0.0000,1.0000
2019-07-01,5.6687,5.6687,5.6332,5.6500,5.6500,1400,0.0000,1.0000
2019-06-28,5.4200,5.6236,5.3900,5.5400,5.5400,11181,0.0000,1.0000
2019-06-27,5.4902,5.6000,5.3300,5.3800,5.3800,4090,0.0000,1.0000
2019-06-26,5.1500,5.6738,5.1500,5.4100,5.4100,3386,0.0000,1.0000
2019-06-25,5.1000,5.3715,5.0550,5.1200,5.1200,10152,0.0000,1.0000
2019-06-24,5.5600,5.6000,5.1000,5.1000,5.1000,26656,0.0000,1.0000
2019-06-21,5.5000,5.6800,5.4200,5.5100,5.5100,31679,0.0000,1.0000
2019-06-20,5.5300,5.5600,5.4310,5.4900,5.4900,18459,0.0000,1.0000
2019-06-19,5.3400,5.6000,5.1000,5.5000,5.5000,4751,0.0000,1.0000
2019-06-18,5.1500,5.4000,5.1500,5.3200,5.3200,15495,0.0000,1.0000
2019-06-17,4.8500,5.1900,4.8500,5.0600,5.0600,11752,0.0000,1.0000
2019-06-14,4.8200,5.1400,4.7500,4.8500,4.8500,53580,0.0000,1.0000
2019-06-13,4.7700,5.0000,4.7700,4.8400,4.8400,14129,0.0000,1.0000
2019-06-12,5.0900,5.1500,4.7900,4.7900,4.7900,51010,0.0000,1.0000
2019-06-11,5.0500,5.6692,5.0000,5.0300,5.0300,54455,0.0000,1.0000
2019-06-10,5.2300,5.5050,5.0200,5.0400,5.0400,83556,0.0000,1.0000
2019-06-07,5.3700,5.4000,5.2900,5.2900,5.2900,18403,0.0000,1.0000
2019-06-06,5.5600,5.5600,5.2500,5.2500,5.2500,20766,0.0000,1.0000
2019-06-05,5.5570,5.5800,5.4900,5.4900,5.4900,3389,0.0000,1.0000
2019-06-04,5.5600,5.7000,5.5400,5.6200,5.6200,15978,0.0000,1.0000
2019-06-03,5.5400,5.6300,5.5000,5.5700,5.5700,25154,0.0000,1.0000
2019-05-31,5.5500,5.6750,5.4974,5.5900,5.5900,26033,0.0000,1.0000
