timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-08-02,11.2500,11.2500,11.0000,11.0000,11.0000,7988,0.0000,1.0000
2019-08-01,11.2700,11.7000,11.2200,11.3000,11.3000,6604,0.0000,1.0000
2019-07-31,11.6362,11.8000,11.1500,11.2700,11.2700,42792,0.0000,1.0000
2019-07-30,11.5757,11.6600,11.3100,11.4100,11.4100,30430,0.0000,1.0000
2019-07-29,11.0500,11.7850,10.9500,11.3700,11.3700,41896,0.0000,1.0000
2019-07-26,11.1100,11.2000,11.0000,11.0400,11.0400,40858,0.0000,1.0000
2019-07-25,11.2787,11.3500,11.0600,11.1200,11.1200,9593,0.0000,1.0000
2019-07-24,10.9900,11.4800,10.7600,11.0600,11.0600,58235,0.0000,1.0000
2019-07-23,11.1700,11.1900,11.0300,11.0300,11.0300,4343,0.0000,1.0000
2019-07-22,11.2000,11.3200,11.0800,11.1400,11.1400,11583,0.0000,1.0000
2019-07-19,11.1800,11.5528,11.0000,11.1600,11.1600,36375,0.0000,1.0000
2019-07-18,11.7800,11.7800,10.9600,11.1700,11.1700,58125,0.0000,1.0000
2019-07-17,11.3400,11.4750,11.0300,11.0300,11.0300,46343,0.0000,1.0000
2019-07-16,11.6100,11.6100,11.2800,11.3700,11.3700,6564,0.0000,1.0000
2019-07-15,11.5800,11.7700,11.3440,11.4200,11.4200,9643,0.0000,1.0000
2019-07-12,11.4900,11.8000,11.4900,11.6400,11.6400,13355,0.0000,1.0000
2019-07-11,11.6100,11.9600,11.3700,11.5400,11.5400,17314,0.0000,1.0000
2019-07-10,11.5000,11.5000,11.3800,11.4800,11.4800,10810,0.0000,1.0000
2019-07-09,11.4800,11.5000,11.1500,11.4700,11.4700,13001,0.0000,1.0000
2019-07-08,11.6800,11.8800,11.2300,11.4200,11.4200,11827,0.0000,1.0000
2019-07-05,11.0000,11.8400,11.0000,11.7600,11.7600,11478,0.0000,1.0000
2019-07-03,11.7800,11.8139,11.1100,11.2100,11.2100,12120,0.0000,1.0000
2019-07-02,11.7600,11.8900,11.5000,11.6200,11.6200,11105,0.0000,1.0000
2019-07-01,11.5000,12.0000,11.5000,11.7500,11.7500,32086,0.0000,1.0000
