timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-08-02,8.7901,8.8100,8.7800,8.8100,8.8100,8045,0.0000,1.0000
2019-08-01,8.9199,8.9200,8.8290,8.8800,8.8800,1658,0.0000,1.0000
2019-07-31,8.8200,8.9600,8.8000,8.9200,8.9200,5871,0.0000,1.0000
2019-07-30,8.7900,8.8341,8.7900,8.8341,8.8341,3228,0.0000,1.0000
2019-07-29,8.8700,8.9000,8.7900,8.8300,8.8300,10671,0.0000,1.0000
2019-07-26,9.0522,9.0522,8.8700,8.9000,8.9000,14564,0.0000,1.0000
2019-07-25,8.9900,8.9900,8.8500,8.8840,8.8840,8455,0.0000,1.0000
2019-07-24,9.0000,9.0700,8.8000,8.9124,8.9124,15729,0.0000,1.0000
2019-07-23,8.9900,8.9900,8.8500,8.8500,8.8500,20186,0.0000,1.0000
2019-07-22,9.0900,9.1000,8.9316,8.9316,8.9316,8382,0.0000,1.0000
2019-07-19,8.8900,9.1577,8.8700,9.1000,9.1000,7089,0.0000,1.0000
2019-07-18,9.3049,9.3115,8.9200,8.9300,8.9300,10984,0.0000,1.0000
2019-07-17,9.1000,9.2000,9.0200,9.1450,9.1450,13998,0.0000,1.0000
2019-07-16,9.2700,9.2700,8.9800,9.0300,9.0300,11607,0.0000,1.0000
2019-07-15,8.9600,9.4253,8.9600,9.3089,9.3089,5959,0.0000,1.0000
2019-07-12,8.8600,9.0300,8.8600,9.0210,9.0210,6575,0.0000,1.0000
2019-07-11,8.8000,8.8943,8.6400,8.8600,8.8600,56201,0.0000,1.0000
2019-07-10,8.9100,9.1240,8.7501,8.8000,8.8000,4232,0.0000,1.0000
2019-07-09,8.9600,9.2250,8.7200,8.7500,8.7500,15750,0.0000,1.0000
2019-07-08,8.8900,9.0700,8.8500,9.0400,9.0400,19991,0.0000,1.0000
2019-07-05,9.1700,9.1700,8.8800,8.8900,8.8900,45991,0.0000,1.0000
2019-07-03,9.3400,9.3650,9.2000,9.2010,9.2010,2776,0.0000,1.0000
2019-07-02,9.2100,9.2159,9.0800,9.1100,9.1100,6989,0.0000,1.0000
2019-07-01,9.4500,9.4500,9.1500,9.2100,9.2100,16350,0.0000,1.0000
2019-06-28,9.4000,9.4000,9.3000,9.3100,9.3100,7113,0.0000,1.0000
2019-06-27,9.1600,9.5800,9.1600,9.4100,9.4100,9240,0.0000,1.0000
2019-06-26,9.3968,9.4800,9.3200,9.3200,9.3200,9515,0.0000,1.0000
2019-06-25,9.2687,9.4900,9.2687,9.4900,9.4900,1287,0.0000,1.0000
2019-06-24,9.5900,9.5900,9.5000,9.5394,9.5394,4995,0.0000,1.0000
2019-06-21,9.5000,9.6250,9.3600,9.5000,9.5000,10239,0.0000,1.0000
2019-06-20,9.8200,9.8900,9.5000,9.5000,9.5000,17942,0.0000,1.0000
2019-06-19,9.8608,9.9330,9.6600,9.8800,9.8800,10819,0.0000,1.0000
2019-06-18,9.4400,9.9800,9.4400,9.9800,9.9800,18922,0.0000,1.0000
2019-06-17,9.5600,9.5600,9.3900,9.3900,9.3900,15638,0.0000,1.0000
2019-06-14,9.9500,9.9500,9.5100,9.6700,9.6700,9337,0.0000,1.0000
2019-06-13,10.0500,10.1799,9.9300,9.9500,9.9500,6025,0.0000,1.0000
2019-06-12,10.3658,10.3658,9.9000,10.1200,10.1200,16713,0.0000,1.0000
2019-06-11,10.1800,10.4055,9.8900,10.2405,10.2405,15809,0.0000,1.0000
2019-06-10,10.3200,10.3850,10.1400,10.1400,10.1400,14086,0.0000,1.0000
2019-06-07,10.5800,10.7000,10.3400,10.4300,10.4300,10145,0.0000,1.0000
2019-06-06,10.4200,10.5573,10.3450,10.5400,10.5400,8849,0.0000,1.0000
2019-06-05,10.1454,10.5500,10.0500,10.5400,10.5400,24296,0.0000,1.0000
2019-06-04,9.8700,10.1700,9.7300,10.1200,10.1200,6674,0.0000,1.0000
2019-06-03,9.8100,10.1500,9.7000,10.1500,10.1500,11516,0.0000,1.0000
2019-05-31,10.0520,10.0520,9.6700,9.9000,9.9000,24614,0.0000,1.0000
2019-05-30,10.3400,10.3400,10.0700,10.1100,10.1100,26891,0.0000,1.0000
2019-05-29,10.5800,10.6483,10.1200,10.2050,10.2050,15927,0.0000,1.0000
2019-05-28,10.4500,10.5800,10.4270,10.5800,10.5800,3751,0.0000,1.0000
2019-05-24,10.3367,10.5400,10.2900,10.4000,10.4000,21357,0.0000,1.0000
2019-05-23,10.1000,10.3546,10.0300,10.0400,10.0400,13476,0.0000,1.0000
2019-05-22,10.2711,10.4700,10.0600,10.1500,10.1500,19436,0.0000,1.0000
2019-05-21,10.3590,10.3600,10.2510,10.3300,10.3300,13986,0.0000,1.0000
2019-05-20,10.3300,10.3300,10.1600,10.1600,10.1600,8829,0.0000,1.0000
2019-05-17,10.7689,10.7689,10.3000,10.3300,10.3300,17572,0.0000,1.0000
2019-05-16,10.5528,10.6302,10.3500,10.4500,10.4500,22771,0.0000,1.0000
2019-05-15,10.7000,10.7472,10.5000,10.5200,10.5200,7527,0.0000,1.0000
2019-05-14,10.6500,10.7500,10.5200,10.6000,10.6000,14930,0.0000,1.0000
2019-05-13,10.8728,10.8800,10.6800,10.6800,10.6800,15428,0.0000,1.0000
2019-05-10,10.8500,11.0099,10.8200,10.9600,10.9600,7110,0.0000,1.0000
2019-05-09,11.0917,11.0917,10.9000,10.9000,10.9000,8181,0.0000,1.0000
2019-05-08,11.2877,11.3000,10.8300,10.9500,10.9500,30129,0.0000,1.0000
2019-05-07,11.2200,11.3035,11.0800,11.0900,11.0900,10534,0.0000,1.0000
2019-05-06,11.3300,11.3930,11.1500,11.2201,11.2201,12751,0.0000,1.0000
2019-05-03,11.6531,11.7500,11.3500,11.3600,11.3600,14415,0.0000,1.0000
2019-05-02,11.7600,11.8400,11.2100,11.2100,11.2100,31556,0.0000,1.0000
2019-05-01,11.9022,11.9022,11.6200,11.7500,11.7500,8647,0.0000,1.0000
2019-04-30,11.6900,11.7321,11.4100,11.6150,11.6150,32417,0.0000,1.0000
2019-04-29,11.8900,11.9222,11.7600,11.7700,11.7700,13012,0.0000,1.0000
2019-04-26,11.9100,12.0350,11.8750,11.9300,11.9300,6311,0.0000,1.0000
2019-04-25,11.9597,11.9843,11.9000,11.9425,11.9425,4333,0.0000,1.0000
2019-04-24,11.9739,12.0199,11.9500,11.9500,11.9500,4660,0.0000,1.0000
2019-04-23,12.0700,12.2000,11.9071,12.0200,12.0200,3373,0.0000,1.0000
2019-04-22,11.9800,12.3186,11.9000,12.1600,12.1600,16401,0.0000,1.0000
2019-04-18,12.0050,12.0050,11.8201,11.9400,11.9400,9962,0.0000,1.0000
2019-04-17,12.9210,12.9300,11.8001,12.0000,12.0000,32737,0.0000,1.0000
2019-04-16,12.0800,12.1300,11.8000,11.9500,11.9500,32174,0.0000,1.0000
2019-04-15,12.3900,12.4300,12.0600,12.0750,12.0750,13528,0.0000,1.0000
2019-04-12,12.2500,12.5469,12.1564,12.4460,12.4460,10976,0.0000,1.0000
2019-04-11,12.1600,12.3610,12.1000,12.2400,12.2400,18156,0.0000,1.0000
2019-04-10,12.3700,12.3700,12.1700,12.2000,12.2000,11810,0.0000,1.0000
2019-04-09,12.1600,12.7300,12.1600,12.5600,12.5600,10954,0.0000,1.0000
2019-04-08,12.5700,12.6001,12.1400,12.2000,12.2000,24276,0.0000,1.0000
2019-04-05,12.8138,12.8900,12.5400,12.6500,12.6500,10757,0.0000,1.0000
2019-04-04,12.5600,12.7700,12.5075,12.7700,12.7700,12929,0.0000,1.0000
2019-04-03,13.0600,13.1000,12.6152,12.6300,12.6300,36885,0.0000,1.0000
2019-04-02,13.0210,13.1099,12.9400,13.1099,13.1099,6753,0.0000,1.0000
2019-04-01,13.3400,13.3400,13.0900,13.1800,13.1800,20289,0.0000,1.0000
2019-03-29,13.2500,13.3325,13.0900,13.2700,13.2700,17557,0.0000,1.0000
2019-03-28,13.0700,13.3600,13.0260,13.2100,13.2100,36248,0.0000,1.0000
2019-03-27,13.0000,13.0500,12.4500,12.9329,12.9329,49450,0.0000,1.0000
2019-03-26,13.3800,13.3800,12.9600,13.0500,13.0500,19169,0.0000,1.0000
2019-03-25,13.3800,13.4400,13.0800,13.2900,13.2900,11764,0.0000,1.0000
