timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-08-02,1.0100,1.1200,0.9500,0.9703,0.9703,20925,0.0000,1.0000
2019-08-01,1.0700,1.0700,0.9600,1.0200,1.0200,5622,0.0000,1.0000
2019-07-31,1.0700,1.1000,1.0300,1.0300,1.0300,9815,0.0000,1.0000
2019-07-30,0.9500,1.0800,0.8745,1.0700,1.0700,12802,0.0000,1.0000
2019-07-29,0.9500,0.9500,0.8700,0.9500,0.9500,8421,0.0000,1.0000
2019-07-26,0.9500,0.9500,0.9250,0.9500,0.9500,892,0.0000,1.0000
2019-07-25,0.9466,0.9500,0.9045,0.9500,0.9500,2333,0.0000,1.0000
2019-07-24,0.8317,0.9500,0.8300,0.8744,0.8744,7079,0.0000,1.0000
2019-07-23,0.8499,0.8499,0.8499,0.8499,0.8499,15,0.0000,1.0000
2019-07-22,0.8000,0.8500,0.8000,0.8499,0.8499,24599,0.0000,1.0000
2019-07-19,0.8000,0.8300,0.8000,0.8300,0.8300,544,0.0000,1.0000
2019-07-18,0.8001,0.8250,0.8000,0.8000,0.8000,3740,0.0000,1.0000
2019-07-17,0.8261,0.8261,0.7971,0.7971,0.7971,724,0.0000,1.0000
2019-07-16,0.8150,0.8150,0.7650,0.7650,0.7650,1740,0.0000,1.0000
2019-07-15,0.8300,0.8300,0.8200,0.8200,0.8200,1921,0.0000,1.0000
2019-07-12,0.8400,0.8400,0.8200,0.8400,0.8400,20229,0.0000,1.0000
2019-07-11,0.8200,0.8400,0.8199,0.8300,0.8300,2932,0.0000,1.0000
2019-07-10,0.8200,0.8400,0.8000,0.8400,0.8400,8955,0.0000,1.0000
2019-07-09,0.8040,0.8300,0.8040,0.8200,0.8200,14703,0.0000,1.0000
2019-07-08,0.8075,0.8100,0.8000,0.8100,0.8100,4298,0.0000,1.0000
2019-07-05,0.8000,0.8100,0.8000,0.8000,0.8000,3380,0.0000,1.0000
2019-07-03,0.8000,0.8000,0.7900,0.8000,0.8000,28036,0.0000,1.0000
2019-07-02,0.7700,0.8500,0.7650,0.8403,0.8403,29286,0.0000,1.0000
2019-07-01,0.7900,0.8850,0.7800,0.8000,0.8000,12185,0.0000,1.0000
2019-06-28,0.7600,0.8550,0.7600,0.7750,0.7750,37323,0.0000,1.0000
2019-06-27,0.7701,0.8600,0.7701,0.8300,0.8300,11845,0.0000,1.0000
2019-06-26,0.7801,0.8050,0.7801,0.7850,0.7850,1749,0.0000,1.0000
2019-06-25,0.7326,0.9046,0.7326,0.8400,0.8400,4982,0.0000,1.0000
2019-06-24,0.8700,0.8700,0.8400,0.8400,0.8400,859,0.0000,1.0000
2019-06-21,0.7701,0.8700,0.7701,0.8700,0.8700,3872,0.0000,1.0000
2019-06-20,0.8200,0.8624,0.8200,0.8624,0.8624,1383,0.0000,1.0000
2019-06-19,0.8100,0.8241,0.7313,0.7500,0.7500,40210,0.0000,1.0000
2019-06-18,0.8170,0.8299,0.8100,0.8200,0.8200,5637,0.0000,1.0000
2019-06-17,0.8200,0.8250,0.8100,0.8100,0.8100,696,0.0000,1.0000
2019-06-14,0.8200,0.8200,0.8200,0.8200,0.8200,423,0.0000,1.0000
2019-06-13,0.8100,0.8160,0.8100,0.8160,0.8160,4623,0.0000,1.0000
2019-06-12,0.8100,0.8100,0.8100,0.8100,0.8100,227,0.0000,1.0000
2019-06-11,0.8500,0.8500,0.8200,0.8200,0.8200,343,0.0000,1.0000
2019-06-10,0.8393,0.8600,0.8100,0.8200,0.8200,8755,0.0000,1.0000
2019-06-07,0.8138,0.8144,0.8100,0.8144,0.8144,7228,0.0000,1.0000
2019-06-06,0.8342,0.8601,0.8100,0.8100,0.8100,24073,0.0000,1.0000
2019-06-05,0.8300,0.8600,0.8300,0.8400,0.8400,1446,0.0000,1.0000
2019-06-04,0.8549,0.8549,0.8549,0.8549,0.8549,8,0.0000,1.0000
2019-06-03,0.8400,0.8549,0.8300,0.8549,0.8549,2234,0.0000,1.0000
2019-05-31,0.8500,0.8700,0.8500,0.8500,0.8500,1536,0.0000,1.0000
2019-05-30,0.8500,0.8500,0.8500,0.8500,0.8500,51326,0.0000,1.0000
2019-05-29,0.8500,0.8500,0.8500,0.8500,0.8500,5614,0.0000,1.0000
2019-05-28,0.8500,0.8757,0.8500,0.8700,0.8700,15881,0.0000,1.0000
2019-05-24,0.8900,0.8900,0.8540,0.8560,0.8560,873,0.0000,1.0000
2019-05-23,0.9000,0.9000,0.8500,0.8500,0.8500,1121,0.0000,1.0000
2019-05-22,0.9000,0.9000,0.9000,0.9000,0.9000,206,0.0000,1.0000
2019-05-21,0.8716,0.9000,0.8700,0.8700,0.8700,1306,0.0000,1.0000
2019-05-20,0.8900,0.9000,0.8844,0.9000,0.9000,3171,0.0000,1.0000
2019-05-17,0.8530,0.8530,0.8530,0.8530,0.8530,1660,0.0000,1.0000
2019-05-16,0.9500,0.9500,0.9000,0.9000,0.9000,6033,0.0000,1.0000
2019-05-15,0.8051,0.9500,0.8051,0.9499,0.9499,147184,0.0000,1.0000
2019-05-14,0.9000,0.9500,0.8740,0.9500,0.9500,22644,0.0000,1.0000
2019-05-13,0.9500,0.9500,0.9500,0.9500,0.9500,538,0.0000,1.0000
2019-05-10,0.9496,0.9496,0.9121,0.9454,0.9454,4410,0.0000,1.0000
2019-05-09,0.9137,0.9300,0.9137,0.9300,0.9300,6277,0.0000,1.0000
2019-05-08,0.9505,0.9505,0.9128,0.9128,0.9128,8032,0.0000,1.0000
2019-05-07,0.9477,0.9478,0.9200,0.9200,0.9200,2131,0.0000,1.0000
2019-05-06,0.9900,0.9900,0.9457,0.9457,0.9457,5403,0.0000,1.0000
2019-05-03,0.9870,0.9900,0.9600,0.9900,0.9900,2325,0.0000,1.0000
2019-05-02,0.9750,0.9900,0.9600,0.9900,0.9900,2917,0.0000,1.0000
2019-05-01,0.9600,0.9900,0.9600,0.9800,0.9800,3410,0.0000,1.0000
2019-04-30,0.9600,0.9900,0.9600,0.9852,0.9852,3619,0.0000,1.0000
2019-04-29,0.9800,0.9800,0.9550,0.9600,0.9600,14383,0.0000,1.0000
2019-04-26,1.0100,1.0100,0.9720,1.0000,1.0000,2100,0.0000,1.0000
2019-04-25,1.0400,1.0400,0.9700,0.9700,0.9700,8574,0.0000,1.0000
2019-04-24,1.0165,1.0300,1.0165,1.0300,1.0300,283,0.0000,1.0000
2019-04-23,1.0800,1.0800,0.9120,1.0000,1.0000,35858,0.0000,1.0000
2019-04-22,1.0400,1.0800,1.0200,1.0800,1.0800,57812,0.0000,1.0000
2019-04-18,1.0800,1.0800,1.0400,1.0400,1.0400,8651,0.0000,1.0000
2019-04-17,1.0985,1.1000,1.0700,1.0700,1.0700,2810,0.0000,1.0000
2019-04-16,1.1200,1.1300,1.0800,1.0800,1.0800,85729,0.0000,1.0000
2019-04-15,1.0900,1.0999,1.0750,1.0801,1.0801,42946,0.0000,1.0000
2019-04-12,1.0754,1.1200,1.0754,1.1200,1.1200,3273,0.0000,1.0000
2019-04-11,1.1000,1.1300,1.0700,1.0700,1.0700,5325,0.0000,1.0000
2019-04-10,1.0976,1.1410,1.0700,1.0700,1.0700,12622,0.0000,1.0000
2019-04-09,1.1000,1.1000,1.1000,1.1000,1.1000,656,0.0000,1.0000
2019-04-08,1.0800,1.0800,1.0700,1.0754,1.0754,24156,0.0000,1.0000
2019-04-05,1.0600,1.0900,1.0600,1.0800,1.0800,3815,0.0000,1.0000
2019-04-04,1.0800,1.0800,1.0800,1.0800,1.0800,231,0.0000,1.0000
2019-04-03,1.0521,1.0790,1.0500,1.0790,1.0790,7750,0.0000,1.0000
2019-04-02,1.0649,1.0700,1.0400,1.0700,1.0700,16702,0.0000,1.0000
2019-04-01,1.0800,1.0945,1.0210,1.0700,1.0700,24406,0.0000,1.0000
2019-03-29,1.1030,1.1500,1.0700,1.0800,1.0800,18847,0.0000,1.0000
2019-03-28,1.1800,1.2400,1.1000,1.1200,1.1200,7037,0.0000,1.0000
2019-03-27,1.1001,1.1600,1.1001,1.1600,1.1600,43838,0.0000,1.0000
2019-03-26,1.1300,1.1300,1.0927,1.0927,1.0927,2377,0.0000,1.0000
2019-03-25,1.1300,1.1300,1.0801,1.1000,1.1000,17121,0.0000,1.0000
2019-03-22,1.1380,1.1400,1.1000,1.1120,1.1120,5379,0.0000,1.0000
2019-03-21,1.1200,1.1200,1.1000,1.1000,1.1000,983,0.0000,1.0000
2019-03-20,1.0700,1.1300,1.0700,1.1300,1.1300,18636,0.0000,1.0000
2019-03-19,1.0701,1.1200,1.0700,1.0700,1.0700,4047,0.0000,1.0000
2019-03-18,1.0700,1.1199,1.0700,1.0700,1.0700,3741,0.0000,1.0000
2019-03-15,1.1000,1.1000,1.0600,1.0600,1.0600,5331,0.0000,1.0000
2019-03-14,1.0500,1.0500,1.0500,1.0500,1.0500,620,0.0000,1.0000
2019-03-13,1.0600,1.0600,1.0600,1.0600,1.0600,1037,0.0000,1.0000
